,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
0,Dingle,0.03014442714876318,0.23431983173306478,0.8397034530902255,-10.264013499999999,52.14094
1,Tralee,0.03030229103640674,0.23543847366472612,0.8388857978186645,-9.6999325,52.27131
2,Killarney,0.029200432973631167,0.2499751115371799,0.8311989397437141,-9.5044265,52.059940000000005
3,Bantry,0.029602536515215296,0.2448613387913602,0.8338894955834176,-9.4539805,51.68035
4,Mayo,0.04702613075031372,0.12895083413519562,0.8871271132552769,-9.4289369,54.01526
5,Ballycastle,0.038583364717868815,0.11010852822541348,0.9062950125101951,-9.3724643,54.279669999999996
6,Abbeyfeale,0.028604387929325036,0.24437525784542602,0.8351116586721223,-9.2970823,52.386179999999996
7,Ennistymon,0.03535839209846972,0.2311320878988388,0.8367526713758452,-9.2934951,52.940369999999994
8,Galway,0.03461727683103806,0.21932134273904022,0.8445238523105848,-9.0567905,53.270669999999996
9,Claremorris,0.0549065759418945,0.1924803728766469,0.8416950622745056,-9.0017356,53.72388
10,Clare,0.03358429775292866,0.24210495270350388,0.8318291148864406,-8.9811351,52.90453
11,Adare,0.029708073129008885,0.2455648482539944,0.8333693894195549,-8.7925892,52.56363
12,Charleville,0.027967886441832675,0.25516241254729727,0.8292386060463638,-8.681017599999999,52.36206
13,Mallow,0.026177459048918796,0.25913865182340207,0.8285246264220845,-8.6539164,52.13898
14,Limerick,0.02946027556141325,0.2437095977551111,0.8347126802228336,-8.6267343,52.66384
15,Loughrea,0.03586295243483978,0.2160422571365235,0.845328029747999,-8.5660931,53.19891
16,Sligo,0.0426410818528779,0.1305669369017498,0.8902472318602178,-8.476088800000001,54.27661
17,Cork,0.0325283349232235,0.24477331759857104,0.831214145505315,-8.4756035,51.898509999999995
18,Nenagh,0.02518402469862151,0.2547163197471391,0.8321019546315369,-8.19834,52.8635
19,Roscommon,0.049149682633824,0.2295035733283697,0.8248690230989342,-8.1890955,53.627590000000005
20,Tipperary,0.026177459048918796,0.25913865182340207,0.8285246264220845,-8.161851400000002,52.47379
21,Donegal,0.022367904538271005,0.06621362736860298,0.9477288121535506,-8.1096143,54.653830000000006
22,Leitrim,0.06483835292902769,0.1831746790990935,0.8380125032830623,-8.0020132,54.12469
23,Athlone,0.07310301943991578,0.2498445714127723,0.7903396759790441,-7.9406898,53.423930000000006
24,Longford,0.09157212328027757,0.2618595579079168,0.7659154214069478,-7.7932573000000005,53.727630000000005
25,Offaly,0.11961976999270485,0.2829802225081901,0.7271008141994171,-7.7122229,53.235690000000005
26,Fermanagh,0.04294805753118955,0.10641614050581716,0.9044385272528717,-7.6318728,54.343830000000004
27,Enniskillen,0.04294805753118955,0.10641614050581716,0.9044385272528717,-7.631533599999999,54.343819999999994
28,Doon,0.07059372485839463,0.17749246533458973,0.8360521695857124,-7.60964,54.185930000000006
29,Westmeath,0.19164841439975047,0.33249709404965727,0.6302532450477599,-7.4653217000000005,53.534530000000004
30,Strabane,0.01633469846712349,0.035833411154517575,0.9715664353547784,-7.4633103,54.82739
31,Balivanich,0.019104971574484327,0.01,0.9861871207199236,-7.3743509000000005,57.472269999999995
32,Cavan,0.10300737821788297,0.19636755904500638,0.7945126207821294,-7.3633319,53.98972
33,Mullingar,0.19955270873130043,0.3316979364473786,0.6233617519802047,-7.340186800000001,53.525819999999996
34,Laois,0.14115041776549603,0.3334445188070162,0.6767726807757702,-7.332300699999999,52.9943
35,Omagh,0.02113502815822741,0.014035300150365,0.98015751786677,-7.309959700000001,54.59771
36,Derry,0.020880878232293443,0.031655602568665765,0.969831768983011,-7.308574799999999,54.99661
37,Derry,0.020880878232293443,0.031655602568665765,0.969831768983011,-7.308574799999999,54.99661
38,Kilkenny,0.09533265085260648,0.3481879230357702,0.7106578565405512,-7.2447879,52.65415
39,Tyrone,0.019988292203317177,0.012506385550280498,0.9821434248904496,-7.131232000000001,54.491209999999995
40,Waterford,0.06171695265859178,0.34728656261616425,0.7425436474475057,-7.110070200000001,52.25932
41,Western Isles,0.01673218413327614,0.01,0.9900590605604015,-7.0194034,57.759890000000006
42,Monaghan,0.0875192130348629,0.10177355223527852,0.8656607249001257,-6.9683132,54.2492
43,Carlow,0.09480689498686834,0.36764026651377113,0.6994871511314471,-6.934135899999999,52.83651
44,Kildare,0.25763372565329185,0.28802903361331533,0.5953814227063492,-6.8194707999999995,53.21204
45,Dungannon,0.021228171372789168,0.019134712560117763,0.9770137266557002,-6.7669352,54.508269999999996
46,Cookstown,0.01961876580863731,0.012878238122470052,0.9822650709832601,-6.7443895000000005,54.641819999999996
47,Coleraine,0.01,0.04214235760295656,0.9809489086410195,-6.6646103000000005,55.132580000000004
48,Meath,0.29263046880028365,0.2849818031597778,0.5645750680803417,-6.656416900000001,53.60555
49,Armagh,0.03603469403881815,0.05714331973394327,0.9404224437041234,-6.652792,54.350280000000005
50,Armagh,0.03603469403881815,0.05714331973394327,0.9404224437041234,-6.652792,54.350280000000005
51,Magherafelt,0.02357897201945702,0.022782030385145192,0.9726353312782517,-6.607980499999999,54.75536999999999
52,Dunvegan,0.020486813351873745,0.01,0.9839321753915485,-6.581398200000001,57.4366
53,Louth,0.2746686048500134,0.25857074117441614,0.5971563497878107,-6.4889423,53.925230000000006
54,Wexford,0.09048283836549662,0.3799275459649368,0.6961532879003608,-6.4633381,52.33692
55,Craigavon,0.021290129103548206,0.019228616821135015,0.9768996834436906,-6.4175653,54.442930000000004
56,Stornoway,0.010324542858452775,0.020252201514174357,0.9865111071176788,-6.384869200000001,58.209430000000005
57,Drogheda,0.2857691064396771,0.27785506410852373,0.575245192905821,-6.3560985,53.717859999999995
58,Rosslare,0.07117349615388886,0.37076794597967866,0.7196494726365409,-6.3414908,52.25131
59,Newry,0.056821847189420835,0.07756455064741508,0.9087973970500822,-6.34023,54.1751
60,Scilly Isles,0.02760258321653818,0.6075552449075184,0.6183317551595915,-6.327496599999999,49.92773
61,Ballymena,0.020937665869772453,0.02838511817908033,0.9717394008929933,-6.2802213,54.86529
62,Banbridge,0.029436600610966788,0.051395492896398325,0.9500205623367108,-6.2704803,54.34873
63,Dublin,0.2858468616776807,0.2781087998899967,0.5750205623367107,-6.2603097000000005,53.34981
