,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,preposition_drop_reduced_determiner,longitude,latitude
0,Dingle,0.01,0.244134898744135,0.956676463027765,0.01,-10.2640135,52.14094
1,Tralee,0.01,0.243421057743421,0.956803021245037,0.01,-9.6999325,52.27131
2,Killarney,0.01,0.243421057743421,0.956803021245037,0.01,-9.5044265,52.05994
3,Bantry,0.01,0.243421057743421,0.956803021245037,0.01,-9.4539805,51.68035
4,Mayo,0.01,0.01,1,0.01,-9.4289369,54.01526
5,Ballycastle,0.01,0.01,1,0.01,-9.3724643,54.27967
6,Abbeyfeale,0.01,0.243421057743421,0.956803021245037,0.01,-9.2970823,52.38618
7,Ennistymon,0.01,0.243421057743421,0.956803021245037,0.01,-9.2934951,52.94037
8,Galway,0.01,0.243421057743421,0.956803021245037,0.01,-9.0567905,53.27067
9,Claremorris,0.01,0.01,1,0.01,-9.0017356,53.72388
10,Clare,0.01,0.243421057743421,0.956803021245037,0.01,-8.9811351,52.90453
11,Adare,0.01,0.243421057743421,0.956803021245037,0.01,-8.7925892,52.56363
12,Charleville,0.01,0.243421057743421,0.956803021245037,0.01,-8.6810176,52.36206
13,Mallow,0.01,0.243421057743421,0.956803021245037,0.01,-8.6539164,52.13898
14,Limerick,0.01,0.243421057743421,0.956803021245037,0.01,-8.6267343,52.66384
15,Loughrea,0.01,0.239224133864224,0.957547843438129,0.01,-8.5660931,53.19891
16,Sligo,0.01,0.01,1,0.01,-8.4760888,54.27661
17,Cork,0.01,0.239224133864224,0.957547843438129,0.01,-8.4756035,51.89851
18,Nenagh,0.01,0.243421057743421,0.956803021245037,0.01,-8.19834,52.8635
19,Roscommon,0.01,0.01,1,0.01,-8.1890955,53.62759
20,Tipperary,0.01,0.239224133864224,0.957547843438129,0.01,-8.1618514,52.47379
21,Donegal,0.01,0.01,1,0.01,-8.1096143,54.65383
22,Leitrim,0.01,0.01,1,0.01,-8.0020132,54.12469
23,Athlone,0.207767314610675,0.307877217682877,0.748678525385018,0.01,-7.9406898,53.42393
24,Longford,0.195989121146208,0.326726849201727,0.756483523301978,0.01,-7.7932573,53.72763
25,Offaly,0.205939450130395,0.305168623430169,0.750889600854096,0.01,-7.7122229,53.23569
26,Fermanagh,0.01,0.01,1,0.01,-7.6318728,54.34383
27,Enniskillen,0.01,0.01,1,0.01,-7.6315336,54.34382
28,Doon,0.01,0.01,1,0.01,-7.60964,54.18593
29,Westmeath,0.204440617434405,0.302947596677948,0.752702535005412,0.01,-7.4653217,53.53453
30,Strabane,0.01,0.01,1,0.01,-7.4633103,54.82739
31,Balivanich,0.01,0.01,1,0.01,-7.3743509,57.47227
32,Cavan,0.205337285942138,0.304276322179276,0.751617926158944,0.01,-7.3633319,53.98972
33,Mullingar,0.204440617434405,0.302947596677948,0.752702535005412,0.01,-7.3401868,53.52582
34,Laois,0.206241856102458,0.305616744305617,0.750523714646184,0.01,-7.3323007,52.9943
35,Omagh,0.01,0.01,1,0.01,-7.3099597,54.59771
36,Derry,0.01,0.01,1,0.01,-7.3085748,54.99661
37,Derry,0.01,0.01,1,0.01,-7.3085748,54.99661
38,Kilkenny,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-7.2447879,52.65415
39,Tyrone,0.01,0.01,1,0.01,-7.131232,54.49121
40,Waterford,0.187517628839215,0.27787049052787,0.773173203538115,0.01,-7.1100702,52.25932
41,Western Isles,0.01,0.01,1,0.01,-7.0194034,57.75989
42,Monaghan,0.01,0.01,1,0.01,-6.9683132,54.2492
43,Carlow,0.206545154196589,0.306066183306066,0.750156843549421,0.01,-6.9341359,52.83651
44,Kildare,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-6.8194708,53.21204
45,Dungannon,0.01,0.01,1,0.01,-6.7669352,54.50827
46,Cookstown,0.01,0.01,1,0.01,-6.7443895,54.64182
47,Coleraine,0.01,0.01,1,0.01,-6.6646103,55.13258
48,Meath,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-6.6564169,53.60555
49,Armagh,0.01,0.01,1,0.01,-6.652792,54.35028
50,Armagh,0.01,0.01,1,0.01,-6.652792,54.35028
51,Magherafelt,0.01,0.01,1,0.01,-6.6079805,54.75537
52,Dunvegan,0.01,0.01,1,0.01,-6.5813982,57.4366
53,Louth,0.196160200507842,0.290677379165677,0.762718854613663,0.01,-6.4889423,53.92523
54,Wexford,0.204738635622428,0.303389210178389,0.752342065686177,0.01,-6.4633381,52.33692
55,Craigavon,0.01,0.01,1,0.01,-6.4175653,54.44293
56,Stornoway,0.01,0.01,1,0.01,-6.3848692,58.20943
57,Drogheda,0.204738635622428,0.303389210178389,0.752342065686177,0.01,-6.3560985,53.71786
58,Rosslare,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-6.3414908,52.25131
59,Newry,0.205037525125005,0.303832114053832,0.751980611478091,0.01,-6.34023,54.1751
60,Scilly Isles,0.01,0.01,1,0.01,-6.3274966,49.92773
61,Ballymena,0.01,0.01,1,0.01,-6.2802213,54.86529
62,Banbridge,0.205037525125005,0.303832114053832,0.751980611478091,0.01,-6.2704803,54.34873
63,Dublin,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-6.2603097,53.34981
64,Antrim,0.01,0.01,1,0.01,-6.2072498,54.71953
65,Antrim,0.01,0.01,1,0.01,-6.2072498,54.71953
66,Portree,0.01,0.01,1,0.01,-6.1960231,57.41247
67,Islay,0.01,0.01,1,0.01,-6.177067,55.73625
68,Wicklow,0.20296344535815,0.300758676675759,0.754489369602193,0.01,-6.044589,52.98082
69,Kilkeel,0.204738635622428,0.303389210178389,0.752342065686177,0.01,-6.007004,54.06312
70,Mull,0.01,0.01,1,0.01,-6.000887,56.4392
71,Belfast,0.01,0.01,1,0.01,-5.93012,54.59728
72,Broadford,0.01,0.01,1,0.01,-5.9096592,57.24139
73,Down,0.206849344412785,0.306516940431517,0.749788987563808,0.01,-5.7156922,54.32875
74,Kyle of Lochalsh,0.01,0.01,1,0.01,-5.7143293,57.28261
75,Campbeltown,0.01,0.01,1,0.01,-5.605374,55.42412
76,Penzance,0.01,0.01,1,0.01,-5.537592,50.1188
77,Oban,0.01,0.01,1,0.01,-5.471047,56.41516
78,Lochgilphead,0.01,0.01,1,0.01,-5.4323449,56.03829
79,Helston,0.01,0.01,1,0.01,-5.274996,50.10159
80,Redruth,0.01,0.01,1,0.01,-5.226666,50.23302
81,Ullapool,0.01,0.198214281948214,0.964825433375716,0.01,-5.161313,57.89542
82,Ballachulish,0.01,0.01,1,0.01,-5.13372,56.67393
83,Fort William,0.01,0.01,1,0.01,-5.1052179,56.81982
84,Achnasheen,0.01,0.247767859372768,0.956031853275199,0.01,-5.0787658,57.57859
85,Newquay,0.01,0.01,1,0.01,-5.073719,50.4155
86,Falmouth,0.01,0.01,1,0.01,-5.06627,50.15257
87,Rothesay,0.01,0.01,1,0.01,-5.055793,55.83596
88,Truro,0.01,0.01,1,0.01,-5.051041,50.2632
89,Milford Haven,0.01,0.01,1,0.01,-5.0426971,51.71431
90,Stranraer,0.01,0.01,1,0.01,-5.024055,54.90337
91,Fishguard,0.01,0.01,1,0.01,-4.975989,51.99393
92,Inchnadamph,0.01,0.191379304316379,0.966038323994946,0.01,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,1,0.01,-4.971319,51.80047
94,Dunoon,0.01,0.01,1,0.01,-4.926214,55.95097
95,Pembroke,0.01,0.01,1,0.01,-4.908637,51.67404
96,Girvan,0.01,0.01,1,0.01,-4.8542179,55.24016
97,Wadebridge,0.01,0.01,1,0.01,-4.836456,50.51665
98,Invergarry,0.01,0.239224133864224,0.957547843438129,0.01,-4.800261,57.07095
99,St Austell,0.01,0.01,1,0.01,-4.7834252,50.34038
100,Greenock,0.01,0.01,1,0.01,-4.771983,55.95648
101,Helensburgh,0.01,0.01,1,0.01,-4.734014,56.00232
102,Bodmin,0.01,0.01,1,0.01,-4.7188629,50.4715
103,Tenby,0.01,0.01,1,0.01,-4.703579,51.67274
104,Camelford,0.01,0.01,1,0.01,-4.682364,50.62206
105,Irvine,0.01,0.01,1,0.01,-4.6696364,55.61157
106,Cardigan,0.01,0.01,1,0.01,-4.660864,52.0837
107,Holyhead,0.347822447338229,0.30924963555925,0.61584952080233,0.01,-4.633038,53.30944
108,Ayr,0.01,0.01,1,0.01,-4.629179,55.45856
109,Dumbarton,0.01,0.01,1,0.01,-4.564554,55.94529
110,Bude,0.01,0.01,1,0.01,-4.543678,50.82664
111,Isle of Man,0.046863765162844,0.01,0.955635681735138,0.01,-4.5126331,54.27697
112,Kilmarnock,0.01,0.01,1,0.01,-4.498792,55.61472
113,Newton Stewart,0.01,0.01,1,0.01,-4.483164,54.9603
114,Liskeard,0.01,0.01,1,0.01,-4.464719,50.45552
115,Altnaharra,0.01,0.179032260929032,0.968229455464804,0.01,-4.442655,58.28023
116,Pwllheli,0.734213399354042,0.307195566682196,0.250430642649824,0.01,-4.4176339,52.88882
117,Lairg,0.01,0.191379304316379,0.966038323994946,0.01,-4.402414,58.02206
118,Launceston,0.01,0.01,1,0.01,-4.3604516,50.63683
119,Carmarthen,0.01,0.01,1,0.01,-4.312131,51.85762
