,placename,said,this_is,was_like,went,longitude,latitude
0,Welshpool,0.9615794175581516,0.01,0.09343125,0.2324754833138808,-3.146407,52.66035
1,Uckfield,0.973128640869692,0.01,0.09343125,0.17084739986837752,0.095913,50.966409999999996
2,Liverpool,0.7650261227364195,0.2849796099032709,0.09343125,0.4269487133382797,-2.9915726,53.40837
3,Llangefni,0.7564020620876423,0.32276242548040024,0.09343125,0.4356431191140886,-4.311401999999998,53.25578
4,Holyhead,0.7563394234692913,0.3202551836701719,0.09343125,0.4316764571473815,-4.633038,53.30944
5,Caernarfon,0.7586223882584822,0.3246409959519445,0.09343125,0.4216430940444903,-4.273911,53.13955
6,Dolgellau,0.8226335829350507,0.3610212012060249,0.09343125,0.3757372604127178,-3.8844,52.74215
7,Llangollen,0.8219025963403225,0.3365871737202864,0.09343125,0.3611524905052438,-3.1716599999999997,52.96921
8,Mold,0.8182525285020908,0.33746565420554103,0.09343125,0.37741295768216404,-3.1419029999999997,53.1672
9,Norwich,0.992280246394782,0.01,0.09343125,0.15672294744257878,1.297355,52.63089
10,Pwllheli,0.7948433213549642,0.3601983813656885,0.09343125,0.3908508288795256,-4.417633900000001,52.888819999999996
11,Horsham,0.997360055900406,0.01,0.09343125,0.1492086540536372,-0.325858,51.06288
12,Swaffham,0.9849235535192256,0.01,0.09343125,0.1771617518097028,0.687481,52.64747
13,Kendal,0.8002235529718984,0.7762769210958679,0.09343125,0.42070489619876206,-2.74629,54.32801
14,Dereham,0.9975893254064048,0.01,0.09343125,0.1573108790937893,0.9378270000000001,52.681619999999995
15,Oxenholme,0.7985432568311063,0.7737431290631916,0.09343125,0.4248656705065879,-2.7243327999999996,54.30134
16,Prestatyn,0.7541945068972415,0.3259055451182628,0.09343125,0.43655908008454825,-3.4076129999999996,53.33651
17,Oswestry,0.8509377244423788,0.3171468163770496,0.09343125,0.3367514857100812,-3.056412,52.85715
18,Banham,0.9853626319896026,0.01,0.09343125,0.157924163615529,1.0402849,52.45125
19,Chester,0.8127713453254859,0.3423390897692416,0.09343125,0.3813895341792458,-2.893075,53.19339
20,Llandudno,0.7621964383559968,0.3260176249858834,0.09343125,0.4391698592044623,-3.827609,53.324059999999996
21,Guildford,1.0,0.01,0.09343125,0.1499079825354131,-0.570409,51.23622
22,Whitchurch,0.8588016076839945,0.3070151566685957,0.09343125,0.3385019668657812,-2.682045,52.96872
23,Ruthin,0.8066771550877464,0.33956032452336904,0.09343125,0.3852930972419264,-3.3103108,53.114869999999996
24,Slough,0.9653128008402088,0.01,0.09343125,0.18711445312618954,-0.5950406,51.51054
25,Porthmadog,0.7932432999483693,0.3378664677422857,0.09343125,0.3855203524417258,-4.1333839999999995,52.92784
26,Birkenhead,0.7718075133502349,0.29476881915325465,0.09343125,0.4309818026584963,-3.023009,53.389990000000004
27,Southport,0.7427097466298289,0.2947993993201816,0.09343125,0.4589225780696678,-3.010113,53.64571
28,Wrexham,0.8281159823955072,0.3308328871157555,0.09343125,0.3635794967228582,-2.9924939999999998,53.04304000000001
29,Newcastle-under-Lyme,0.9204453058436964,0.01,0.09343125,0.2380268413248107,-2.2273002,53.01321
30,Bangor,0.7681094022998703,0.3185338758555217,0.09343125,0.4337111312344603,-4.129263,53.22739
31,Eastbourne,0.966425700564295,0.01,0.09343125,0.18585169604684307,0.29047199999999995,50.768029999999996
32,Canterbury,0.903462334425758,0.4248942092163218,0.09343125,0.2449844338332217,1.0789089,51.280229999999996
33,Rhyl,0.7480717339889914,0.33175892094585924,0.09343125,0.4358357442756511,-3.4916339999999995,53.319140000000004
34,Market Drayton,0.9715754463913772,0.01,0.09343125,0.22358335347517394,-2.483485,52.90355
35,Colwyn Bay,0.7501108338659639,0.3324568125073547,0.09343125,0.4443591952205732,-3.72764,53.29318000000001
36,Sedbergh,0.7505997799742508,0.8489008350139783,0.09557224126425518,0.4142459337501166,-2.5281740000000004,54.32363
37,Downham Market,0.9618786233856104,0.01,0.0957765504262882,0.18075215734869604,0.385472,52.606609999999996
38,Faversham,0.9049091040670698,0.42293589325521,0.09639828434178524,0.24035094888075226,0.889358,51.31599
39,Blackpool,0.7420870092978816,0.2893126536179277,0.0967688796118624,0.4316996146576134,-3.0356748,53.81751
40,Aldershot,0.9629817928388849,0.01,0.0968361192904422,0.17874347349481318,-0.7557509,51.24837
41,Ely,0.9781841246982844,0.01,0.09776991162178272,0.16040230048264645,0.262363,52.39954
42,Nantwich,0.904678618277218,0.01,0.09792086418216922,0.24589607490116105,-2.524102,53.06718000000001
43,Margate,0.8970221114322764,0.4203112615328714,0.09897784292002963,0.24781134971530075,1.3868339,51.38965
44,Thetford,0.9814498468394556,0.01,0.09961542840844316,0.15533739182273615,0.751657,52.412859999999995
45,Folkestone,0.8929621559361026,0.4298378132250641,0.09967873109505672,0.2519175941060666,1.169456,51.0814
46,Stoke-on-Trent,0.8952791766731353,0.01,0.1025016579398406,0.2537105661062289,-2.179404,53.002669999999995
47,Ramsgate,0.9057386096537658,0.41876442660859503,0.10420223125911536,0.2341131512775333,1.4198950000000001,51.33555
48,Bexhill,0.9439767495178948,0.01,0.10684125913705908,0.19403578678065925,0.4662071,50.849909999999994
49,Corwen,0.7838955504079714,0.3511283986773817,0.10750775043490818,0.3747499856416355,-3.369242,52.98005
50,Barrow-in-Furness,0.7314974339451438,0.5975876657528018,0.10772159126170136,0.4319399003830479,-3.2188939999999997,54.10896999999999
51,Isle of Man,0.7030446,0.662513342672058,0.10817051195089457,0.4952629436141537,-4.5126330999999995,54.27697
52,Machynlleth,0.9033966550977801,0.01,0.11140319677531348,0.23817343473820576,-3.853485,52.59027
53,Cambridge,0.9716058534876634,0.01,0.11263692573144395,0.15790058119685238,0.12181700000000001,52.20534
54,Bury St Edmunds,0.9904631183207012,0.01,0.11345613087555913,0.13538107099448193,0.7104931999999999,52.24292
55,Hastings,0.9336948939795772,0.01,0.1176586625893245,0.1986148126341427,0.573453,50.85426
56,Ashford,0.8863370577971992,0.4303580553517141,0.11977976881361554,0.2458850272816008,0.8750190000000001,51.14647
57,Hove,0.9161931774989918,0.01,0.12020599999647748,0.2172543421925092,-0.168749,50.82793
58,Crawley,0.9996722115020312,0.01,0.12146397253471525,0.11918327781314353,-0.18722750000000002,51.109140000000004
59,Tunbridge Wells,0.9524177594470276,0.01,0.12233964243202924,0.17361270402598625,0.26369499999999996,51.13238
60,Clacton,0.8979665558429364,0.40142054120542375,0.12339247696782,0.2303050509787448,1.153035,51.78953
61,Ambleside,0.7030446,0.4307490547883753,0.12390563278909265,0.4590382239846795,-2.961333,54.42874000000001
62,Hunstanton,0.9139077801420981,0.01,0.12517924969014324,0.21651677195071714,0.49103199999999997,52.93891
63,Cromer,0.942173608708105,0.01,0.12782770562779544,0.1817904211331331,1.301866,52.93145
64,Sheringham,0.9368170946262752,0.01,0.12782770562779544,0.18802807710020386,1.2109589,52.944419999999994
65,Lewes,0.9730726918125244,0.01,0.12943410195503768,0.14471050244078032,0.00878,50.873870000000004
66,Holt,0.9355393884403164,0.01,0.12943876418236602,0.1884147437848111,1.086747,52.90936
67,March,0.9214907018140258,0.4832936992244776,0.13300671495421856,0.19511703713607745,0.088622,52.551719999999996
68,Great Yarmouth,0.9627798897195428,0.4240707730315357,0.13323350641247927,0.147765452521474,1.728047,52.59823000000001
69,Sevenoaks,0.9750150971233059,0.01,0.13403167973109106,0.1393062335697642,0.190898,51.27241
70,Ipswich,0.9157474094674314,0.3816551332816426,0.13498494981215892,0.20197073952977795,1.14822,52.05674000000001
71,Woking,0.9747049447411836,0.01,0.13582653364745012,0.1384404826138441,-0.5600349,51.31677
72,Brighton,0.9426619466744665,0.01,0.1421270676589683,0.1714477955006303,-0.137163,50.82253
73,King's Lynn,0.9248519022375356,0.01,0.1423450526878311,0.1920388587270777,0.4022963,52.75168000000001
74,Workington,0.7030446,0.4976238499131097,0.1466224908540051,0.5016856472088579,-3.5427519999999997,54.64357
75,Bishop's Stortford,0.9528842043040636,0.3590682427005142,0.14784730977568586,0.15027050025675093,0.15365020000000001,51.87216
