,"placename","himsel","himself","himsen","hissel","hisself","himseln","hissen","hisseln","longitude","latitude"
0,"Dingle",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-10.2640135,52.14094
1,"Tralee",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.6999325,52.27131
2,"Killarney",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.5044265,52.05994
3,"Bantry",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.4539805,51.68035
4,"Mayo",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.4289369,54.01526
5,"Ballycastle",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.3724643,54.27967
6,"Abbeyfeale",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.2970823,52.38618
7,"Ennistymon",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.2934951,52.94037
8,"Galway",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.0567905,53.27067
9,"Claremorris",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-9.0017356,53.72388
10,"Clare",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.9811351,52.90453
11,"Adare",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.7925892,52.56363
12,"Charleville",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.6810176,52.36206
13,"Mallow",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.6539164,52.13898
14,"Limerick",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.6267343,52.66384
15,"Loughrea",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.5660931,53.19891
16,"Sligo",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.4760888,54.27661
17,"Cork",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.4756035,51.89851
18,"Nenagh",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.19834,52.8635
19,"Roscommon",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.1890955,53.62759
20,"Tipperary",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.1618514,52.47379
21,"Donegal",0.025195933169257,0.949606446387404,0.01,0.01,0.163075576084067,0.01,0.01,0.01,-8.1096143,54.65383
22,"Leitrim",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-8.0020132,54.12469
23,"Athlone",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.9406898,53.42393
24,"Longford",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.7932573,53.72763
25,"Offaly",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.7122229,53.23569
26,"Fermanagh",0.01,0.971419769752102,0.01,0.01,0.184978749397197,0.01,0.01,0.01,-7.6318728,54.34383
27,"Enniskillen",0.01,0.971419769752102,0.01,0.01,0.184978749397197,0.01,0.01,0.01,-7.6315336,54.34382
28,"Doon",0.01,0.971644756425969,0.01,0.01,0.183514010988383,0.01,0.01,0.01,-7.60964,54.18593
29,"Westmeath",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.4653217,53.53453
30,"Strabane",0.030662020926909,0.938675555370957,0.01,0.01,0.198453706519401,0.01,0.01,0.01,-7.4633103,54.82739
31,"Balivanich",0.356322918602691,0.643676489930982,0.01,0.01,0.01,0.01,0.01,0.01,-7.3743509,57.47227
32,"Cavan",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.3633319,53.98972
33,"Mullingar",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-7.3401868,53.52582
34,"Laois",0.01,0.973392729815236,0.01,0.01,0.172203946285129,0.01,0.01,0.01,-7.3323007,52.9943
35,"Omagh",0.01,0.969775636366153,0.01,0.01,0.195611891770747,0.01,0.01,0.01,-7.3099597,54.59771
36,"Derry",0.086248712752632,0.87925138280271,0.01,0.01,0.223290926816801,0.01,0.01,0.01,-7.3085748,54.99661
37,"Derry",0.086248712752632,0.87925138280271,0.01,0.01,0.223290926816801,0.01,0.01,0.01,-7.3085748,54.99661
38,"Kilkenny",0.01,0.981699930081063,0.01,0.01,0.118442701378904,0.01,0.01,0.01,-7.2447879,52.65415
39,"Tyrone",0.01,0.954310398537929,0.01,0.01,0.295720204720167,0.01,0.01,0.01,-7.131232,54.49121
40,"Waterford",0.01,0.975888351228426,0.01,0.01,0.156068569704966,0.01,0.01,0.01,-7.1100702,52.25932
41,"Western Isles",0.355937218075698,0.644064159276717,0.01,0.01,0.01,0.01,0.01,0.01,-7.0194034,57.75989
42,"Monaghan",0.01,0.966947726942324,0.01,0.01,0.213923451769799,0.01,0.01,0.01,-6.9683132,54.2492
43,"Carlow",0.01,0.972267796445908,0.01,0.01,0.179493451690493,0.01,0.01,0.01,-6.9341359,52.83651
44,"Kildare",0.01,0.934975389919214,0.01,0.01,0.420863128840928,0.01,0.01,0.01,-6.8194708,53.21204
45,"Dungannon",0.01,0.95352121451268,0.01,0.01,0.300829561414997,0.01,0.01,0.01,-6.7669352,54.50827
46,"Cookstown",0.01,0.951890926460511,0.01,0.01,0.311365923789066,0.01,0.01,0.01,-6.7443895,54.64182
47,"Coleraine",0.13157151665089,0.83083771192014,0.01,0.01,0.243305702792833,0.01,0.01,0.01,-6.6646103,55.13258
48,"Meath",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-6.6564169,53.60555
49,"Armagh",0.01,0.956501422608049,0.01,0.01,0.281530352560129,0.01,0.01,0.01,-6.652792,54.35028
50,"Armagh",0.01,0.956501422608049,0.01,0.01,0.281530352560129,0.01,0.01,0.01,-6.652792,54.35028
51,"Magherafelt",0.083338683631645,0.861103611555314,0.01,0.01,0.359595138794393,0.01,0.01,0.01,-6.6079805,54.75537
52,"Dunvegan",0.358654790140654,0.641343551189656,0.01,0.01,0.01,0.01,0.01,0.01,-6.5813982,57.4366
