index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
0,Dingle,-10.264013499999999,52.14094,0.01,0.0896662344932279,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.15761001476137987,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.2663273753507747,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.0980189320233621,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.1480380080413049,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.3717640114058742,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.24010673492932563,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.23453609480393803,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.08028625755474746,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.12875753013037403,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.01,0.3465806097094341,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.25251550044247784,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.01,0.4487385680349361,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.17744261785780388,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.18831859439037157,0.01,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.01,0.24597789790604285,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.029981358812940614,0.2776643455122748,0.01,0.01,0.14076429985791938
22,Leitrim,-8.0020132,54.12469,0.01,0.16034417329083456,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.01,0.16841250933744695,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.18238928664879786,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.2371354465571364,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.12403981955451676,0.01,0.01,0.09066438684877053
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.16963073302641135,0.01,0.01,0.11111342026246905
28,Doon,-7.60964,54.185930000000006,0.01,0.08320205191041152,0.01,0.01,0.07177395383485027
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.17070846758969282,0.01,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.02635777071605281,0.17882962977885805,0.01,0.01,0.12375132385013947
31,Balivanich,-7.3743509000000005,57.472269999999995,0.10966344195296132,0.013104093584770672,0.01,0.01,0.01
32,Cavan,-7.3633319,53.98972,0.01,0.20650010482198963,0.01,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.16602768263802611,0.01,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.01,0.2286016407721968,0.01,0.01,0.1280562340425717
35,Omagh,-7.309959700000001,54.59771,0.01,0.19291491841359237,0.01,0.01,0.12855073454677993
36,Derry,-7.308574799999999,54.99661,0.1131595648608987,0.31336664999215585,0.01,0.01,0.2125164056547389
37,Derry,-7.308574799999999,54.99661,0.1131595648608987,0.31336664999215585,0.01,0.01,0.2125164056547389
38,Kilkenny,-7.2447879,52.65415,0.01,0.26819697446081175,0.01,0.01,0.09942485256002104
39,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.1302656098031971,0.01,0.01,0.14948074235212064
40,Waterford,-7.110070200000001,52.25932,0.01,0.3038698512632107,0.01,0.01,0.14452932630486556
41,Western Isles,-7.0194034,57.759890000000006,0.22554430331049274,0.10967968556610272,0.01,0.01,0.01
42,Monaghan,-6.9683132,54.2492,0.01,0.1972849603446828,0.01,0.01,0.1428631941029651
43,Carlow,-6.934135899999999,52.83651,0.01,0.24107272431859036,0.01,0.01,0.13890896653165277
44,Kildare,-6.8194707999999995,53.21204,0.01,0.30917559826154994,0.01,0.01,0.3956275470323002
45,Dungannon,-6.7669352,54.508269999999996,0.01,0.1355846151580121,0.01,0.01,0.1559488296166164
46,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.17630466083454557,0.01,0.01,0.192179226551922
47,Coleraine,-6.6646103000000005,55.132580000000004,0.15215154274006004,0.26645715826049715,0.01,0.01,0.20410305562592637
48,Meath,-6.656416900000001,53.60555,0.01,0.26801053197389446,0.01,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.01,0.1956909729027067,0.01,0.01,0.18698090740610662
50,Armagh,-6.652792,54.350280000000005,0.01,0.1956909729027067,0.01,0.01,0.18698090740610662
51,Magherafelt,-6.607980499999999,54.75536999999999,0.07522404776664655,0.19107820187041308,0.01,0.01,0.23545429312016047
52,Dunvegan,-6.581398200000001,57.4366,0.09609233623181683,0.01,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.01,0.27043045120790016,0.01,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.01,0.2856457453070335,0.01,0.01,0.10870744885072015
55,Craigavon,-6.4175653,54.442930000000004,0.01,0.22987855941526594,0.01,0.01,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.3353915448389418,0.1695174174009149,0.01,0.01,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.01,0.19364094927143322,0.01,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.028237104765084373
59,Newry,-6.34023,54.1751,0.01,0.22958257225151124,0.01,0.01,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.01,0.11650024050497919,0.01,0.01,0.25112912290505074
61,Ballymena,-6.2802213,54.86529,0.11178946881421577,0.21974037950896824,0.01,0.01,0.01
62,Banbridge,-6.2704803,54.34873,0.01,0.18395772669346028,0.01,0.01,0.01
63,Dublin,-6.2603097000000005,53.34981,0.01,0.6372841909027306,0.01,0.01,0.1846435904089522
64,Antrim,-6.2072498,54.719530000000006,0.02579281087702086,0.24417328317308315,0.01,0.01,0.01
65,Antrim,-6.2072498,54.719530000000006,0.02579281087702086,0.24417328317308315,0.01,0.01,0.01
66,Portree,-6.1960231,57.41246999999999,0.29397859573046364,0.16478034865608687,0.01,0.01,0.01
67,Islay,-6.177067,55.73625,0.18430236967778482,0.11890944956807566,0.01,0.01,0.01
68,Wicklow,-6.044589,52.980819999999994,0.01,0.26750414430761793,0.01,0.01,0.5254917834188846
69,Kilkeel,-6.007004,54.06312,0.01,0.11314464278665108,0.01,0.01,0.01
70,Mull,-6.0008870000000005,56.4392,0.10043293601490433,0.1213146600707511,0.01,0.01,0.01
71,Belfast,-5.93012,54.597280000000005,0.029490594590332275,0.5091128840087887,0.01,0.01,0.01
72,Broadford,-5.9096592,57.24139,0.03993004676904406,0.01,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.01,0.24805927445538567,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.098198763030417,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.40697190098069075,0.13008512480102033,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.2401880358419661,0.01,0.01,0.4107503203674537
77,Oban,-5.471047,56.41516,0.238535351897694,0.18678070717864426,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.13519941305701288,0.09249554594170316,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.01,0.1623906324119964,0.01,0.01,0.3081534188056078
80,Redruth,-5.226666000000001,50.23302,0.01,0.19065001400496223,0.01,0.01,0.3447712878670004
81,Ullapool,-5.161313,57.895419999999994,0.23000969796388088,0.11015107844085917,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.035486301103141216,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.12948230961746202,0.17876836752579767,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.09600507475683467,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.2316278291140652,0.01,0.01,0.39178522900018686
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.25580812289800287,0.01,0.01,0.42163518692737945
87,Rothesay,-5.055793,55.83596,0.14276697454578297,0.17256035550241242,0.01,0.01,0.06702995178902042
88,Truro,-5.051041000000001,50.2632,0.01,0.3835568409454768,0.01,0.01,0.5922497681356491
89,Milford Haven,-5.0426971,51.71431,0.01,0.1510079558132808,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.27130003446509154,0.15632980871015678,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.10562136366455063,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.1602607147461019,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.01,0.17358851839603134,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.1830973835238495,0.1509747980181954,0.01,0.01,0.06140380135452904
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.24100890241014253,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.5393442506907918,0.14117957705903003,0.01,0.01,0.0666382579536395
97,Wadebridge,-4.836456,50.51665,0.01,0.18151896362182324,0.01,0.01,0.15767727331477735
98,Invergarry,-4.800261,57.07095,0.04516438324747178,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.20242745993812464,0.01,0.01,0.23670336276218765
100,Greenock,-4.7719830000000005,55.956480000000006,0.28115612681306984,0.2736545775865861,0.01,0.01,0.18857785000503804
101,Helensburgh,-4.734014,56.00232,0.1952149316210058,0.1637225213107536,0.01,0.01,0.13093512472394475
102,Bodmin,-4.7188629,50.4715,0.01,0.16374744986748718,0.01,0.01,0.10144133898858276
103,Tenby,-4.703579,51.672740000000005,0.01,0.17358851839603134,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.10718933089256358,0.01,0.01,0.08103710667591174
105,Irvine,-4.6696364,55.61156999999999,0.8854462274164691,0.29383516162281764,0.01,0.01,0.09898151689071201
106,Cardigan,-4.660864,52.0837,0.01,0.13774092587783046,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.051739274199001,0.1545208366878544,0.01,0.01,0.01
