index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
0,Dingle,-10.264013499999999,52.14094,0.01,0.38920444845641994,0.01,0.01,0.01
1,Tralee,-9.6999325,52.27131,0.01,0.49730472025875305,0.01,0.01,0.01
2,Killarney,-9.5044265,52.059940000000005,0.01,0.6200706681084361,0.01,0.01,0.01
3,Bantry,-9.4539805,51.68035,0.01,0.40453893807199226,0.01,0.01,0.01
4,Mayo,-9.4289369,54.01526,0.01,0.4840264980686211,0.01,0.01,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.1608863266408279,0.01,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.1608863266408279,0.01,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.1608863266408279,0.01,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.01,0.70792063427643,0.01,0.01,0.01
9,Claremorris,-9.0017356,53.72388,0.01,0.5942484031543649,0.01,0.01,0.01
10,Clare,-8.9811351,52.90453,0.01,0.5885027188277989,0.01,0.01,0.01
11,Adare,-8.7925892,52.56363,0.01,0.3710943900676289,0.01,0.01,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.1608863266408279,0.01,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.01,0.45557673583379005,0.01,0.01,0.01
14,Limerick,-8.6267343,52.66384,0.01,0.6888711848539836,0.01,0.01,0.01
15,Loughrea,-8.5660931,53.19891,0.01,0.1608863266408279,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.01,0.6067110229435454,0.01,0.01,0.01
17,Cork,-8.4756035,51.898509999999995,0.01,0.7604324812261803,0.01,0.01,0.01
18,Nenagh,-8.19834,52.8635,0.01,0.5232591661690345,0.01,0.01,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.5366906103270075,0.01,0.01,0.01
20,Tipperary,-8.161851400000002,52.47379,0.01,0.6002015335679707,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.026190443948121686,0.6216077264945241,0.01,0.01,0.16188033764267878
22,Leitrim,-8.0020132,54.12469,0.01,0.5010034942290602,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.01,0.5116880477311826,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.529434138975465,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.5911957503418249,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.44324058598646576,0.01,0.01,0.1784997381822352
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.508229794262448,0.01,0.01,0.18032422435878745
28,Doon,-7.60964,54.185930000000006,0.01,0.3719340576009026,0.01,0.01,0.1750991789624282
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.5146677810910029,0.01,0.01,0.01
