,placename,should_have,should_of,longitude,latitude
0,Dingle,0.9167159887821648,0.08328417392498791,-10.264013499999999,52.14094
1,Tralee,0.926169001471247,0.07383122538733022,-9.6999325,52.27131
2,Killarney,0.8853329831968139,0.11466698807414412,-9.5044265,52.05994000000001
3,Bantry,0.8706285960535578,0.12937138016792418,-9.4539805,51.68035
4,Mayo,0.8927626108064249,0.1072372232952638,-9.4289369,54.01526
5,Ballycastle,0.8362593299599018,0.16374085983458064,-9.3724643,54.279669999999996
6,Abbeyfeale,0.8820477599679493,0.11795214507507565,-9.2970823,52.386179999999996
7,Ennistymon,0.9859339386655092,0.04139811,-9.2934951,52.940369999999994
8,Galway,1.0,0.04139811,-9.0567905,53.270669999999996
9,Claremorris,0.9655378130607654,0.04139811,-9.0017356,53.72388
10,Clare,0.9665747558302786,0.04139811,-8.9811351,52.90453
11,Adare,0.8812996798270865,0.11870036013573185,-8.7925892,52.56363
12,Charleville,0.8751426637982407,0.12485710890158433,-8.681017599999999,52.36206
13,Mallow,0.8663407703676768,0.13365913996341744,-8.6539164,52.13898
14,Limerick,0.9763805983967776,0.04139811,-8.6267343,52.66384
15,Loughrea,0.97572072572527,0.04139811,-8.5660931,53.19891
16,Sligo,0.8100884,0.28253070681476994,-8.476088800000001,54.27661
17,Cork,0.8100884,0.19457274745149344,-8.4756035,51.898509999999995
18,Nenagh,0.8636527992404724,0.1363473139974864,-8.19834,52.8635
19,Roscommon,0.8861483972837494,0.11385137171077772,-8.1890955,53.62759000000001
20,Tipperary,0.8100884,0.2144763319416524,-8.161851400000002,52.47379
21,Donegal,0.8100884,0.3372984063059608,-8.1096143,54.653830000000006
22,Leitrim,0.8100884,0.316473289119605,-8.0020132,54.12469
23,Athlone,0.815162257976548,0.18483746758290245,-7.9406898,53.42393000000001
24,Longford,0.8100884,0.26299025441803425,-7.7932573000000005,53.72763000000001
25,Offaly,0.8100884,0.32485697423364684,-7.7122229,53.23569000000001
26,Fermanagh,0.8100884,0.30811296889271644,-7.6318728,54.343830000000004
27,Enniskillen,0.8100884,0.30811296889271644,-7.631533599999999,54.343819999999994
28,Doon,0.8100884,0.29328373962088955,-7.60964,54.185930000000006
29,Westmeath,0.8100884,0.3439358522746593,-7.4653217000000005,53.534530000000004
30,Strabane,0.8100884,0.3826734211615177,-7.4633103,54.82739
31,Cavan,0.8100884,0.3116956747015169,-7.3633319,53.98972
32,Mullingar,0.8100884,0.35282535016188776,-7.3401868000000015,53.525819999999996
33,Laois,0.8100884,0.32060577678318025,-7.3323006999999985,52.99429
34,Omagh,0.8100884,0.3612275521173336,-7.309959700000001,54.59771
35,Derry,0.8100884,0.37293740061927055,-7.308574799999999,54.99661
36,Kilkenny,0.8100884,0.3951118905392071,-7.2447879,52.65415
37,Tyrone,0.8100884,0.2906916511602148,-7.1312320000000025,54.491209999999995
38,Waterford,0.8100884,0.3929621189191955,-7.110070200000001,52.25932
39,Monaghan,0.8100884,0.3065181638430728,-6.9683132,54.2492
40,Carlow,0.8100884,0.3315876777490524,-6.934135899999999,52.83651
41,Kildare,0.8100884,0.3749984260684807,-6.8194707999999995,53.21204
42,Dungannon,0.8100884,0.2466670190477697,-6.7669352,54.508269999999996
43,Cookstown,0.8100884,0.2540843943764016,-6.7443895000000005,54.641819999999996
44,Coleraine,0.8100884,0.3401314157067929,-6.6646103000000005,55.132580000000004
45,Meath,0.8100884,0.23681329872816234,-6.656416900000001,53.60555
46,Armagh,0.820330138337592,0.17967005681976952,-6.652792,54.35028000000001
47,Magherafelt,0.8100884,0.27293595293894257,-6.607980499999999,54.75536999999999
48,Louth,0.8100884,0.2596122438742081,-6.4889423,53.925230000000006
49,Wexford,0.8100884,0.3901764452983888,-6.4633381,52.33692
50,Craigavon,0.8100884,0.21783811499901184,-6.4175653,54.442930000000004
51,Drogheda,0.8100884,0.2328777629231561,-6.3560985,53.717859999999995
52,Rosslare,0.8100884,0.3675884574764104,-6.3414908,52.25131
53,Newry,0.8100884,0.2314862391251433,-6.34023,54.1751
54,Ballymena,0.8100884,0.35045782048696605,-6.2802213,54.86529
55,Banbridge,0.8100884,0.20311965010576485,-6.2704803,54.34873
56,Dublin,0.8704124540866653,0.1295875895415533,-6.2603097000000005,53.34981
57,Antrim,0.8356553444636341,0.16434484553419235,-6.2072498,54.719530000000006
58,Wicklow,0.8100884,0.2211908079705912,-6.044589,52.980819999999994
59,Kilkeel,0.8100884,0.22290156211440784,-6.007004,54.06312
60,Belfast,0.8655785500981394,0.13442169715941552,-5.93012,54.59728000000001
61,Down,0.8180010571429538,0.18199873479472736,-5.7156921999999994,54.32875
62,Balivanich,0.8100884,0.22612712855300315,-7.3743509000000005,57.472269999999995
63,Western Isles,0.8100884,0.2596721037724193,-7.0194034,57.75989000000001
64,Dunvegan,0.8100884,0.22864299496106244,-6.5813982000000015,57.4366
65,Stornoway,0.8100884,0.3142045383768272,-6.3848692000000025,58.20943000000001
66,Scilly Isles,0.8100884,0.531760524046812,-6.327496599999999,49.92773
67,Portree,0.8100884,0.2375597631056312,-6.1960231,57.41246999999999
68,Islay,0.9231497473293676,0.07685041321173268,-6.177067,55.73625
69,Mull,0.9473623609974844,0.05263732005417692,-6.0008870000000005,56.4392
70,Broadford,0.8100884,0.2331364600310612,-5.9096592,57.24139
71,Kyle of Lochalsh,0.8100884,0.2150643594906724,-5.7143293,57.28261
72,Campbeltown,0.9199217579546636,0.08007840367320264,-5.605373999999999,55.424119999999995
73,Penzance,0.8100884,0.5284383333630726,-5.537592,50.1188
74,Oban,0.9481414147535414,0.05185846803774336,-5.471047,56.41516
75,Lochgilphead,0.9359963909004906,0.06400342864568832,-5.4323449,56.03829
76,Helston,0.8100884,0.5212207379196969,-5.274996,50.10159
77,Redruth,0.8100884,0.5204820169486333,-5.226666000000002,50.23302
78,Ullapool,0.8100884,0.3399834829774677,-5.161313,57.895419999999994
79,Ballachulish,0.8710036461331794,0.12899632996203372,-5.133719999999999,56.67393000000001
80,Fort William,0.8177411481111142,0.18225891324994467,-5.1052179,56.81981999999999
81,Achnasheen,0.8100884,0.32561885808995755,-5.078765799999998,57.57859000000001
82,Newquay,0.8100884,0.5237114214234468,-5.0737190000000005,50.4155
83,Falmouth,0.8100884,0.5212207379196969,-5.066269999999999,50.152570000000004
84,Rothesay,0.933375753719359,0.06662440337895323,-5.055793,55.83596
85,Truro,0.8100884,0.5199827355704146,-5.0510410000000014,50.2632
86,Milford Haven,0.8100884,0.5093248456621269,-5.0426971,51.71431
87,Stranraer,0.8100884,0.2449897972203865,-5.0240550000000015,54.903369999999995
88,Fishguard,0.8100884,0.5285229721617807,-4.975989,51.99393
89,Inchnadamph,0.8100884,0.3498196964652023,-4.974295,58.15221
90,Haverfordwest,0.8100884,0.5285015599597208,-4.971319,51.80048
91,Dunoon,0.9444622879401536,0.05553739408787554,-4.926214,55.95097
92,Pembroke,0.8100884,0.5129732694244191,-4.9086370000000015,51.67404000000001
93,Girvan,0.910301083739862,0.08969894645905807,-4.8542179,55.240159999999996
94,Wadebridge,0.8100884,0.5201009740195248,-4.836456,50.51665
95,Invergarry,0.8100884,0.2494215170410492,-4.800261,57.07095
96,St Austell,0.8100884,0.5199827355704146,-4.7834252,50.340379999999996
97,Greenock,0.9520508236624962,0.04794932714848387,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.9528628710521276,0.047136942815617006,-4.734014,56.00232
99,Bodmin,0.8100884,0.5208700626104908,-4.7188629,50.4715
100,Tenby,0.8100884,0.5159779804455421,-4.703579,51.67274000000001
101,Camelford,0.8100884,0.5210133492959729,-4.682364,50.62206
102,Irvine,0.929829274779734,0.07017068151066452,-4.6696364,55.61156999999999
103,Cardigan,0.8100884,0.527615444931082,-4.660864,52.0837
104,Holyhead,0.8100884,0.9180160450114114,-4.633038,53.30944
105,Ayr,0.9295821591976487,0.07041793184388348,-4.629179,55.45856
106,Dumbarton,0.9552451460641624,0.04475513833932212,-4.564554,55.94529
