,placename,shiver,sliver,speel,spelk,spell,spile,spill,splint,splinter,spool,longitude,latitude
0,Dingle,0.01,0.375000003375,0.01,0.01,0.01,0.01,0.01,0.8611111036481479,0.8888889000000001,0.01,-10.2640135,52.14094
1,Tralee,0.01,0.421875000421875,0.01,0.01,0.01,0.01,0.01,0.6458333303194445,0.90625,0.01,-9.6999325,52.27131
2,Killarney,0.01,0.375000003375,0.01,0.01,0.01,0.01,0.01,0.8611111036481479,0.8888889000000001,0.01,-9.5044265,52.05994000000001
3,Bantry,0.01,0.3970588278970588,0.01,0.01,0.01,0.01,0.01,0.9117647004117648,0.8823529,0.01,-9.4539805,51.68035
4,Mayo,0.01,0.7714285702714286,0.01,0.01,0.01,0.01,0.01,0.2952380982888889,0.9142857,0.01,-9.4289369,54.01526
5,Ballycastle,0.01,0.7714285702714286,0.01,0.01,0.01,0.01,0.01,0.5904761862444444,0.8857143,0.01,-9.3724643,54.27967
6,Abbeyfeale,0.01,0.4354838779354839,0.01,0.01,0.01,0.01,0.01,1.0,0.8709677,0.01,-9.2970823,52.38618
7,Ennistymon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5904761862444444,0.9428571,0.01,-9.2934951,52.94037
8,Galway,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2952380982888889,0.9714286,0.01,-9.0567905,53.27067
9,Claremorris,0.01,0.7714285702714286,0.01,0.01,0.01,0.01,0.01,0.2952380982888889,0.9142857,0.01,-9.0017356,53.72388
10,Clare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5904761862444444,0.9428571,0.01,-8.9811351,52.90453
11,Adare,0.01,0.44999999595,0.01,0.01,0.01,0.46666666479999996,0.01,0.34444443939259256,0.9,0.01,-8.7925892,52.56363
12,Charleville,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8857142845333332,0.9142857,0.01,-8.681017599999999,52.36206
13,Mallow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9117647004117648,0.9117647,0.01,-8.6539164,52.13898
14,Limerick,0.01,0.44999999595,0.01,0.01,0.01,0.46666666479999996,0.01,0.34444443939259256,0.9,0.01,-8.6267343,52.66384
15,Loughrea,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9117647004117648,0.9117647,0.01,-8.5660931,53.19891
16,Sligo,0.01,0.9310344804310344,0.01,0.01,0.01,0.01,0.01,0.3563218413371647,0.8965517,0.01,-8.476088800000001,54.27661
17,Cork,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9393939359494948,0.9090909,0.01,-8.4756035,51.89851
18,Nenagh,0.01,0.9310344804310344,0.01,0.01,0.01,0.4827586288965518,0.01,0.3563218413371647,0.8620690000000001,0.01,-8.19834,52.8635
19,Roscommon,0.2421652426682008,0.5,0.01,0.01,0.01,0.01,0.01,0.7654320944279835,0.8148148000000001,1.0,-8.1890955,53.62759000000001
20,Tipperary,0.01,0.44999999595,0.01,0.01,0.01,0.46666666479999996,0.01,0.34444443939259256,0.9,0.01,-8.161851400000002,52.47379
21,Donegal,0.01,0.4655172469655173,0.01,0.01,0.01,0.4827586288965518,0.01,0.01,0.9310345,0.01,-8.1096143,54.653830000000006
22,Leitrim,0.21794871643984226,0.9000000053999999,0.01,0.01,0.01,0.01,0.01,0.34444443939259256,0.8333333,0.8999999918999999,-8.0020132,54.12469
23,Athlone,0.2421652426682008,1.0,0.01,0.01,0.01,0.01,0.01,0.7654320944279835,0.7777778000000001,1.0,-7.9406898,53.42393000000001
24,Longford,0.2335164861031277,0.4821428614821428,0.01,0.01,0.01,0.01,0.01,0.7380952302222221,0.8214286,0.9642857229642856,-7.7932573,53.72763000000001
25,Offaly,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.3827160472139918,0.9259259,0.01,-7.7122229,53.23569000000001
26,Fermanagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-7.6318728,54.34383
27,Enniskillen,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-7.631533599999999,54.34382
28,Doon,0.2254641941552745,0.01,0.01,0.01,0.01,0.01,0.01,0.3563218413371647,0.8965517,0.9310344939310344,-7.60964,54.185930000000006
29,Westmeath,0.2335164861031277,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.8928571,0.9642857229642856,-7.4653217,53.53453
30,Strabane,0.01,0.4821428614821428,0.01,0.01,0.01,0.500000007,0.01,0.7380952302222221,0.8571429,0.01,-7.4633103,54.82739
31,Cavan,0.2254641941552745,0.01,0.01,0.01,0.01,0.01,0.01,0.3563218413371647,0.8965517,0.9310344939310344,-7.3633319,53.98972
32,Mullingar,0.2335164861031277,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.8928571,0.9642857229642856,-7.3401868000000015,53.52582
33,Laois,0.01,0.4821428614821428,0.01,0.01,0.09509466509701282,0.01,0.01,0.01,0.9285714,0.01,-7.3323006999999985,52.99429
34,Omagh,0.01,0.01,0.01,0.01,0.01,0.4827586288965518,0.01,0.01,0.9655172,0.01,-7.309959700000001,54.59771
35,Derry,0.01,0.9310344804310344,0.01,0.01,0.01,0.01,0.01,0.7126436723409961,0.8620690000000001,0.01,-7.308574799999999,54.99661
36,Derry,0.01,0.9310344804310344,0.01,0.01,0.01,0.01,0.01,0.7126436723409961,0.8620690000000001,0.01,-7.308574799999999,54.99661
37,Kilkenny,0.01,0.9642857094642856,0.01,0.01,0.09509466509701282,1.0,0.01,0.01,0.8214286,0.01,-7.2447879,52.65415
38,Tyrone,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-7.131232000000002,54.49121
39,Waterford,0.01,0.4821428614821428,0.01,0.01,0.09509466509701282,1.0,0.01,0.01,0.8571429,0.01,-7.110070200000001,52.25932
40,Monaghan,0.01,0.01,0.01,0.01,0.01,0.500000007,0.01,0.01,0.9642857,0.01,-6.9683132,54.2492
41,Carlow,0.01,0.4821428614821428,0.01,0.01,0.09509466509701282,0.500000007,0.01,0.01,0.8928571,0.01,-6.9341358999999985,52.83651
42,Kildare,0.2335164861031277,0.01,0.7559523948115079,0.01,0.01,0.01,0.01,0.01,0.9285714,0.01,-6.8194708,53.21204
43,Dungannon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-6.7669352,54.50827
44,Cookstown,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-6.7443895000000005,54.64182
45,Coleraine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6888888891185184,0.9333333,0.01,-6.6646103000000005,55.13258
46,Meath,0.01,0.44999999595,0.7055555557907407,0.01,0.01,0.01,0.01,0.34444443939259256,0.9,0.01,-6.656416900000001,53.60555
47,Armagh,0.01,0.01,0.01,0.01,0.01,0.5185185211111112,0.01,0.3827160472139918,0.9259259,0.01,-6.652792,54.35028000000001
48,Armagh,0.01,0.01,0.01,0.01,0.01,0.5185185211111112,0.01,0.3827160472139918,0.9259259,0.01,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-6.607980499999999,54.75536999999999
50,Louth,0.2254641941552745,0.01,0.7298850730421458,0.01,0.01,0.01,0.01,0.7126436723409961,0.8620690000000001,0.01,-6.4889423,53.925230000000006
51,Wexford,0.01,0.01,0.01,0.01,0.09509466509701282,0.500000007,0.01,0.3690476202777777,0.8928571,0.01,-6.4633381,52.33692
52,Craigavon,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.962963,0.01,-6.4175653,54.44293
53,Drogheda,0.21794871643984226,0.01,0.7055555557907407,0.01,0.01,0.01,0.01,0.6888888891185184,0.8666666999999999,0.01,-6.3560985,53.71786
54,Rosslare,0.01,0.01,0.01,0.01,0.09509466509701282,0.500000007,0.01,0.3690476202777777,0.8928571,0.01,-6.3414908,52.25131
55,Newry,0.01,0.5,0.01,0.01,0.01,0.5185185211111112,0.01,0.3827160472139918,0.8888889000000001,0.01,-6.34023,54.1751
56,Ballymena,0.2335164861031277,0.01,0.01,0.042047853957484144,0.01,0.01,0.01,0.7380952302222221,0.8571429,0.01,-6.2802213,54.86529
57,Banbridge,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.9259259,0.01,-6.2704803,54.34873
58,Dublin,0.01,0.25000000675,0.01,0.01,0.01,0.01,0.01,0.19135802877366254,0.9259259,1.0,-6.2603097000000005,53.34981
59,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-6.2072498,54.719530000000006
60,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9642857,0.01,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3690476202777777,0.9285714,0.9642857229642856,-6.044589,52.98082
62,Kilkeel,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,-6.007004,54.06312
63,Belfast,0.01,0.01,0.01,0.01,0.01,0.500000007,0.01,0.01,0.9642857,0.01,-5.93012,54.59728000000001
64,Down,0.01,0.01,0.7839506246008231,0.01,0.01,0.01,0.01,0.01,0.962963,0.01,-5.7156922,54.32875
65,Balivanich,0.052729527854552385,0.27217741527217737,0.01,0.08545208942718334,0.010736494188761068,0.01,0.01,0.1666666632222222,0.8790323,0.01,-7.3743509,57.47227
66,Western Isles,0.027357577007254084,0.22594142722594146,0.08856345091515565,0.06896551740377102,0.011140796381381149,0.01,0.01,0.21617851965783355,0.8870293,0.11297070011297068,-7.0194034,57.75989000000001
67,Dunvegan,0.052517766700054674,0.21686746971686746,0.08500668887840246,0.07565236300918825,0.010693375224921751,0.01,0.01,0.20749664936501566,0.8835341,0.01,-6.5813982000000015,57.4366
68,Stornoway,0.027588443546425985,0.2848101212848101,0.1786216706790906,0.05961214644387103,0.022469626485583632,0.01,0.01,0.17440224818612285,0.8860759,0.11392404311392405,-6.384869200000002,58.20943000000001
69,Scilly Isles,0.01,0.20454545270454547,0.08017677299515999,0.01,0.010085798297437836,0.10606061263636367,0.01,0.03914141615067339,0.9545455,0.20454546620454547,-6.327496599999999,49.92773
70,Portree,0.027357577007254084,0.2824267772824268,0.01,0.06896551740377102,0.011140796381381149,0.01,0.01,0.21617851965783355,0.8870293,0.11297070011297068,-6.1960231,57.41246999999999
71,Islay,0.026907247005868454,0.4444444489444445,0.01,0.06298526175889271,0.02191482063036916,0.05761316434567899,0.01,0.21262002967443985,0.8765431999999999,0.01,-6.177067,55.73625
