placename,boilings,bossers,bullets,candy,comfits,cooshies,da-da,dods,dud-dews,fairings,frawzies,goffs,goodie,goodies,grots,gummies,humbugs,ju-jues,jubjubs,ket(s),lollies,lollypops,losion,lozengers,munch,peppermints,peps,smackry,snag,spice,spoggs,stash,suck,suckers,sucks,swadgies,swedgers,swedgies,sweeties,sweets,taffies,toffee,toffees,treats,tuck,tuffies,tutoos,longitude,latitude
Dingle,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.047619048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.09523810,0.8095238,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,-10.2640135,52.14094
Tralee,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.047619048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.09523810,0.8095238,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.6999325,52.27131
Killarney,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.047619048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.09523810,0.8095238,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.5044265,52.05994
Bantry,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.9047619,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.4539805,51.68035
Mayo,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.071428571,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.7500000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.4289369,54.01526
Ballycastle,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.071428571,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.7500000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.3724643,54.27967
Abbeyfeale,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.047619048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.09523810,0.8095238,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.2970823,52.38618
Ennistymon,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.083333333,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.15476190,0.7261905,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.2934951,52.94037
Galway,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.083333333,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.15476190,0.7261905,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.0567905,53.27067
Claremorris,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.071428571,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.7500000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -9.0017356,53.72388
