index,placename,longitude,latitude,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not
0,Dingle,-10.264013499999999,52.14094,0.03627369053928703,0.09255919521235774,0.01,0.01,0.2976656523622469,0.01,0.04952585243552905,0.07913318654651974,0.01,0.01,0.01,0.11492877287590283,0.01
1,Tralee,-9.6999325,52.27131,0.05078340481814946,0.12547003298001724,0.01,0.01,0.3526209744474961,0.01,0.08166282256231172,0.1391990344143148,0.01,0.01,0.01,0.18974765970568197,0.01
2,Killarney,-9.5044265,52.059940000000005,0.06831927367433463,0.17471476249777512,0.01,0.01,0.474383501573047,0.01,0.14717404384621774,0.23418288766185574,0.01,0.01,0.01,0.30702139609044,0.01
3,Bantry,-9.4539805,51.68035,0.034933831200278556,0.08096081643496793,0.01,0.01,0.24256746708323806,0.01,0.06019636850365809,0.08716284875430197,0.01,0.01,0.01,0.1230158059114858,0.01
4,Mayo,-9.4289369,54.01526,0.042839758417428125,0.1309248874076258,0.01,0.01,0.3245053957179517,0.01,0.09468587421192037,0.13987916110582546,0.01,0.01,0.01,0.17109105976832445,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.015935429949443712,0.043099465117528234,0.01,0.01,0.10562014007879374,0.01,0.018854505993038156,0.010267252730122665,0.01,0.01,0.01,0.01296863075518214,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01728355166529963,0.03139479919277866,0.01,0.01,0.1200105202074492,0.01,0.01,0.01,0.01,0.01,0.01,0.01871627358563929,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01648418992437967,0.03508480121141841,0.01,0.01,0.1560818916261383,0.01,0.01,0.01,0.01,0.01,0.01,0.01993940607635711,0.01
8,Galway,-9.0567905,53.270669999999996,0.0812403393930586,0.2724227565360905,0.01,0.01,1.0,0.01,0.20832401927795344,0.30450071289618474,0.018231417489058023,0.01,0.01,0.42831497600550267,0.01
9,Claremorris,-9.0017356,53.72388,0.05706231889867024,0.18008203932492794,0.01,0.01,0.43223933483771854,0.01,0.1388465529753442,0.20514773248373502,0.012805545725851639,0.01,0.01,0.2796744330521688,0.01
10,Clare,-8.9811351,52.90453,0.055849169249994314,0.17588906253296752,0.01,0.01,0.7932185920852642,0.01,0.11526762562005445,0.19806660130599613,0.01,0.01,0.01,0.2773087457241397,0.01
11,Adare,-8.7925892,52.56363,0.032488284964657416,0.07409316466001804,0.01,0.01,0.22558651131481777,0.01,0.045707722769056186,0.07104635190359877,0.01,0.01,0.01,0.10492962895542236,0.01
12,Charleville,-8.681017599999999,52.36206,0.015782097692505,0.027178374272345627,0.01,0.01,0.10958498601292777,0.01,0.01030116640136263,0.01,0.01,0.01,0.01,0.018426522115397397,0.01
13,Mallow,-8.6539164,52.13898,0.04197074269392253,0.10072207072525069,0.01,0.01,0.2649355959757947,0.01,0.07656308370123427,0.11498540375062377,0.01,0.01,0.01,0.15611847983436944,0.01
14,Limerick,-8.6267343,52.66384,0.08423820017658924,0.21941874321721497,0.01,0.01,0.5849185773910505,0.01,0.174176888266239,0.30370762314987776,0.01,0.01,0.01,0.3980175259280594,0.01
15,Loughrea,-8.5660931,53.19891,0.013490274435449982,0.022199480789795674,0.01,0.01,0.16605389110836932,0.01,0.011264706272731562,0.01,0.01,0.01,0.01,0.019114182398288278,0.01
16,Sligo,-8.476088800000001,54.27661,0.12380201504048395,0.2569785821333132,0.01,0.01,0.4102802940215838,0.01,0.1611597592402904,0.2816622106453885,0.013891412410383611,0.01,0.01,0.2576009049075992,0.01
17,Cork,-8.4756035,51.898509999999995,0.03620389152307607,0.2722236682783915,0.01,0.01,0.5484791724906912,0.01,0.2470578929811195,0.40814345533657864,0.01,0.01,0.01,0.5000392631234669,0.01
18,Nenagh,-8.19834,52.8635,0.044149083710268426,0.10207085556803318,0.01,0.01,0.45983209319974044,0.01,0.09242014938021868,0.15957396548531771,0.01,0.01,0.01,0.21009927530003006,0.01
19,Roscommon,-8.1890955,53.627590000000005,0.05264498361526772,0.130697771944459,0.01,0.01,0.4486259626543154,0.01,0.10129624240366181,0.1542670279672038,0.011814237192725258,0.01,0.01,0.22775836431219101,0.01
