,placename,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not,longitude,latitude
0,Dingle,0.09090909412626262,0.4013922349504721,0.01,0.01,0.6311688267211949,0.01,0.06989362378423902,0.048100519045863266,0.01,0.01,0.01,0.9615811203580992,0.01,-10.264013499999999,52.14094
1,Tralee,0.0905858944814878,0.3667846976042219,0.01,0.01,0.5321672366037237,0.01,0.06902000659836115,0.05279329873027578,0.01,0.01,0.01,0.9627288247583324,0.01,-9.6999325,52.27131
2,Killarney,0.08339879334080763,0.33278786891627904,0.01,0.01,0.4899450034951015,0.01,0.08932791366141993,0.05287460646112832,0.01,0.01,0.01,0.9469699458039088,0.01,-9.5044265,52.05994000000001
3,Bantry,0.08339879334080763,0.33278786891627904,0.01,0.01,0.4899450034951015,0.01,0.08932791366141993,0.05287460646112832,0.01,0.01,0.01,0.9469699458039088,0.01,-9.4539805,51.68035
4,Mayo,0.07965088351475423,0.40200604177023175,0.01,0.01,0.5104659014026469,0.01,0.10893458804977964,0.09644987756568434,0.030618412421059744,0.01,0.01,0.8783964220649513,0.01,-9.4289369,54.01526
5,Ballycastle,0.08352017015204284,0.4701176996943914,0.01,0.01,0.4683554239934124,0.01,0.1418685679788001,0.14639059855726064,0.03210579537596247,0.01,0.01,0.7946136189163074,0.01,-9.3724643,54.279669999999996
6,Abbeyfeale,0.0905858944814878,0.3667846976042219,0.01,0.01,0.5321672366037237,0.01,0.06902000659836115,0.05279329873027578,0.01,0.01,0.01,0.9627288247583324,0.01,-9.2970823,52.386179999999996
7,Ennistymon,0.08639631008831622,0.3993613630773109,0.01,0.01,0.6921198975471831,0.01,0.07169087394374528,0.01,0.022140936741161143,0.01,0.01,0.9985047378612596,0.01,-9.2934951,52.940369999999994
8,Galway,0.07592824135539332,0.3941472037099564,0.01,0.01,0.7907384224667535,0.01,0.09692764265354474,0.01,0.029187400185534836,0.01,0.01,0.9783872557070123,0.01,-9.0567905,53.270669999999996
9,Claremorris,0.07539711075485038,0.3772411547529173,0.01,0.01,0.4832043147520404,0.01,0.09774966588361204,0.031834812944947236,0.028983227327062083,0.01,0.01,0.9566969793031272,0.01,-9.0017356,53.72388
10,Clare,0.07510906643233371,0.3755642227158712,0.01,0.01,0.9025468641940432,0.01,0.06392531590776812,0.02372294863431375,0.01,0.01,0.01,0.98482356670626,0.01,-8.9811351,52.90453
11,Adare,0.08624424403260522,0.3462475879731443,0.01,0.01,0.5066612520434963,0.01,0.07207699906244679,0.04855357328568327,0.01,0.01,0.01,0.9662338108751196,0.01,-8.7925892,52.56363
12,Charleville,0.08271653095122135,0.3295605813485952,0.01,0.01,0.485936891857066,0.01,0.08715866096405757,0.048017698613041344,0.01,0.01,0.01,0.9542537629808996,0.01,-8.681017599999999,52.36206
13,Mallow,0.08530868920942666,0.3418221695193111,0.01,0.01,0.4556046600232865,0.01,0.09052295107553572,0.058005313365667326,0.01,0.01,0.01,0.9412673253713326,0.01,-8.6539164,52.13898
14,Limerick,0.08339879334080763,0.33278786891627904,0.01,0.01,0.4899450034951015,0.01,0.07184460369913691,0.05138913312722762,0.01,0.01,0.01,0.9649715270006528,0.01,-8.6267343,52.66384
15,Loughrea,0.0707047139500537,0.2856051182925171,0.01,0.01,0.7363391159848618,0.01,0.09332177143133004,0.01489595446767081,0.02717943613482847,0.01,0.01,0.9743674258193384,0.01,-8.5660931,53.19891
16,Sligo,0.1574413943720512,0.5254876471358209,0.01,0.01,0.44144144236090094,0.01,0.1221115225004074,0.24954288037363745,0.030260840292195636,0.01,0.01,0.7033942259583612,0.01,-8.476088800000001,54.27661
17,Cork,0.028892819540645983,0.3272752971102065,0.01,0.01,0.3703360933305582,0.01,0.09479978651837392,0.08318083406604843,0.01,0.01,0.01,0.9184404205830564,0.01,-8.4756035,51.898509999999995
18,Nenagh,0.07263977839647623,0.26867936008394616,0.01,0.01,0.6401081033122076,0.01,0.07161682144246424,0.06583657146098659,0.01,0.01,0.01,0.9492875066360608,0.01,-8.19834,52.8635
19,Roscommon,0.08308226096270631,0.3312905761608359,0.01,0.01,0.5990139620574035,0.01,0.07861021017273376,0.01,0.03193745917633852,0.01,0.01,1.0,0.01,-8.1890955,53.62759000000001
20,Tipperary,0.030555955764568318,0.2940747886285144,0.01,0.01,0.39165347881373896,0.01,0.08504695070211686,0.09874313375121728,0.01,0.01,0.01,0.9127622437716508,0.01,-8.161851400000002,52.47379
