index,placename,longitude,latitude,coalescence,no coalescence,yod-dropping
0,Dingle,-10.264013499999999,52.14094,0.025979855583166227,0.0443094653015611,0.15552020825373414
1,Tralee,-9.6999325,52.27131,0.03650173915727878,0.062254870488351086,0.21850614439295654
2,Killarney,-9.5044265,52.059940000000005,0.05333788524882357,0.09096945008511728,0.3192904208091779
3,Bantry,-9.4539805,51.68035,0.02727336781629473,0.046515591322064835,0.16326341110684178
4,Mayo,-9.4289369,54.01526,0.01,0.29863349080910795,0.03225117043696449
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.10593866856313143,0.01144093399048343
6,Abbeyfeale,-9.2970823,52.386179999999996,0.012422949915572589,0.021187733952753935,0.0743660699656629
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.056500623874010496,0.05148420198469605
8,Galway,-9.0567905,53.270669999999996,0.01,0.43566423393359455,0.1924769409051661
9,Claremorris,-9.0017356,53.72388,0.01,0.4202200866528811,0.04538201525541929
10,Clare,-8.9811351,52.90453,0.01,0.220193848295788,0.200643882919362
11,Adare,-8.7925892,52.56363,0.024527257201312366,0.06972002137226439,0.12423627278381769
12,Charleville,-8.681017599999999,52.36206,0.012422949915572589,0.028250311937005248,0.06864560297042119
13,Mallow,-8.6539164,52.13898,0.03203359677672277,0.05463431235476531,0.19175901982534882
14,Limerick,-8.6267343,52.66384,0.01,0.2617207723805273,0.3028366085218388
15,Loughrea,-8.5660931,53.19891,0.012422949915572589,0.07062577864187487,0.03432280197145029
16,Sligo,-8.476088800000001,54.27661,0.01,0.4366071879886343,0.04715175379584648
17,Cork,-8.4756035,51.898509999999995,0.0815863772294415,0.1391481465074194,0.488391105053406
18,Nenagh,-8.19834,52.8635,0.01,0.20247925129448427,0.14577942737531807
19,Roscommon,-8.1890955,53.627590000000005,0.01,0.3518283110082717,0.037995988970072524
20,Tipperary,-8.161851400000002,52.47379,0.05018653229756804,0.14265786327706717,0.2542064799753039
21,Donegal,-8.1096143,54.653830000000006,0.01,0.47050393294745096,0.050812460757959824
22,Leitrim,-8.0020132,54.12469,0.01,0.3148850975289564,0.034006276124462165
23,Athlone,-7.9406898,53.423930000000006,0.038174630918537435,0.3038375176724402,0.03515698247342762
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.34399802630275045,0.03715035090743089
25,Offaly,-7.7122229,53.235690000000005,0.048817175996877196,0.36079002440515845,0.06743737501693955
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.26716191313901616,0.028852371418782365
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.32741934252813304,0.0353599222633191
28,Doon,-7.60964,54.185930000000006,0.01,0.2131853213015657,0.023023124812048504
29,Westmeath,-7.4653217000000005,53.534530000000004,0.03853018672255381,0.3066674387558134,0.035484432113918024
30,Strabane,-7.4633103,54.82739,0.01,0.33989931850741334,0.0367077075745596
31,Cavan,-7.3633319,53.98972,0.01,0.3758389391053364,0.04058903657822573
32,Mullingar,-7.340186800000001,53.525819999999996,0.0378053128032264,0.3008980603237359,0.03481685841211537
33,Laois,-7.332300699999999,52.99429,0.04753215501439241,0.29724783848138286,0.10943702012019754
34,Omagh,-7.309959700000001,54.59771,0.01,0.3582110380985146,0.038685296852729395
35,Derry,-7.308574799999999,54.99661,0.01,0.5187773907796747,0.056025792698428105
36,Derry,-7.308574799999999,54.99661,0.01,0.5187773907796747,0.056025792698428105
37,Kilkenny,-7.2447879,52.65415,0.053655782199351805,0.274534894977233,0.1729503002771995
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.275526834518526,0.0297557480105084
39,Waterford,-7.110070200000001,52.25932,0.05919300756679595,0.13460739515300726,0.32708331947485986
40,Monaghan,-6.9683132,54.2492,0.01,0.364016955530835,0.03931231170007751
41,Carlow,-6.934135899999999,52.83651,0.09893308356977128,0.30934475026966585,0.09111256877707245
42,Kildare,-6.8194707999999995,53.21204,0.12017261681637813,0.44407609072661586,0.05533657407474426
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.28256688507377214,0.030516044083554086
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.33643023185828286,0.03633306069728346
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.4572533259309986,0.04938145051151024
46,Meath,-6.656416900000001,53.60555,0.01,0.4570700335180212,0.04936165569601676
47,Armagh,-6.652792,54.350280000000005,0.01,0.36201927455068816,0.03909657049303861
48,Armagh,-6.652792,54.350280000000005,0.01,0.36201927455068816,0.03909657049303861
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.35690485548704587,0.038544234583021655
50,Louth,-6.4889423,53.925230000000006,0.01,0.46026579555171887,0.04970678465575104
51,Wexford,-6.4633381,52.33692,0.056360574452802494,0.2563326456375064,0.20762141564200925
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.4067126875122402,0.04392327253147149
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.35885704957927256,0.03875506339603876
54,Rosslare,-6.3414908,52.25131,0.012422949915572589,0.04943804588975918,0.05148420198469605
55,Newry,-6.34023,54.1751,0.01,0.4063218048219847,0.04388105883256541
56,Ballymena,-6.2802213,54.86529,0.01,0.3946011454188286,0.042615276541970205
57,Banbridge,-6.2704803,54.34873,0.01,0.34606931904526333,0.03737404187753154
58,Dublin,-6.2603097000000005,53.34981,0.11084807363473714,0.8822561665054797,0.10208569639627507
59,Antrim,-6.2072498,54.719530000000006,0.01,0.4258850255764516,0.045993805012301756
60,Antrim,-6.2072498,54.719530000000006,0.01,0.4258850255764516,0.045993805012301756
61,Wicklow,-6.044589,52.980819999999994,0.1073401085081814,0.42716787734520073,0.024713757688783797
62,Kilkeel,-6.007004,54.06312,0.01,0.25255307194976173,0.027274677551277198
63,Belfast,-5.93012,54.597280000000005,0.01,0.7758083187777896,0.08378406001124329
64,Down,-5.7156921999999994,54.32875,0.01,0.4307222652098054,0.04651620670086339
65,Balivanich,-7.3743509000000005,57.472269999999995,0.014270222132228784,0.12980434602159294,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.029381304780955773,0.26725730104366685,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.012422949915572589,0.11300124654738275,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.03879502393843344,0.3528860773545568,0.01
