,placename,coalescence,no_coalescence,yod-dropping,longitude,latitude
0,Dingle,0.0625000006640625,0.17647059,0.76470588,-10.264013499999999,52.14094
1,Tralee,0.0625000006640625,0.17647059,0.76470588,-9.6999325,52.27131
2,Killarney,0.0625000006640625,0.17647059,0.76470588,-9.5044265,52.05994000000001
3,Bantry,0.0625000006640625,0.17647059,0.76470588,-9.4539805,51.68035
4,Mayo,0.01,0.88235294,0.11764706,-9.4289369,54.01526
5,Ballycastle,0.01,0.88235294,0.11764706,-9.3724643,54.279669999999996
6,Abbeyfeale,0.0625000006640625,0.17647059,0.76470588,-9.2970823,52.386179999999996
7,Ennistymon,0.01,0.47058824,0.52941176,-9.2934951,52.940369999999994
8,Galway,0.01,0.64705882,0.35294118,-9.0567905,53.270669999999996
9,Claremorris,0.01,0.88235294,0.11764706,-9.0017356,53.72388
10,Clare,0.01,0.47058824,0.52941176,-8.9811351,52.90453
11,Adare,0.0625000006640625,0.29411765,0.64705882,-8.7925892,52.56363
12,Charleville,0.0625000006640625,0.23529412,0.70588235,-8.681017599999999,52.36206
13,Mallow,0.0625000006640625,0.17647059,0.76470588,-8.6539164,52.13898
14,Limerick,0.01,0.41176471,0.58823529,-8.6267343,52.66384
15,Loughrea,0.0625000006640625,0.58823529,0.35294118,-8.5660931,53.19891
16,Sligo,0.01,0.88235294,0.11764706,-8.476088800000001,54.27661
17,Cork,0.0625000006640625,0.17647059,0.76470588,-8.4756035,51.898509999999995
18,Nenagh,0.01,0.52941176,0.47058824,-8.19834,52.8635
19,Roscommon,0.01,0.88235294,0.11764706,-8.1890955,53.62759000000001
20,Tipperary,0.0625000006640625,0.29411765,0.64705882,-8.161851400000002,52.47379
21,Donegal,0.01,0.88235294,0.11764706,-8.1096143,54.653830000000006
22,Leitrim,0.01,0.88235294,0.11764706,-8.0020132,54.12469
23,Athlone,0.0625000006640625,0.82352941,0.11764706,-7.9406898,53.42393000000001
24,Longford,0.01,0.88235294,0.11764706,-7.7932573000000005,53.72763000000001
25,Offaly,0.0625000006640625,0.76470588,0.17647059,-7.7122229,53.23569000000001
26,Fermanagh,0.01,0.88235294,0.11764706,-7.6318728,54.343830000000004
27,Enniskillen,0.01,0.88235294,0.11764706,-7.631533599999999,54.343819999999994
28,Doon,0.01,0.88235294,0.11764706,-7.60964,54.185930000000006
29,Westmeath,0.0625000006640625,0.82352941,0.11764706,-7.4653217000000005,53.534530000000004
30,Strabane,0.01,0.88235294,0.11764706,-7.4633103,54.82739
31,Cavan,0.01,0.88235294,0.11764706,-7.3633319,53.98972
32,Mullingar,0.0625000006640625,0.82352941,0.11764706,-7.3401868000000015,53.525819999999996
33,Laois,0.0625000006640625,0.64705882,0.29411765,-7.3323006999999985,52.99429
34,Omagh,0.01,0.88235294,0.11764706,-7.309959700000001,54.59771
35,Derry,0.01,0.88235294,0.11764706,-7.308574799999999,54.99661
36,Derry,0.01,0.88235294,0.11764706,-7.308574799999999,54.99661
37,Kilkenny,0.0625000006640625,0.52941176,0.41176471,-7.2447879,52.65415
38,Tyrone,0.01,0.88235294,0.11764706,-7.1312320000000025,54.491209999999995
39,Waterford,0.0625000006640625,0.23529412,0.70588235,-7.110070200000001,52.25932
40,Monaghan,0.01,0.88235294,0.11764706,-6.9683132,54.2492
41,Carlow,0.125000001328125,0.64705882,0.23529412,-6.934135899999999,52.83651
42,Kildare,0.125000001328125,0.76470588,0.11764706,-6.8194707999999995,53.21204
43,Dungannon,0.01,0.88235294,0.11764706,-6.7669352,54.508269999999996
44,Cookstown,0.01,0.88235294,0.11764706,-6.7443895000000005,54.641819999999996
45,Coleraine,0.01,0.88235294,0.11764706,-6.6646103000000005,55.132580000000004
46,Meath,0.01,0.88235294,0.11764706,-6.656416900000001,53.60555
47,Armagh,0.01,0.88235294,0.11764706,-6.652792,54.35028000000001
48,Armagh,0.01,0.88235294,0.11764706,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.88235294,0.11764706,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.88235294,0.11764706,-6.4889423,53.925230000000006
51,Wexford,0.0625000006640625,0.47058824,0.47058824,-6.4633381,52.33692
52,Craigavon,0.01,0.88235294,0.11764706,-6.4175653,54.442930000000004
