placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
Dingle,0.1204273310,0.0206070732,0.8589656,-10.2640135,52.14094
Tralee,0.1204273310,0.0206070732,0.8589656, -9.6999325,52.27131
Killarney,0.1204273310,0.0206070732,0.8589656, -9.5044265,52.05994
Bantry,0.1301396526,0.0206802589,0.8491801, -9.4539805,51.68035
Mayo,0.0578072914,0.0239871598,0.9182055, -9.4289369,54.01526
Ballycastle,0.0551690501,0.0242946276,0.9205363, -9.3724643,54.27967
Abbeyfeale,0.1204273310,0.0206070732,0.8589656, -9.2970823,52.38618
Ennistymon,0.0890346767,0.0224260276,0.8885393, -9.2934951,52.94037
Galway,0.0726406894,0.0248686647,0.9024906, -9.0567905,53.27067
Claremorris,0.0666696597,0.0242435126,0.9090868, -9.0017356,53.72388
Clare,0.0885398807,0.0219463686,0.8895138, -8.9811351,52.90453
Adare,0.1201665524,0.0206667174,0.8591667, -8.7925892,52.56363
Charleville,0.1334196146,0.0227782571,0.8438021, -8.6810176,52.36206
Mallow,0.1420191825,0.0218775596,0.8361033, -8.6539164,52.13898
Limerick,0.1166775575,0.0202328227,0.8630896, -8.6267343,52.66384
Loughrea,0.0755358285,0.0251119642,0.8993522, -8.5660931,53.19891
Sligo,0.0493938880,0.0270535226,0.9235526, -8.4760888,54.27661
Cork,0.1420191825,0.0218775596,0.8361033, -8.4756035,51.89851
Nenagh,0.0807190694,0.0249872714,0.8942937, -8.1983400,52.86350
Roscommon,0.0668952475,0.0262455595,0.9068592, -8.1890955,53.62759
Tipperary,0.1399953533,0.0229238196,0.8370808, -8.1618514,52.47379
Donegal,0.0225451426,0.0236436298,0.9538112, -8.1096143,54.65383
Leitrim,0.0536807783,0.0296901095,0.9166291, -8.0020132,54.12469
Athlone,0.0728451187,0.0249542916,0.9022006, -7.9406898,53.42393
Longford,0.0730402254,0.0265170348,0.9004427, -7.7932573,53.72763
Offaly,0.0888171585,0.0296395546,0.8815433, -7.7122229,53.23569
Fermanagh,0.0321333565,0.0228724859,0.9449942, -7.6318728,54.34383
Enniskillen,0.0321333565,0.0228724859,0.9449942, -7.6315336,54.34382
Doon,0.0435122106,0.0271031845,0.9293846, -7.6096400,54.18593
Westmeath,0.0815674036,0.0267344667,0.8916981, -7.4653217,53.53453
Strabane,0.0122608830,0.0204744843,0.9672646, -7.4633103,54.82739
Balivanich,0.0041082223,0.0000000000,0.9958918, -7.3743509,57.47227
Cavan,0.0640814017,0.0251727309,0.9107459, -7.3633319,53.98972
Mullingar,0.0809889173,0.0241725749,0.8948385, -7.3401868,53.52582
Laois,0.0859135521,0.0269036437,0.8871828, -7.3323007,52.99430
Omagh,0.0145299966,0.0228156972,0.9626543, -7.3099597,54.59771
Derry,0.0140620384,0.0207976366,0.9651403, -7.3085748,54.99661
