placename,aint,amnt,arent,ent,int,longitude,latitude
Dingle,0.13513514,0.148648649,0.7162162,0.0000000000,0.000000000,-10.2640135,52.14094
Tralee,0.13513514,0.148648649,0.7162162,0.0000000000,0.000000000, -9.6999325,52.27131
Killarney,0.12727273,0.150000000,0.7227273,0.0000000000,0.000000000, -9.5044265,52.05994
Bantry,0.11782477,0.134441088,0.7477341,0.0000000000,0.000000000, -9.4539805,51.68035
Mayo,0.16297787,0.167002012,0.6700201,0.0000000000,0.000000000, -9.4289369,54.01526
Ballycastle,0.17685590,0.168122271,0.6550218,0.0000000000,0.000000000, -9.3724643,54.27967
Abbeyfeale,0.13513514,0.148648649,0.7162162,0.0000000000,0.000000000, -9.2970823,52.38618
Ennistymon,0.13513514,0.148648649,0.7162162,0.0000000000,0.000000000, -9.2934951,52.94037
Galway,0.10153846,0.178461538,0.7200000,0.0000000000,0.000000000, -9.0567905,53.27067
Claremorris,0.15274949,0.175152749,0.6720978,0.0000000000,0.000000000, -9.0017356,53.72388
Clare,0.13513514,0.148648649,0.7162162,0.0000000000,0.000000000, -8.9811351,52.90453
Adare,0.12727273,0.150000000,0.7227273,0.0000000000,0.000000000, -8.7925892,52.56363
Charleville,0.11926606,0.142201835,0.7385321,0.0000000000,0.000000000, -8.6810176,52.36206
Mallow,0.12000000,0.136923077,0.7430769,0.0000000000,0.000000000, -8.6539164,52.13898
Limerick,0.12727273,0.150000000,0.7227273,0.0000000000,0.000000000, -8.6267343,52.66384
Loughrea,0.10185185,0.152777778,0.7453704,0.0000000000,0.000000000, -8.5660931,53.19891
Sligo,0.14928910,0.154028436,0.6966825,0.0000000000,0.000000000, -8.4760888,54.27661
Cork,0.10876133,0.134441088,0.7567976,0.0000000000,0.000000000, -8.4756035,51.89851
Nenagh,0.11009174,0.142201835,0.7477064,0.0000000000,0.000000000, -8.1983400,52.86350
Roscommon,0.16490486,0.219873150,0.6152220,0.0000000000,0.000000000, -8.1890955,53.62759
Tipperary,0.10876133,0.134441088,0.7567976,0.0000000000,0.000000000, -8.1618514,52.47379
Donegal,0.10178571,0.073214286,0.8250000,0.0000000000,0.000000000, -8.1096143,54.65383
Leitrim,0.14125561,0.172645740,0.6860987,0.0000000000,0.000000000, -8.0020132,54.12469
Athlone,0.13114754,0.259016393,0.6098361,0.0000000000,0.000000000, -7.9406898,53.42393
Longford,0.12385321,0.277522936,0.5986239,0.0000000000,0.000000000, -7.7932573,53.72763
Offaly,0.11473566,0.264341957,0.6209224,0.0000000000,0.000000000, -7.7122229,53.23569
Fermanagh,0.09107143,0.073214286,0.8357143,0.0000000000,0.000000000, -7.6318728,54.34383
Enniskillen,0.09107143,0.073214286,0.8357143,0.0000000000,0.000000000, -7.6315336,54.34382
Doon,0.09058615,0.083481350,0.8259325,0.0000000000,0.000000000, -7.6096400,54.18593
Westmeath,0.10895884,0.240920097,0.6501211,0.0000000000,0.000000000, -7.4653217,53.53453
Strabane,0.10288809,0.052346570,0.8447653,0.0000000000,0.000000000, -7.4633103,54.82739
Balivanich,0.27178602,0.020707506,0.7075065,0.0000000000,0.000000000, -7.3743509,57.47227
Cavan,0.10306748,0.260122699,0.6368098,0.0000000000,0.000000000, -7.3633319,53.98972
Mullingar,0.09512195,0.242682927,0.6621951,0.0000000000,0.000000000, -7.3401868,53.52582
Laois,0.11434978,0.223094170,0.6625561,0.0000000000,0.000000000, -7.3323007,52.99430
Omagh,0.10288809,0.052346570,0.8447653,0.0000000000,0.000000000, -7.3099597,54.59771
Derry,0.10288809,0.052346570,0.8447653,0.0000000000,0.000000000, -7.3085748,54.99661
Derry,0.10288809,0.052346570,0.8447653,0.0000000000,0.000000000, -7.3085748,54.99661
Kilkenny,0.10139165,0.209741551,0.6888668,0.0000000000,0.000000000, -7.2447879,52.65415
Tyrone,0.09306569,0.052919708,0.8540146,0.0000000000,0.000000000, -7.1312320,54.49121
Waterford,0.09788868,0.208253359,0.6938580,0.0000000000,0.000000000, -7.1100702,52.25932
Western Isles,0.28360798,0.020815265,0.6955768,0.0000000000,0.000000000, -7.0194034,57.75989
Monaghan,0.08166969,0.063520871,0.8548094,0.0000000000,0.000000000, -6.9683132,54.24920
Carlow,0.11751904,0.216539717,0.6659412,0.0000000000,0.000000000, -6.9341359,52.83651
Kildare,0.10262258,0.220068415,0.6773090,0.0000000000,0.000000000, -6.8194708,53.21204
Dungannon,0.08302583,0.042435424,0.8745387,0.0000000000,0.000000000, -6.7669352,54.50827
Cookstown,0.08302583,0.042435424,0.8745387,0.0000000000,0.000000000, -6.7443895,54.64182
Coleraine,0.08348794,0.042671614,0.8738404,0.0000000000,0.000000000, -6.6646103,55.13258
Meath,0.09512195,0.242682927,0.6621951,0.0000000000,0.000000000, -6.6564169,53.60555
Armagh,0.08092486,0.063583815,0.8554913,0.0000000000,0.000000000, -6.6527920,54.35028
Armagh,0.08092486,0.063583815,0.8554913,0.0000000000,0.000000000, -6.6527920,54.35028
Magherafelt,0.08302583,0.042435424,0.8745387,0.0000000000,0.000000000, -6.6079805,54.75537
Dunvegan,0.28360798,0.020815265,0.6955768,0.0000000000,0.000000000, -6.5813982,57.43660
Louth,0.09249743,0.204522097,0.7029805,0.0000000000,0.000000000, -6.4889423,53.92523
Wexford,0.10292634,0.200807265,0.6962664,0.0000000000,0.000000000, -6.4633381,52.33692
Craigavon,0.08333333,0.044444444,0.8722222,0.0000000000,0.000000000, -6.4175653,54.44293
Stornoway,0.32758621,0.017241379,0.6379310,0.0172413793,0.000000000, -6.3848692,58.20943
Drogheda,0.10396040,0.246287129,0.6497525,0.0000000000,0.000000000, -6.3560985,53.71786
Rosslare,0.11512415,0.204288939,0.6805869,0.0000000000,0.000000000, -6.3414908,52.25131
Newry,0.08414239,0.187702265,0.7281553,0.0000000000,0.000000000, -6.3402300,54.17510
Scilly Isles,0.24508321,0.000000000,0.7276853,0.0272314675,0.000000000, -6.3274966,49.92773
Ballymena,0.08348794,0.042671614,0.8738404,0.0000000000,0.000000000, -6.2802213,54.86529
Banbridge,0.08139535,0.046511628,0.8720930,0.0000000000,0.000000000, -6.2704803,54.34873
Dublin,0.08780488,0.242682927,0.6695122,0.0000000000,0.000000000, -6.2603097,53.34981
Antrim,0.08196721,0.038251366,0.8797814,0.0000000000,0.000000000, -6.2072498,54.71953
Antrim,0.08196721,0.038251366,0.8797814,0.0000000000,0.000000000, -6.2072498,54.71953
Portree,0.27320035,0.020815265,0.7059844,0.0000000000,0.000000000, -6.1960231,57.41247
Islay,0.25809436,0.033302498,0.7086031,0.0000000000,0.000000000, -6.1770670,55.73625
Wicklow,0.10872027,0.218573046,0.6727067,0.0000000000,0.000000000, -6.0445890,52.98082
Kilkeel,0.08396125,0.189451023,0.7265877,0.0000000000,0.000000000, -6.0070040,54.06312
Mull,0.29302326,0.033488372,0.6734884,0.0000000000,0.000000000, -6.0008870,56.43920
Belfast,0.08045977,0.034482759,0.8850575,0.0000000000,0.000000000, -5.9301200,54.59728
Broadford,0.27178602,0.020707506,0.7075065,0.0000000000,0.000000000, -5.9096592,57.24139
Down,0.07216495,0.082474227,0.8453608,0.0000000000,0.000000000, -5.7156922,54.32875
Kyle of Lochalsh,0.27462947,0.020924150,0.7044464,0.0000000000,0.000000000, -5.7143293,57.28261
Campbeltown,0.16455696,0.025316456,0.8101266,0.0000000000,0.000000000, -5.6053740,55.42412
Penzance,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.5375920,50.11880
Oban,0.28186047,0.033488372,0.6846512,0.0000000000,0.000000000, -5.4710470,56.41516
Lochgilphead,0.29302326,0.033488372,0.6734884,0.0000000000,0.000000000, -5.4323449,56.03829
Helston,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.2749960,50.10159
Redruth,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.2266660,50.23302
Ullapool,0.30088496,0.035398230,0.6460177,0.0176991150,0.000000000, -5.1613130,57.89542
Ballachulish,0.31186753,0.022079117,0.6660534,0.0000000000,0.000000000, -5.1337200,56.67393
Fort William,0.29249353,0.020707506,0.6867990,0.0000000000,0.000000000, -5.1052179,56.81982
Achnasheen,0.31858407,0.017699115,0.6460177,0.0176991150,0.000000000, -5.0787658,57.57859
Newquay,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.0737190,50.41550
Falmouth,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.0662700,50.15257
Rothesay,0.29139685,0.033302498,0.6753006,0.0000000000,0.000000000, -5.0557930,55.83596
Truro,0.23388306,0.000000000,0.7391304,0.0269865067,0.000000000, -5.0510410,50.26320
Milford Haven,0.33574007,0.000000000,0.6642599,0.0000000000,0.000000000, -5.0426971,51.71431
Stranraer,0.12658228,0.025316456,0.8481013,0.0000000000,0.000000000, -5.0240550,54.90337
Fishguard,0.35686275,0.000000000,0.6431373,0.0000000000,0.000000000, -4.9759890,51.99393
Inchnadamph,0.29059829,0.034188034,0.6581197,0.0170940171,0.000000000, -4.9742950,58.15221
Haverfordwest,0.35408560,0.000000000,0.6459144,0.0000000000,0.000000000, -4.9713190,51.80047
Dunoon,0.30082797,0.033118675,0.6660534,0.0000000000,0.000000000, -4.9262140,55.95097
Pembroke,0.33807829,0.000000000,0.6619217,0.0000000000,0.000000000, -4.9086370,51.67404
Girvan,0.28029602,0.033302498,0.6864015,0.0000000000,0.000000000, -4.8542179,55.24016
Wadebridge,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.8364560,50.51665
Invergarry,0.27782498,0.030586236,0.6915888,0.0000000000,0.000000000, -4.8002610,57.07095
St Austell,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.7834252,50.34038
Greenock,0.31186753,0.033118675,0.6550138,0.0000000000,0.000000000, -4.7719830,55.95648
Helensburgh,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.7340140,56.00232
Bodmin,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.7188629,50.47150
Tenby,0.40740741,0.000000000,0.5925926,0.0000000000,0.000000000, -4.7035790,51.67274
Camelford,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.6823640,50.62206
Irvine,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.6696364,55.61157
Cardigan,0.36329588,0.000000000,0.6367041,0.0000000000,0.000000000, -4.6608640,52.08370
Holyhead,0.12750000,0.010000000,0.8625000,0.0000000000,0.000000000, -4.6330380,53.30944
Ayr,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.6291790,55.45856
Dumbarton,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.5645540,55.94529
Bude,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.5436780,50.82664
Isle of Man,0.09661836,0.009661836,0.8937198,0.0000000000,0.000000000, -4.5126331,54.27697
Kilmarnock,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.4987920,55.61472
Newton Stewart,0.19819820,0.018018018,0.7837838,0.0000000000,0.000000000, -4.4831640,54.96030
Liskeard,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.4647190,50.45552
Altnaharra,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.4426550,58.28023
Pwllheli,0.15037594,0.000000000,0.8496241,0.0000000000,0.000000000, -4.4176339,52.88882
Lairg,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.4024140,58.02206
Launceston,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.3604516,50.63683
Carmarthen,0.38289963,0.000000000,0.6171004,0.0000000000,0.000000000, -4.3121310,51.85762
Llangefni,0.09259259,0.000000000,0.9074074,0.0000000000,0.000000000, -4.3114020,53.25579
Caernarfon,0.14765101,0.000000000,0.8523490,0.0000000000,0.000000000, -4.2739110,53.13955
Cumnock,0.31534884,0.033488372,0.6511628,0.0000000000,0.000000000, -4.2658289,55.45355
Aberaeron,0.37451737,0.000000000,0.6177606,0.0077220077,0.000000000, -4.2581619,52.24279
Alness,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.2568250,57.69595
Glasgow,0.31186753,0.022079117,0.6660534,0.0000000000,0.000000000, -4.2518060,55.86424
Dalwhinnie,0.31858407,0.035398230,0.6460177,0.0000000000,0.000000000, -4.2427830,56.93660
Inverness,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.2247210,57.47777
Saltash,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.2164300,50.40921
Bideford,0.28915663,0.000000000,0.6976999,0.0131434830,0.000000000, -4.2066660,51.01668
Invergordon,0.26666667,0.033333333,0.6833333,0.0166666667,0.000000000, -4.1728820,57.68811
Llanelli,0.42127660,0.000000000,0.5787234,0.0000000000,0.000000000, -4.1602480,51.68089
Plymouth,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.1426565,50.37546
Tavistock,0.24508321,0.000000000,0.7367625,0.0181543116,0.000000000, -4.1416540,50.55112
Porthmadog,0.16129032,0.000000000,0.8387097,0.0000000000,0.000000000, -4.1333840,52.92784
Bangor,0.09259259,0.000000000,0.9074074,0.0000000000,0.000000000, -4.1292630,53.22739
Tywyn,0.20945946,0.000000000,0.7905405,0.0000000000,0.000000000, -4.0872490,52.58701
Aberystwyth,0.36046512,0.000000000,0.6317829,0.0077519380,0.000000000, -4.0829200,52.41530
Lampeter,0.39299611,0.000000000,0.5992218,0.0077821012,0.000000000, -4.0785090,52.11290
Barnstaple,0.30985915,0.000000000,0.6901408,0.0000000000,0.000000000, -4.0583380,51.07816
Tain,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.0552300,57.81150
Okehampton,0.23491028,0.000000000,0.7455139,0.0195758564,0.000000000, -4.0042630,50.73831
Llandeilo,0.43347639,0.000000000,0.5665236,0.0000000000,0.000000000, -3.9914300,51.88469
Motherwell,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -3.9810968,55.78321
Golspie,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.9760860,57.97341
Airdrie,0.30783582,0.033582090,0.6585821,0.0000000000,0.000000000, -3.9625660,55.86627
Swansea,0.41078838,0.000000000,0.5892116,0.0000000000,0.000000000, -3.9436460,51.62144
Stirling,0.29014599,0.032846715,0.6770073,0.0000000000,0.000000000, -3.9369029,56.11652
Tregaron,0.37848606,0.000000000,0.6135458,0.0079681275,0.000000000, -3.9343850,52.22000
Tregaron,0.37848606,0.000000000,0.6135458,0.0079681275,0.000000000, -3.9343850,52.22000
Castle Douglas,0.21212121,0.015151515,0.7727273,0.0000000000,0.000000000, -3.9314140,54.94042
Dolgellau,0.15436242,0.000000000,0.8456376,0.0000000000,0.000000000, -3.8844000,52.74215
Aberfeldy,0.26410835,0.081264108,0.6546275,0.0000000000,0.000000000, -3.8669690,56.62175
Machynlleth,0.19209040,0.000000000,0.8079096,0.0000000000,0.000000000, -3.8534850,52.59027
Brora,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.8525480,58.01216
Llandudno,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.8276090,53.32406
Llandudno,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.8276090,53.32406
Aviemore,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.8238120,57.19449
Dalbeattie,0.21917808,0.013698630,0.7671233,0.0000000000,0.000000000, -3.8225270,54.93422
Falkirk,0.26527678,0.051761323,0.6829619,0.0000000000,0.000000000, -3.7839131,56.00188
Kingsbridge,0.23600605,0.000000000,0.7458396,0.0181543116,0.000000000, -3.7774930,50.28395
Pitlochry,0.26057906,0.080178174,0.6592428,0.0000000000,0.000000000, -3.7297110,56.70436
Colwyn Bay,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.7276400,53.29318
Totnes,0.23263328,0.000000000,0.7479806,0.0193861066,0.000000000, -3.6857970,50.43374
Grantown-on-Spey,0.28099174,0.033057851,0.6694215,0.0165289256,0.000000000, -3.6096280,57.33041
Dumfries,0.26153846,0.015384615,0.7230769,0.0000000000,0.000000000, -3.6051200,55.07086
Whitehaven,0.17972350,0.000000000,0.8202765,0.0000000000,0.000000000, -3.5892330,54.54970
Dartmouth,0.26687117,0.000000000,0.7239264,0.0092024540,0.000000000, -3.5788070,50.35252
Bridgend,0.49230769,0.000000000,0.5076923,0.0000000000,0.000000000, -3.5769450,51.50429
Paignton,0.27231467,0.000000000,0.7186082,0.0090771558,0.000000000, -3.5642350,50.43508
Workington,0.17647059,0.000000000,0.8235294,0.0000000000,0.000000000, -3.5427520,54.64357
Llanidloes,0.27513228,0.000000000,0.7142857,0.0105820106,0.000000000, -3.5401950,52.44779
Exeter,0.26740947,0.000000000,0.7242340,0.0083565460,0.000000000, -3.5338990,50.71841
Torquay,0.26986507,0.000000000,0.7211394,0.0089955022,0.000000000, -3.5253150,50.46192
Thurso,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.5220800,58.59357
Livingston,0.25664989,0.060388210,0.6829619,0.0000000000,0.000000000, -3.5180680,55.90071
Rhyl,0.07324219,0.000000000,0.9267578,0.0000000000,0.000000000, -3.4916340,53.31914
Tiverton,0.25471698,0.000000000,0.7452830,0.0000000000,0.000000000, -3.4912070,50.90205
Tiverton,0.25471698,0.000000000,0.7452830,0.0000000000,0.000000000, -3.4912070,50.90205
Minehead,0.32324841,0.000000000,0.6767516,0.0000000000,0.000000000, -3.4811520,51.20428
Dunfermline,0.27156094,0.068424804,0.6600143,0.0000000000,0.000000000, -3.4521510,56.07174
Perth,0.28146453,0.082379863,0.6361556,0.0000000000,0.000000000, -3.4308381,56.39499
Prestatyn,0.07310469,0.000000000,0.9268953,0.0000000000,0.000000000, -3.4076130,53.33651
Builth Wells,0.40000000,0.000000000,0.5733333,0.0266666667,0.000000000, -3.4045920,52.15002
Braemar,0.24974306,0.061664954,0.6762590,0.0123329908,0.000000000, -3.3979439,57.00647
Brecon,0.56666667,0.000000000,0.4000000,0.0333333333,0.000000000, -3.3914630,51.94895
Merthyr Tydfil,0.57142857,0.000000000,0.3968254,0.0317460317,0.000000000, -3.3816460,51.74873
Llandrindod Wells,0.40000000,0.000000000,0.5733333,0.0266666667,0.000000000, -3.3777420,52.24170
Corwen,0.11949686,0.000000000,0.8805031,0.0000000000,0.000000000, -3.3692420,52.98005
Cockermouth,0.18139535,0.000000000,0.8186047,0.0000000000,0.000000000, -3.3679850,54.66326
Lockerbie,0.25795053,0.014134276,0.7279152,0.0000000000,0.000000000, -3.3490080,55.12224
