placename,control,doubled,longitude,latitude
Dingle,0.9817714,0.0182285581,-10.2640135,52.14094
Tralee,0.9785269,0.0214731009, -9.6999325,52.27131
Killarney,0.9758232,0.0241768363, -9.5044265,52.05994
Bantry,0.9750110,0.0249890399, -9.4539805,51.68035
Mayo,0.9863170,0.0136830103, -9.4289369,54.01526
Ballycastle,0.9717633,0.0282366500, -9.3724643,54.27967
Abbeyfeale,0.9782558,0.0217442132, -9.2970823,52.38618
Ennistymon,0.9828408,0.0171591992, -9.2934951,52.94037
Galway,0.9833043,0.0166956522, -9.0567905,53.27067
Claremorris,0.9796356,0.0203644159, -9.0017356,53.72388
Clare,0.9817927,0.0182072829, -8.9811351,52.90453
Adare,0.9768421,0.0231578947, -8.7925892,52.56363
Charleville,0.9768746,0.0231254380, -8.6810176,52.36206
Mallow,0.9749285,0.0250714757, -8.6539164,52.13898
Limerick,0.9768421,0.0231578947, -8.6267343,52.66384
Loughrea,0.9809958,0.0190041809, -8.5660931,53.19891
Sligo,0.9674865,0.0325135473, -8.4760888,54.27661
Cork,0.9749285,0.0250714757, -8.4756035,51.89851
Nenagh,0.9772465,0.0227534737, -8.1983400,52.86350
Roscommon,0.9786356,0.0213644000, -8.1890955,53.62759
Tipperary,0.9757662,0.0242337847, -8.1618514,52.47379
Donegal,0.9468362,0.0531637652, -8.1096143,54.65383
Leitrim,0.9709724,0.0290275762, -8.0020132,54.12469
Athlone,0.9748357,0.0251642667, -7.9406898,53.42393
Longford,0.9716497,0.0283502835, -7.7932573,53.72763
Offaly,0.9720287,0.0279712898, -7.7122229,53.23569
Fermanagh,0.9461615,0.0538384845, -7.6318728,54.34383
Enniskillen,0.9461615,0.0538384845, -7.6315336,54.34382
Doon,0.9527791,0.0472208559, -7.6096400,54.18593
Westmeath,0.9694242,0.0305758451, -7.4653217,53.53453
Strabane,0.9393310,0.0606689987, -7.4633103,54.82739
Balivanich,0.9909937,0.0090063044, -7.3743509,57.47227
Cavan,0.9591078,0.0408921933, -7.3633319,53.98972
Mullingar,0.9659452,0.0340547904, -7.3401868,53.52582
Laois,0.9541360,0.0458639782, -7.3323007,52.99430
Omagh,0.9404059,0.0595941158, -7.3099597,54.59771
Derry,0.9430904,0.0569096344, -7.3085748,54.99661
Derry,0.9430904,0.0569096344, -7.3085748,54.99661
Kilkenny,0.9590139,0.0409861231, -7.2447879,52.65415
Tyrone,0.9433351,0.0566648678, -7.1312320,54.49121
Waterford,0.9638944,0.0361056348, -7.1100702,52.25932
Western Isles,0.9893460,0.0106540397, -7.0194034,57.75989
Monaghan,0.9249553,0.0750446694, -6.9683132,54.24920
Carlow,0.9539781,0.0460218953, -6.9341359,52.83651
Kildare,0.9560399,0.0439601428, -6.8194708,53.21204
Dungannon,0.9209887,0.0790113452, -6.7669352,54.50827
Cookstown,0.9297872,0.0702127660, -6.7443895,54.64182
Coleraine,0.9424405,0.0575594781, -6.6646103,55.13258
Meath,0.9568271,0.0431728763, -6.6564169,53.60555
Armagh,0.9297789,0.0702210663, -6.6527920,54.35028
Armagh,0.9297789,0.0702210663, -6.6527920,54.35028
Magherafelt,0.9233407,0.0766592697, -6.6079805,54.75537
Dunvegan,0.9903877,0.0096123037, -6.5813982,57.43660
Louth,0.9495403,0.0504597443, -6.4889423,53.92523
Wexford,0.9526035,0.0473964848, -6.4633381,52.33692
Craigavon,0.9287188,0.0712811855, -6.4175653,54.44293
Stornoway,0.9896283,0.0103716508, -6.3848692,58.20943
Drogheda,0.9568357,0.0431642733, -6.3560985,53.71786
Rosslare,0.9526658,0.0473341661, -6.3414908,52.25131
Newry,0.9265606,0.0734394125, -6.3402300,54.17510
Scilly Isles,0.9851117,0.0148883375, -6.3274966,49.92773
Ballymena,0.9315319,0.0684681395, -6.2802213,54.86529
Banbridge,0.9251739,0.0748261083, -6.2704803,54.34873
Dublin,0.9560948,0.0439052413, -6.2603097,53.34981
Antrim,0.9338810,0.0661190142, -6.2072498,54.71953
Antrim,0.9338810,0.0661190142, -6.2072498,54.71953
Portree,0.9922506,0.0077494349, -6.1960231,57.41247
Islay,0.9705497,0.0294502618, -6.1770670,55.73625
Wicklow,0.9547880,0.0452119570, -6.0445890,52.98082
Kilkeel,0.9302001,0.0697999069, -6.0070040,54.06312
Mull,0.9951325,0.0048674959, -6.0008870,56.43920
Belfast,0.9357929,0.0642070934, -5.9301200,54.59728
Broadford,0.9922204,0.0077795786, -5.9096592,57.24139
Down,0.9283390,0.0716610123, -5.7156922,54.32875
Kyle of Lochalsh,0.9922506,0.0077494349, -5.7143293,57.28261
Campbeltown,0.9840153,0.0159846547, -5.6053740,55.42412
Penzance,0.9851117,0.0148883375, -5.5375920,50.11880
Oban,0.9892363,0.0107637109, -5.4710470,56.41516
Lochgilphead,0.9963325,0.0036674817, -5.4323449,56.03829
