placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Dingle,0.023170295,0.6427240,0.0026206977,0.10785211,0.2236329,-10.2640135,52.14094
Tralee,0.023170295,0.6427240,0.0026206977,0.10785211,0.2236329, -9.6999325,52.27131
Killarney,0.022913576,0.6409781,0.0025916612,0.11063376,0.2228829, -9.5044265,52.05994
Bantry,0.022980848,0.6398669,0.0026565017,0.10628958,0.2282061, -9.4539805,51.68035
Mayo,0.024787695,0.6414423,0.0000000000,0.10441323,0.2293568, -9.4289369,54.01526
Ballycastle,0.023981631,0.6546688,0.0000000000,0.09951952,0.2218301, -9.3724643,54.27967
Abbeyfeale,0.023170295,0.6424744,0.0026206977,0.10785211,0.2238825, -9.2970823,52.38618
Ennistymon,0.022767133,0.6430254,0.0020996813,0.10929459,0.2228132, -9.2934951,52.94037
Galway,0.023636196,0.6452597,0.0021411119,0.11086341,0.2180995, -9.0567905,53.27067
Claremorris,0.023827780,0.6519365,0.0013207083,0.10648394,0.2164311, -9.0017356,53.72388
Clare,0.022800927,0.6434850,0.0021027980,0.10945682,0.2221544, -8.9811351,52.90453
Adare,0.023253484,0.6411908,0.0026301068,0.10949176,0.2234338, -8.7925892,52.56363
Charleville,0.023010127,0.6424397,0.0026025817,0.10911702,0.2228306, -8.6810176,52.36206
Mallow,0.022722156,0.6410858,0.0026265978,0.10759462,0.2259708, -8.6539164,52.13898
Limerick,0.023335316,0.6419391,0.0026393625,0.10862024,0.2234660, -8.6267343,52.66384
Loughrea,0.023478564,0.6395977,0.0021652925,0.11126631,0.2234921, -8.5660931,53.19891
Sligo,0.018968174,0.6678444,0.0000000000,0.10190744,0.2112800, -8.4760888,54.27661
Cork,0.022819197,0.6425676,0.0026378154,0.10780291,0.2241724, -8.4756035,51.89851
Nenagh,0.023433490,0.6436300,0.0026504666,0.10907722,0.2212088, -8.1983400,52.86350
Roscommon,0.021736950,0.6457569,0.0024901518,0.11383971,0.2161763, -8.1890955,53.62759
Tipperary,0.022756311,0.6405463,0.0026305461,0.10800688,0.2260599, -8.1618514,52.47379
Donegal,0.013896241,0.6767470,0.0000000000,0.10058232,0.2087745, -8.1096143,54.65383
Leitrim,0.016830074,0.6646831,0.0000000000,0.10811094,0.2103759, -8.0020132,54.12469
Athlone,0.022264699,0.6255680,0.0029751083,0.12133386,0.2278583, -7.9406898,53.42393
Longford,0.019849557,0.6359545,0.0030430684,0.12172373,0.2194291, -7.7932573,53.72763
Offaly,0.020980665,0.6275658,0.0036588017,0.11538128,0.2324134, -7.7122229,53.23569
Fermanagh,0.016133369,0.6728287,0.0000000000,0.10372412,0.2073138, -7.6318728,54.34383
Enniskillen,0.016133369,0.6728287,0.0000000000,0.10372412,0.2073138, -7.6315336,54.34382
Doon,0.015884373,0.6745135,0.0000000000,0.10804236,0.2015598, -7.6096400,54.18593
Westmeath,0.019041005,0.6284419,0.0042928117,0.11998981,0.2282345, -7.4653217,53.53453
Strabane,0.015170602,0.6412559,0.0000000000,0.10592331,0.2376502, -7.4633103,54.82739
Balivanich,0.009243805,0.5420465,0.0000000000,0.10977019,0.3389395, -7.3743509,57.47227
Cavan,0.012563588,0.6740057,0.0011085519,0.11749418,0.1948280, -7.3633319,53.98972
Mullingar,0.018872533,0.6288933,0.0042935490,0.12001042,0.2279302, -7.3401868,53.52582
Laois,0.018770327,0.6288654,0.0039049825,0.11863129,0.2298280, -7.3323007,52.99430
Omagh,0.017170159,0.6658040,0.0000000000,0.09879062,0.2182352, -7.3099597,54.59771
Derry,0.015562688,0.6351800,0.0000000000,0.10810510,0.2411522, -7.3085748,54.99661
Derry,0.015562688,0.6351800,0.0000000000,0.10810510,0.2411522, -7.3085748,54.99661
Kilkenny,0.020391812,0.6302125,0.0037354911,0.11346419,0.2321960, -7.2447879,52.65415
Tyrone,0.015899322,0.6421305,0.0000000000,0.10779202,0.2341782, -7.1312320,54.49121
Waterford,0.021438528,0.6308200,0.0036230797,0.11361473,0.2305036, -7.1100702,52.25932
Western Isles,0.010014122,0.5520606,0.0000000000,0.11131082,0.3266145, -7.0194034,57.75989
Monaghan,0.015757246,0.6447939,0.0000000000,0.10882636,0.2306225, -6.9683132,54.24920
Carlow,0.018543988,0.6274591,0.0040825806,0.11976568,0.2301487, -6.9341359,52.83651
Kildare,0.019154911,0.6287096,0.0041924659,0.11998465,0.2279583, -6.8194708,53.21204
Dungannon,0.016912073,0.6424415,0.0000000000,0.10628229,0.2343641, -6.7669352,54.50827
Cookstown,0.016094025,0.6349314,0.0000000000,0.10822862,0.2407459, -6.7443895,54.64182
Coleraine,0.015450692,0.6303174,0.0000000000,0.10617035,0.2480616, -6.6646103,55.13258
Meath,0.017532687,0.6330787,0.0043160334,0.11971813,0.2253545, -6.6564169,53.60555
Armagh,0.016390850,0.6472373,0.0000000000,0.10050179,0.2358701, -6.6527920,54.35028
Armagh,0.016390850,0.6472373,0.0000000000,0.10050179,0.2358701, -6.6527920,54.35028
Magherafelt,0.015309838,0.6275101,0.0000000000,0.10865526,0.2485248, -6.6079805,54.75537
Dunvegan,0.010006414,0.5477870,0.0000000000,0.11045542,0.3317511, -6.5813982,57.43660
Louth,0.018822059,0.6340959,0.0033780353,0.11777310,0.2259309, -6.4889423,53.92523
Wexford,0.018729089,0.6253506,0.0039439690,0.12048254,0.2314938, -6.4633381,52.33692
Craigavon,0.015249996,0.6453265,0.0000000000,0.10482522,0.2345982, -6.4175653,54.44293
Stornoway,0.012955466,0.5392713,0.0000000000,0.10607287,0.3417004, -6.3848692,58.20943
Drogheda,0.017944948,0.6319794,0.0044467106,0.11911354,0.2265154, -6.3560985,53.71786
Rosslare,0.019098813,0.6248286,0.0043318881,0.12087989,0.2308608, -6.3414908,52.25131
Newry,0.016904205,0.6450341,0.0000000000,0.10629972,0.2317620, -6.3402300,54.17510
Scilly Isles,0.009554598,0.4800287,0.0064655172,0.13067529,0.3732759, -6.3274966,49.92773
Ballymena,0.015666114,0.6357248,0.0000000000,0.10525195,0.2433571, -6.2802213,54.86529
Banbridge,0.016726837,0.6500606,0.0000000000,0.09994285,0.2332697, -6.2704803,54.34873
Dublin,0.018456113,0.6311637,0.0043032387,0.12001350,0.2260635, -6.2603097,53.34981
Antrim,0.014573974,0.6403834,0.0000000000,0.10397103,0.2410716, -6.2072498,54.71953
Antrim,0.014573974,0.6403834,0.0000000000,0.10397103,0.2410716, -6.2072498,54.71953
Portree,0.010131186,0.5434472,0.0000000000,0.11079361,0.3356280, -6.1960231,57.41247
Islay,0.005256439,0.6070186,0.0000000000,0.12740607,0.2603189, -6.1770670,55.73625
Wicklow,0.019082520,0.6280889,0.0040697317,0.11857480,0.2301840, -6.0445890,52.98082
Kilkeel,0.015217797,0.6442894,0.0007803998,0.11060000,0.2291124, -6.0070040,54.06312
Mull,0.008106445,0.5819809,0.0017580242,0.12659402,0.2815606, -6.0008870,56.43920
Belfast,0.014714583,0.6428301,0.0000000000,0.10406396,0.2383914, -5.9301200,54.59728
Broadford,0.010115420,0.5371547,0.0000000000,0.11373363,0.3389962, -5.9096592,57.24139
Down,0.015027694,0.6445593,0.0000000000,0.10090023,0.2395128, -5.7156922,54.32875
Kyle of Lochalsh,0.010099702,0.5448660,0.0000000000,0.11278001,0.3322543, -5.7143293,57.28261
Campbeltown,0.003172002,0.6460575,0.0000000000,0.11154873,0.2392218, -5.6053740,55.42412
Penzance,0.009667103,0.4808838,0.0065416485,0.12872511,0.3741823, -5.5375920,50.11880
Oban,0.007803378,0.5833675,0.0025445796,0.12605565,0.2802289, -5.4710470,56.41516
Lochgilphead,0.007420392,0.5914752,0.0024196931,0.12785389,0.2708309, -5.4323449,56.03829
Helston,0.008881504,0.4763351,0.0058446023,0.13333715,0.3756017, -5.2749960,50.10159
Redruth,0.008725003,0.4785378,0.0064959878,0.12718125,0.3790600, -5.2266660,50.23302
Ullapool,0.011326861,0.5416667,0.0000000000,0.10477346,0.3422330, -5.1613130,57.89542
