placename,merger,no merger,longitude,latitude
Dingle,0.00000000,1.00000000,-10.2640135,52.14094
Tralee,0.00000000,1.00000000, -9.6999325,52.27131
Killarney,0.00000000,1.00000000, -9.5044265,52.05994
Bantry,0.00000000,1.00000000, -9.4539805,51.68035
Mayo,0.00000000,1.00000000, -9.4289369,54.01526
Ballycastle,0.00000000,1.00000000, -9.3724643,54.27967
Abbeyfeale,0.00000000,1.00000000, -9.2970823,52.38618
Ennistymon,0.00000000,1.00000000, -9.2934951,52.94037
Galway,0.00000000,1.00000000, -9.0567905,53.27067
Claremorris,0.00000000,1.00000000, -9.0017356,53.72388
Clare,0.00000000,1.00000000, -8.9811351,52.90453
Adare,0.00000000,1.00000000, -8.7925892,52.56363
Charleville,0.00000000,1.00000000, -8.6810176,52.36206
Mallow,0.00000000,1.00000000, -8.6539164,52.13898
Limerick,0.00000000,1.00000000, -8.6267343,52.66384
Loughrea,0.00000000,1.00000000, -8.5660931,53.19891
Sligo,0.00000000,1.00000000, -8.4760888,54.27661
Cork,0.00000000,1.00000000, -8.4756035,51.89851
Nenagh,0.00000000,1.00000000, -8.1983400,52.86350
Roscommon,0.00000000,1.00000000, -8.1890955,53.62759
Tipperary,0.00000000,1.00000000, -8.1618514,52.47379
Donegal,0.00000000,1.00000000, -8.1096143,54.65383
Leitrim,0.00000000,1.00000000, -8.0020132,54.12469
Athlone,0.00000000,1.00000000, -7.9406898,53.42393
Longford,0.00000000,1.00000000, -7.7932573,53.72763
Offaly,0.00000000,1.00000000, -7.7122229,53.23569
Fermanagh,0.00000000,1.00000000, -7.6318728,54.34383
Enniskillen,0.00000000,1.00000000, -7.6315336,54.34382
Doon,0.00000000,1.00000000, -7.6096400,54.18593
Westmeath,0.00000000,1.00000000, -7.4653217,53.53453
Strabane,0.00000000,1.00000000, -7.4633103,54.82739
Cavan,0.00000000,1.00000000, -7.3633319,53.98972
Mullingar,0.00000000,1.00000000, -7.3401868,53.52582
Laois,0.00000000,1.00000000, -7.3323007,52.99429
Omagh,0.00000000,1.00000000, -7.3099597,54.59771
Derry,0.00000000,1.00000000, -7.3085748,54.99661
Derry,0.00000000,1.00000000, -7.3085748,54.99661
Kilkenny,0.00000000,1.00000000, -7.2447879,52.65415
Tyrone,0.00000000,1.00000000, -7.1312320,54.49121
Waterford,0.00000000,1.00000000, -7.1100702,52.25932
Monaghan,0.00000000,1.00000000, -6.9683132,54.24920
Carlow,0.00000000,1.00000000, -6.9341359,52.83651
Kildare,0.00000000,1.00000000, -6.8194708,53.21204
Dungannon,0.00000000,1.00000000, -6.7669352,54.50827
Cookstown,0.00000000,1.00000000, -6.7443895,54.64182
Coleraine,0.00000000,1.00000000, -6.6646103,55.13258
Meath,0.00000000,1.00000000, -6.6564169,53.60555
Armagh,0.00000000,1.00000000, -6.6527920,54.35028
Armagh,0.00000000,1.00000000, -6.6527920,54.35028
Magherafelt,0.00000000,1.00000000, -6.6079805,54.75537
Louth,0.00000000,1.00000000, -6.4889423,53.92523
Wexford,0.00000000,1.00000000, -6.4633381,52.33692
Craigavon,0.00000000,1.00000000, -6.4175653,54.44293
Drogheda,0.00000000,1.00000000, -6.3560985,53.71786
Rosslare,0.00000000,1.00000000, -6.3414908,52.25131
Newry,0.00000000,1.00000000, -6.3402300,54.17510
Ballymena,0.00000000,1.00000000, -6.2802213,54.86529
Banbridge,0.00000000,1.00000000, -6.2704803,54.34873
Dublin,0.00000000,1.00000000, -6.2603097,53.34981
Antrim,0.00000000,1.00000000, -6.2072498,54.71953
Antrim,0.00000000,1.00000000, -6.2072498,54.71953
Wicklow,0.00000000,1.00000000, -6.0445890,52.98082
Kilkeel,0.00000000,1.00000000, -6.0070040,54.06312
Belfast,0.00000000,1.00000000, -5.9301200,54.59728
Down,0.00000000,1.00000000, -5.7156922,54.32875
Balivanich,0.00000000,1.00000000, -7.3743509,57.47227
Western Isles,0.00000000,1.00000000, -7.0194034,57.75989
Dunvegan,0.00000000,1.00000000, -6.5813982,57.43660
Stornoway,0.00000000,1.00000000, -6.3848692,58.20943
Scilly Isles,0.00000000,1.00000000, -6.3274966,49.92773
Portree,0.00000000,1.00000000, -6.1960231,57.41247
Islay,0.00000000,1.00000000, -6.1770670,55.73625
Mull,0.00000000,1.00000000, -6.0008870,56.43920
Broadford,0.00000000,1.00000000, -5.9096592,57.24139
Kyle of Lochalsh,0.00000000,1.00000000, -5.7143293,57.28261
Campbeltown,0.00000000,1.00000000, -5.6053740,55.42412
Penzance,0.00000000,1.00000000, -5.5375920,50.11880
Oban,0.00000000,1.00000000, -5.4710470,56.41516
Lochgilphead,0.00000000,1.00000000, -5.4323449,56.03829
Helston,0.00000000,1.00000000, -5.2749960,50.10159
Redruth,0.00000000,1.00000000, -5.2266660,50.23302
Ullapool,0.00000000,1.00000000, -5.1613130,57.89542
Ballachulish,0.00000000,1.00000000, -5.1337200,56.67393
Fort William,0.00000000,1.00000000, -5.1052179,56.81982
Achnasheen,0.00000000,1.00000000, -5.0787658,57.57859
Newquay,0.00000000,1.00000000, -5.0737190,50.41550
Falmouth,0.00000000,1.00000000, -5.0662700,50.15257
Rothesay,0.00000000,1.00000000, -5.0557930,55.83596
Truro,0.00000000,1.00000000, -5.0510410,50.26320
Milford Haven,0.00000000,1.00000000, -5.0426971,51.71431
Stranraer,0.00000000,1.00000000, -5.0240550,54.90337
Fishguard,0.00000000,1.00000000, -4.9759890,51.99393
Inchnadamph,0.00000000,1.00000000, -4.9742950,58.15221
