placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Dingle,0.04978953,0.0003946330,0.0000000000,0.05939227,0.0023677979,0.8880558,-10.2640135,52.14094
Tralee,0.05360812,0.0003852080,0.0000000000,0.05643297,0.0023112481,0.8872625, -9.6999325,52.27131
Killarney,0.05818153,0.0003385928,0.0000000000,0.05538250,0.0020315568,0.8840658, -9.5044265,52.05994
Bantry,0.05798058,0.0003475360,0.0000000000,0.05406501,0.0020852158,0.8855217, -9.4539805,51.68035
Mayo,0.05125746,0.0000000000,0.0000000000,0.07523444,0.0012787724,0.8722293, -9.4289369,54.01526
Ballycastle,0.05487013,0.0000000000,0.0000000000,0.06850649,0.0012987013,0.8753247, -9.3724643,54.27967
Abbeyfeale,0.05284073,0.0003690854,0.0000000000,0.05643316,0.0022145124,0.8881425, -9.2970823,52.38618
Ennistymon,0.05146026,0.0004212300,0.0000000000,0.06381634,0.0016849200,0.8826172, -9.2934951,52.94037
Galway,0.05504970,0.0000000000,0.0000000000,0.07784952,0.0032648915,0.8638359, -9.0567905,53.27067
Claremorris,0.04955230,0.0012210012,0.0000000000,0.07305657,0.0012210012,0.8749491, -9.0017356,53.72388
Clare,0.05011120,0.0004170142,0.0000000000,0.06317765,0.0025020851,0.8837920, -8.9811351,52.90453
Adare,0.05331405,0.0003526839,0.0000000000,0.05745221,0.0021161035,0.8867649, -8.7925892,52.56363
Charleville,0.05995493,0.0003448989,0.0000000000,0.05606907,0.0020693937,0.8815617, -8.6810176,52.36206
Mallow,0.05967107,0.0003534318,0.0000000000,0.05462878,0.0021205909,0.8832261, -8.6539164,52.13898
Limerick,0.05126079,0.0003605683,0.0000000000,0.05945771,0.0021634095,0.8867575, -8.6267343,52.66384
Loughrea,0.05349565,0.0000000000,0.0000000000,0.07825649,0.0032367115,0.8650111, -8.5660931,53.19891
Sligo,0.05751015,0.0013531800,0.0000000000,0.06867388,0.0000000000,0.8724628, -8.4760888,54.27661
Cork,0.05900843,0.0003454152,0.0000000000,0.05718924,0.0020724911,0.8813844, -8.4756035,51.89851
Nenagh,0.05078200,0.0000000000,0.0000000000,0.06015503,0.0024738188,0.8865892, -8.1983400,52.86350
Roscommon,0.05231961,0.0012839168,0.0000000000,0.07761277,0.0012839168,0.8674998, -8.1890955,53.62759
Tipperary,0.05878391,0.0003544758,0.0000000000,0.05514463,0.0021268551,0.8835901, -8.1618514,52.47379
Donegal,0.06776072,0.0021175225,0.0000000000,0.05876125,0.0000000000,0.8713605, -8.1096143,54.65383
Leitrim,0.06870799,0.0029873040,0.0014936520,0.07169529,0.0000000000,0.8551158, -8.0020132,54.12469
Athlone,0.05653388,0.0011636476,0.0000000000,0.07800318,0.0023272953,0.8619720, -7.9406898,53.42393
Longford,0.06025115,0.0025368906,0.0012684453,0.07921441,0.0012684453,0.8554607, -7.7932573,53.72763
Offaly,0.06671733,0.0010604079,0.0000000000,0.07355696,0.0031812237,0.8554841, -7.7122229,53.23569
Fermanagh,0.07246377,0.0018115942,0.0000000000,0.06250000,0.0000000000,0.8632246, -7.6318728,54.34383
Enniskillen,0.07246377,0.0018115942,0.0000000000,0.06250000,0.0000000000,0.8632246, -7.6315336,54.34382
Doon,0.06539075,0.0047846890,0.0015948963,0.07376396,0.0000000000,0.8544657, -7.6096400,54.18593
Westmeath,0.07142498,0.0015063266,0.0000000000,0.07913236,0.0000000000,0.8479363, -7.4653217,53.53453
Strabane,0.06084709,0.0023861603,0.0000000000,0.05070591,0.0000000000,0.8860608, -7.4633103,54.82739
Balivanich,0.07072439,0.0000000000,0.0000000000,0.07329619,0.0077153879,0.8482640, -7.3743509,57.47227
Cavan,0.06327207,0.0054233203,0.0018077734,0.07547454,0.0000000000,0.8540223, -7.3633319,53.98972
Mullingar,0.07132618,0.0013872191,0.0000000000,0.08258578,0.0000000000,0.8447008, -7.3401868,53.52582
Laois,0.07722710,0.0000000000,0.0000000000,0.07388100,0.0043644828,0.8445274, -7.3323007,52.99430
Omagh,0.06513724,0.0024580090,0.0000000000,0.05776321,0.0000000000,0.8746415, -7.3099597,54.59771
Derry,0.06078896,0.0025867644,0.0000000000,0.04914852,0.0000000000,0.8874757, -7.3085748,54.99661
Derry,0.06078896,0.0025867644,0.0000000000,0.04914852,0.0000000000,0.8874757, -7.3085748,54.99661
Kilkenny,0.07407472,0.0000000000,0.0000000000,0.05962622,0.0031409775,0.8631581, -7.2447879,52.65415
Tyrone,0.05913978,0.0026881720,0.0000000000,0.05107527,0.0000000000,0.8870968, -7.1312320,54.49121
Waterford,0.06640026,0.0000000000,0.0000000000,0.05620139,0.0024218939,0.8749765, -7.1100702,52.25932
Western Isles,0.07301980,0.0000000000,0.0000000000,0.08168317,0.0074257426,0.8378713, -7.0194034,57.75989
Monaghan,0.05986696,0.0066518847,0.0022172949,0.06430155,0.0000000000,0.8669623, -6.9683132,54.24920
Carlow,0.07490600,0.0000000000,0.0000000000,0.06086974,0.0011811721,0.8630431, -6.9341359,52.83651
Kildare,0.05208661,0.0004717278,0.0000000000,0.06283414,0.0000000000,0.8846075, -6.8194708,53.21204
Dungannon,0.04580153,0.0030534351,0.0000000000,0.05419847,0.0000000000,0.8969466, -6.7669352,54.50827
Cookstown,0.04857621,0.0033500838,0.0000000000,0.04941374,0.0000000000,0.8986600, -6.7443895,54.64182
Coleraine,0.05644546,0.0000000000,0.0000000000,0.04576659,0.0000000000,0.8977879, -6.6646103,55.13258
Meath,0.05117463,0.0014095536,0.0004698512,0.06648395,0.0000000000,0.8804620, -6.6564169,53.60555
