placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dingle,0.9308682,0.0000000000,0.06913183,-10.2640135,52.14094
Tralee,0.9308682,0.0000000000,0.06913183, -9.6999325,52.27131
Killarney,0.9308682,0.0000000000,0.06913183, -9.5044265,52.05994
Bantry,0.9290221,0.0000000000,0.07097792, -9.4539805,51.68035
Mayo,0.9378834,0.0000000000,0.06211656, -9.4289369,54.01526
Ballycastle,0.9395522,0.0000000000,0.06044776, -9.3724643,54.27967
Abbeyfeale,0.9308682,0.0000000000,0.06913183, -9.2970823,52.38618
Ennistymon,0.9324918,0.0000000000,0.06750823, -9.2934951,52.94037
Galway,0.9378023,0.0000000000,0.06219765, -9.0567905,53.27067
Claremorris,0.9298952,0.0000000000,0.07010475, -9.0017356,53.72388
Clare,0.9320442,0.0000000000,0.06795580, -8.9811351,52.90453
Adare,0.9308682,0.0000000000,0.06913183, -8.7925892,52.56363
Charleville,0.9297386,0.0000000000,0.07026144, -8.6810176,52.36206
Mallow,0.9267101,0.0000000000,0.07328990, -8.6539164,52.13898
Limerick,0.9308989,0.0000000000,0.06910112, -8.6267343,52.66384
Loughrea,0.9307692,0.0000000000,0.06923077, -8.5660931,53.19891
Sligo,0.9267677,0.0101010101,0.06313131, -8.4760888,54.27661
Cork,0.9259868,0.0000000000,0.07401316, -8.4756035,51.89851
Nenagh,0.9288472,0.0000000000,0.07115279, -8.1983400,52.86350
Roscommon,0.9381933,0.0000000000,0.06180666, -8.1890955,53.62759
Tipperary,0.9267101,0.0000000000,0.07328990, -8.1618514,52.47379
Donegal,0.9404368,0.0066181337,0.05294507, -8.1096143,54.65383
Leitrim,0.9315789,0.0105263158,0.05789474, -8.0020132,54.12469
Athlone,0.9391892,0.0040540541,0.05675676, -7.9406898,53.42393
Longford,0.9372910,0.0050167224,0.05769231, -7.7932573,53.72763
Offaly,0.9332406,0.0041724618,0.06258693, -7.7122229,53.23569
Fermanagh,0.9195584,0.0157728707,0.06466877, -7.6318728,54.34383
Enniskillen,0.9195584,0.0157728707,0.06466877, -7.6315336,54.34382
Doon,0.9295977,0.0114942529,0.05890805, -7.6096400,54.18593
Westmeath,0.9440440,0.0056904401,0.05026555, -7.4653217,53.53453
Strabane,0.9207227,0.0184365782,0.06084071, -7.4633103,54.82739
Balivanich,0.9090909,0.0333333333,0.05757576, -7.3743509,57.47227
Cavan,0.9343434,0.0134680135,0.05218855, -7.3633319,53.98972
Mullingar,0.9455275,0.0057339450,0.04873853, -7.3401868,53.52582
Laois,0.9337820,0.0065132436,0.05970473, -7.3323007,52.99430
Omagh,0.9149167,0.0253439537,0.05973932, -7.3099597,54.59771
Derry,0.9242998,0.0189250568,0.05677517, -7.3085748,54.99661
Derry,0.9242998,0.0189250568,0.05677517, -7.3085748,54.99661
Kilkenny,0.9351230,0.0044742729,0.06040268, -7.2447879,52.65415
Tyrone,0.9120690,0.0241379310,0.06379310, -7.1312320,54.49121
Waterford,0.9345058,0.0000000000,0.06549424, -7.1100702,52.25932
Western Isles,0.9237805,0.0365853659,0.03963415, -7.0194034,57.75989
Monaghan,0.9272388,0.0261194030,0.04664179, -6.9683132,54.24920
Carlow,0.9361222,0.0056362725,0.05824148, -6.9341359,52.83651
Kildare,0.9421289,0.0056922396,0.05217886, -6.8194708,53.21204
Dungannon,0.9068391,0.0460324419,0.04712845, -6.7669352,54.50827
Cookstown,0.9138630,0.0385083097,0.04762870, -6.7443895,54.64182
Coleraine,0.9245514,0.0346655791,0.04078303, -6.6646103,55.13258
Meath,0.9421289,0.0075896528,0.05028145, -6.6564169,53.60555
Armagh,0.9013158,0.0445670628,0.05411715, -6.6527920,54.35028
Armagh,0.9013158,0.0445670628,0.05411715, -6.6527920,54.35028
Magherafelt,0.9140183,0.0413582934,0.04462342, -6.6079805,54.75537
Dunvegan,0.9192547,0.0341614907,0.04658385, -6.5813982,57.43660
Louth,0.9329140,0.0130899571,0.05399607, -6.4889423,53.92523
Wexford,0.9364209,0.0037399489,0.05983918, -6.4633381,52.33692
Craigavon,0.8942565,0.0512021371,0.05454141, -6.4175653,54.44293
Stornoway,0.9512987,0.0162337662,0.03246753, -6.3848692,58.20943
Drogheda,0.9412083,0.0076476961,0.05114397, -6.3560985,53.71786
Rosslare,0.9494253,0.0000000000,0.05057471, -6.3414908,52.25131
Newry,0.8981520,0.0482990340,0.05354893, -6.3402300,54.17510
Scilly Isles,0.8904665,0.0000000000,0.10953347, -6.3274966,49.92773
Ballymena,0.9066030,0.0412684622,0.05212858, -6.2802213,54.86529
Banbridge,0.8841292,0.0538389513,0.06203184, -6.2704803,54.34873
Dublin,0.9427266,0.0056334502,0.05163996, -6.2603097,53.34981
Antrim,0.9050633,0.0414666085,0.05347010, -6.2072498,54.71953
Antrim,0.9050633,0.0414666085,0.05347010, -6.2072498,54.71953
Portree,0.9192547,0.0341614907,0.04658385, -6.1960231,57.41247
Islay,0.8765795,0.0396708786,0.08374963, -6.1770670,55.73625
Wicklow,0.9443256,0.0056618017,0.05001258, -6.0445890,52.98082
Kilkeel,0.9092541,0.0418827284,0.04886318, -6.0070040,54.06312
Mull,0.8068862,0.0718562874,0.12125749, -6.0008870,56.43920
Belfast,0.8937412,0.0490425035,0.05721625, -5.9301200,54.59728
Broadford,0.9130435,0.0341614907,0.05279503, -5.9096592,57.24139
Down,0.8867795,0.0526075023,0.06061299, -5.7156922,54.32875
Kyle of Lochalsh,0.9197531,0.0339506173,0.04629630, -5.7143293,57.28261
Campbeltown,0.8698774,0.0538438528,0.07627879, -5.6053740,55.42412
Penzance,0.8759843,0.0000000000,0.12401575, -5.5375920,50.11880
Oban,0.8286969,0.0702781845,0.10102489, -5.4710470,56.41516
Lochgilphead,0.8265440,0.0591327201,0.11432326, -5.4323449,56.03829
Helston,0.8784957,0.0000000000,0.12150434, -5.2749960,50.10159
Redruth,0.8759843,0.0000000000,0.12401575, -5.2266660,50.23302
Ullapool,0.9485531,0.0128617363,0.03858521, -5.1613130,57.89542
Ballachulish,0.8421053,0.0657894737,0.09210526, -5.1337200,56.67393
Fort William,0.9029851,0.0335820896,0.06343284, -5.1052179,56.81982
Achnasheen,0.9385113,0.0161812298,0.04530744, -5.0787658,57.57859
Newquay,0.9110379,0.0000000000,0.08896211, -5.0737190,50.41550
Falmouth,0.8784957,0.0000000000,0.12150434, -5.0662700,50.15257
Rothesay,0.8137128,0.0659767141,0.12031048, -5.0557930,55.83596
Truro,0.8759843,0.0000000000,0.12401575, -5.0510410,50.26320
Milford Haven,0.9663609,0.0000000000,0.03363914, -5.0426971,51.71431
Stranraer,0.9018295,0.0401606426,0.05800982, -5.0240550,54.90337
Fishguard,0.9726444,0.0000000000,0.02735562, -4.9759890,51.99393
Inchnadamph,0.9495268,0.0126182965,0.03785489, -4.9742950,58.15221
Haverfordwest,0.9663609,0.0000000000,0.03363914, -4.9713190,51.80047
Dunoon,0.8873404,0.0425602937,0.07009931, -4.9262140,55.95097
Pembroke,0.9724026,0.0000000000,0.02759740, -4.9086370,51.67404
Girvan,0.8730905,0.0423031727,0.08460635, -4.8542179,55.24016
Wadebridge,0.9101498,0.0000000000,0.08985025, -4.8364560,50.51665
Invergarry,0.9406250,0.0156250000,0.04375000, -4.8002610,57.07095
St Austell,0.8784957,0.0000000000,0.12150434, -4.7834252,50.34038
Greenock,0.8812813,0.0447995221,0.07391921, -4.7719830,55.95648
Helensburgh,0.8877805,0.0442076627,0.06801179, -4.7340140,56.00232
Bodmin,0.9032258,0.0000000000,0.09677419, -4.7188629,50.47150
Tenby,0.9655172,0.0000000000,0.03448276, -4.7035790,51.67274
Camelford,0.9070147,0.0000000000,0.09298532, -4.6823640,50.62206
Irvine,0.8505604,0.0448318804,0.10460772, -4.6696364,55.61157
Cardigan,0.9683258,0.0000000000,0.03167421, -4.6608640,52.08370
Holyhead,0.9106583,0.0000000000,0.08934169, -4.6330380,53.30944
Ayr,0.8448884,0.0564042303,0.09870740, -4.6291790,55.45856
Dumbarton,0.8855135,0.0464747223,0.06801179, -4.5645540,55.94529
Bude,0.9245810,0.0000000000,0.07541899, -4.5436780,50.82664
Isle of Man,0.9072700,0.0333827893,0.05934718, -4.5126331,54.27697
Kilmarnock,0.8548972,0.0580411125,0.08706167, -4.4987920,55.61472
Newton Stewart,0.8998888,0.0200222469,0.08008899, -4.4831640,54.96030
Liskeard,0.9023596,0.0000000000,0.09764036, -4.4647190,50.45552
Altnaharra,0.9492063,0.0126984127,0.03809524, -4.4426550,58.28023
Pwllheli,0.9381818,0.0000000000,0.06181818, -4.4176339,52.88882
Lairg,0.9428571,0.0126984127,0.04444444, -4.4024140,58.02206
Launceston,0.9206226,0.0000000000,0.07937743, -4.3604516,50.63683
Carmarthen,0.9722704,0.0000000000,0.02772964, -4.3121310,51.85762
Llangefni,0.8712871,0.0000000000,0.12871287, -4.3114020,53.25579
Caernarfon,0.8907104,0.0000000000,0.10928962, -4.2739110,53.13955
Cumnock,0.8534304,0.0498960499,0.09667360, -4.2658289,55.45355
Aberaeron,0.9627507,0.0000000000,0.03724928, -4.2581619,52.24279
Alness,0.9369085,0.0126182965,0.05047319, -4.2568250,57.69595
Glasgow,0.8948752,0.0448970653,0.06022777, -4.2518060,55.86424
Dalwhinnie,0.9299065,0.0116822430,0.05841121, -4.2427830,56.93660
Inverness,0.9387097,0.0129032258,0.04838710, -4.2247210,57.47777
Saltash,0.9035222,0.0000000000,0.09647779, -4.2164300,50.40921
Bideford,0.9389454,0.0000000000,0.06105458, -4.2066660,51.01668
Invergordon,0.9369085,0.0126182965,0.05047319, -4.1728820,57.68811
Llanelli,0.9790105,0.0000000000,0.02098951, -4.1602480,51.68089
Plymouth,0.9030769,0.0000000000,0.09692308, -4.1426565,50.37546
Tavistock,0.9274924,0.0000000000,0.07250755, -4.1416540,50.55112
Porthmadog,0.9296296,0.0000000000,0.07037037, -4.1333840,52.92784
Bangor,0.8709677,0.0000000000,0.12903226, -4.1292630,53.22739
Tywyn,0.9462025,0.0000000000,0.05379747, -4.0872490,52.58701
Aberystwyth,0.9671642,0.0000000000,0.03283582, -4.0829200,52.41530
Lampeter,0.9670886,0.0000000000,0.03291139, -4.0785090,52.11290
Barnstaple,0.9585850,0.0000000000,0.04141501, -4.0583380,51.07816
Tain,0.9318735,0.0145985401,0.05352798, -4.0552300,57.81150
Okehampton,0.9295988,0.0000000000,0.07040121, -4.0042630,50.73831
Llandeilo,0.9796954,0.0000000000,0.02030457, -3.9914300,51.88469
Motherwell,0.8932572,0.0433312196,0.06341154, -3.9810968,55.78321
Golspie,0.9349112,0.0118343195,0.05325444, -3.9760860,57.97341
Airdrie,0.8933420,0.0441715148,0.06248653, -3.9625660,55.86627
Swansea,0.9785824,0.0000000000,0.02141764, -3.9436460,51.62144
Stirling,0.9408867,0.0332512315,0.02586207, -3.9369029,56.11652
Tregaron,0.9739130,0.0000000000,0.02608696, -3.9343850,52.22000
Tregaron,0.9739130,0.0000000000,0.02608696, -3.9343850,52.22000
Castle Douglas,0.9120879,0.0164835165,0.07142857, -3.9314140,54.94042
Dolgellau,0.9172414,0.0034482759,0.07931034, -3.8844000,52.74215
Aberfeldy,0.9213115,0.0229508197,0.05573770, -3.8669690,56.62175
Machynlleth,0.9218750,0.0031250000,0.07500000, -3.8534850,52.59027
Brora,0.9318735,0.0145985401,0.05352798, -3.8525480,58.01216
Llandudno,0.8701923,0.0000000000,0.12980769, -3.8276090,53.32406
Llandudno,0.8701923,0.0000000000,0.12980769, -3.8276090,53.32406
Aviemore,0.9352751,0.0226537217,0.04207120, -3.8238120,57.19449
Dalbeattie,0.8974359,0.0192307692,0.08333333, -3.8225270,54.93422
Falkirk,0.9417476,0.0174757282,0.04077670, -3.7839131,56.00188
Kingsbridge,0.9211747,0.0000000000,0.07882535, -3.7774930,50.28395
Pitlochry,0.9200000,0.0233333333,0.05666667, -3.7297110,56.70436
Colwyn Bay,0.8632075,0.0000000000,0.13679245, -3.7276400,53.29318
Totnes,0.9182879,0.0000000000,0.08171206, -3.6857970,50.43374
Grantown-on-Spey,0.9292683,0.0146341463,0.05609756, -3.6096280,57.33041
Dumfries,0.9041096,0.0205479452,0.07534247, -3.6051200,55.07086
Whitehaven,0.8841463,0.0093808630,0.10647280, -3.5892330,54.54970
Dartmouth,0.9222310,0.0000000000,0.07776905, -3.5788070,50.35252
Bridgend,0.9647750,0.0000000000,0.03522505, -3.5769450,51.50429
Paignton,0.9257314,0.0000000000,0.07426857, -3.5642350,50.43508
Workington,0.8836004,0.0094250707,0.10697455, -3.5427520,54.64357
Llanidloes,0.9621451,0.0000000000,0.03785489, -3.5401950,52.44779
Exeter,0.9181818,0.0000000000,0.08181818, -3.5338990,50.71841
Torquay,0.9257314,0.0000000000,0.07426857, -3.5253150,50.46192
Thurso,0.9318735,0.0145985401,0.05352798, -3.5220800,58.59357
Livingston,0.9395643,0.0168657765,0.04356992, -3.5180680,55.90071
Rhyl,0.8464752,0.0031331593,0.15039164, -3.4916340,53.31914
Tiverton,0.9377593,0.0024896266,0.05975104, -3.4912070,50.90205
Tiverton,0.9377593,0.0024896266,0.05975104, -3.4912070,50.90205
Minehead,0.9576060,0.0000000000,0.04239401, -3.4811520,51.20428
Dunfermline,0.9111286,0.0224144711,0.06645694, -3.4521510,56.07174
Perth,0.9353448,0.0232758621,0.04137931, -3.4308381,56.39499
