placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dingle,0.7387681,0.17500000,0.08623188,-10.2640135,52.14094
Tralee,0.7398108,0.17576419,0.08442504, -9.6999325,52.27131
Killarney,0.7332890,0.17359495,0.09311606, -9.5044265,52.05994
Bantry,0.7473617,0.16309562,0.08954269, -9.4539805,51.68035
Mayo,0.7389593,0.16946251,0.09157823, -9.4289369,54.01526
Ballycastle,0.7152383,0.20004373,0.08471797, -9.3724643,54.27967
Abbeyfeale,0.7413917,0.17324247,0.08536585, -9.2970823,52.38618
Ennistymon,0.7365835,0.17573696,0.08767952, -9.2934951,52.94037
Galway,0.7170984,0.17720207,0.10569948, -9.0567905,53.27067
Claremorris,0.7365838,0.16524869,0.09816754, -9.0017356,53.72388
Clare,0.7382576,0.17386364,0.08787879, -8.9811351,52.90453
Adare,0.7429270,0.17079986,0.08627314, -8.7925892,52.56363
Charleville,0.7447496,0.16284330,0.09240711, -8.6810176,52.36206
Mallow,0.7442088,0.16247961,0.09331158, -8.6539164,52.13898
Limerick,0.7429270,0.17079986,0.08627314, -8.6267343,52.66384
Loughrea,0.7413033,0.16315532,0.09554140, -8.5660931,53.19891
Sligo,0.7123994,0.21081265,0.07678794, -8.4760888,54.27661
Cork,0.7447900,0.16447579,0.09073421, -8.4756035,51.89851
Nenagh,0.7411538,0.16500000,0.09384615, -8.1983400,52.86350
Roscommon,0.7507687,0.15610218,0.09312914, -8.1890955,53.62759
Tipperary,0.7432034,0.16311824,0.09367835, -8.1618514,52.47379
Donegal,0.6786348,0.24305556,0.07830969, -8.1096143,54.65383
Leitrim,0.6947794,0.20348041,0.10174020, -8.0020132,54.12469
Athlone,0.7486828,0.15964173,0.09167545, -7.9406898,53.42393
Longford,0.7504407,0.14543852,0.10412076, -7.7932573,53.72763
Offaly,0.7128266,0.16959620,0.11757720, -7.7122229,53.23569
Fermanagh,0.6931314,0.20762601,0.09924262, -7.6318728,54.34383
Enniskillen,0.6931314,0.20762601,0.09924262, -7.6315336,54.34382
Doon,0.6844403,0.19251125,0.12304843, -7.6096400,54.18593
Westmeath,0.7578635,0.12106825,0.12106825, -7.4653217,53.53453
Strabane,0.7057075,0.23335315,0.06093936, -7.4633103,54.82739
Balivanich,0.5646259,0.36507937,0.07029478, -7.3743509,57.47227
Cavan,0.6664888,0.20010672,0.13340448, -7.3633319,53.98972
Mullingar,0.7774329,0.12456953,0.09799753, -7.3401868,53.52582
Laois,0.7204169,0.16186389,0.11771919, -7.3323007,52.99430
Omagh,0.7183925,0.22147257,0.06013494, -7.3099597,54.59771
Derry,0.7062368,0.23199759,0.06176559, -7.3085748,54.99661
