placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Dingle,0.019536903,0.089001447,0.8914616,-10.2640135,52.14094
Tralee,0.019622093,0.089389535,0.8909884, -9.6999325,52.27131
Killarney,0.019027484,0.094432699,0.8865398, -9.5044265,52.05994
Bantry,0.019244476,0.092658589,0.8880969, -9.4539805,51.68035
Mayo,0.028646981,0.052446011,0.9189070, -9.4289369,54.01526
Ballycastle,0.024090909,0.045909091,0.9300000, -9.3724643,54.27967
Abbeyfeale,0.018705833,0.092489954,0.8888042, -9.2970823,52.38618
Ennistymon,0.022350578,0.087895530,0.8897539, -9.2934951,52.94037
Galway,0.021950641,0.083798054,0.8942513, -9.0567905,53.27067
Claremorris,0.032899601,0.074486175,0.8926142, -9.0017356,53.72388
Clare,0.021393202,0.091702322,0.8869045, -8.9811351,52.90453
Adare,0.019301428,0.092902656,0.8877959, -8.7925892,52.56363
Charleville,0.018362350,0.096232318,0.8854053, -8.6810176,52.36206
Mallow,0.017396160,0.097611786,0.8849921, -8.6539164,52.13898
Limerick,0.019167706,0.092259018,0.8885733, -8.6267343,52.66384
Loughrea,0.022622860,0.082660448,0.8947167, -8.5660931,53.19891
Sligo,0.026280624,0.053006682,0.9207127, -8.4760888,54.27661
Cork,0.020823360,0.092628052,0.8865486, -8.4756035,51.89851
Nenagh,0.016860061,0.096077556,0.8870624, -8.1983400,52.86350
Roscommon,0.029792939,0.087330553,0.8828765, -8.1890955,53.62759
Tipperary,0.017396160,0.097611786,0.8849921, -8.1618514,52.47379
Donegal,0.015340364,0.030680729,0.9539789, -8.1096143,54.65383
Leitrim,0.038259206,0.071257771,0.8904830, -8.0020132,54.12469
Athlone,0.042719168,0.094387411,0.8628934, -7.9406898,53.42393
Longford,0.052685874,0.098555744,0.8487584, -7.7932573,53.72763
Offaly,0.067821565,0.105883090,0.8262953, -7.7122229,53.23569
Fermanagh,0.026446281,0.044628099,0.9289256, -7.6318728,54.34383
Enniskillen,0.026446281,0.044628099,0.9289256, -7.6315336,54.34382
Doon,0.041365047,0.069286453,0.8893485, -7.6096400,54.18593
Westmeath,0.106691254,0.123061870,0.7702469, -7.4653217,53.53453
Strabane,0.012084592,0.020140987,0.9677744, -7.4633103,54.82739
Balivanich,0.013579548,0.010184661,0.9762358, -7.3743509,57.47227
Cavan,0.058856819,0.075834748,0.8653084, -7.3633319,53.98972
Mullingar,0.110956744,0.122784620,0.7662586, -7.3401868,53.52582
Laois,0.079440409,0.123390558,0.7971690, -7.3323007,52.99430
Omagh,0.014675052,0.012578616,0.9727463, -7.3099597,54.59771
Derry,0.014537902,0.018691589,0.9667705, -7.3085748,54.99661
Derry,0.014537902,0.018691589,0.9667705, -7.3085748,54.99661
Kilkenny,0.054715213,0.128505455,0.8167793, -7.2447879,52.65415
Tyrone,0.014056225,0.012048193,0.9738956, -7.1312320,54.49121
Waterford,0.036574767,0.128192748,0.8352325, -7.1100702,52.25932
Western Isles,0.012299092,0.009224319,0.9784766, -7.0194034,57.75989
Monaghan,0.050498753,0.043017456,0.9064838, -6.9683132,54.24920
Carlow,0.054431493,0.135254014,0.8103145, -6.9341359,52.83651
Kildare,0.142299706,0.107634663,0.7500656, -6.8194708,53.21204
Dungannon,0.014725316,0.014347744,0.9709269, -6.7669352,54.50827
Cookstown,0.013856813,0.012177199,0.9739660, -6.7443895,54.64182
Coleraine,0.004465947,0.022329736,0.9732043, -6.6646103,55.13258
Meath,0.161185422,0.106577494,0.7322371, -6.6564169,53.60555
Armagh,0.022715539,0.027533987,0.9497505, -6.6527920,54.35028
Armagh,0.022715539,0.027533987,0.9497505, -6.6527920,54.35028
Magherafelt,0.015993907,0.015613100,0.9683930, -6.6079805,54.75537
Dunvegan,0.014325248,0.010743936,0.9749308, -6.5813982,57.43660
Louth,0.151492444,0.097414762,0.7510928, -6.4889423,53.92523
Wexford,0.052098050,0.139516813,0.8083851, -6.4633381,52.33692
Craigavon,0.014758751,0.014380322,0.9708609, -6.4175653,54.44293
Stornoway,0.008841259,0.014735432,0.9764233, -6.3848692,58.20943
Drogheda,0.157482742,0.104105030,0.7384122, -6.3560985,53.71786
Rosslare,0.041677916,0.136339093,0.8219830, -6.3414908,52.25131
Newry,0.033933162,0.034618680,0.9314482, -6.3402300,54.17510
Scilly Isles,0.018165217,0.218487193,0.7633476, -6.3274966,49.92773
Ballymena,0.014568547,0.017556967,0.9678745, -6.2802213,54.86529
Banbridge,0.019154930,0.025539906,0.9553052, -6.2704803,54.34873
Dublin,0.157524702,0.104193058,0.7382822, -6.2603097,53.34981
Antrim,0.017567831,0.018348624,0.9640835, -6.2072498,54.71953
Antrim,0.017567831,0.018348624,0.9640835, -6.2072498,54.71953
Portree,0.014325248,0.010743936,0.9749308, -6.1960231,57.41247
Islay,0.009345574,0.009345574,0.9813089, -6.1770670,55.73625
Wicklow,0.147657213,0.106843403,0.7454994, -6.0445890,52.98082
Kilkeel,0.051476393,0.053055424,0.8954682, -6.0070040,54.06312
Mull,0.018967812,0.007986447,0.9730457, -6.0008870,56.43920
Belfast,0.017424976,0.021684414,0.9608906, -5.9301200,54.59728
Broadford,0.014231806,0.010673854,0.9750943, -5.9096592,57.24139
Down,0.019047619,0.024276377,0.9566760, -5.7156922,54.32875
Kyle of Lochalsh,0.014325248,0.010743936,0.9749308, -5.7143293,57.28261
Campbeltown,0.008113590,0.015551048,0.9763354, -5.6053740,55.42412
Penzance,0.018165217,0.217478014,0.7643568, -5.5375920,50.11880
Oban,0.014709332,0.017031858,0.9682588, -5.4710470,56.41516
Lochgilphead,0.012635525,0.014630607,0.9727339, -5.4323449,56.03829
Helston,0.018128627,0.215025658,0.7668457, -5.2749960,50.10159
Redruth,0.018165217,0.217478014,0.7643568, -5.2266660,50.23302
Ullapool,0.008845999,0.014743332,0.9764107, -5.1613130,57.89542
Ballachulish,0.013491415,0.007709380,0.9787992, -5.1337200,56.67393
Fort William,0.012841300,0.008560866,0.9785978, -5.1052179,56.81982
Achnasheen,0.009519688,0.009519688,0.9809606, -5.0787658,57.57859
Newquay,0.018183567,0.216687512,0.7651289, -5.0737190,50.41550
Falmouth,0.018165217,0.217478014,0.7643568, -5.0662700,50.15257
Rothesay,0.010828267,0.018237082,0.9709347, -5.0557930,55.83596
Truro,0.018128627,0.215025658,0.7668457, -5.0510410,50.26320
Milford Haven,0.024386382,0.054315123,0.9212985, -5.0426971,51.71431
Stranraer,0.015313447,0.017387143,0.9672994, -5.0240550,54.90337
Fishguard,0.023335494,0.054287434,0.9223771, -4.9759890,51.99393
Inchnadamph,0.008637613,0.014396021,0.9769664, -4.9742950,58.15221
Haverfordwest,0.024332438,0.049770896,0.9258967, -4.9713190,51.80047
Dunoon,0.012740277,0.014751900,0.9725078, -4.9262140,55.95097
Pembroke,0.024332438,0.054194976,0.9214726, -4.9086370,51.67404
Girvan,0.008219178,0.010958904,0.9808219, -4.8542179,55.24016
Wadebridge,0.018406700,0.221391702,0.7602016, -4.8364560,50.51665
Invergarry,0.014288034,0.010716025,0.9749959, -4.8002610,57.07095
St Austell,0.018238842,0.220386007,0.7613752, -4.7834252,50.34038
Greenock,0.012885296,0.016675088,0.9704396, -4.7719830,55.95648
Helensburgh,0.012257406,0.016853933,0.9708887, -4.7340140,56.00232
Bodmin,0.018232684,0.222843913,0.7589234, -4.7188629,50.47150
Tenby,0.024278732,0.051868201,0.9238531, -4.7035790,51.67274
Camelford,0.016223263,0.228139636,0.7556371, -4.6823640,50.62206
Irvine,0.011462882,0.013100437,0.9754367, -4.6696364,55.61157
Cardigan,0.020756848,0.057575544,0.9216676, -4.6608640,52.08370
