placename,want,wanting,longitude,latitude
Dingle,0.9994792,0.0005208484,-10.2640135,52.14094
Tralee,0.9994684,0.0005316321, -9.6999325,52.27131
Killarney,0.9994256,0.0005744218, -9.5044265,52.05994
Bantry,0.9994413,0.0005586889, -9.4539805,51.68035
Mayo,0.9996400,0.0003599838, -9.4289369,54.01526
Ballycastle,0.9993888,0.0006111816, -9.3724643,54.27967
Abbeyfeale,0.9994684,0.0005316321, -9.2970823,52.38618
Ennistymon,0.9997741,0.0002259220, -9.2934951,52.94037
Galway,0.9994002,0.0005997681, -9.0567905,53.27067
Claremorris,0.9993970,0.0006029771, -9.0017356,53.72388
Clare,0.9996665,0.0003335207, -8.9811351,52.90453
Adare,0.9994838,0.0005161734, -8.7925892,52.56363
Charleville,0.9994067,0.0005932539, -8.6810176,52.36206
Mallow,0.9994261,0.0005739430, -8.6539164,52.13898
Limerick,0.9995213,0.0004786661, -8.6267343,52.66384
Loughrea,0.9994919,0.0005080512, -8.5660931,53.19891
Sligo,0.9992765,0.0007235321, -8.4760888,54.27661
Cork,0.9990459,0.0009540881, -8.4756035,51.89851
Nenagh,0.9994996,0.0005003788, -8.1983400,52.86350
Roscommon,0.9993412,0.0006587741, -8.1890955,53.62759
Tipperary,0.9993824,0.0006175714, -8.1618514,52.47379
Donegal,0.9984939,0.0015061453, -8.1096143,54.65383
Leitrim,0.9988674,0.0011326383, -8.0020132,54.12469
Athlone,0.9993157,0.0006842535, -7.9406898,53.42393
Longford,0.9991539,0.0008460859, -7.7932573,53.72763
Offaly,0.9993062,0.0006937673, -7.7122229,53.23569
Fermanagh,0.9988550,0.0011450407, -7.6318728,54.34383
Enniskillen,0.9988550,0.0011450407, -7.6315336,54.34382
Doon,0.9989352,0.0010648305, -7.6096400,54.18593
Westmeath,0.9993155,0.0006844617, -7.4653217,53.53453
Strabane,0.9982582,0.0017418005, -7.4633103,54.82739
Balivanich,0.9932727,0.0067272801, -7.3743509,57.47227
Cavan,0.9987733,0.0012266524, -7.3633319,53.98972
Mullingar,0.9994506,0.0005494497, -7.3401868,53.52582
Laois,0.9994183,0.0005817185, -7.3323007,52.99430
Omagh,0.9986064,0.0013936022, -7.3099597,54.59771
Derry,0.9983883,0.0016116942, -7.3085748,54.99661
Derry,0.9983883,0.0016116942, -7.3085748,54.99661
Kilkenny,0.9990023,0.0009977021, -7.2447879,52.65415
Tyrone,0.9990202,0.0009797545, -7.1312320,54.49121
Waterford,0.9990437,0.0009563216, -7.1100702,52.25932
Western Isles,0.9934101,0.0065898516, -7.0194034,57.75989
Monaghan,0.9987112,0.0012888082, -6.9683132,54.24920
Carlow,0.9992436,0.0007564392, -6.9341359,52.83651
Kildare,0.9990719,0.0009281276, -6.8194708,53.21204
Dungannon,0.9981279,0.0018721488, -6.7669352,54.50827
Cookstown,0.9969877,0.0030122858, -6.7443895,54.64182
Coleraine,0.9964380,0.0035620353, -6.6646103,55.13258
Meath,0.9991288,0.0008711718, -6.6564169,53.60555
Armagh,0.9987489,0.0012511320, -6.6527920,54.35028
Armagh,0.9987489,0.0012511320, -6.6527920,54.35028
Magherafelt,0.9966461,0.0033538742, -6.6079805,54.75537
Dunvegan,0.9932908,0.0067092262, -6.5813982,57.43660
Louth,0.9993913,0.0006086510, -6.4889423,53.92523
Wexford,0.9992065,0.0007935398, -6.4633381,52.33692
Craigavon,0.9970771,0.0029228635, -6.4175653,54.44293
Stornoway,0.9938528,0.0061471956, -6.3848692,58.20943
Drogheda,0.9991155,0.0008845130, -6.3560985,53.71786
Rosslare,0.9990979,0.0009021381, -6.3414908,52.25131
Newry,0.9993109,0.0006891482, -6.3402300,54.17510
Scilly Isles,0.9973357,0.0026642984, -6.3274966,49.92773
Ballymena,0.9964643,0.0035356940, -6.2802213,54.86529
Banbridge,0.9970543,0.0029457337, -6.2704803,54.34873
Dublin,0.9989834,0.0010166357, -6.2603097,53.34981
Antrim,0.9959760,0.0040239874, -6.2072498,54.71953
Antrim,0.9959760,0.0040239874, -6.2072498,54.71953
Portree,0.9932742,0.0067257719, -6.1960231,57.41247
Islay,0.9900800,0.0099200236, -6.1770670,55.73625
Wicklow,0.9990671,0.0009328842, -6.0445890,52.98082
Kilkeel,0.9972335,0.0027665116, -6.0070040,54.06312
Mull,0.9873292,0.0126707882, -6.0008870,56.43920
Belfast,0.9953142,0.0046857888, -5.9301200,54.59728
Broadford,0.9931815,0.0068185105, -5.9096592,57.24139
Down,0.9956119,0.0043881477, -5.7156922,54.32875
Kyle of Lochalsh,0.9934677,0.0065323340, -5.7143293,57.28261
Campbeltown,0.9887894,0.0112105921, -5.6053740,55.42412
Penzance,0.9973241,0.0026759044, -5.5375920,50.11880
Oban,0.9849742,0.0150258081, -5.4710470,56.41516
Lochgilphead,0.9850352,0.0149647734, -5.4323449,56.03829
Helston,0.9973191,0.0026809094, -5.2749960,50.10159
Redruth,0.9973167,0.0026832515, -5.2266660,50.23302
Ullapool,0.9941678,0.0058322225, -5.1613130,57.89542
Ballachulish,0.9897642,0.0102358010, -5.1337200,56.67393
Fort William,0.9942518,0.0057481633, -5.1052179,56.81982
Achnasheen,0.9938960,0.0061039649, -5.0787658,57.57859
Newquay,0.9973501,0.0026498500, -5.0737190,50.41550
Falmouth,0.9973241,0.0026759044, -5.0662700,50.15257
Rothesay,0.9862796,0.0137204005, -5.0557930,55.83596
Truro,0.9973157,0.0026842565, -5.0510410,50.26320
Milford Haven,0.9987391,0.0012608574, -5.0426971,51.71431
Stranraer,0.9934286,0.0065714458, -5.0240550,54.90337
Fishguard,0.9983185,0.0016815134, -4.9759890,51.99393
Inchnadamph,0.9931276,0.0068723583, -4.9742950,58.15221
Haverfordwest,0.9987206,0.0012793783, -4.9713190,51.80047
Dunoon,0.9849885,0.0150115088, -4.9262140,55.95097
Pembroke,0.9987302,0.0012697517, -4.9086370,51.67404
Girvan,0.9866245,0.0133754504, -4.8542179,55.24016
Wadebridge,0.9973560,0.0026439844, -4.8364560,50.51665
Invergarry,0.9938939,0.0061060981, -4.8002610,57.07095
St Austell,0.9973261,0.0026739076, -4.7834252,50.34038
Greenock,0.9904999,0.0095000738, -4.7719830,55.95648
Helensburgh,0.9850566,0.0149433598, -4.7340140,56.00232
Bodmin,0.9973174,0.0026825819, -4.7188629,50.47150
Tenby,0.9987547,0.0012453300, -4.7035790,51.67274
Camelford,0.9974138,0.0025862069, -4.6823640,50.62206
Irvine,0.9874657,0.0125343092, -4.6696364,55.61157
Cardigan,0.9982370,0.0017630391, -4.6608640,52.08370
Holyhead,0.9941571,0.0058428717, -4.6330380,53.30944
