,placename,past_participle,past_participle_was,past_participle_were,present_participle,present_participle_was,present_participle_were,longitude,latitude
0,Dingle,0.11637931717039705,0.01,0.01,0.8857996612286902,0.01,0.01,-10.264013499999999,52.14094
1,Tralee,0.11637931717039705,0.01,0.01,0.8857996612286902,0.01,0.01,-9.6999325,52.27131
2,Killarney,0.1134537164606328,0.01,0.01,0.8886703996872501,0.01,0.01,-9.5044265,52.05994000000001
3,Bantry,0.1134537164606328,0.01,0.01,0.8886703996872501,0.01,0.01,-9.4539805,51.68035
4,Mayo,0.11309641631853468,0.01,0.01,0.8890210101107263,0.01,0.01,-9.4289369,54.01526
5,Ballycastle,0.12697016844181874,0.01,0.01,0.8754070157848686,0.01,0.01,-9.3724643,54.279669999999996
6,Abbeyfeale,0.10671065970224217,0.01,0.01,0.8952872310840867,0.01,0.01,-9.2970823,52.386179999999996
7,Ennistymon,0.1142519548892421,0.01,0.01,0.8878871683121184,0.01,0.01,-9.2934951,52.940369999999994
8,Galway,0.1172450442294343,0.01,0.01,0.8849500814864005,0.01,0.01,-9.0567905,53.270669999999996
9,Claremorris,0.09979423131317114,0.01,0.01,0.9020741264183042,0.01,0.01,-9.0017356,53.72388
10,Clare,0.11318893983756832,0.01,0.01,0.8889302435712686,0.01,0.01,-8.9811351,52.90453
11,Adare,0.12191925398847125,0.01,0.01,0.8803634114653184,0.01,0.01,-8.7925892,52.56363
12,Charleville,0.11948654649970407,0.01,0.01,0.8827505961178804,0.01,0.01,-8.681017599999999,52.36206
13,Mallow,0.1187235479444132,0.01,0.01,0.8834992967443054,0.01,0.01,-8.6539164,52.13898
14,Limerick,0.13136157947424673,0.01,0.01,0.8710978249944659,0.01,0.01,-8.6267343,52.66384
15,Loughrea,0.12486953769081655,0.01,0.01,0.8774683781585615,0.01,0.01,-8.5660931,53.19891
16,Sligo,0.0868641386506532,0.01,0.01,0.91476220338241,0.01,0.01,-8.476088800000001,54.27661
17,Cork,0.12781215508691215,0.01,0.01,0.8745808676220584,0.01,0.01,-8.4756035,51.898509999999995
