index,placename,longitude,latitude,past_participle,present_participle
0,Dingle,-10.264013499999999,52.14094,0.025946421708689694,0.20721817914257248
1,Tralee,-9.6999325,52.27131,0.04385210133553068,0.3002963535466495
2,Killarney,-9.5044265,52.059940000000005,0.06896993996811081,0.4531456263626765
3,Bantry,-9.4539805,51.68035,0.026563192768411733,0.22041611986583506
4,Mayo,-9.4289369,54.01526,0.04046630683972458,0.28813969459063427
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.09047776729203003
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.08652490787922713
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.085879627555978
8,Galway,-9.0567905,53.270669999999996,0.10582743833251829,0.5875370594792843
9,Claremorris,-9.0017356,53.72388,0.06046617354789757,0.41899074526318014
10,Clare,-8.9811351,52.90453,0.06566868406836913,0.40396942949439774
11,Adare,-8.7925892,52.56363,0.02379561233215963,0.194012470012661
12,Charleville,-8.681017599999999,52.36206,0.01,0.08734040212997866
13,Mallow,-8.6539164,52.13898,0.03379849658810912,0.2634846208763702
14,Limerick,-8.6267343,52.66384,0.09318064447034935,0.5596957529690452
15,Loughrea,-8.5660931,53.19891,0.01,0.08513790507220306
16,Sligo,-8.476088800000001,54.27661,0.06573476497730635,0.43377596787682815
17,Cork,-8.4756035,51.898509999999995,0.11311226368933175,0.7073896365856004
18,Nenagh,-8.19834,52.8635,0.046271281911295294,0.33057580477937243
19,Roscommon,-8.1890955,53.627590000000005,0.047872317685122706,0.34687674873659247
20,Tipperary,-8.161851400000002,52.47379,0.06355728790128035,0.42532351739701496
21,Donegal,-8.1096143,54.653830000000006,0.060486359482676944,0.48224694317946304
22,Leitrim,-8.0020132,54.12469,0.03624315112653708,0.31326974237859606
23,Athlone,-7.9406898,53.423930000000006,0.04667782231987095,0.3151183981467849
24,Longford,-7.7932573000000005,53.727630000000005,0.052275400882350186,0.33214500832843213
25,Offaly,-7.7122229,53.235690000000005,0.06401370310254308,0.4101227095891205
26,Fermanagh,-7.6318728,54.343830000000004,0.03361573925388754,0.2561243791596332
27,Enniskillen,-7.631533599999999,54.343819999999994,0.04508057927705748,0.3192526733609088
28,Doon,-7.60964,54.185930000000006,0.02212479149147211,0.2009289923934113
29,Westmeath,-7.4653217000000005,53.534530000000004,0.035758312296498805,0.33103114118810983
30,Strabane,-7.4633103,54.82739,0.03797632823926744,0.3428282181732725
31,Balivanich,-7.3743509000000005,57.472269999999995,0.019244979406969037,0.08898120519124864
32,Cavan,-7.3633319,53.98972,0.04695670715082902,0.3781067545345501
33,Mullingar,-7.340186800000001,53.525819999999996,0.032647494852836,0.3266985449385734
34,Laois,-7.332300699999999,52.9943,0.047619108263181484,0.41449526730841557
35,Omagh,-7.309959700000001,54.59771,0.04039163352009018,0.3631963870125709
36,Derry,-7.308574799999999,54.99661,0.06837551348857916,0.5342555682882073
37,Derry,-7.308574799999999,54.99661,0.06837551348857916,0.5342555682882073
38,Kilkenny,-7.2447879,52.65415,0.059565773585367146,0.4669755110281891
39,Tyrone,-7.131232000000001,54.491209999999995,0.025886098816403198,0.27521426997103715
40,Waterford,-7.110070200000001,52.25932,0.07526641570212289,0.5090039685082974
41,Western Isles,-7.0194034,57.759890000000006,0.0644004119492546,0.201119552395938
42,Monaghan,-6.9683132,54.2492,0.045521571614905484,0.36481952032500153
43,Carlow,-6.934135899999999,52.83651,0.05127948007458025,0.4311988747899389
44,Kildare,-6.8194707999999995,53.21204,0.061739989161249405,0.5335755443309473
45,Dungannon,-6.7669352,54.508269999999996,0.026224477626056987,0.2836987614760635
46,Cookstown,-6.7443895000000005,54.641819999999996,0.037070879956673075,0.33946570184225117
47,Coleraine,-6.6646103000000005,55.132580000000004,0.05792305990140276,0.46841172293324196
48,Meath,-6.656416900000001,53.60555,0.054048756798936726,0.47247320014207933
49,Armagh,-6.652792,54.350280000000005,0.04169501400872153,0.3665448256836081
50,Armagh,-6.652792,54.350280000000005,0.04169501400872153,0.3665448256836081
51,Magherafelt,-6.607980499999999,54.75536999999999,0.03740657850043997,0.3648596560184155
52,Dunvegan,-6.581398200000001,57.4366,0.016148269844948184,0.07258799648208446
53,Louth,-6.4889423,53.925230000000006,0.05423390541208541,0.476289716295066
54,Wexford,-6.4633381,52.33692,0.05866564093961562,0.4969989775591819
55,Craigavon,-6.4175653,54.442930000000004,0.045309902221537406,0.41878345753703944
56,Stornoway,-6.384869200000001,58.209430000000005,0.09452615233815062,0.26876759389542815
57,Drogheda,-6.3560985,53.717859999999995,0.038224472596767554,0.36641021807969476
58,Rosslare,-6.3414908,52.25131,0.01,0.08980543714313471
59,Newry,-6.34023,54.1751,0.055688974206425046,0.4067932024607421
60,Scilly Isles,-6.327496599999999,49.92773,0.18694549361766521,0.07422024075001325
61,Ballymena,-6.2802213,54.86529,0.045079349302312034,0.40379740742077197
62,Banbridge,-6.2704803,54.34873,0.042639489388236564,0.3454266447971286
63,Dublin,-6.2603097000000005,53.34981,0.13243764359133386,1.0
64,Antrim,-6.2072498,54.719530000000006,0.052205411240582845,0.4352713390102147
65,Antrim,-6.2072498,54.719530000000006,0.052205411240582845,0.4352713390102147
66,Portree,-6.1960231,57.41246999999999,0.08230946160401842,0.2738339897778528
67,Islay,-6.177067,55.73625,0.045789324413107645,0.23648372891354386
68,Wicklow,-6.044589,52.980819999999994,0.052360411472343424,0.475111069059623
69,Kilkeel,-6.007004,54.06312,0.025187712453867785,0.24707717113950287
70,Mull,-6.0008870000000005,56.4392,0.041151306960813726,0.24441343842602245
71,Belfast,-5.93012,54.597280000000005,0.12287640242703986,0.7973316400752831
72,Broadford,-5.9096592,57.24139,0.014800012473045245,0.07408165345872497
73,Down,-5.7156921999999994,54.32875,0.058989434911939434,0.43384295249903715
74,Kyle of Lochalsh,-5.7143293,57.28261,0.015315974620848332,0.0735100435822578
75,Campbeltown,-5.605373999999999,55.424119999999995,0.04236332436485295,0.26205290585192004
76,Penzance,-5.537592,50.1188,0.3167131811281455,0.13650168305372776
77,Oban,-5.471047,56.41516,0.05272390713766063,0.34237522275890053
78,Lochgilphead,-5.4323449,56.03829,0.02784139180009383,0.21176442865381603
79,Helston,-5.274996,50.10159,0.23740209355324915,0.0947614101511494
80,Redruth,-5.226666000000001,50.23302,0.26473615367029635,0.1115555327536142
81,Ullapool,-5.161313,57.895419999999994,0.06876114570447152,0.197136142464851
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.08573289058410048
83,Fort William,-5.1052179,56.81981999999999,0.07475887283866575,0.30308063224640414
84,Achnasheen,-5.078765799999999,57.578590000000005,0.018209519130630042,0.07030444726808371
85,Newquay,-5.0737190000000005,50.4155,0.3090921367553428,0.1306604407722162
86,Falmouth,-5.066269999999999,50.152570000000004,0.3362969201307621,0.14079806689117003
87,Rothesay,-5.055793,55.83596,0.044752261235605474,0.32640249618964673
88,Truro,-5.051041000000001,50.2632,0.4671225045425768,0.20868998954119672
89,Milford Haven,-5.0426971,51.71431,0.17679726542139668,0.1420418811368876
90,Stranraer,-5.024055000000001,54.903369999999995,0.04108714022940918,0.3051320238542342
91,Fishguard,-4.975989,51.99393,0.134898615348646,0.11303171625525418
92,Inchnadamph,-4.974295,58.15221,0.020672409256060845,0.06757594775303043
93,Haverfordwest,-4.971319,51.800470000000004,0.1911741932011068,0.16364085372155898
94,Dunoon,-4.926214,55.95097,0.043730801613508535,0.29222386963317926
95,Pembroke,-4.908637000000001,51.674040000000005,0.25080461247031505,0.20962465058112084
96,Girvan,-4.8542179,55.240159999999996,0.03644195802330298,0.28915758994919577
97,Wadebridge,-4.836456,50.51665,0.25936227648155485,0.10176132934309674
98,Invergarry,-4.800261,57.07095,0.01777119920172856,0.07079004563143051
99,St Austell,-4.7834252,50.340379999999996,0.2808025162551614,0.11299838706912269
100,Greenock,-4.7719830000000005,55.956480000000006,0.07218725107751581,0.46637749622712266
101,Helensburgh,-4.734014,56.00232,0.041223724605562,0.31657368964736216
102,Bodmin,-4.7188629,50.4715,0.2388276265252114,0.09480408207795327
103,Tenby,-4.703579,51.672740000000005,0.19417729008329307,0.1603138681569988
104,Camelford,-4.682364,50.62206,0.1766301873659697,0.06965353693352923
105,Irvine,-4.6696364,55.61156999999999,0.05453494827930743,0.527884160773908
106,Cardigan,-4.660864,52.0837,0.15663908235519333,0.14232571580731113
107,Holyhead,-4.633038,53.30944,0.20898152149123003,0.11296852334540194
108,Ayr,-4.629179,55.45856,0.057112478827437606,0.5722476967277191
109,Dumbarton,-4.564554,55.94529,0.07521915665975426,0.4315197990424873
110,Bude,-4.543678,50.826640000000005,0.2596055122731006,0.0894677591159217
111,Isle of Man,-4.5126330999999995,54.27697,0.17167149460183717,0.4093339367855604
112,Kilmarnock,-4.498792,55.61472,0.05343846739682608,0.4980590967868577
113,Newton Stewart,-4.483164,54.9603,0.0411301437348117,0.23727230944878616
114,Liskeard,-4.4647190000000005,50.45552,0.2560958729147708,0.10367268233104182
115,Altnaharra,-4.442655,58.28023,0.02113046465287903,0.06706848955769151
116,Pwllheli,-4.417633900000001,52.888819999999996,0.18112521824583064,0.11519889684119254
117,Lairg,-4.402414,58.022059999999996,0.02134233212125811,0.06683377466102146
118,Launceston,-4.360451599999999,50.636829999999996,0.24554386864902067,0.08409297118760942
119,Carmarthen,-4.312131,51.857620000000004,0.25190863777366546,0.19329562035257228
120,Llangefni,-4.311401999999999,53.255790000000005,0.275592345550919,0.1417369075167632
