,placename,past_participle,present_participle,longitude,latitude
0,Dingle,0.06238918555584598,0.9376107895490248,-10.264013499999999,52.14094
1,Tralee,0.06388525834920397,0.9361147292032314,-9.6999325,52.27131
2,Killarney,0.056539203604814736,0.9434607217097976,-9.5044265,52.059940000000005
3,Bantry,0.055169971495076985,0.9448299538195353,-9.4539805,51.68035
4,Mayo,0.06056138516499247,0.9394386023874429,-9.4289369,54.01526
5,Ballycastle,0.026977855782516155,0.9730221193223545,-9.3724643,54.279669999999996
6,Abbeyfeale,0.06388525834920397,0.9361147292032314,-9.2970823,52.386179999999996
7,Ennistymon,0.06991012858334264,0.9300898216263987,-9.2934951,52.940369999999994
8,Galway,0.0758585707706287,0.9241414416769359,-9.0567905,53.270669999999996
9,Claremorris,0.051473667177016826,0.94852627058516,-9.0017356,53.72388
10,Clare,0.06889154436934415,0.9311084680782205,-8.9811351,52.90453
11,Adare,0.06376439249660805,0.9362355328180042,-8.7925892,52.56363
12,Charleville,0.05627108306259878,0.9437289044898366,-8.681017599999999,52.36206
13,Mallow,0.05354232794353785,0.946457672056462,-8.6539164,52.13898
14,Limerick,0.06460647024409674,0.935393504860774,-8.6267343,52.66384
15,Loughrea,0.07683558011874979,0.9231644447763795,-8.5660931,53.19891
16,Sligo,0.05709386708490481,0.9429061578102245,-8.476088800000001,54.27661
17,Cork,0.054172299189663556,0.9458277381530303,-8.4756035,51.898509999999995
18,Nenagh,0.05505570285173705,0.9449442349104398,-8.19834,52.8635
19,Roscommon,0.051626398795075724,0.9483735389671011,-8.1890955,53.627590000000005
20,Tipperary,0.05571841119285009,0.9442816137022791,-8.161851400000002,52.47379
21,Donegal,0.02987141665733101,0.9701285833426689,-8.1096143,54.653830000000006
22,Leitrim,0.03494068735451908,0.965059275302787,-8.0020132,54.12469
23,Athlone,0.06397600109538569,0.9360239242192265,-7.9406898,53.423930000000006
24,Longford,0.07026700026139887,0.9297330246337304,-7.7932573000000005,53.727630000000005
25,Offaly,0.06272116210463423,0.9372788254478012,-7.7122229,53.235690000000005
26,Fermanagh,0.0573959694785715,0.9426039931787346,-7.6318728,54.343830000000004
27,Enniskillen,0.0573959694785715,0.9426039931787346,-7.631533599999999,54.343819999999994
28,Doon,0.05111916053624106,0.9488808519113235,-7.60964,54.185930000000006
29,Westmeath,0.02557401944309598,0.9744259058715162,-7.4653217000000005,53.534530000000004
30,Strabane,0.02683719830215215,0.9731627768027186,-7.4633103,54.82739
31,Balivanich,0.17722357070839087,0.822776466634303,-7.3743509000000005,57.472269999999995
32,Cavan,0.036005700984602367,0.9639943363580915,-7.3633319,53.98972
33,Mullingar,0.018387791428606973,0.9816122459140869,-7.340186800000001,53.525819999999996
34,Laois,0.02417976772844394,0.9758202447191207,-7.332300699999999,52.9943
35,Omagh,0.025129890336955577,0.9748700723203505,-7.309959700000001,54.59771
36,Derry,0.029696030471638206,0.9703039197381031,-7.308574799999999,54.99661
37,Derry,0.029696030471638206,0.9703039197381031,-7.308574799999999,54.99661
38,Kilkenny,0.032786885245901606,0.967213127201663,-7.2447879,52.65415
39,Tyrone,0.02032425905871517,0.9796757409412847,-7.131232000000001,54.491209999999995
40,Waterford,0.04966951715896781,0.9503304330507736,-7.110070200000001,52.25932
41,Western Isles,0.20585458754994582,0.7941453751073602,-7.0194034,57.759890000000006
42,Monaghan,0.037761927878810504,0.9622379974358016,-6.9683132,54.2492
43,Carlow,0.026834210886640012,0.9731657766657953,-6.934135899999999,52.83651
44,Kildare,0.01775707332860324,0.9822428768811382,-6.8194707999999995,53.21204
45,Dungannon,0.017365597420864597,0.9826343154461828,-6.7669352,54.508269999999996
46,Cookstown,0.02572276784047203,0.9742771450265756,-6.7443895000000005,54.641819999999996
47,Coleraine,0.028972702490757698,0.9710272103762899,-6.6646103000000005,55.132580000000004
48,Meath,0.01975640116011301,0.9802435366020639,-6.656416900000001,53.60555
49,Armagh,0.027221330146756813,0.9727786200629847,-6.652792,54.350280000000005
50,Armagh,0.027221330146756813,0.9727786200629847,-6.652792,54.350280000000005
51,Magherafelt,0.0166097812962894,0.9833902560464045,-6.607980499999999,54.75536999999999
52,Dunvegan,0.19401259693540962,0.8059874030645904,-6.581398200000001,57.4366
53,Louth,0.019010916514184004,0.9809890212479928,-6.4889423,53.925230000000006
54,Wexford,0.02190982984179145,0.9780901079203854,-6.4633381,52.33692
55,Craigavon,0.017365597420864597,0.9826343154461828,-6.4175653,54.442930000000004
56,Stornoway,0.21902460883528133,0.7809753289268955,-6.384869200000001,58.209430000000005
57,Drogheda,0.01819497865242665,0.9818049715573147,-6.3560985,53.717859999999995
58,Rosslare,0.033255287103078277,0.9667446506590984,-6.3414908,52.25131
59,Newry,0.04551900120741378,0.9544810112401508,-6.34023,54.1751
60,Scilly Isles,0.7174029401147666,0.28259707233279807,-6.327496599999999,49.92773
61,Ballymena,0.021896013045047714,0.9781039496122583,-6.2802213,54.86529
62,Banbridge,0.038430486575301556,0.96156946363444,-6.2704803,54.34873
63,Dublin,0.022388065275028974,0.9776119222774063,-6.2603097000000005,53.34981
64,Antrim,0.027524054918655155,0.9724759824240388,-6.2072498,54.719530000000006
65,Antrim,0.027524054918655155,0.9724759824240388,-6.2072498,54.719530000000006
66,Portree,0.18540348780761043,0.8145964499545664,-6.1960231,57.41246999999999
67,Islay,0.11214670699677606,0.8878533178983532,-6.177067,55.73625
68,Wicklow,0.015486388588072728,0.9845135740692333,-6.044589,52.980819999999994
69,Kilkeel,0.03288758604379053,0.9671123890610802,-6.007004,54.06312
70,Mull,0.09072307902958783,0.909276920970412,-6.0008870000000005,56.4392
71,Belfast,0.046778943699665156,0.9532210314052056,-5.93012,54.597280000000005
72,Broadford,0.18006646999514542,0.8199335051097253,-5.9096592,57.24139
73,Down,0.04277742509677979,0.9572224877702677,-5.7156921999999994,54.32875
74,Kyle of Lochalsh,0.18540348780761043,0.8145964499545664,-5.7143293,57.28261
75,Campbeltown,0.0824265282497479,0.9175734841978167,-5.605373999999999,55.424119999999995
76,Penzance,0.7174029401147666,0.28259707233279807,-5.537592,50.1188
77,Oban,0.06630842575650073,0.9336915120056761,-5.471047,56.41516
78,Lochgilphead,0.06657355888320447,0.9334264535643602,-5.4323449,56.03829
79,Helston,0.7253707507126232,0.2746291746019891,-5.274996,50.10159
80,Redruth,0.7174029401147666,0.28259707233279807,-5.226666000000001,50.23302
81,Ullapool,0.22391836887113029,0.7760816062337403,-5.161313,57.895419999999994
82,Ballachulish,0.07128023202260476,0.9287197555298305,-5.133719999999999,56.673930000000006
83,Fort William,0.14472858085315604,0.8552714440419732,-5.1052179,56.81981999999999
84,Achnasheen,0.21533378144566018,0.7846661687640814,-5.078765799999999,57.578590000000005
85,Newquay,0.7210787059511807,0.278921306496384,-5.0737190000000005,50.4155
86,Falmouth,0.7253707507126232,0.2746291746019891,-5.066269999999999,50.152570000000004
87,Rothesay,0.052936753924094755,0.9470632336283406,-5.055793,55.83596
88,Truro,0.7174029401147666,0.28259707233279807,-5.051041000000001,50.2632
89,Milford Haven,0.5515874379177713,0.44841249984440545,-5.0426971,51.71431
90,Stranraer,0.05322690665571283,0.9467730186588994,-5.024055000000001,54.903369999999995
91,Fishguard,0.535943338685786,0.46405669865690774,-4.975989,51.99393
92,Inchnadamph,0.2408094651281477,0.7591904850815938,-4.974295,58.15221
93,Haverfordwest,0.535943338685786,0.46405669865690774,-4.971319,51.800470000000004
94,Dunoon,0.06804959109750176,0.9319503342171104,-4.926214,55.95097
95,Pembroke,0.5458442560712997,0.45415571903357105,-4.908637000000001,51.674040000000005
96,Girvan,0.04761355290837346,0.9523864844343204,-4.8542179,55.240159999999996
97,Wadebridge,0.7319104522200232,0.2680895851226708,-4.836456,50.51665
98,Invergarry,0.21079988050337947,0.7892001443917498,-4.800261,57.07095
99,St Austell,0.7290619515291833,0.2709379986805582,-4.7834252,50.340379999999996
100,Greenock,0.058150167419744304,0.9418497454473032,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.04784433075668744,0.9521555821103601,-4.734014,56.00232
102,Bodmin,0.7267238009883367,0.27327614922140486,-4.7188629,50.4715
103,Tenby,0.5458442560712997,0.45415571903357105,-4.703579,51.672740000000005
104,Camelford,0.7163204998941956,0.283679512553369,-4.682364,50.62206
105,Irvine,0.01,0.9943272713693566,-4.6696364,55.61156999999999
106,Cardigan,0.5172824476891096,0.48271750252063184,-4.660864,52.0837
107,Holyhead,0.6542324209268456,0.34576752928289584,-4.633038,53.30944
108,Ayr,0.01,1.0,-4.629179,55.45856
109,Dumbarton,0.07746567584052176,0.9225342868167843,-4.564554,55.94529
110,Bude,0.7579941994348806,0.24200580056511942,-4.543678,50.826640000000005
111,Isle of Man,0.2544004630494044,0.7455995742932895,-4.5126330999999995,54.27697
112,Kilmarnock,0.01126193410259281,0.9887380658974072,-4.498792,55.61472
113,Newton Stewart,0.0959532967374933,0.9040467032625067,-4.483164,54.9603
114,Liskeard,0.7249447950508482,0.2750551925015871,-4.4647190000000005,50.45552
115,Altnaharra,0.24554750613042553,0.754452406736622,-4.442655,58.28023
116,Pwllheli,0.6114187734169811,0.388581226583019,-4.417633900000001,52.888819999999996
117,Lairg,0.24773902435988399,0.7522609009547281,-4.402414,58.022059999999996
118,Launceston,0.7571348195725506,0.24286515553232013,-4.360451599999999,50.636829999999996
119,Carmarthen,0.569233603445486,0.43076638410694945,-4.312131,51.857620000000004
