,Unnamed:_0,Unnamed:_0,placename,past_participle,past_participle_was,present_participle,present_participle_was,present_participle_were,longitude,latitude
0,0,381,Scunthorpe,1.0,0.988869359666696,0.01,0.01,0.01,-0.654413,53.58865
1,1,409,Grimsby,0.9841798810311944,0.9696691157788296,0.011007081971644355,0.2640931609352528,0.01,-0.08078400000000001,53.56746999999999
2,2,338,Castleford,0.9960134797249376,0.3057749433913376,0.027057657444941367,0.01,0.8321861733629954,-1.345968,53.72346999999999
3,3,355,Doncaster,0.9879195977964644,0.4592947310943913,0.02837850189693024,0.01,1.0,-1.128462,53.522819999999996
4,4,278,Colne,0.9979162452422118,0.10949662820242173,0.03147505559944759,0.22366370967151047,0.01,-2.176991,53.85564
5,5,269,Manchester,0.9931484603420478,0.16878071083016227,0.03613853035997047,0.09850303646676556,0.01,-2.2426305,53.48076
6,6,319,Leeds,0.9887964917860462,0.2290822249063767,0.036940433172903415,0.01,0.8312823039520265,-1.5490774,53.80076
7,7,304,Huddersfield,0.9859796298680488,0.22326467358176968,0.03709874066123799,0.15201750377160908,0.8101721103647138,-1.7850351000000002,53.64579000000001
8,8,270,Burnley,0.9897330579394183,0.11423930684530773,0.03898537284576956,0.2333513682884861,0.01,-2.2405035,53.78929
9,9,393,Scarborough,0.9791657963018704,0.4886773039503174,0.039192545655758464,0.01,0.01,-0.399752,54.28311
10,10,280,Rochdale,0.985417018601849,0.16835745889746384,0.043598232286893024,0.0982560016389493,0.01,-2.1561,53.60971
11,11,337,Rotherham,0.9738096144853624,0.3390920051080287,0.046826843511566976,0.01,0.9228606222648954,-1.3635008999999998,53.4326
12,12,412,Louth_Lincs,0.944735979147174,1.0,0.04796111128087584,0.2553317212975916,0.01,-0.007711,53.36596
13,13,324,Wakefield,0.9765886304002992,0.24002730128995906,0.04812749568188057,0.01,0.8709993442065648,-1.505924,53.6833
14,14,307,Bradford,0.9794252338008544,0.2392109422911836,0.04849230290414813,0.01,0.01,-1.759398,53.79598000000001
15,15,370,Malton,0.9715630169809488,0.4098224192352664,0.04952601311071389,0.01,0.01,-0.7978970000000001,54.13684
16,16,327,Barnsley,0.9704048173582672,0.2882356141343132,0.05308793159824197,0.01,0.6275613940185361,-1.479726,53.55263000000001
17,17,301,Halifax,0.9692904379505896,0.2327034772342781,0.055523255383497866,0.15844421646141252,0.01,-1.8575400000000002,53.727019999999996
18,18,329,Sheffield,0.9654089770607328,0.2434615372848077,0.05870878974059781,0.01,0.8834613336457254,-1.470085,53.38113000000001
19,19,312,Otley,0.9672200167384268,0.2419539774537357,0.06013046098575218,0.01,0.01,-1.691786,53.90583
20,20,298,Keighley,0.9652084562045912,0.2314273175861924,0.06246886181896647,0.01,0.01,-1.9123580000000002,53.8678
21,21,236,Preston,0.9686449152558736,0.10115052673160756,0.06414939811519854,0.01,0.01,-2.70309,53.7632
22,22,391,Beverley,0.940039269180669,0.8053435116919847,0.06471626276943063,0.01,0.01,-0.435093,53.84196
23,23,464,Market Weighton,0.9442640164036468,0.6826470575926961,0.06534814657065721,0.01,0.01,-0.6677465,53.86484
24,24,396,Hull,0.93798040464079,0.8324566002013151,0.06565924232366857,0.01,0.01,-0.3274198,53.767619999999994
25,25,390,Driffield,0.9432104144589248,0.6802461905796308,0.06645374129998717,0.01,0.01,-0.443377,54.006
26,26,290,Skipton,0.9596769235724242,0.23866978355866197,0.06751370147273072,0.01,0.01,-2.0162787,53.96285
27,27,360,Selby,0.9506779415389645,0.30913486166963106,0.0705164283730634,0.01,0.8413301466289808,-1.067189,53.783519999999996
28,28,335,Wetherby,0.955886377036685,0.2305842917041236,0.07147031175940596,0.01,0.01,-1.384816,53.92706
29,29,339,Thirsk,0.9587110180222248,0.1520063409719905,0.07176054215468601,0.01,0.01,-1.341377,54.23385
30,30,320,Harrogate,0.9531238986358398,0.22686545890970186,0.07427057738214067,0.01,0.01,-1.5418120000000002,53.99211999999999
31,31,284,Macclesfield,0.957082436653556,0.12627169436059246,0.07431257732802539,0.01,0.01,-2.119287,53.25866
32,32,372,Gainsborough,0.9378690632388104,0.5974919098204288,0.07476071136600641,0.01,0.01,-0.774465,53.400569999999995
33,33,361,Helmsley,0.9538239587501232,0.1916648494291694,0.07494446112925196,0.01,0.01,-1.0562636,54.24651
34,34,265,Clitheroe,0.9522063464263341,0.21696658030788346,0.0755323257564264,0.01,0.01,-2.3930830000000003,53.8711
35,35,401,Bridlington,0.9303121748199364,0.7289572847732307,0.0769990930973223,0.01,0.01,-0.198802,54.08535
36,36,359,York,0.9445308831919562,0.3348940546143256,0.07840312974981355,0.01,0.01,-1.0872979,53.95997
37,37,297,Buxton,0.9441831896533028,0.1459341970477654,0.08437479513247545,0.08516947709788167,0.01,-1.91483,53.259080000000004
38,38,253,Blackburn,0.9412627374186104,0.10353287497803404,0.08644073477828408,0.2114818541102386,0.01,-2.487529,53.748580000000004
39,39,356,Worksop,0.9238065798095532,0.4908879403970014,0.08923978886411815,0.01,0.8906551541038007,-1.122745,53.3093
40,40,240,Wigan,0.9300308971690938,0.1287108578736004,0.09696212506803108,0.17527447875220334,0.01,-2.6325074,53.54506
41,41,364,Retford,0.9088554918160152,0.5005931174824437,0.10638518984985147,0.01,0.01,-0.9455030000000001,53.32136
42,42,225,Lancaster,0.9241019325358408,0.10302734359545898,0.10693441991142047,0.01,0.01,-2.8007399,54.046569999999996
43,43,247,Sedbergh,0.9190968580933824,0.11035564788446654,0.11146947176048827,0.01,0.01,-2.5281740000000004,54.32363
44,44,222,Morecambe,0.9118763863634513,0.09924741223446222,0.11884180841536213,0.01,0.01,-2.864968,54.074169999999995
45,45,387,Lincoln,0.8809880316807283,0.6573208718140187,0.12360382151046068,0.19181130188288092,0.01,-0.540579,53.23069
46,46,241,Warrington,0.8925260537901254,0.1996593475338443,0.12750173956506633,0.3262679983800148,0.01,-2.5969501,53.39004
47,47,333,Chesterfield,0.8904478255281629,0.29321845297683896,0.127544547202218,0.11978876115805098,0.6384101239499362,-1.421629,53.23505
48,48,465,Hawes,0.8919538586007846,0.13270440211761006,0.13672961229069186,0.01,0.01,-2.1968695,54.30383000000001
49,49,467,Aysgarth,0.8864582551870501,0.2157464200597137,0.13883835957365204,0.01,0.01,-1.9967433999999997,54.29159
50,50,470,Oxenholme,0.888363203320397,0.11035564788446654,0.14103972212189647,0.01,0.01,-2.7243327999999996,54.30134
