index,placename,longitude,latitude,past_participle,present_participle
0,Dingle,-10.264013499999999,52.14094,0.015938906474202673,0.15688117853401767
1,Tralee,-9.6999325,52.27131,0.029564282830969464,0.23325040501430339
2,Killarney,-9.5044265,52.059940000000005,0.04873157070772303,0.3574368977143667
3,Bantry,-9.4539805,51.68035,0.01905814626239602,0.1651802502449683
4,Mayo,-9.4289369,54.01526,0.028471127581497863,0.2218680418228703
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.05471238478479459
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.05564085184623977
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.05694785872508294
8,Galway,-9.0567905,53.270669999999996,0.06418886396030285,0.4802381703175212
9,Claremorris,-9.0017356,53.72388,0.04700988083749728,0.32529700411633444
10,Clare,-8.9811351,52.90453,0.03898847799187575,0.3242436768846574
11,Adare,-8.7925892,52.56363,0.017230565265277234,0.143944747244867
12,Charleville,-8.681017599999999,52.36206,0.01,0.055090228944996184
13,Mallow,-8.6539164,52.13898,0.026359732196773716,0.19887274326681997
14,Limerick,-8.6267343,52.66384,0.06636294058394873,0.4464822884752322
15,Loughrea,-8.5660931,53.19891,0.01,0.056188814881732184
16,Sligo,-8.476088800000001,54.27661,0.06020389479142,0.3311689361827167
17,Cork,-8.4756035,51.898509999999995,0.07928808228481787,0.5670123574477985
18,Nenagh,-8.19834,52.8635,0.03525439185732645,0.2542502727989677
19,Roscommon,-8.1890955,53.627590000000005,0.04525004257316893,0.2605801414221771
20,Tipperary,-8.161851400000002,52.47379,0.04627434170308381,0.33333921266947636
21,Donegal,-8.1096143,54.653830000000006,0.023439421726079945,0.39163495835891593
22,Leitrim,-8.0020132,54.12469,0.03574484300172594,0.23207501197795385
23,Athlone,-7.9406898,53.423930000000006,0.03903877740232174,0.23987967882348518
24,Longford,-7.7932573000000005,53.727630000000005,0.04886052048712937,0.2502951165679973
25,Offaly,-7.7122229,53.235690000000005,0.05873501811634582,0.31266308700210277
26,Fermanagh,-7.6318728,54.343830000000004,0.021887147787482044,0.19644317899529473
27,Enniskillen,-7.631533599999999,54.343819999999994,0.02952835907687114,0.24886836351541541
28,Doon,-7.60964,54.185930000000006,0.017203921501684833,0.1478519540906498
29,Westmeath,-7.4653217000000005,53.534530000000004,0.029410707326520912,0.2500704605961931
30,Strabane,-7.4633103,54.82739,0.014163816077911465,0.27250998198316684
31,Balivanich,-7.3743509000000005,57.472269999999995,0.010756021128114098,0.06436241488686363
32,Cavan,-7.3633319,53.98972,0.04095673310195278,0.2870052585434269
33,Mullingar,-7.340186800000001,53.525819999999996,0.030461732646218802,0.24330832047292839
34,Laois,-7.332300699999999,52.9943,0.03705318926052231,0.31843633163822677
35,Omagh,-7.309959700000001,54.59771,0.01587748535130612,0.2889005046661903
