,placename,past_participle,present_participle,longitude,latitude
0,Dingle,0.05211182924364168,0.9478881077895221,-10.264013499999999,52.14094
1,Tralee,0.05974133141513599,0.9402585797366368,-9.6999325,52.27131
2,Killarney,0.05974133141513599,0.9402585797366368,-9.5044265,52.059940000000005
3,Bantry,0.05974133141513599,0.9402585797366368,-9.4539805,51.68035
4,Mayo,0.06178460686587124,0.9382153832406109,-9.4289369,54.01526
5,Ballycastle,0.0716679856507359,0.9283320049752647,-9.3724643,54.279669999999996
6,Abbeyfeale,0.05974133141513599,0.9402585797366368,-9.2970823,52.386179999999996
7,Ennistymon,0.04295224247397836,0.9570476677952783,-9.2934951,52.940369999999994
8,Galway,0.05433027713278488,0.9456697388642966,-9.0567905,53.270669999999996
9,Claremorris,0.06682820640532935,0.9331717839662692,-9.0017356,53.72388
10,Clare,0.04945242777829598,0.9505474959738597,-8.9811351,52.90453
11,Adare,0.06611540044853079,0.9338845636031641,-8.7925892,52.56363
12,Charleville,0.06681443440867134,0.9331855822446382,-8.681017599999999,52.36206
13,Mallow,0.06681443440867134,0.9331855822446382,-8.6539164,52.13898
14,Limerick,0.06611540044853079,0.9338845636031641,-8.6267343,52.66384
15,Loughrea,0.05270252700106388,0.9472974100631499,-8.5660931,53.19891
16,Sligo,0.09243945505681042,0.9075604709549526,-8.476088800000001,54.27661
17,Cork,0.057375793870846466,0.9426241302977998,-8.4756035,51.898509999999995
18,Nenagh,0.06641377180742448,0.933586126553867,-8.19834,52.8635
19,Roscommon,0.08971085193650172,0.9102891133554851,-8.1890955,53.627590000000005
20,Tipperary,0.06245281152814941,0.9375471523310221,-8.161851400000002,52.47379
21,Donegal,0.01,1.0,-8.1096143,54.653830000000006
22,Leitrim,0.0783184013613461,0.9216814976257105,-8.0020132,54.12469
23,Athlone,0.08361159205779466,0.9163883466311502,-7.9406898,53.423930000000006
24,Longford,0.10428646036899017,0.8957135319715963,-7.7932573000000005,53.727630000000005
25,Offaly,0.09709905505968044,0.9029008580557962,-7.7122229,53.235690000000005
26,Fermanagh,0.05287115511281564,0.9471288082426972,-7.6318728,54.343830000000004
