,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,Unnamed:_0.1.1,placename,hw,kw,w,longitude,latitude
0,0,0,0,0,Dingle,0.11111111614814816,1.0,0.8444443437037106,-10.264013499999999,52.14094
1,1,1,1,1,Tralee,0.11111111614814816,1.0,0.8444443437037106,-9.6999325,52.27131
2,2,2,2,2,Killarney,0.04444443739259259,1.0,0.9111110859259276,-9.5044265,52.05994000000001
3,3,3,3,3,Bantry,0.01,0.01,1.0,-9.4539805,51.68035
4,4,4,4,4,Mayo,0.11111111614814816,1.0,0.8444443437037106,-9.4289369,54.01526
5,5,5,5,5,Ballycastle,0.17777777223703706,1.0,0.7777778281481449,-9.3724643,54.279669999999996
6,6,6,6,6,Abbeyfeale,0.11111111614814816,1.0,0.8444443437037106,-9.2970823,52.386179999999996
7,7,7,7,7,Ennistymon,0.11111111614814816,1.0,0.8444443437037106,-9.2934951,52.940369999999994
8,8,8,8,8,Galway,0.11111111614814816,1.0,0.8444443437037106,-9.0567905,53.270669999999996
9,9,9,9,9,Claremorris,0.11111111614814816,1.0,0.8444443437037106,-9.0017356,53.72388
10,10,10,10,10,Clare,0.11111111614814816,1.0,0.8444443437037106,-8.9811351,52.90453
11,11,11,11,11,Adare,0.11111111614814816,1.0,0.8444443437037106,-8.7925892,52.56363
12,12,12,12,12,Charleville,0.11111111614814816,1.0,0.8444443437037106,-8.681017599999999,52.36206
13,13,13,13,13,Mallow,0.04444443739259259,1.0,0.9111110859259276,-8.6539164,52.13898
14,14,14,14,14,Limerick,0.11111111614814816,1.0,0.8444443437037106,-8.6267343,52.66384
15,15,15,15,15,Loughrea,0.11111111614814816,1.0,0.8444443437037106,-8.5660931,53.19891
16,16,16,16,16,Sligo,0.17777777223703706,1.0,0.7777778281481449,-8.476088800000001,54.27661
17,17,17,17,17,Cork,0.01,0.01,1.0,-8.4756035,51.898509999999995
18,18,18,18,18,Nenagh,0.11111111614814816,1.0,0.8444443437037106,-8.19834,52.8635
19,19,19,19,19,Roscommon,0.11111111614814816,1.0,0.8444443437037106,-8.1890955,53.62759000000001
20,20,20,20,20,Tipperary,0.11111111614814816,1.0,0.8444443437037106,-8.161851400000002,52.47379
21,21,21,21,21,Donegal,0.24444445099259265,1.0,0.7111110859259278,-8.1096143,54.653830000000006
22,22,22,22,22,Leitrim,0.17777777223703706,1.0,0.7777778281481449,-8.0020132,54.12469
23,23,23,23,23,Athlone,0.11111111614814816,1.0,0.8444443437037106,-7.9406898,53.42393000000001
24,24,24,24,24,Longford,0.11111111614814816,1.0,0.8444443437037106,-7.7932573000000005,53.72763000000001
25,25,25,25,25,Offaly,0.11111111614814816,1.0,0.8444443437037106,-7.7122229,53.23569000000001
26,26,26,26,26,Fermanagh,0.17777777223703706,1.0,0.7777778281481449,-7.6318728,54.343830000000004
27,27,27,27,27,Enniskillen,0.17777777223703706,1.0,0.7777778281481449,-7.631533599999999,54.343819999999994
28,28,28,28,28,Doon,0.17777777223703706,1.0,0.7777778281481449,-7.60964,54.185930000000006
29,29,29,29,29,Westmeath,0.11111111614814816,1.0,0.8444443437037106,-7.4653217000000005,53.534530000000004
30,30,30,30,30,Strabane,0.24444445099259265,1.0,0.7111110859259278,-7.4633103,54.82739
31,31,31,31,31,Cavan,0.11111111614814816,1.0,0.8444443437037106,-7.3633319,53.98972
32,32,32,32,32,Mullingar,0.11111111614814816,1.0,0.8444443437037106,-7.3401868000000015,53.525819999999996
33,33,33,33,33,Laois,0.11111111614814816,1.0,0.8444443437037106,-7.3323006999999985,52.99429
34,34,34,34,34,Omagh,0.24444445099259265,1.0,0.7111110859259278,-7.309959700000001,54.59771
35,35,35,35,35,Derry,0.24444445099259265,1.0,0.7111110859259278,-7.308574799999999,54.99661
36,36,36,36,36,Derry,0.24444445099259265,1.0,0.7111110859259278,-7.308574799999999,54.99661
37,37,37,37,37,Kilkenny,0.11111111614814816,1.0,0.8444443437037106,-7.2447879,52.65415
38,38,38,38,38,Tyrone,0.24444445099259265,1.0,0.7111110859259278,-7.1312320000000025,54.491209999999995
39,39,39,39,39,Waterford,0.04444443739259259,1.0,0.9111110859259276,-7.110070200000001,52.25932
40,40,40,40,40,Monaghan,0.17777777223703706,1.0,0.7777778281481449,-6.9683132,54.2492
41,41,41,41,41,Carlow,0.11111111614814816,1.0,0.8444443437037106,-6.934135899999999,52.83651
42,42,42,42,42,Kildare,0.11111111614814816,1.0,0.8444443437037106,-6.8194707999999995,53.21204
43,43,43,43,43,Dungannon,0.24444445099259265,1.0,0.7111110859259278,-6.7669352,54.508269999999996
44,44,44,44,44,Cookstown,0.24444445099259265,1.0,0.7111110859259278,-6.7443895000000005,54.641819999999996
45,45,45,45,45,Coleraine,0.37777778583703703,1.0,0.5777778281481448,-6.6646103000000005,55.132580000000004
46,46,46,46,46,Meath,0.11111111614814816,1.0,0.8444443437037106,-6.656416900000001,53.60555
47,47,47,47,47,Armagh,0.17777777223703706,1.0,0.7777778281481449,-6.652792,54.35028000000001
48,48,48,48,48,Armagh,0.17777777223703706,1.0,0.7777778281481449,-6.652792,54.35028000000001
49,49,49,49,49,Magherafelt,0.24444445099259265,1.0,0.7111110859259278,-6.607980499999999,54.75536999999999
50,50,50,50,50,Louth,0.11111111614814816,1.0,0.8444443437037106,-6.4889423,53.925230000000006
51,51,51,51,51,Wexford,0.04444443739259259,1.0,0.9111110859259276,-6.4633381,52.33692
52,52,52,52,52,Craigavon,0.24444445099259265,1.0,0.7111110859259278,-6.4175653,54.442930000000004
53,53,53,53,53,Drogheda,0.11111111614814816,1.0,0.8444443437037106,-6.3560985,53.717859999999995
54,54,54,54,54,Rosslare,0.01,0.01,1.0,-6.3414908,52.25131
55,55,55,55,55,Newry,0.17777777223703706,1.0,0.7777778281481449,-6.34023,54.1751
56,56,56,56,56,Ballymena,0.24444445099259265,1.0,0.7111110859259278,-6.2802213,54.86529
57,57,57,57,57,Banbridge,0.17777777223703706,1.0,0.7777778281481449,-6.2704803,54.34873
58,58,58,58,58,Dublin,0.11111111614814816,1.0,0.8444443437037106,-6.2603097000000005,53.34981
59,59,59,59,59,Antrim,0.24444445099259265,1.0,0.7111110859259278,-6.2072498,54.719530000000006
60,60,60,60,60,Antrim,0.24444445099259265,1.0,0.7111110859259278,-6.2072498,54.719530000000006
61,61,61,61,61,Wicklow,0.11111111614814816,1.0,0.8444443437037106,-6.044589,52.980819999999994
62,62,62,62,62,Kilkeel,0.11111111614814816,1.0,0.8444443437037106,-6.007004,54.06312
63,63,63,63,63,Belfast,0.24444445099259265,1.0,0.7111110859259278,-5.93012,54.59728000000001
64,64,64,64,64,Down,0.17777777223703706,1.0,0.7777778281481449,-5.7156921999999994,54.32875
65,65,65,65,65,Balivanich,0.7777777677037038,1.0,0.17777782814814486,-7.3743509000000005,57.472269999999995
66,66,66,66,66,Western Isles,0.8444444464592593,1.0,0.11111108592592772,-7.0194034,57.75989000000001
67,67,67,67,67,Dunvegan,0.8444444464592593,1.0,0.11111108592592772,-6.5813982000000015,57.4366
68,68,68,68,68,Stornoway,0.8666666651555556,0.01,0.13333348444443455,-6.3848692000000025,58.20943000000001
69,69,69,69,69,Scilly Isles,0.01,0.01,1.0,-6.327496599999999,49.92773
70,70,70,70,70,Portree,0.8444444464592593,1.0,0.11111108592592772,-6.1960231,57.41246999999999
71,71,71,71,71,Islay,0.6444444555259259,1.0,0.31111108592592795,-6.177067,55.73625
72,72,72,72,72,Mull,0.7777777677037038,1.0,0.17777782814814486,-6.0008870000000005,56.4392
73,73,73,73,73,Broadford,0.8444444464592593,1.0,0.11111108592592772,-5.9096592,57.24139
74,74,74,74,74,Kyle of Lochalsh,0.8666666651555556,0.01,0.13333348444443455,-5.7143293,57.28261
75,75,75,75,75,Campbeltown,0.7111111116148148,1.0,0.244444570370362,-5.605373999999999,55.424119999999995
76,76,76,76,76,Penzance,0.01,0.01,1.0,-5.537592,50.1188
77,77,77,77,77,Oban,0.7777777677037038,1.0,0.17777782814814486,-5.471047,56.41516
78,78,78,78,78,Lochgilphead,0.7111111116148148,1.0,0.244444570370362,-5.4323449,56.03829
79,79,79,79,79,Helston,0.01,0.01,1.0,-5.274996,50.10159
80,80,80,80,80,Redruth,0.01,0.01,1.0,-5.226666000000002,50.23302
