,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
0,Dingle,0.3478848832882421,0.9316615,0.01,0.11043210780577555,-10.264013499999999,52.14094
1,Tralee,0.28870504246659223,0.9316615,0.01,0.08992273743645554,-9.6999325,52.27131
2,Killarney,0.3488453986532535,0.9316615,0.01,0.1105202624376963,-9.5044265,52.059940000000005
3,Bantry,0.36929607865031694,0.9316615,0.01,0.01,-9.4539805,51.68035
4,Mayo,0.6106728867185336,0.9316615,0.01,0.3561200363098488,-9.4289369,54.01526
5,Ballycastle,0.46811159304074984,0.9316615,0.01,0.2861757750739136,-9.3724643,54.279669999999996
6,Abbeyfeale,0.3682160262340233,0.9316615,0.01,0.18519709525641118,-9.2970823,52.386179999999996
7,Ennistymon,0.6902575615622846,0.9316615,0.01,0.41767683990875115,-9.2934951,52.940369999999994
8,Galway,0.7619876677139988,0.9316615,0.01,0.4706242898885446,-9.0567905,53.270669999999996
9,Claremorris,0.5898596578765213,0.9316615,0.01,0.4120325616567288,-9.0017356,53.72388
10,Clare,0.4762491129647635,0.9316615,0.01,0.2897456083871585,-8.9811351,52.90453
11,Adare,0.35985827687199945,0.9316615,0.01,0.19571031750955384,-8.7925892,52.56363
12,Charleville,0.39222750404105555,0.9316615,0.01,0.24376226354728697,-8.681017599999999,52.36206
13,Mallow,0.3005653680630188,0.9316615,0.01,0.206635675822267,-8.6539164,52.13898
14,Limerick,0.3807356338262292,0.9316615,0.01,0.09201402121161632,-8.6267343,52.66384
15,Loughrea,0.7458962930294711,0.9316615,0.01,0.468712749613593,-8.5660931,53.19891
16,Sligo,0.307226535087781,0.9316615,0.01,0.20899075880228016,-8.476088800000001,54.27661
17,Cork,0.30445243170707625,0.9316615,0.01,0.1773876694518693,-8.4756035,51.898509999999995
18,Nenagh,0.554857802942749,0.9316615,0.01,0.13002561718766617,-8.19834,52.8635
19,Roscommon,0.2555592463596749,0.9316615,0.01,0.25014711825471664,-8.1890955,53.627590000000005
20,Tipperary,0.34566908825293924,0.9316615,0.01,0.10040649172592754,-8.161851400000002,52.47379
21,Donegal,0.4650233181629097,0.9316615,0.01,0.20149476245719392,-8.1096143,54.653830000000006
22,Leitrim,0.4722959523629382,0.9316615,0.01,0.27885074276993543,-8.0020132,54.12469
23,Athlone,0.31339858462506015,0.9316615,0.01,0.19936739150471844,-7.9406898,53.423930000000006
24,Longford,0.2898525981589044,0.9316615,0.01,0.1987949818495069,-7.7932573000000005,53.727630000000005
25,Offaly,0.29937562282319513,0.9316615,0.01,0.5260295175939252,-7.7122229,53.235690000000005
26,Fermanagh,0.4471746081927038,0.9316615,0.01,0.2558471474568039,-7.6318728,54.343830000000004
27,Enniskillen,0.4471746081927038,0.9316615,0.01,0.2558471474568039,-7.631533599999999,54.343819999999994
28,Doon,0.7089967522486326,0.9316615,0.01,0.3371737697014386,-7.60964,54.185930000000006
29,Westmeath,0.17782022358772595,0.9316615,0.01,0.2513199099742632,-7.4653217000000005,53.534530000000004
30,Strabane,0.33011295829450726,0.9316615,0.01,0.2504676100550896,-7.4633103,54.82739
31,Cavan,0.5298185877583371,0.9316615,0.01,0.3055881561828662,-7.3633319,53.98972
32,Mullingar,0.25653776259829114,0.9316615,0.01,0.40196595630410586,-7.340186800000001,53.525819999999996
33,Laois,0.3992917218763774,0.9316615,0.01,0.21240372506079708,-7.332300699999999,52.99429
34,Omagh,0.507145643662019,0.9316615,0.01,0.4013834101125189,-7.309959700000001,54.59771
35,Derry,0.20870887890277925,0.9316615,0.01,0.2670728629744121,-7.308574799999999,54.99661
36,Kilkenny,0.44549462041079674,0.9316615,0.01,0.40621355278177573,-7.2447879,52.65415
37,Tyrone,0.46541314958191565,0.9316615,0.01,0.46884056413646896,-7.131232000000001,54.491209999999995
38,Waterford,0.539559029224137,0.9316615,0.01,0.2508393661418858,-7.110070200000001,52.25932
39,Monaghan,0.4924934950749329,0.9316615,0.01,0.01,-6.9683132,54.2492
40,Carlow,0.35177729094165106,0.9316615,0.01,0.19083450503569835,-6.934135899999999,52.83651
41,Kildare,0.3446798839956201,0.9316615,0.01,0.10154463643179741,-6.8194707999999995,53.21204
42,Dungannon,0.31607002677348695,0.9316615,0.01,0.4864541254706012,-6.7669352,54.508269999999996
43,Cookstown,0.3905615794416523,0.9316615,0.01,0.5578762161628015,-6.7443895000000005,54.641819999999996
44,Coleraine,0.37310270089045267,0.9316615,0.01,0.01,-6.6646103000000005,55.132580000000004
45,Meath,0.18625363287162033,0.9316615,0.01,0.18161945182497538,-6.656416900000001,53.60555
46,Armagh,0.15687142566637685,0.9316615,0.01,0.45328075923654493,-6.652792,54.350280000000005
47,Magherafelt,0.3102287432886978,0.9316615,0.01,0.5647011516434705,-6.607980499999999,54.75536999999999
