placename,dont_have,havent,havent_got,longitude,latitude
Dingle,0.7096774,0.00000000,0.29032258,-10.2640135,52.14094
Tralee,0.7500000,0.03125000,0.21875000, -9.6999325,52.27131
Killarney,0.7096774,0.00000000,0.29032258, -9.5044265,52.05994
Bantry,0.6562500,0.00000000,0.34375000, -9.4539805,51.68035
Mayo,0.7812500,0.03125000,0.18750000, -9.4289369,54.01526
Ballycastle,0.8387097,0.03225806,0.12903226, -9.3724643,54.27967
Abbeyfeale,0.7500000,0.03125000,0.21875000, -9.2970823,52.38618
Ennistymon,0.7812500,0.03125000,0.18750000, -9.2934951,52.94037
Galway,0.7812500,0.03125000,0.18750000, -9.0567905,53.27067
Claremorris,0.7812500,0.03125000,0.18750000, -9.0017356,53.72388
Clare,0.7812500,0.03125000,0.18750000, -8.9811351,52.90453
Adare,0.7500000,0.03125000,0.21875000, -8.7925892,52.56363
Charleville,0.7419355,0.00000000,0.25806452, -8.6810176,52.36206
Mallow,0.6774194,0.00000000,0.32258065, -8.6539164,52.13898
Limerick,0.7500000,0.03125000,0.21875000, -8.6267343,52.66384
Loughrea,0.7812500,0.03125000,0.18750000, -8.5660931,53.19891
Sligo,0.8064516,0.03225806,0.16129032, -8.4760888,54.27661
Cork,0.6562500,0.00000000,0.34375000, -8.4756035,51.89851
Nenagh,0.7812500,0.03125000,0.18750000, -8.1983400,52.86350
Roscommon,0.7812500,0.03125000,0.18750000, -8.1890955,53.62759
Tipperary,0.7794118,0.00000000,0.22058824, -8.1618514,52.47379
Donegal,0.8666667,0.03333333,0.10000000, -8.1096143,54.65383
Leitrim,0.8666667,0.03333333,0.10000000, -8.0020132,54.12469
Athlone,0.7812500,0.03125000,0.18750000, -7.9406898,53.42393
Longford,0.8064516,0.03225806,0.16129032, -7.7932573,53.72763
Offaly,0.7812500,0.03125000,0.18750000, -7.7122229,53.23569
Fermanagh,0.8666667,0.03333333,0.10000000, -7.6318728,54.34383
Enniskillen,0.8666667,0.03333333,0.10000000, -7.6315336,54.34382
Doon,0.8666667,0.03333333,0.10000000, -7.6096400,54.18593
Westmeath,0.8666667,0.03333333,0.10000000, -7.4653217,53.53453
Strabane,0.8333333,0.03333333,0.13333333, -7.4633103,54.82739
Balivanich,0.9200000,0.04000000,0.04000000, -7.3743509,57.47227
Cavan,0.8666667,0.03333333,0.10000000, -7.3633319,53.98972
Mullingar,0.8666667,0.03333333,0.10000000, -7.3401868,53.52582
