placename,might_be_able_to,might_can,might_could,longitude,latitude
Dingle,1.0000000,0.0000000000,0.0000000000,-10.2640135,52.14094
Tralee,1.0000000,0.0000000000,0.0000000000, -9.6999325,52.27131
Killarney,1.0000000,0.0000000000,0.0000000000, -9.5044265,52.05994
Bantry,1.0000000,0.0000000000,0.0000000000, -9.4539805,51.68035
Mayo,1.0000000,0.0000000000,0.0000000000, -9.4289369,54.01526
Ballycastle,0.9969758,0.0000000000,0.0030241935, -9.3724643,54.27967
Abbeyfeale,1.0000000,0.0000000000,0.0000000000, -9.2970823,52.38618
Ennistymon,1.0000000,0.0000000000,0.0000000000, -9.2934951,52.94037
Galway,1.0000000,0.0000000000,0.0000000000, -9.0567905,53.27067
Claremorris,1.0000000,0.0000000000,0.0000000000, -9.0017356,53.72388
Clare,1.0000000,0.0000000000,0.0000000000, -8.9811351,52.90453
Adare,1.0000000,0.0000000000,0.0000000000, -8.7925892,52.56363
Charleville,1.0000000,0.0000000000,0.0000000000, -8.6810176,52.36206
Mallow,1.0000000,0.0000000000,0.0000000000, -8.6539164,52.13898
Limerick,1.0000000,0.0000000000,0.0000000000, -8.6267343,52.66384
Loughrea,1.0000000,0.0000000000,0.0000000000, -8.5660931,53.19891
Sligo,0.9967983,0.0000000000,0.0032017076, -8.4760888,54.27661
Cork,1.0000000,0.0000000000,0.0000000000, -8.4756035,51.89851
Nenagh,1.0000000,0.0000000000,0.0000000000, -8.1983400,52.86350
Roscommon,1.0000000,0.0000000000,0.0000000000, -8.1890955,53.62759
Tipperary,1.0000000,0.0000000000,0.0000000000, -8.1618514,52.47379
Donegal,0.9954545,0.0000000000,0.0045454545, -8.1096143,54.65383
Leitrim,0.9892473,0.0071684588,0.0035842294, -8.0020132,54.12469
Athlone,1.0000000,0.0000000000,0.0000000000, -7.9406898,53.42393
Longford,0.9945055,0.0054945055,0.0000000000, -7.7932573,53.72763
Offaly,1.0000000,0.0000000000,0.0000000000, -7.7122229,53.23569
Fermanagh,0.9869565,0.0086956522,0.0043478261, -7.6318728,54.34383
Enniskillen,0.9869565,0.0086956522,0.0043478261, -7.6315336,54.34382
Doon,0.9876033,0.0082644628,0.0041322314, -7.6096400,54.18593
Westmeath,0.9965202,0.0034797738,0.0000000000, -7.4653217,53.53453
Strabane,0.9953632,0.0000000000,0.0046367852, -7.4633103,54.82739
Balivanich,0.9908116,0.0091883614,0.0000000000, -7.3743509,57.47227
Cavan,0.9879032,0.0080645161,0.0040322581, -7.3633319,53.98972
Mullingar,0.9965202,0.0034797738,0.0000000000, -7.3401868,53.52582
Laois,1.0000000,0.0000000000,0.0000000000, -7.3323007,52.99430
Omagh,0.9951378,0.0000000000,0.0048622366, -7.3099597,54.59771
Derry,0.9951378,0.0000000000,0.0048622366, -7.3085748,54.99661
Derry,0.9951378,0.0000000000,0.0048622366, -7.3085748,54.99661
Kilkenny,1.0000000,0.0000000000,0.0000000000, -7.2447879,52.65415
Tyrone,0.9949153,0.0000000000,0.0050847458, -7.1312320,54.49121
Waterford,1.0000000,0.0000000000,0.0000000000, -7.1100702,52.25932
Western Isles,0.9910581,0.0089418778,0.0000000000, -7.0194034,57.75989
Monaghan,0.9849246,0.0100502513,0.0050251256, -6.9683132,54.24920
Carlow,1.0000000,0.0000000000,0.0000000000, -6.9341359,52.83651
Kildare,0.9982731,0.0017268672,0.0000000000, -6.8194708,53.21204
Dungannon,0.9974227,0.0000000000,0.0025773196, -6.7669352,54.50827
Cookstown,0.9975669,0.0000000000,0.0024330900, -6.7443895,54.64182
Coleraine,0.9976057,0.0000000000,0.0023942538, -6.6646103,55.13258
Meath,0.9964825,0.0035175143,0.0000000000, -6.6564169,53.60555
Armagh,0.9925373,0.0049751244,0.0024875622, -6.6527920,54.35028
Armagh,0.9925373,0.0049751244,0.0024875622, -6.6527920,54.35028
Magherafelt,0.9974874,0.0000000000,0.0025125628, -6.6079805,54.75537
Dunvegan,0.9908953,0.0091047041,0.0000000000, -6.5813982,57.43660
Louth,0.9961655,0.0038344784,0.0000000000, -6.4889423,53.92523
Wexford,1.0000000,0.0000000000,0.0000000000, -6.4633381,52.33692
Craigavon,0.9974227,0.0000000000,0.0025773196, -6.4175653,54.44293
Stornoway,0.9909774,0.0090225564,0.0000000000, -6.3848692,58.20943
Drogheda,0.9964825,0.0035175143,0.0000000000, -6.3560985,53.71786
Rosslare,1.0000000,0.0000000000,0.0000000000, -6.3414908,52.25131
Newry,0.9894737,0.0105263158,0.0000000000, -6.3402300,54.17510
Scilly Isles,1.0000000,0.0000000000,0.0000000000, -6.3274966,49.92773
Ballymena,0.9975610,0.0000000000,0.0024390244, -6.2802213,54.86529
Banbridge,0.9946092,0.0053908356,0.0000000000, -6.2704803,54.34873
Dublin,0.9965904,0.0034095752,0.0000000000, -6.2603097,53.34981
Antrim,0.9974598,0.0000000000,0.0025402202, -6.2072498,54.71953
Antrim,0.9974598,0.0000000000,0.0025402202, -6.2072498,54.71953
Portree,0.9908116,0.0091883614,0.0000000000, -6.1960231,57.41247
Islay,1.0000000,0.0000000000,0.0000000000, -6.1770670,55.73625
Wicklow,0.9983163,0.0016837379,0.0000000000, -6.0445890,52.98082
Kilkeel,0.9903614,0.0096385542,0.0000000000, -6.0070040,54.06312
Mull,1.0000000,0.0000000000,0.0000000000, -6.0008870,56.43920
Belfast,0.9946903,0.0053097345,0.0000000000, -5.9301200,54.59728
Broadford,0.9908116,0.0091883614,0.0000000000, -5.9096592,57.24139
Down,0.9947043,0.0052956752,0.0000000000, -5.7156922,54.32875
Kyle of Lochalsh,0.9908953,0.0091047041,0.0000000000, -5.7143293,57.28261
Campbeltown,1.0000000,0.0000000000,0.0000000000, -5.6053740,55.42412
Penzance,1.0000000,0.0000000000,0.0000000000, -5.5375920,50.11880
Oban,1.0000000,0.0000000000,0.0000000000, -5.4710470,56.41516
Lochgilphead,1.0000000,0.0000000000,0.0000000000, -5.4323449,56.03829
Helston,1.0000000,0.0000000000,0.0000000000, -5.2749960,50.10159
Redruth,1.0000000,0.0000000000,0.0000000000, -5.2266660,50.23302
Ullapool,0.9909366,0.0090634441,0.0000000000, -5.1613130,57.89542
Ballachulish,1.0000000,0.0000000000,0.0000000000, -5.1337200,56.67393
Fort William,0.9893993,0.0000000000,0.0106007067, -5.1052179,56.81982
Achnasheen,0.9827338,0.0086330935,0.0086330935, -5.0787658,57.57859
Newquay,1.0000000,0.0000000000,0.0000000000, -5.0737190,50.41550
Falmouth,1.0000000,0.0000000000,0.0000000000, -5.0662700,50.15257
Rothesay,1.0000000,0.0000000000,0.0000000000, -5.0557930,55.83596
Truro,1.0000000,0.0000000000,0.0000000000, -5.0510410,50.26320
Milford Haven,0.9939940,0.0000000000,0.0060060060, -5.0426971,51.71431
Stranraer,0.9950249,0.0049751244,0.0000000000, -5.0240550,54.90337
Fishguard,0.9943128,0.0000000000,0.0056872038, -4.9759890,51.99393
Inchnadamph,0.9908537,0.0091463415,0.0000000000, -4.9742950,58.15221
Haverfordwest,0.9938838,0.0000000000,0.0061162080, -4.9713190,51.80047
Dunoon,0.9971791,0.0028208745,0.0000000000, -4.9262140,55.95097
Pembroke,0.9939940,0.0000000000,0.0060060060, -4.9086370,51.67404
Girvan,1.0000000,0.0000000000,0.0000000000, -4.8542179,55.24016
Wadebridge,1.0000000,0.0000000000,0.0000000000, -4.8364560,50.51665
Invergarry,0.9842932,0.0078534031,0.0078534031, -4.8002610,57.07095
St Austell,1.0000000,0.0000000000,0.0000000000, -4.7834252,50.34038
Greenock,0.9975339,0.0024660912,0.0000000000, -4.7719830,55.95648
Helensburgh,0.9975369,0.0024630542,0.0000000000, -4.7340140,56.00232
Bodmin,1.0000000,0.0000000000,0.0000000000, -4.7188629,50.47150
Tenby,0.9918367,0.0000000000,0.0081632653, -4.7035790,51.67274
Camelford,1.0000000,0.0000000000,0.0000000000, -4.6823640,50.62206
Irvine,0.9976498,0.0023501763,0.0000000000, -4.6696364,55.61157
Cardigan,0.9936909,0.0000000000,0.0063091483, -4.6608640,52.08370
Holyhead,1.0000000,0.0000000000,0.0000000000, -4.6330380,53.30944
Ayr,1.0000000,0.0000000000,0.0000000000, -4.6291790,55.45856
Dumbarton,0.9975309,0.0024691358,0.0000000000, -4.5645540,55.94529
Bude,1.0000000,0.0000000000,0.0000000000, -4.5436780,50.82664
Isle of Man,0.9949875,0.0050125313,0.0000000000, -4.5126331,54.27697
Kilmarnock,0.9976681,0.0023319083,0.0000000000, -4.4987920,55.61472
Newton Stewart,1.0000000,0.0000000000,0.0000000000, -4.4831640,54.96030
Liskeard,1.0000000,0.0000000000,0.0000000000, -4.4647190,50.45552
Altnaharra,0.9913043,0.0086956522,0.0000000000, -4.4426550,58.28023
Pwllheli,1.0000000,0.0000000000,0.0000000000, -4.4176339,52.88882
Lairg,0.9913043,0.0086956522,0.0000000000, -4.4024140,58.02206
Launceston,1.0000000,0.0000000000,0.0000000000, -4.3604516,50.63683
Carmarthen,0.9939940,0.0000000000,0.0060060060, -4.3121310,51.85762
Llangefni,1.0000000,0.0000000000,0.0000000000, -4.3114020,53.25579
Caernarfon,1.0000000,0.0000000000,0.0000000000, -4.2739110,53.13955
Cumnock,1.0000000,0.0000000000,0.0000000000, -4.2658289,55.45355
Aberaeron,0.9935275,0.0000000000,0.0064724919, -4.2581619,52.24279
Alness,0.9908953,0.0091047041,0.0000000000, -4.2568250,57.69595
Glasgow,0.9976535,0.0023464998,0.0000000000, -4.2518060,55.86424
Dalwhinnie,0.9877301,0.0061349693,0.0061349693, -4.2427830,56.93660
Inverness,0.9825835,0.0087082729,0.0087082729, -4.2247210,57.47777
Saltash,1.0000000,0.0000000000,0.0000000000, -4.2164300,50.40921
Bideford,1.0000000,0.0000000000,0.0000000000, -4.2066660,51.01668
Invergordon,0.9914408,0.0085592011,0.0000000000, -4.1728820,57.68811
Llanelli,0.9921569,0.0000000000,0.0078431373, -4.1602480,51.68089
Plymouth,1.0000000,0.0000000000,0.0000000000, -4.1426565,50.37546
Tavistock,1.0000000,0.0000000000,0.0000000000, -4.1416540,50.55112
Porthmadog,1.0000000,0.0000000000,0.0000000000, -4.1333840,52.92784
Bangor,1.0000000,0.0000000000,0.0000000000, -4.1292630,53.22739
Tywyn,0.9917752,0.0000000000,0.0082248115, -4.0872490,52.58701
Aberystwyth,0.9919028,0.0000000000,0.0080971660, -4.0829200,52.41530
Lampeter,0.9935275,0.0000000000,0.0064724919, -4.0785090,52.11290
Barnstaple,1.0000000,0.0000000000,0.0000000000, -4.0583380,51.07816
Tain,0.9933333,0.0066666667,0.0000000000, -4.0552300,57.81150
Okehampton,1.0000000,0.0000000000,0.0000000000, -4.0042630,50.73831
Llandeilo,0.9920000,0.0000000000,0.0080000000, -3.9914300,51.88469
Motherwell,0.9976124,0.0023875846,0.0000000000, -3.9810968,55.78321
Golspie,0.9933775,0.0066225166,0.0000000000, -3.9760860,57.97341
Airdrie,0.9976780,0.0023219814,0.0000000000, -3.9625660,55.86627
Swansea,0.9920844,0.0000000000,0.0079155673, -3.9436460,51.62144
Stirling,1.0000000,0.0000000000,0.0000000000, -3.9369029,56.11652
Tregaron,0.9935760,0.0000000000,0.0064239829, -3.9343850,52.22000
Tregaron,0.9935760,0.0000000000,0.0064239829, -3.9343850,52.22000
Castle Douglas,0.9864407,0.0135593220,0.0000000000, -3.9314140,54.94042
Dolgellau,1.0000000,0.0000000000,0.0000000000, -3.8844000,52.74215
Aberfeldy,0.9877301,0.0000000000,0.0122699387, -3.8669690,56.62175
Machynlleth,1.0000000,0.0000000000,0.0000000000, -3.8534850,52.59027
Brora,0.9933775,0.0066225166,0.0000000000, -3.8525480,58.01216
Llandudno,1.0000000,0.0000000000,0.0000000000, -3.8276090,53.32406
Llandudno,1.0000000,0.0000000000,0.0000000000, -3.8276090,53.32406
Aviemore,0.9867110,0.0066445183,0.0066445183, -3.8238120,57.19449
Dalbeattie,0.9864407,0.0135593220,0.0000000000, -3.8225270,54.93422
Falkirk,0.9915612,0.0000000000,0.0084388186, -3.7839131,56.00188
Kingsbridge,1.0000000,0.0000000000,0.0000000000, -3.7774930,50.28395
Pitlochry,0.9866667,0.0000000000,0.0133333333, -3.7297110,56.70436
Colwyn Bay,1.0000000,0.0000000000,0.0000000000, -3.7276400,53.29318
Totnes,1.0000000,0.0000000000,0.0000000000, -3.6857970,50.43374
Grantown-on-Spey,0.9866667,0.0066666667,0.0066666667, -3.6096280,57.33041
Dumfries,0.9794521,0.0205479452,0.0000000000, -3.6051200,55.07086
Whitehaven,1.0000000,0.0000000000,0.0000000000, -3.5892330,54.54970
Dartmouth,1.0000000,0.0000000000,0.0000000000, -3.5788070,50.35252
Bridgend,1.0000000,0.0000000000,0.0000000000, -3.5769450,51.50429
Paignton,1.0000000,0.0000000000,0.0000000000, -3.5642350,50.43508
Workington,1.0000000,0.0000000000,0.0000000000, -3.5427520,54.64357
Llanidloes,1.0000000,0.0000000000,0.0000000000, -3.5401950,52.44779
Exeter,1.0000000,0.0000000000,0.0000000000, -3.5338990,50.71841
Torquay,1.0000000,0.0000000000,0.0000000000, -3.5253150,50.46192
Thurso,0.9933775,0.0066225166,0.0000000000, -3.5220800,58.59357
Livingston,0.9973022,0.0000000000,0.0026978417, -3.5180680,55.90071
Rhyl,1.0000000,0.0000000000,0.0000000000, -3.4916340,53.31914
Tiverton,1.0000000,0.0000000000,0.0000000000, -3.4912070,50.90205
Tiverton,1.0000000,0.0000000000,0.0000000000, -3.4912070,50.90205
Minehead,1.0000000,0.0000000000,0.0000000000, -3.4811520,51.20428
Dunfermline,0.9974171,0.0000000000,0.0025828670, -3.4521510,56.07174
Perth,0.9872747,0.0000000000,0.0127253446, -3.4308381,56.39499
Prestatyn,1.0000000,0.0000000000,0.0000000000, -3.4076130,53.33651
Builth Wells,1.0000000,0.0000000000,0.0000000000, -3.4045920,52.15002
Braemar,0.9844961,0.0000000000,0.0155038760, -3.3979439,57.00647
Brecon,1.0000000,0.0000000000,0.0000000000, -3.3914630,51.94895
Merthyr Tydfil,1.0000000,0.0000000000,0.0000000000, -3.3816460,51.74873
Llandrindod Wells,1.0000000,0.0000000000,0.0000000000, -3.3777420,52.24170
Corwen,1.0000000,0.0000000000,0.0000000000, -3.3692420,52.98005
Cockermouth,1.0000000,0.0000000000,0.0000000000, -3.3679850,54.66326
Lockerbie,0.9781818,0.0218181818,0.0000000000, -3.3490080,55.12224
Blairgowrie,0.9869707,0.0000000000,0.0130293160, -3.3378318,56.58941
Elgin,0.9933775,0.0066225166,0.0000000000, -3.3184850,57.64945
Newtown,1.0000000,0.0000000000,0.0000000000, -3.3131060,52.51211
Ruthin,1.0000000,0.0000000000,0.0000000000, -3.3103108,53.11487
Ruthin,1.0000000,0.0000000000,0.0000000000, -3.3103108,53.11487
Sidmouth,1.0000000,0.0000000000,0.0000000000, -3.2375600,50.67865
Barrow-in-Furness,1.0000000,0.0000000000,0.0000000000, -3.2188940,54.10897
Peebles,0.9888424,0.0083682008,0.0027894003, -3.1936420,55.65307
Edinburgh,0.9972678,0.0000000000,0.0027322404, -3.1882670,55.95325
Cardiff,0.9967794,0.0000000000,0.0032206119, -3.1790900,51.48158
Llangollen,1.0000000,0.0000000000,0.0000000000, -3.1716600,52.96921
Kirkcaldy,0.9972900,0.0000000000,0.0027100271, -3.1581370,56.11682
Welshpool,1.0000000,0.0000000000,0.0000000000, -3.1464070,52.66035
Mold,1.0000000,0.0000000000,0.0000000000, -3.1419030,53.16720
Mold,1.0000000,0.0000000000,0.0000000000, -3.1419030,53.16720
Taunton,1.0000000,0.0000000000,0.0000000000, -3.1068490,51.01534
Wick,0.9933775,0.0066225166,0.0000000000, -3.0937160,58.43894
John o' Groats,0.9933775,0.0066225166,0.0000000000, -3.0688997,58.63734
Dalkeith,0.9972376,0.0000000000,0.0027624309, -3.0666060,55.89312
Oswestry,1.0000000,0.0000000000,0.0000000000, -3.0564120,52.85715
Blackpool,1.0000000,0.0000000000,0.0000000000, -3.0356748,53.81751
Birkenhead,1.0000000,0.0000000000,0.0000000000, -3.0230090,53.38999
Cupar,0.9945750,0.0000000000,0.0054249548, -3.0101370,56.32023
Southport,1.0000000,0.0000000000,0.0000000000, -3.0101130,53.64571
Bridgwater,1.0000000,0.0000000000,0.0000000000, -3.0036320,51.12789
Langholm,0.9807074,0.0192926045,0.0000000000, -2.9989130,55.15306
Newport,0.9966648,0.0000000000,0.0033351862, -2.9976640,51.58415
Axminster,1.0000000,0.0000000000,0.0000000000, -2.9949370,50.78273
Wrexham,1.0000000,0.0000000000,0.0000000000, -2.9924940,53.04304
Liverpool,1.0000000,0.0000000000,0.0000000000, -2.9915726,53.40837
Weston-super-Mare,0.9971778,0.0000000000,0.0028222013, -2.9772550,51.34741
Dundee,0.9945897,0.0000000000,0.0054102795, -2.9707210,56.46202
