placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Dingle,0.09436202,0.8100890,0.09554896,-10.2640135,52.14094
Tralee,0.09369476,0.8078963,0.09840896, -9.6999325,52.27131
Killarney,0.09402720,0.8107629,0.09520993, -9.5044265,52.05994
Bantry,0.06628788,0.8446970,0.08901515, -9.4539805,51.68035
Mayo,0.11886458,0.7930219,0.08811354, -9.4289369,54.01526
Ballycastle,0.12219599,0.7898465,0.08795750, -9.3724643,54.27967
Abbeyfeale,0.09740260,0.8110980,0.09149941, -9.2970823,52.38618
Ennistymon,0.10041104,0.8050499,0.09453905, -9.2934951,52.94037
Galway,0.10076606,0.8043606,0.09487331, -9.0567905,53.27067
Claremorris,0.10504451,0.8065282,0.08842730, -9.0017356,53.72388
Clare,0.10041104,0.8050499,0.09453905, -8.9811351,52.90453
Adare,0.09723041,0.8114319,0.09133765, -8.7925892,52.56363
Charleville,0.09757540,0.8143111,0.08811354, -8.6810176,52.36206
Mallow,0.06445312,0.8437500,0.09179688, -8.6539164,52.13898
Limerick,0.09688784,0.8085731,0.09453905, -8.6267343,52.66384
Loughrea,0.10076606,0.8043606,0.09487331, -8.5660931,53.19891
Sligo,0.12573790,0.7863046,0.08795750, -8.4760888,54.27661
Cork,0.07115385,0.8384615,0.09038462, -8.4756035,51.89851
Nenagh,0.09688784,0.8050499,0.09806224, -8.1983400,52.86350
Roscommon,0.10504451,0.8029674,0.09198813, -8.1890955,53.62759
Tipperary,0.09884393,0.8080925,0.09306358, -8.1618514,52.47379
Donegal,0.14186633,0.7679697,0.09016393, -8.1096143,54.65383
Leitrim,0.12241277,0.7930219,0.08456535, -8.0020132,54.12469
Athlone,0.10430171,0.8043606,0.09133765, -7.9406898,53.42393
Longford,0.10860534,0.7994065,0.09198813, -7.7932573,53.72763
Offaly,0.10076606,0.8043606,0.09487331, -7.7122229,53.23569
Fermanagh,0.13730408,0.7768025,0.08589342, -7.6318728,54.34383
Enniskillen,0.13730408,0.7768025,0.08589342, -7.6315336,54.34382
Doon,0.12241277,0.7930219,0.08456535, -7.6096400,54.18593
Westmeath,0.10504451,0.8029674,0.09198813, -7.4653217,53.53453
Strabane,0.24245375,0.6733204,0.08422590, -7.4633103,54.82739
Balivanich,0.43384615,0.4984615,0.06769231, -7.3743509,57.47227
Cavan,0.10821999,0.8001183,0.09166174, -7.3633319,53.98972
Mullingar,0.10430171,0.8043606,0.09133765, -7.3401868,53.52582
Laois,0.10076606,0.8043606,0.09487331, -7.3323007,52.99430
Omagh,0.15057179,0.7509530,0.09847522, -7.3099597,54.59771
Derry,0.25193050,0.6645753,0.08349421, -7.3085748,54.99661
Derry,0.25193050,0.6645753,0.08349421, -7.3085748,54.99661
Kilkenny,0.09649123,0.8140351,0.08947368, -7.2447879,52.65415
Tyrone,0.14322088,0.7619351,0.09484405, -7.1312320,54.49121
Waterford,0.07326733,0.8376238,0.08910891, -7.1100702,52.25932
Western Isles,0.43449519,0.5030048,0.06250000, -7.0194034,57.75989
Monaghan,0.13126189,0.7818643,0.08687381, -6.9683132,54.24920
Carlow,0.09803922,0.8074866,0.09447415, -6.9341359,52.83651
Kildare,0.10076606,0.8043606,0.09487331, -6.8194708,53.21204
Dungannon,0.16002571,0.7403599,0.09961440, -6.7669352,54.50827
Cookstown,0.24423737,0.6679745,0.08778813, -6.7443895,54.64182
Coleraine,0.27028372,0.6421105,0.08760577, -6.6646103,55.13258
Meath,0.10860534,0.7958457,0.09554896, -6.6564169,53.60555
Armagh,0.14903226,0.7548387,0.09612903, -6.6527920,54.35028
Armagh,0.14903226,0.7548387,0.09612903, -6.6527920,54.35028
Magherafelt,0.25983076,0.6510702,0.08909905, -6.6079805,54.75537
Dunvegan,0.42960725,0.5075529,0.06283988, -6.5813982,57.43660
Louth,0.12341772,0.7860759,0.09050633, -6.4889423,53.92523
Wexford,0.08333333,0.8333333,0.08333333, -6.4633381,52.33692
Craigavon,0.17079705,0.7294039,0.09979906, -6.4175653,54.44293
Stornoway,0.42728365,0.5066106,0.06610577, -6.3848692,58.20943
Drogheda,0.11962025,0.7860759,0.09430380, -6.3560985,53.71786
Rosslare,0.08431373,0.8274510,0.08823529, -6.3414908,52.25131
Newry,0.14961140,0.7577720,0.09261658, -6.3402300,54.17510
Scilly Isles,0.08720930,0.8313953,0.08139535, -6.3274966,49.92773
Ballymena,0.26360459,0.6500250,0.08637044, -6.2802213,54.86529
Banbridge,0.15487764,0.7452229,0.09989943, -6.2704803,54.34873
Dublin,0.11516677,0.7910636,0.09376967, -6.2603097,53.34981
Antrim,0.26139209,0.6489735,0.08963445, -6.2072498,54.71953
Antrim,0.26139209,0.6489735,0.08963445, -6.2072498,54.71953
Portree,0.42728365,0.5066106,0.06610577, -6.1960231,57.41247
Islay,0.39570017,0.5316676,0.07263219, -6.1770670,55.73625
Wicklow,0.10357815,0.7928437,0.10357815, -6.0445890,52.98082
Kilkeel,0.13315841,0.7422106,0.12463103, -6.0070040,54.06312
Mull,0.41592428,0.5128062,0.07126949, -6.0008870,56.43920
Belfast,0.26119590,0.6492369,0.08956718, -5.9301200,54.59728
Broadford,0.43117041,0.5057611,0.06306853, -5.9096592,57.24139
Down,0.14713715,0.7263648,0.12649800, -5.7156922,54.32875
Kyle of Lochalsh,0.43401937,0.5030266,0.06295400, -5.7143293,57.28261
Campbeltown,0.38940629,0.5343423,0.07625146, -5.6053740,55.42412
Penzance,0.08835341,0.8152610,0.09638554, -5.5375920,50.11880
Oban,0.44328633,0.4929491,0.06376456, -5.4710470,56.41516
Lochgilphead,0.42978482,0.5045300,0.06568516, -5.4323449,56.03829
Helston,0.08859060,0.8201342,0.09127517, -5.2749960,50.10159
Redruth,0.08835341,0.8152610,0.09638554, -5.2266660,50.23302
Ullapool,0.43248175,0.5054745,0.06204380, -5.1613130,57.89542
Ballachulish,0.43613139,0.5018248,0.06204380, -5.1337200,56.67393
Fort William,0.43613139,0.5018248,0.06204380, -5.1052179,56.81982
Achnasheen,0.43248175,0.5054745,0.06204380, -5.0787658,57.57859
Newquay,0.08859060,0.8147651,0.09664430, -5.0737190,50.41550
Falmouth,0.08859060,0.8201342,0.09127517, -5.0662700,50.15257
Rothesay,0.43174061,0.5051195,0.06313993, -5.0557930,55.83596
Truro,0.08859060,0.8147651,0.09664430, -5.0510410,50.26320
Milford Haven,0.10322581,0.8000000,0.09677419, -5.0426971,51.71431
Stranraer,0.39774330,0.5183357,0.08392102, -5.0240550,54.90337
Fishguard,0.10884354,0.7959184,0.09523810, -4.9759890,51.99393
Inchnadamph,0.43248175,0.5054745,0.06204380, -4.9742950,58.15221
Haverfordwest,0.09584665,0.8083067,0.09584665, -4.9713190,51.80047
Dunoon,0.43620690,0.4982759,0.06551724, -4.9262140,55.95097
Pembroke,0.10191083,0.7898089,0.10828025, -4.9086370,51.67404
