placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Dingle,0.9921044,0.0046444422,0.00000000000,0.0032511095,-10.2640135,52.14094
Tralee,0.9935327,0.0035929578,0.00000000000,0.0028743662, -9.6999325,52.27131
Killarney,0.9935143,0.0033725841,0.00000000000,0.0031131545, -9.5044265,52.05994
Bantry,0.9935210,0.0033690879,0.00000000000,0.0031099273, -9.4539805,51.68035
Mayo,0.9934923,0.0061461334,0.00000000000,0.0003615373, -9.4289369,54.01526
Ballycastle,0.9939624,0.0057022104,0.00000000000,0.0003354241, -9.3724643,54.27967
Abbeyfeale,0.9934076,0.0038166467,0.00000000000,0.0027757431, -9.2970823,52.38618
Ennistymon,0.9947477,0.0049021515,0.00000000000,0.0003501537, -9.2934951,52.94037
Galway,0.9943601,0.0053081687,0.00000000000,0.0003317605, -9.0567905,53.27067
Claremorris,0.9933215,0.0063074576,0.00000000000,0.0003710269, -9.0017356,53.72388
Clare,0.9949685,0.0046960605,0.00000000000,0.0003354329, -8.9811351,52.90453
Adare,0.9972671,0.0022774432,0.00000000000,0.0004554886, -8.7925892,52.56363
Charleville,0.9947040,0.0024273332,0.00000000000,0.0028686666, -8.6810176,52.36206
Mallow,0.9945788,0.0027106236,0.00000000000,0.0027106236, -8.6539164,52.13898
Limerick,0.9975028,0.0019977802,0.00000000000,0.0004994451, -8.6267343,52.66384
Loughrea,0.9949059,0.0047545376,0.00000000000,0.0003396098, -8.5660931,53.19891
Sligo,0.9959280,0.0035629713,0.00000000000,0.0005089959, -8.4760888,54.27661
Cork,0.9934425,0.0035129263,0.00000000000,0.0030445361, -8.4756035,51.89851
Nenagh,0.9975441,0.0019647438,0.00000000000,0.0004911859, -8.1983400,52.86350
Roscommon,0.9925659,0.0067582789,0.00000000000,0.0006758279, -8.1890955,53.62759
Tipperary,0.9960714,0.0029464724,0.00000000000,0.0009821575, -8.1618514,52.47379
Donegal,0.9924723,0.0070258115,0.00000000000,0.0005018437, -8.1096143,54.65383
Leitrim,0.9945891,0.0048096605,0.00000000000,0.0006012076, -8.0020132,54.12469
Athlone,0.9954763,0.0045237497,0.00000000000,0.0000000000, -7.9406898,53.42393
Longford,0.9925558,0.0063807161,0.00000000000,0.0010634527, -7.7932573,53.72763
Offaly,0.9934448,0.0053633149,0.00000000000,0.0011918478, -7.7122229,53.23569
Fermanagh,0.9922600,0.0054180166,0.00000000000,0.0023220071, -7.6318728,54.34383
Enniskillen,0.9922600,0.0054180166,0.00000000000,0.0023220071, -7.6315336,54.34382
Doon,0.9949482,0.0028867269,0.00000000000,0.0021650452, -7.6096400,54.18593
Westmeath,0.9938713,0.0061287028,0.00000000000,0.0000000000, -7.4653217,53.53453
Strabane,0.9908400,0.0091599629,0.00000000000,0.0000000000, -7.4633103,54.82739
Balivanich,0.9966910,0.0033090171,0.00000000000,0.0000000000, -7.3743509,57.47227
Cavan,0.9935301,0.0057509825,0.00000000000,0.0007188728, -7.3633319,53.98972
Mullingar,0.9942469,0.0057530963,0.00000000000,0.0000000000, -7.3401868,53.52582
Laois,0.9949877,0.0033415170,0.00000000000,0.0016707585, -7.3323007,52.99430
Omagh,0.9892660,0.0095413073,0.00000000000,0.0011926634, -7.3099597,54.59771
Derry,0.9853979,0.0122843343,0.00092711957,0.0013906794, -7.3085748,54.99661
Derry,0.9853979,0.0122843343,0.00092711957,0.0013906794, -7.3085748,54.99661
Kilkenny,0.9945037,0.0042279325,0.00000000000,0.0012683798, -7.2447879,52.65415
Tyrone,0.9893300,0.0091457440,0.00000000000,0.0015242907, -7.1312320,54.49121
Waterford,0.9941736,0.0044818485,0.00000000000,0.0013445546, -7.1100702,52.25932
Western Isles,0.9961456,0.0038543522,0.00000000000,0.0000000000, -7.0194034,57.75989
Monaghan,0.9899889,0.0066740823,0.00000000000,0.0033370412, -6.9683132,54.24920
Carlow,0.9932138,0.0052781280,0.00000000000,0.0015080366, -6.9341359,52.83651
Kildare,0.9924899,0.0066265474,0.00000000000,0.0008835397, -6.8194708,53.21204
Dungannon,0.9833729,0.0142517815,0.00000000000,0.0023752969, -6.7669352,54.50827
Cookstown,0.9776699,0.0203883495,0.00000000000,0.0019417476, -6.7443895,54.64182
Coleraine,0.9723509,0.0225558439,0.00145521574,0.0036380393, -6.6646103,55.13258
Meath,0.9940047,0.0049052856,0.00000000000,0.0010900635, -6.6564169,53.60555
Armagh,0.9903537,0.0064308682,0.00000000000,0.0032154341, -6.6527920,54.35028
Armagh,0.9903537,0.0064308682,0.00000000000,0.0032154341, -6.6527920,54.35028
Magherafelt,0.9793578,0.0206422018,0.00000000000,0.0000000000, -6.6079805,54.75537
Dunvegan,0.9966910,0.0033090171,0.00000000000,0.0000000000, -6.5813982,57.43660
Louth,0.9929255,0.0047163632,0.00000000000,0.0023581816, -6.4889423,53.92523
Wexford,0.9937122,0.0047158483,0.00000000000,0.0015719494, -6.4633381,52.33692
Craigavon,0.9943311,0.0022675737,0.00000000000,0.0034013605, -6.4175653,54.44293
Stornoway,0.9920140,0.0074155381,0.00000000000,0.0005704260, -6.3848692,58.20943
Drogheda,0.9942683,0.0030862988,0.00000000000,0.0026453990, -6.3560985,53.71786
Rosslare,0.9937048,0.0047214147,0.00000000000,0.0015738049, -6.3414908,52.25131
Newry,0.9922426,0.0042313117,0.00000000000,0.0035260931, -6.3402300,54.17510
Scilly Isles,0.9904430,0.0031856796,0.00045509709,0.0059162621, -6.3274966,49.92773
Ballymena,0.9786277,0.0191226097,0.00000000000,0.0022497188, -6.2802213,54.86529
Banbridge,0.9952830,0.0018867925,0.00000000000,0.0028301887, -6.2704803,54.34873
Dublin,0.9946607,0.0041012184,0.00023214444,0.0010059592, -6.2603097,53.34981
Antrim,0.9882629,0.0105633803,0.00117370892,0.0000000000, -6.2072498,54.71953
Antrim,0.9882629,0.0105633803,0.00117370892,0.0000000000, -6.2072498,54.71953
Portree,0.9959992,0.0040008487,0.00000000000,0.0000000000, -6.1960231,57.41247
Islay,0.9804570,0.0123429469,0.00205715782,0.0051428945, -6.1770670,55.73625
Wicklow,0.9931065,0.0054163475,0.00000000000,0.0014771857, -6.0445890,52.98082
Kilkeel,0.9925299,0.0044820717,0.00000000000,0.0029880478, -6.0070040,54.06312
Mull,0.9919042,0.0071963037,0.00000000000,0.0008995380, -6.0008870,56.43920
Belfast,0.9954155,0.0045844522,0.00000000000,0.0000000000, -5.9301200,54.59728
Broadford,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.9096592,57.24139
Down,0.9951200,0.0048800325,0.00000000000,0.0000000000, -5.7156922,54.32875
Kyle of Lochalsh,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.7143293,57.28261
Campbeltown,0.9971040,0.0028960070,0.00000000000,0.0000000000, -5.6053740,55.42412
Penzance,0.9904080,0.0031973203,0.00045676005,0.0059378806, -5.5375920,50.11880
Oban,0.9912396,0.0077870364,0.00000000000,0.0009733795, -5.4710470,56.41516
Lochgilphead,0.9927493,0.0065256081,0.00000000000,0.0007250676, -5.4323449,56.03829
Helston,0.9901300,0.0034545155,0.00000000000,0.0064155289, -5.2749960,50.10159
Redruth,0.9904255,0.0031914894,0.00045592705,0.0059270517, -5.2266660,50.23302
Ullapool,0.9923894,0.0062675512,0.00000000000,0.0013430467, -5.1613130,57.89542
Ballachulish,0.9959115,0.0040884594,0.00000000000,0.0000000000, -5.1337200,56.67393
Fort William,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.1052179,56.81982
Achnasheen,0.9923310,0.0063156168,0.00000000000,0.0013533465, -5.0787658,57.57859
Newquay,0.9913197,0.0033756631,0.00048223758,0.0048223758, -5.0737190,50.41550
Falmouth,0.9912550,0.0032218472,0.00046026388,0.0050629027, -5.0662700,50.15257
Rothesay,0.9933588,0.0060374321,0.00000000000,0.0006037432, -5.0557930,55.83596
Truro,0.9912321,0.0032302723,0.00046146747,0.0050761421, -5.0510410,50.26320
Milford Haven,0.9897611,0.0070884747,0.00000000000,0.0031504332, -5.0426971,51.71431
Stranraer,0.9931857,0.0068143101,0.00000000000,0.0000000000, -5.0240550,54.90337
Fishguard,0.9881402,0.0075471698,0.00000000000,0.0043126685, -4.9759890,51.99393
Inchnadamph,0.9924937,0.0061816771,0.00000000000,0.0013246451, -4.9742950,58.15221
Haverfordwest,0.9897287,0.0071108770,0.00000000000,0.0031603898, -4.9713190,51.80047
Dunoon,0.9924880,0.0068290462,0.00000000000,0.0006829046, -4.9262140,55.95097
Pembroke,0.9914040,0.0070330815,0.00000000000,0.0015629070, -4.9086370,51.67404
Girvan,0.9966814,0.0033185841,0.00000000000,0.0000000000, -4.8542179,55.24016
Wadebridge,0.9909016,0.0036885246,0.00049180328,0.0049180328, -4.8364560,50.51665
Invergarry,1.0000000,0.0000000000,0.00000000000,0.0000000000, -4.8002610,57.07095
St Austell,0.9912228,0.0033758440,0.00045011253,0.0049512378, -4.7834252,50.34038
Greenock,0.9909649,0.0083400904,0.00000000000,0.0006950075, -4.7719830,55.95648
