placename,am_not,amnt,m_not,longitude,latitude
Dingle,0.1626160,0.00228980035,0.8350942,-10.2640135,52.14094
Tralee,0.1618940,0.00317367672,0.8349323, -9.6999325,52.27131
Killarney,0.1596740,0.00285042756,0.8374756, -9.5044265,52.05994
Bantry,0.1431411,0.00256815112,0.8542907, -9.4539805,51.68035
Mayo,0.1559063,0.00661718680,0.8374765, -9.4289369,54.01526
Ballycastle,0.1392909,0.00541709595,0.8552920, -9.3724643,54.27967
Abbeyfeale,0.1577469,0.00314968897,0.8391034, -9.2970823,52.38618
Ennistymon,0.1647878,0.00837350926,0.8268387, -9.2934951,52.94037
Galway,0.1588553,0.00774985742,0.8333948, -9.0567905,53.27067
Claremorris,0.1546167,0.00704155509,0.8383418, -9.0017356,53.72388
Clare,0.1646656,0.00534863638,0.8299858, -8.9811351,52.90453
Adare,0.1544828,0.00295149286,0.8425657, -8.7925892,52.56363
Charleville,0.1549633,0.00175550590,0.8432812, -8.6810176,52.36206
Mallow,0.1452327,0.00239012821,0.8523772, -8.6539164,52.13898
Limerick,0.1549826,0.00276254154,0.8422549, -8.6267343,52.66384
Loughrea,0.1646681,0.00784700048,0.8274849, -8.5660931,53.19891
Sligo,0.1288510,0.00372872650,0.8674203, -8.4760888,54.27661
Cork,0.1417824,0.00261228788,0.8556053, -8.4756035,51.89851
Nenagh,0.1492690,0.00172928785,0.8490017, -8.1983400,52.86350
Roscommon,0.1428763,0.00294590252,0.8541778, -8.1890955,53.62759
Tipperary,0.1525620,0.00141261076,0.8460254, -8.1618514,52.47379
Donegal,0.1681686,0.00326848618,0.8285629, -8.1096143,54.65383
Leitrim,0.1368091,0.00480381121,0.8583871, -8.0020132,54.12469
Athlone,0.1450180,0.00264105642,0.8523409, -7.9406898,53.42393
Longford,0.1411882,0.00347999006,0.8553318, -7.7932573,53.72763
Offaly,0.1436856,0.00193298969,0.8543814, -7.7122229,53.23569
Fermanagh,0.1344701,0.00473421264,0.8607957, -7.6318728,54.34383
Enniskillen,0.1344701,0.00473421264,0.8607957, -7.6315336,54.34382
Doon,0.1404484,0.00352751461,0.8560240, -7.6096400,54.18593
Westmeath,0.1444716,0.00335980452,0.8521686, -7.4653217,53.53453
Strabane,0.1838521,0.00124051401,0.8149074, -7.4633103,54.82739
Balivanich,0.1770228,0.00000000000,0.8229772, -7.3743509,57.47227
Cavan,0.1396805,0.00537232552,0.8549472, -7.3633319,53.98972
Mullingar,0.1417341,0.00494159928,0.8533243, -7.3401868,53.52582
Laois,0.1557348,0.00109606877,0.8431692, -7.3323007,52.99430
Omagh,0.1584643,0.00110961988,0.8404261, -7.3099597,54.59771
Derry,0.1860676,0.00135705669,0.8125754, -7.3085748,54.99661
Derry,0.1860676,0.00135705669,0.8125754, -7.3085748,54.99661
Kilkenny,0.1338544,0.00208748898,0.8640581, -7.2447879,52.65415
Tyrone,0.1387496,0.00113829159,0.8601121, -7.1312320,54.49121
Waterford,0.1387947,0.00190637577,0.8592989, -7.1100702,52.25932
Western Isles,0.1735631,0.00000000000,0.8264369, -7.0194034,57.75989
Monaghan,0.1172701,0.00288369112,0.8798462, -6.9683132,54.24920
Carlow,0.1481293,0.00202985356,0.8498408, -6.9341359,52.83651
Kildare,0.1445860,0.00156487339,0.8538492, -6.8194708,53.21204
Dungannon,0.1483813,0.00000000000,0.8516187, -6.7669352,54.50827
Cookstown,0.1498328,0.00000000000,0.8501672, -6.7443895,54.64182
Coleraine,0.1623154,0.00000000000,0.8376846, -6.6646103,55.13258
Meath,0.1340429,0.00535873772,0.8605984, -6.6564169,53.60555
Armagh,0.1277827,0.00178094390,0.8704363, -6.6527920,54.35028
Armagh,0.1277827,0.00178094390,0.8704363, -6.6527920,54.35028
Magherafelt,0.1574142,0.00000000000,0.8425858, -6.6079805,54.75537
Dunvegan,0.1752587,0.00000000000,0.8247413, -6.5813982,57.43660
Louth,0.1459461,0.00262215933,0.8514318, -6.4889423,53.92523
Wexford,0.1390951,0.00213202780,0.8587729, -6.4633381,52.33692
Craigavon,0.1437525,0.00000000000,0.8562475, -6.4175653,54.44293
Stornoway,0.1426734,0.00000000000,0.8573266, -6.3848692,58.20943
Drogheda,0.1552993,0.00238870937,0.8423120, -6.3560985,53.71786
Rosslare,0.1385315,0.00233918129,0.8591293, -6.3414908,52.25131
Newry,0.1414626,0.00000000000,0.8585374, -6.3402300,54.17510
Scilly Isles,0.1702730,0.00000000000,0.8297270, -6.3274966,49.92773
Ballymena,0.1442591,0.00000000000,0.8557409, -6.2802213,54.86529
Banbridge,0.1459632,0.00000000000,0.8540368, -6.2704803,54.34873
Dublin,0.1399412,0.00560106901,0.8544578, -6.2603097,53.34981
Antrim,0.1304762,0.00000000000,0.8695238, -6.2072498,54.71953
Antrim,0.1304762,0.00000000000,0.8695238, -6.2072498,54.71953
Portree,0.1741465,0.00000000000,0.8258535, -6.1960231,57.41247
Islay,0.1804826,0.00000000000,0.8195174, -6.1770670,55.73625
Wicklow,0.1650579,0.00300931183,0.8319328, -6.0445890,52.98082
Kilkeel,0.1476670,0.00054894785,0.8517841, -6.0070040,54.06312
Mull,0.1812137,0.00000000000,0.8187863, -6.0008870,56.43920
Belfast,0.1407493,0.00047730004,0.8587734, -5.9301200,54.59728
Broadford,0.1766288,0.00000000000,0.8233712, -5.9096592,57.24139
Down,0.1787565,0.00000000000,0.8212435, -5.7156922,54.32875
Kyle of Lochalsh,0.1806916,0.00000000000,0.8193084, -5.7143293,57.28261
Campbeltown,0.1828071,0.00042381861,0.8167691, -5.6053740,55.42412
Penzance,0.1692980,0.00000000000,0.8307020, -5.5375920,50.11880
Oban,0.1963770,0.00000000000,0.8036230, -5.4710470,56.41516
Lochgilphead,0.1874351,0.00134362085,0.8112213, -5.4323449,56.03829
Helston,0.1584110,0.00000000000,0.8415890, -5.2749960,50.10159
Redruth,0.1450374,0.00000000000,0.8549626, -5.2266660,50.23302
Ullapool,0.1889629,0.00024937373,0.8107877, -5.1613130,57.89542
Ballachulish,0.1682704,0.00000000000,0.8317296, -5.1337200,56.67393
Fort William,0.1687671,0.00000000000,0.8312329, -5.1052179,56.81982
Achnasheen,0.1584150,0.00000000000,0.8415850, -5.0787658,57.57859
Newquay,0.1362455,0.00000000000,0.8637545, -5.0737190,50.41550
Falmouth,0.1449796,0.00000000000,0.8550204, -5.0662700,50.15257
Rothesay,0.1998851,0.00098465578,0.7991302, -5.0557930,55.83596
Truro,0.1390253,0.00000000000,0.8609747, -5.0510410,50.26320
Milford Haven,0.1291796,0.00000000000,0.8708204, -5.0426971,51.71431
