placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
Dingle,0.03584347,0.11593596,0.00231228607,0.00034593256,0.00021848372,0.00000000000,0.8453439,-10.2640135,52.14094
Tralee,0.03595344,0.11585336,0.00231938052,0.00034699394,0.00021915407,0.00000000000,0.8453077, -9.6999325,52.27131
Killarney,0.03587413,0.11661113,0.00231245493,0.00035432777,0.00022378596,0.00000000000,0.8446242, -9.5044265,52.05994
Bantry,0.03513183,0.11513489,0.00198607203,0.00036284008,0.00022916216,0.00000000000,0.8471552, -9.4539805,51.68035
Mayo,0.04518858,0.11265019,0.00545652287,0.00027934417,0.00033521301,0.00000000000,0.8360901, -9.4289369,54.01526
Ballycastle,0.04786581,0.11024433,0.00515779302,0.00027980794,0.00033576953,0.00000000000,0.8361165, -9.3724643,54.27967
Abbeyfeale,0.04027096,0.12317047,0.00265628334,0.00012801365,0.00038404096,0.00000000000,0.8333902, -9.2970823,52.38618
Ennistymon,0.04398203,0.11862818,0.00443367226,0.00025335270,0.00060804648,0.00000000000,0.8320947, -9.2934951,52.94037
Galway,0.04314928,0.11607424,0.00475114379,0.00027784467,0.00050012040,0.00000000000,0.8352474, -9.0567905,53.27067
Claremorris,0.04426183,0.11722987,0.00515790982,0.00030701844,0.00055263319,0.00000000000,0.8324907, -9.0017356,53.72388
Clare,0.04265536,0.12013751,0.00479242181,0.00028025859,0.00067262060,0.00000000000,0.8314618, -8.9811351,52.90453
Adare,0.04187893,0.12139605,0.00207294602,0.00000000000,0.00048775201,0.00000000000,0.8341643, -8.7925892,52.56363
Charleville,0.03597537,0.11433726,0.00223891122,0.00033495522,0.00021155067,0.00000000000,0.8469020, -8.6810176,52.36206
Mallow,0.03454988,0.11333857,0.00191568529,0.00034998097,0.00022104061,0.00000000000,0.8496248, -8.6539164,52.13898
Limerick,0.04178715,0.12119700,0.00375717835,0.00012218466,0.00073310797,0.00000000000,0.8324034, -8.6267343,52.66384
Loughrea,0.04349421,0.11767375,0.00495173745,0.00028957529,0.00069498069,0.00000000000,0.8328958, -8.5660931,53.19891
Sligo,0.04887099,0.09884231,0.00315339977,0.00000000000,0.00000000000,0.00000000000,0.8491333, -8.4760888,54.27661
Cork,0.03360559,0.11278263,0.00185738609,0.00033933015,0.00021431378,0.00000000000,0.8512008, -8.4756035,51.89851
Nenagh,0.04386442,0.11750792,0.00166753394,0.00000000000,0.00063863002,0.00000000000,0.8363215, -8.1983400,52.86350
Roscommon,0.04884946,0.11623063,0.00521305530,0.00032379225,0.00058282606,0.00000000000,0.8288002, -8.1890955,53.62759
Tipperary,0.03368717,0.11086837,0.00168470073,0.00055471853,0.00024654157,0.00000000000,0.8529585, -8.1618514,52.47379
Donegal,0.05098353,0.09896918,0.00222137598,0.00017692375,0.00000000000,0.00000000000,0.8476490, -8.1096143,54.65383
Leitrim,0.04820683,0.09716569,0.00379085862,0.00000000000,0.00000000000,0.00000000000,0.8508366, -8.0020132,54.12469
Athlone,0.05399785,0.11041052,0.00127448350,0.00000000000,0.00040246847,0.00000000000,0.8339147, -7.9406898,53.42393
Longford,0.04942961,0.11187889,0.00276174587,0.00000000000,0.00033817296,0.00000000000,0.8355916, -7.7932573,53.72763
Offaly,0.04673874,0.11131975,0.00113920272,0.00023569711,0.00023569711,0.00000000000,0.8403309, -7.7122229,53.23569
Fermanagh,0.04503340,0.10083749,0.00284714780,0.00000000000,0.00000000000,0.00000000000,0.8512820, -7.6318728,54.34383
Enniskillen,0.04503340,0.10083749,0.00284714780,0.00000000000,0.00000000000,0.00000000000,0.8512820, -7.6315336,54.34382
Doon,0.04191236,0.09511408,0.00421856304,0.00000000000,0.00000000000,0.00000000000,0.8587550, -7.6096400,54.18593
Westmeath,0.04858209,0.10966181,0.00211263962,0.00043115094,0.00025869057,0.00000000000,0.8389536, -7.4653217,53.53453
Strabane,0.05301667,0.09790687,0.00135059743,0.00020602334,0.00000000000,0.00000000000,0.8475198, -7.4633103,54.82739
Balivanich,0.04713580,0.10311362,0.00000000000,0.00156035746,0.00000000000,0.00000000000,0.8481902, -7.3743509,57.47227
Cavan,0.04513055,0.10378659,0.00299502743,0.00016411109,0.00000000000,0.00000000000,0.8479237, -7.3633319,53.98972
Mullingar,0.04977254,0.10939230,0.00210827649,0.00068841681,0.00025815631,0.00000000000,0.8377803, -7.3401868,53.52582
Laois,0.04008214,0.11221660,0.00121917402,0.00064544507,0.00021514836,0.00000000000,0.8456215, -7.3323007,52.99430
Omagh,0.05000647,0.09804680,0.00111290353,0.00022258071,0.00000000000,0.00000000000,0.8506112, -7.3099597,54.59771
Derry,0.05466315,0.10184266,0.00043383455,0.00021691727,0.00000000000,0.00000000000,0.8428434, -7.3085748,54.99661
Derry,0.05466315,0.10184266,0.00043383455,0.00021691727,0.00000000000,0.00000000000,0.8428434, -7.3085748,54.99661
Kilkenny,0.03610295,0.10326138,0.00076220158,0.00066692638,0.00038110079,0.00000000000,0.8588254, -7.2447879,52.65415
Tyrone,0.03703806,0.10141239,0.00102724984,0.00034241661,0.00000000000,0.00000000000,0.8601799, -7.1312320,54.49121
Waterford,0.03397965,0.10095508,0.00086388942,0.00086388942,0.00043194471,0.00000000000,0.8629055, -7.1100702,52.25932
Western Isles,0.04646605,0.11516808,0.00015049733,0.00067723796,0.00000000000,0.00000000000,0.8375381, -7.0194034,57.75989
Monaghan,0.03717116,0.10580121,0.00099343857,0.00049671929,0.00000000000,0.00000000000,0.8555375, -6.9683132,54.24920
Carlow,0.03547017,0.10373080,0.00156166541,0.00061108647,0.00040739098,0.00000000000,0.8582189, -6.9341359,52.83651
Kildare,0.04040374,0.10658895,0.00211782006,0.00077253813,0.00015983548,0.00000000000,0.8499571, -6.8194708,53.21204
Dungannon,0.04021670,0.10847674,0.00076481836,0.00038240918,0.00000000000,0.00000000000,0.8501593, -6.7669352,54.50827
Cookstown,0.03965081,0.11022258,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8501266, -6.7443895,54.64182
Coleraine,0.05117153,0.10194171,0.00000000000,0.00024080719,0.00000000000,0.00000000000,0.8466460, -6.6646103,55.13258
Meath,0.04739330,0.11761691,0.00174721828,0.00069888731,0.00000000000,0.00000000000,0.8325437, -6.6564169,53.60555
Armagh,0.03731055,0.10658584,0.00066133921,0.00066133921,0.00000000000,0.00000000000,0.8547809, -6.6527920,54.35028
Armagh,0.03731055,0.10658584,0.00066133921,0.00066133921,0.00000000000,0.00000000000,0.8547809, -6.6527920,54.35028
Magherafelt,0.04840831,0.10563010,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8459616, -6.6079805,54.75537
Dunvegan,0.04817604,0.10181332,0.00000000000,0.00156035746,0.00000000000,0.00000000000,0.8484503, -6.5813982,57.43660
Louth,0.04234225,0.10672598,0.00153004204,0.00033261784,0.00000000000,0.00000000000,0.8490691, -6.4889423,53.92523
Wexford,0.03070087,0.10088865,0.00127624877,0.00085083252,0.00042541626,0.00000000000,0.8658580, -6.4633381,52.33692
Craigavon,0.04185144,0.11502217,0.00000000000,0.00055432373,0.00000000000,0.00000000000,0.8425721, -6.4175653,54.44293
Stornoway,0.04504311,0.11414419,0.00014989388,0.00089936329,0.00000000000,0.00000000000,0.8397634, -6.3848692,58.20943
Drogheda,0.04687411,0.11588916,0.00185498754,0.00014269135,0.00000000000,0.00000000000,0.8352391, -6.3560985,53.71786
Rosslare,0.03068129,0.10050545,0.00127543489,0.00085028993,0.00042514496,0.00000000000,0.8662624, -6.3414908,52.25131
Newry,0.03892394,0.10534460,0.00035710035,0.00071420069,0.00000000000,0.00000000000,0.8546602, -6.3402300,54.17510
Scilly Isles,0.03587872,0.10858984,0.00000000000,0.00171007630,0.00000000000,0.00000000000,0.8538214, -6.3274966,49.92773
Ballymena,0.04273944,0.09809475,0.00000000000,0.00102986612,0.00000000000,0.00000000000,0.8581359, -6.2802213,54.86529
Banbridge,0.03976889,0.11112779,0.00000000000,0.00090042770,0.00000000000,0.00000000000,0.8482029, -6.2704803,54.34873
