placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dingle,0.9343106,0.0041488038,0.06154059,-10.2640135,52.14094
Tralee,0.9343106,0.0041488038,0.06154059, -9.6999325,52.27131
Killarney,0.9352067,0.0040922112,0.06070113, -9.5044265,52.05994
Bantry,0.9382584,0.0038588518,0.05788278, -9.4539805,51.68035
Mayo,0.9378049,0.0058536585,0.05634146, -9.4289369,54.01526
Ballycastle,0.9413884,0.0076118949,0.05099970, -9.3724643,54.27967
Abbeyfeale,0.9337522,0.0040978008,0.06214998, -9.2970823,52.38618
Ennistymon,0.9338532,0.0041776911,0.06196909, -9.2934951,52.94037
Galway,0.9329390,0.0041913100,0.06286965, -9.0567905,53.27067
Claremorris,0.9402753,0.0051934562,0.05453129, -9.0017356,53.72388
Clare,0.9338532,0.0041776911,0.06196909, -8.9811351,52.90453
Adare,0.9350294,0.0041034058,0.06086719, -8.7925892,52.56363
Charleville,0.9382981,0.0038563716,0.05784557, -8.6810176,52.36206
Mallow,0.9382981,0.0038563716,0.05784557, -8.6539164,52.13898
Limerick,0.9380725,0.0038704683,0.05805702, -8.6267343,52.66384
Loughrea,0.9367394,0.0039537847,0.05930677, -8.5660931,53.19891
Sligo,0.9337808,0.0090711176,0.05714804, -8.4760888,54.27661
Cork,0.9378587,0.0038838303,0.05825745, -8.4756035,51.89851
Nenagh,0.9372680,0.0038407374,0.05889131, -8.1983400,52.86350
Roscommon,0.9402797,0.0043697805,0.05535055, -8.1890955,53.62759
Tipperary,0.9378989,0.0038813179,0.05821977, -8.1618514,52.47379
Donegal,0.9141541,0.0293132328,0.05653266, -8.1096143,54.65383
Leitrim,0.9305782,0.0114341718,0.05798759, -8.0020132,54.12469
Athlone,0.9389835,0.0043070444,0.05670942, -7.9406898,53.42393
Longford,0.9413140,0.0060972512,0.05258879, -7.7932573,53.72763
Offaly,0.9412902,0.0042440819,0.05446572, -7.7122229,53.23569
Fermanagh,0.9171687,0.0287513691,0.05407996, -7.6318728,54.34383
Enniskillen,0.9171687,0.0287513691,0.05407996, -7.6315336,54.34382
Doon,0.9191215,0.0302472383,0.05063125, -7.6096400,54.18593
Westmeath,0.9380292,0.0061205753,0.05585025, -7.4653217,53.53453
Strabane,0.9094790,0.0309096261,0.05961142, -7.4633103,54.82739
Balivanich,0.8892551,0.0375741595,0.07317073, -7.3743509,57.47227
Cavan,0.9406492,0.0088824289,0.05046835, -7.3633319,53.98972
Mullingar,0.9382796,0.0062108587,0.05550955, -7.3401868,53.52582
Laois,0.9402418,0.0042182227,0.05553993, -7.3323007,52.99430
Omagh,0.9121642,0.0310008857,0.05683496, -7.3099597,54.59771
Derry,0.9092157,0.0320415014,0.05874275, -7.3085748,54.99661
Derry,0.9092157,0.0320415014,0.05874275, -7.3085748,54.99661
Kilkenny,0.9384773,0.0038451679,0.05767752, -7.2447879,52.65415
Tyrone,0.9092117,0.0339533510,0.05683496, -7.1312320,54.49121
Waterford,0.9389016,0.0040284678,0.05706996, -7.1100702,52.25932
Western Isles,0.8991935,0.0383064516,0.06250000, -7.0194034,57.75989
Monaghan,0.9128493,0.0331316623,0.05401901, -6.9683132,54.24920
Carlow,0.9376823,0.0039777247,0.05833996, -6.9341359,52.83651
Kildare,0.9366757,0.0059952038,0.05732914, -6.8194708,53.21204
Dungannon,0.9078514,0.0344620917,0.05768654, -6.7669352,54.50827
Cookstown,0.9078514,0.0344620917,0.05768654, -6.7443895,54.64182
Coleraine,0.9102124,0.0359150531,0.05387258, -6.6646103,55.13258
Meath,0.9389569,0.0099662256,0.05107691, -6.6564169,53.60555
Armagh,0.9147390,0.0341043891,0.05115658, -6.6527920,54.35028
Armagh,0.9147390,0.0341043891,0.05115658, -6.6527920,54.35028
Magherafelt,0.9078514,0.0344620917,0.05768654, -6.6079805,54.75537
Dunvegan,0.8955823,0.0421686747,0.06224900, -6.5813982,57.43660
Louth,0.9319877,0.0186429755,0.04936936, -6.4889423,53.92523
Wexford,0.9354715,0.0043018976,0.06022657, -6.4633381,52.33692
Craigavon,0.9126671,0.0349331713,0.05239976, -6.4175653,54.44293
Stornoway,0.9227557,0.0313152401,0.04592902, -6.3848692,58.20943
Drogheda,0.9379718,0.0108237123,0.05120448, -6.3560985,53.71786
Rosslare,0.9427801,0.0045775902,0.05264229, -6.3414908,52.25131
Newry,0.9127995,0.0379132545,0.04928723, -6.3402300,54.17510
Scilly Isles,0.9179513,0.0000000000,0.08204873, -6.3274966,49.92773
Ballymena,0.9109395,0.0362547289,0.05280580, -6.2802213,54.86529
Banbridge,0.9161125,0.0347642080,0.04912334, -6.2704803,54.34873
Dublin,0.9360281,0.0096561343,0.05431576, -6.2603097,53.34981
Antrim,0.9148631,0.0366008912,0.04853596, -6.2072498,54.71953
Antrim,0.9148631,0.0366008912,0.04853596, -6.2072498,54.71953
Portree,0.8987854,0.0384615385,0.06275304, -6.1960231,57.41247
Islay,0.8675706,0.0449314205,0.08749803, -6.1770670,55.73625
Wicklow,0.9337869,0.0062318238,0.05998130, -6.0445890,52.98082
Kilkeel,0.9243565,0.0218274876,0.05381605, -6.0070040,54.06312
Mull,0.8852626,0.0458949516,0.06884243, -6.0008870,56.43920
Belfast,0.9209852,0.0327448747,0.04626993, -5.9301200,54.59728
Broadford,0.9032258,0.0342741935,0.06250000, -5.9096592,57.24139
Down,0.9268971,0.0302078299,0.04289512, -5.7156922,54.32875
Kyle of Lochalsh,0.9125000,0.0312500000,0.05625000, -5.7143293,57.28261
Campbeltown,0.8432875,0.0548493819,0.10186314, -5.6053740,55.42412
Penzance,0.9167087,0.0000000000,0.08329127, -5.5375920,50.11880
Oban,0.8883492,0.0454172712,0.06623352, -5.4710470,56.41516
Lochgilphead,0.8849248,0.0477140897,0.06736107, -5.4323449,56.03829
Helston,0.9159450,0.0000000000,0.08405502, -5.2749960,50.10159
Redruth,0.9167087,0.0000000000,0.08329127, -5.2266660,50.23302
Ullapool,0.9253247,0.0146103896,0.06006494, -5.1613130,57.89542
Ballachulish,0.8983850,0.0399201597,0.06169479, -5.1337200,56.67393
Fort William,0.8906606,0.0432801822,0.06605923, -5.1052179,56.81982
Achnasheen,0.9216028,0.0261324042,0.05226481, -5.0787658,57.57859
Newquay,0.9172102,0.0000000000,0.08278976, -5.0737190,50.41550
Falmouth,0.9174587,0.0000000000,0.08254127, -5.0662700,50.15257
Rothesay,0.8777424,0.0487192058,0.07353842, -5.0557930,55.83596
Truro,0.9174587,0.0000000000,0.08254127, -5.0510410,50.26320
Milford Haven,0.9746377,0.0000000000,0.02536232, -5.0426971,51.71431
Stranraer,0.8981833,0.0374326213,0.06438411, -5.0240550,54.90337
Fishguard,0.9746032,0.0000000000,0.02539683, -4.9759890,51.99393
Inchnadamph,0.9260450,0.0144694534,0.05948553, -4.9742950,58.15221
Haverfordwest,0.9714625,0.0000000000,0.02853746, -4.9713190,51.80047
Dunoon,0.8786349,0.0483635479,0.07300158, -4.9262140,55.95097
Pembroke,0.9746377,0.0000000000,0.02536232, -4.9086370,51.67404
Girvan,0.8787735,0.0454599477,0.07576658, -4.8542179,55.24016
Wadebridge,0.9154280,0.0000000000,0.08457201, -4.8364560,50.51665
Invergarry,0.9159836,0.0307377049,0.05327869, -4.8002610,57.07095
St Austell,0.9158004,0.0000000000,0.08419958, -4.7834252,50.34038
Greenock,0.8796914,0.0486744627,0.07163411, -4.7719830,55.95648
Helensburgh,0.8772578,0.0500060613,0.07273609, -4.7340140,56.00232
Bodmin,0.9176829,0.0000000000,0.08231707, -4.7188629,50.47150
Tenby,0.9747596,0.0000000000,0.02524038, -4.7035790,51.67274
Camelford,0.9185185,0.0000000000,0.08148148, -4.6823640,50.62206
Irvine,0.8759818,0.0478355873,0.07618260, -4.6696364,55.61157
Cardigan,0.9746032,0.0000000000,0.02539683, -4.6608640,52.08370
Holyhead,0.9270783,0.0032409658,0.06968076, -4.6330380,53.30944
Ayr,0.8748760,0.0481245990,0.07699936, -4.6291790,55.45856
Dumbarton,0.8763293,0.0510813717,0.07258932, -4.5645540,55.94529
Bude,0.9187592,0.0000000000,0.08124077, -4.5436780,50.82664
Isle of Man,0.8871911,0.0305607228,0.08224821, -4.5126331,54.27697
Kilmarnock,0.8760839,0.0465783923,0.07733771, -4.4987920,55.61472
Newton Stewart,0.8835137,0.0229153405,0.09357097, -4.4831640,54.96030
Liskeard,0.9152720,0.0000000000,0.08472803, -4.4647190,50.45552
Altnaharra,0.9280125,0.0140845070,0.05790297, -4.4426550,58.28023
Pwllheli,0.8943249,0.0019569472,0.10371820, -4.4176339,52.88882
Lairg,0.9290323,0.0145161290,0.05645161, -4.4024140,58.02206
Launceston,0.9186747,0.0000000000,0.08132530, -4.3604516,50.63683
Carmarthen,0.9773810,0.0000000000,0.02261905, -4.3121310,51.85762
Llangefni,0.8428000,0.0036000000,0.15360000, -4.3114020,53.25579
Caernarfon,0.8638198,0.0030262273,0.13315400, -4.2739110,53.13955
Cumnock,0.8831146,0.0448207171,0.07206468, -4.2658289,55.45355
Aberaeron,0.9734717,0.0000000000,0.02652826, -4.2581619,52.24279
Alness,0.9282371,0.0140405616,0.05772231, -4.2568250,57.69595
Glasgow,0.8853712,0.0445778748,0.07005095, -4.2518060,55.86424
Dalwhinnie,0.9226804,0.0223367698,0.05498282, -4.2427830,56.93660
Inverness,0.9251170,0.0140405616,0.06084243, -4.2247210,57.47777
Saltash,0.9152720,0.0000000000,0.08472803, -4.2164300,50.40921
Bideford,0.9597645,0.0000000000,0.04023553, -4.2066660,51.01668
Invergordon,0.9282371,0.0140405616,0.05772231, -4.1728820,57.68811
Llanelli,0.9772899,0.0000000000,0.02271007, -4.1602480,51.68089
Plymouth,0.9152720,0.0000000000,0.08472803, -4.1426565,50.37546
Tavistock,0.9150052,0.0000000000,0.08499475, -4.1416540,50.55112
Porthmadog,0.8722730,0.0031667840,0.12456017, -4.1333840,52.92784
Bangor,0.8485080,0.0034429992,0.14804897, -4.1292630,53.22739
Tywyn,0.9383984,0.0020533881,0.05954825, -4.0872490,52.58701
Aberystwyth,0.9638554,0.0000000000,0.03614458, -4.0829200,52.41530
Lampeter,0.9756356,0.0000000000,0.02436441, -4.0785090,52.11290
Barnstaple,0.9702774,0.0000000000,0.02972259, -4.0583380,51.07816
Tain,0.9280125,0.0140845070,0.05790297, -4.0552300,57.81150
Okehampton,0.9379845,0.0000000000,0.06201550, -4.0042630,50.73831
Llandeilo,0.9761129,0.0000000000,0.02388708, -3.9914300,51.88469
Motherwell,0.9012338,0.0382607664,0.06050540, -3.9810968,55.78321
Golspie,0.9267913,0.0140186916,0.05919003, -3.9760860,57.97341
Airdrie,0.9058817,0.0387028675,0.05541547, -3.9625660,55.86627
Swansea,0.9772123,0.0000000000,0.02278769, -3.9436460,51.62144
Stirling,0.9179160,0.0350567178,0.04702730, -3.9369029,56.11652
Tregaron,0.9734325,0.0000000000,0.02656748, -3.9343850,52.22000
Tregaron,0.9734325,0.0000000000,0.02656748, -3.9343850,52.22000
Castle Douglas,0.8838150,0.0242774566,0.09190751, -3.9314140,54.94042
Dolgellau,0.9133065,0.0020161290,0.08467742, -3.8844000,52.74215
Aberfeldy,0.9420125,0.0204661740,0.03752132, -3.8669690,56.62175
Machynlleth,0.9386503,0.0020449898,0.05930470, -3.8534850,52.59027
Brora,0.9299065,0.0140186916,0.05607477, -3.8525480,58.01216
Llandudno,0.8529006,0.0031077348,0.14399171, -3.8276090,53.32406
Llandudno,0.8529006,0.0031077348,0.14399171, -3.8276090,53.32406
Aviemore,0.9199372,0.0141287284,0.06593407, -3.8238120,57.19449
Dalbeattie,0.8919214,0.0229257642,0.08515284, -3.8225270,54.93422
Falkirk,0.9248879,0.0285874439,0.04652466, -3.7839131,56.00188
Kingsbridge,0.9239351,0.0000000000,0.07606491, -3.7774930,50.28395
Pitlochry,0.9322799,0.0186230248,0.04909707, -3.7297110,56.70436
Colwyn Bay,0.8529006,0.0031077348,0.14399171, -3.7276400,53.29318
Totnes,0.9383768,0.0015030060,0.06012024, -3.6857970,50.43374
Grantown-on-Spey,0.9175739,0.0139968896,0.06842924, -3.6096280,57.33041
Dumfries,0.8883900,0.0230917255,0.08851828, -3.6051200,55.07086
Whitehaven,0.8596629,0.0117930323,0.12854405, -3.5892330,54.54970
Dartmouth,0.9417331,0.0014940239,0.05677291, -3.5788070,50.35252
Bridgend,0.9720207,0.0000000000,0.02797927, -3.5769450,51.50429
Paignton,0.9431421,0.0014962594,0.05536160, -3.5642350,50.43508
Workington,0.8617685,0.0145201104,0.12371134, -3.5427520,54.64357
Llanidloes,0.9506984,0.0016433854,0.04765818, -3.5401950,52.44779
Exeter,0.9406822,0.0014829461,0.05783490, -3.5338990,50.71841
Torquay,0.9431421,0.0014962594,0.05536160, -3.5253150,50.46192
Thurso,0.9283489,0.0124610592,0.05919003, -3.5220800,58.59357
Livingston,0.9139647,0.0260032103,0.06003210, -3.5180680,55.90071
Rhyl,0.8526280,0.0030917211,0.14428032, -3.4916340,53.31914
Tiverton,0.9532953,0.0015568241,0.04514790, -3.4912070,50.90205
Tiverton,0.9532953,0.0015568241,0.04514790, -3.4912070,50.90205
Minehead,0.9519935,0.0000000000,0.04800651, -3.4811520,51.20428
Dunfermline,0.9168477,0.0251318647,0.05802048, -3.4521510,56.07174
Perth,0.9360529,0.0181918412,0.04575524, -3.4308381,56.39499
Prestatyn,0.8522418,0.0030570652,0.14470109, -3.4076130,53.33651
Builth Wells,0.9703588,0.0000000000,0.02964119, -3.4045920,52.15002
Braemar,0.9128205,0.0153846154,0.07179487, -3.3979439,57.00647
Brecon,0.9675214,0.0000000000,0.03247863, -3.3914630,51.94895
Merthyr Tydfil,0.9633333,0.0000000000,0.03666667, -3.3816460,51.74873
Llandrindod Wells,0.9707904,0.0000000000,0.02920962, -3.3777420,52.24170
Corwen,0.8545763,0.0030508475,0.14237288, -3.3692420,52.98005
Cockermouth,0.8807616,0.0124856935,0.10675268, -3.3679850,54.66326
Lockerbie,0.8803859,0.0270096463,0.09260450, -3.3490080,55.12224
Blairgowrie,0.9375361,0.0156159630,0.04684789, -3.3378318,56.58941
Elgin,0.9218989,0.0137825421,0.06431853, -3.3184850,57.64945
Newtown,0.9192825,0.0017937220,0.07892377, -3.3131060,52.51211
Ruthin,0.8517110,0.0031109575,0.14517802, -3.3103108,53.11487
Ruthin,0.8517110,0.0031109575,0.14517802, -3.3103108,53.11487
Sidmouth,0.9468035,0.0013999067,0.05179655, -3.2375600,50.67865
Barrow-in-Furness,0.8278075,0.0095485651,0.16264389, -3.2188940,54.10897
Peebles,0.9091222,0.0216867470,0.06919105, -3.1936420,55.65307
Edinburgh,0.9125424,0.0254237288,0.06203390, -3.1882670,55.95325
Cardiff,0.9511931,0.0000000000,0.04880694, -3.1790900,51.48158
Llangollen,0.8605870,0.0031446541,0.13626834, -3.1716600,52.96921
Kirkcaldy,0.9051782,0.0272360457,0.06758574, -3.1581370,56.11682
Welshpool,0.9104210,0.0017915796,0.08778740, -3.1464070,52.66035
