variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs to be Xed,-233133.96053955547,7790781.293784884,0.9105908228049837,0.011635340195048484,0.07777383699996787
needs to be Xed,-454508.57534967264,6875568.732849514,0.9603559482958774,0,0.03964405170412255
needs to be Xed,-464523.0993804171,7902081.764336984,0.9491506382478921,0.010856919819141787,0.03999244193296612
needs to be Xed,-473867.5913960769,7903716.555487392,0.949404069994418,0.010679425380563686,0.03991650462501832
needs to be Xed,-166080.14205862035,6658737.485859629,0.9000078810211443,6.11041712893593e-4,0.09938107726596204
needs to be Xed,-274526.66603765386,7700450.50046821,0.8986410036633181,0.005720098034327996,0.09563889830235386
needs to be Xed,-288489.2471288726,7670532.812981689,0.891622606859541,0.004726165825510878,0.10365122731494814
needs to be Xed,97406.66951443948,6647242.852390651,0.8996185095419326,0,0.10038149045806738
needs to be Xed,-425664.8047292091,7799975.074029687,0.9397673598053012,0.011005420472721125,0.04922721972197769
needs to be Xed,-401821.95091314253,7827953.620533239,0.938844737930581,0.013758195495679006,0.04739706657374004
needs to be Xed,-515317.8490709154,7451377.536497721,0.8820475251287196,0.02930678280744026,0.08864569206384013
needs to be Xed,-699111.0371850707,7335766.097361238,0.9071711597559177,0.03735165331051167,0.05547718693357074
needs to be Xed,-149143.0707775581,6811506.744243429,0.8957945349743508,0.006090584083155381,0.0981148809424938
needs to be Xed,-515747.43098588666,7040442.511032255,0.8902487922631485,0.001839676506891132,0.1079115312299604
needs to be Xed,-459667.45451150526,7025170.177756032,0.8765575044729516,6.795804695530225e-4,0.12276291505749548
needs to be Xed,-164722.34483356756,7085880.959602008,0.8392436500614676,9.96404037491346e-4,0.15975994590104095
needs to be Xed,-451772.1196269923,6635130.966655371,0.9468773890644991,0,0.053122610935500816
needs to be Xed,-358325.6409975236,7190820.409402401,0.8537996530016739,0.0179013240889997,0.12829902290932635
needs to be Xed,-121605.01099240522,6668577.680976788,0.9075039348407725,7.777150087254785e-4,0.09171835015050203
needs to be Xed,-262604.53781682864,6688978.381916168,0.9324039936499872,7.30163763523802e-5,0.06752298997366048
needs to be Xed,-51961.51153740082,6825232.159527007,0.9092744246419467,0.03429051631033939,0.056435059047713815
needs to be Xed,-660137.9387430075,7284096.381953328,0.8972992914491802,0.04178715828902587,0.06091355026179386
needs to be Xed,-223239.55023937687,7512812.638519028,0.954957886928201,0.0013178283166608354,0.04372428475513806
needs to be Xed,-468283.9170573771,6624245.459951866,0.9478666819746824,0,0.05213331802531765
needs to be Xed,-336519.82254348317,7055464.038147936,0.8517938783773915,0.0028177628063289074,0.14538835881627962
needs to be Xed,-210438.47671509522,6888526.481257551,0.9258117970538164,0.003122613956441503,0.07106558898974201
needs to be Xed,-276910.4616135011,7122682.479533938,0.8099016175830219,0.00365843939997199,0.18643994301700606
needs to be Xed,-337929.77294997266,7135669.463425561,0.834937148898143,0.012944368763172455,0.1521184823386846
needs to be Xed,61385.7973640612,6689916.220204674,0.8941677074007836,0,0.1058322925992163
needs to be Xed,-241045.99334768736,6596021.329284243,0.9205029938035795,4.018908128270269e-4,0.07909511538359344
needs to be Xed,-168123.26659679288,7386544.967183743,0.9485501371638934,0.004869337789100467,0.04658052504700622
needs to be Xed,-174324.4190189739,7397459.703454149,0.9588379980711088,0.0031349822041893236,0.03802701972470189
needs to be Xed,-2958.538106812832,6979103.340069991,0.8996389407186319,6.463921102356263e-4,0.09971466717113248
needs to be Xed,-209366.24737977437,6571766.627531886,0.8897269181318183,0,0.11027308186818174
needs to be Xed,-195855.28946270398,7131612.398344218,0.8262739643587763,0,0.17372603564122366
needs to be Xed,-377535.93420422805,6790899.657867309,0.9827630445127443,0,0.017236955487255654
needs to be Xed,-398183.695995546,6710985.551582894,0.9743679974411981,0,0.02563200255880184
needs to be Xed,-334362.7847703819,6643947.060070163,0.9801301195573567,0.003699470760266834,0.01617040968237641
needs to be Xed,-22130.537408684377,7186337.161902725,0.9020350422794696,6.637620565029501e-5,0.0978985815148801
needs to be Xed,-307052.66277457733,6574301.183996955,0.9746550373166399,0.00870358295910499,0.01664137972425508
needs to be Xed,-15268.915315677788,6589961.170074266,0.9137084695970329,0.001036875629622344,0.08525465477334469
needs to be Xed,-288084.8234188206,6702089.049496805,0.9252984155555787,0,0.07470158444442136
needs to be Xed,-657860.2529057846,7809617.926776841,0.8906975296994774,0.015471611344389508,0.09383085895613312
needs to be Xed,-636116.2279010835,7818101.701424047,0.9057993362680073,0.011351040817108695,0.08284962291488396
needs to be Xed,-505799.9212885998,6590684.741675179,0.9361026037651723,0,0.0638973962348278
needs to be Xed,-249411.70874054724,7130350.477113402,0.8087149817075596,0.0022200049067492515,0.1890650133856912
needs to be Xed,-182245.1347473877,6948671.96613752,0.8689829973558907,0.013761826542039569,0.11725517610206974
needs to be Xed,79091.7412360835,6844168.757609536,0.8792253418840043,5.175720312730327e-4,0.12025708608472259
needs to be Xed,-213157.90055568406,7031065.606213349,0.811781276599987,0,0.18821872340001294
needs to be Xed,13560.606409964208,6837338.511988595,0.8575790490868759,0.008060298274376383,0.13436065263874777
needs to be Xed,-623987.3793858553,7444617.510135955,0.8858063685771896,0.0423138799410591,0.07187975148175119
needs to be Xed,120103.58936033095,6671014.198547059,0.899795333120056,0,0.10020466687994413
needs to be Xed,-353894.6799859882,6706926.020860399,0.9378432569921136,0,0.06215674300788647
needs to be Xed,-518845.0071367004,6815274.203126033,0.9639497710792271,0,0.03605022892077296
needs to be Xed,-326492.3854518067,7341025.219134961,0.8694675011779912,0.013991490553298444,0.11654100826871039
needs to be Xed,52158.7140153411,6752456.634086062,0.8981309387972064,0,0.10186906120279364
needs to be Xed,-231350.0990954405,6781953.4675142495,0.9414920361732755,7.074314390643329e-5,0.05843722068281804
needs to be Xed,-322055.63582675,7018850.630265591,0.8910390270874406,0.002284752774810558,0.10667622013774888
needs to be Xed,-158255.01637695075,7026594.338925578,0.882188426050667,0.002318178309237335,0.11549339564009561
needs to be Xed,-86265.48091737626,6592618.925168484,0.9205679975183794,0.005373707966231903,0.07405829451538876
needs to be Xed,-74924.80779281152,6582997.9758701455,0.8844204673691832,0.010518471149698767,0.10506106148111795
needs to be Xed,-278405.3599234148,6768599.424110748,0.9684273041308112,0,0.03157269586918869
needs to be Xed,-287476.57372112625,6784671.673753447,0.9708632658248205,0,0.02913673417517941
needs to be Xed,128355.2690668222,6762159.598165381,0.9121809371152021,0,0.08781906288479785
needs to be Xed,99282.95953176008,6781329.551805553,0.8938891029774769,0,0.10611089702252308
needs to be Xed,-741901.0249316063,7387639.85998861,0.9206051373240485,0.02982903259140117,0.049565830084550226
needs to be Xed,-414958.9866606384,7037413.85800091,0.93090865575943,9.449171284651959e-4,0.0681464271121047
needs to be Xed,-750782.0048515011,7292657.903372045,0.9208901406961156,0.0319565763324608,0.047153282971423516
needs to be Xed,-735597.0244318814,7314533.01844208,0.9150647966622634,0.034756498412807056,0.05017870492492968
needs to be Xed,-76168.50253980121,6889633.496961147,0.8990688060091937,0.015349643615779484,0.0855815503750268
needs to be Xed,-169171.45092210232,6874021.0070969695,0.891979468684957,0.004131015511711122,0.10388951580333193
needs to be Xed,-714400.101328582,7254491.56446006,0.9002509992234043,0.0434409689493711,0.056308031827224506
needs to be Xed,-20842.06996249763,6640622.096461417,0.9134601935266505,3.231973930711932e-4,0.08621660908027833
needs to be Xed,-272044.8981779596,7001591.76587012,0.8640204988148338,0,0.13597950118516627
needs to be Xed,144923.06020107592,6970327.7086967295,0.9084679309068046,0.008199388294154862,0.08333268079904052
needs to be Xed,134803.32811958273,6972723.919408803,0.9094699338296364,0.008348997811912652,0.08218106835845093
needs to be Xed,-437643.0045775469,7350310.456595217,0.8844565337987649,0.016501002620543683,0.0990424635806914
needs to be Xed,-425521.7591835397,7349109.814531086,0.8811149567531821,0.01487443717619241,0.10401060607062562
needs to be Xed,-173598.07047349686,7269952.112051287,0.9383004554554693,0.0024517855427569598,0.05924775900177371
needs to be Xed,-164153.79166629,6968680.921983317,0.8513523610313463,0.003507364342409129,0.14514027462624465
needs to be Xed,-813586.8251605514,7361208.676721838,0.9346408509617893,0.014926539173314334,0.0504326098648963
needs to be Xed,-125619.81521955911,7080297.127915944,0.8416938261079583,2.842949662719446e-4,0.15802187892576974
needs to be Xed,-271751.0258542144,6570360.119708541,0.9633844799170236,0.005992958951521478,0.030622561131454853
needs to be Xed,-273581.11828285584,6553371.8054395765,0.9578777686790486,0.004857852963997394,0.03726437835695401
needs to be Xed,-231668.32812377118,6893283.013297537,0.927501922392932,0.003421714810354138,0.0690763627967139
needs to be Xed,-508123.8269784001,7547531.546302262,0.7736733714850762,0.06647365446502387,0.15985297404989998
needs to be Xed,-526988.0278882283,7558877.1181585705,0.7617934262133864,0.12601401473213844,0.11219255905447516
needs to be Xed,-401320.1226486465,7375630.562739154,0.8840242221245884,0.015005321393053668,0.1009704564823579
needs to be Xed,-330699.14900888456,7650945.583272922,0.8890954954837791,0.010380206486316932,0.10052429802990395
needs to be Xed,-351562.20269539667,7581707.427770629,0.9104506502815257,0.034363042566691385,0.055186307151782875
needs to be Xed,-384291.69146149023,7572710.5359689975,0.969366242538967,0.002441259918409001,0.028192497542623943
needs to be Xed,-753291.780695079,7267010.799287512,0.9192519363047922,0.03252070145201853,0.048227362243189235
needs to be Xed,-562808.3023161971,7525829.592341042,0.7962119633450383,0.08511357953223701,0.11867445712272466
needs to be Xed,-548383.6340186954,7548661.951353563,0.7757683262033477,0.12183436471338412,0.10239730908326819
needs to be Xed,-186881.8253098582,7296892.292625123,0.9429748347453959,0.002310108848061742,0.05471505640654236
needs to be Xed,-176424.91762270124,7318368.335266828,0.9379752652033866,0.0012880241825324855,0.06073671061408094
needs to be Xed,32335.195129703767,6580363.918488307,0.9168405076368846,0,0.08315949236311543
needs to be Xed,-354916.25895299803,7549115.074480226,0.8834428531391899,0.0317009684782148,0.08485617838259527
needs to be Xed,-369412.06040511647,7894036.479940738,0.9369188520580874,0.016081237902951576,0.0469999100389609
needs to be Xed,-849538.4343237581,7235543.298687504,0.9345690618550063,0.0011613300028675588,0.06426960814212612
needs to be Xed,-216713.44509162122,6816804.355574689,0.9392444591327783,0.00039822711933321044,0.06035731374788859
needs to be Xed,-393391.83719485876,6571634.40722599,0.926927529523357,2.37868116996222e-4,0.07283460235964678
needs to be Xed,-421223.2794979973,7558789.4223075,0.9206006425003236,0.03075991650443354,0.04863944099524284
needs to be Xed,-438254.0261305621,7581647.086001243,0.945865741865901,0.030734831797046478,0.023399426337052484
needs to be Xed,-563974.5966212383,6472740.496640867,0.8889064514311774,0,0.11109354856882261
needs to be Xed,130183.24642513857,6635704.558994562,0.8919233544327894,0,0.1080766455672106
needs to be Xed,146207.3197705107,6643944.718683718,0.8930126981018035,0,0.10698730189819648
needs to be Xed,-568310.2570167056,7723379.654955692,0.9425069428306654,0.01492433679678796,0.04256872037254661
needs to be Xed,-223488.46062079063,7903174.362922962,0.9212251147600415,0.014200734911677983,0.06457415032828051
needs to be Xed,-355514.6012160119,7489659.636790694,0.893562422223217,0.028641699714186567,0.07779587806259645
needs to be Xed,-313303.02954363805,7483872.309299967,0.8665977225935476,0.026986414588583106,0.10641586281786924
needs to be Xed,-540369.0648275939,7408617.258729385,0.8996625047930963,0.0265251158180033,0.07381237938890048
needs to be Xed,-473308.8788717854,7531436.41809017,0.9120528035828492,0.03719589580032482,0.05075130061682599
needs to be Xed,-249150.38623591006,6775616.313486872,0.9476063192966871,0,0.05239368070331284
needs to be Xed,-428863.6816166446,7969871.774816619,0.9472791164416133,0.013286747639415952,0.039434135918970666
needs to be Xed,-442615.86887026404,7961733.039632204,0.9482076977858694,0.012684577859601684,0.03910772435452888
needs to be Xed,-71643.2205237166,6966833.591114978,0.8329131390275712,0,0.16708686097242878
needs to be Xed,192365.31210684407,6909024.939138601,0.9024388660645626,0.005945429487986114,0.09161570444745129
needs to be Xed,-531214.7176341581,7549756.133186505,0.7614143678453101,0.13079016455372225,0.10779546760096766
needs to be Xed,-8992.833744243813,7088662.3541106675,0.9202697233526713,0,0.07973027664732861
needs to be Xed,-84129.80535455822,6665344.940044256,0.9187367006754732,0,0.08126329932452683
needs to be Xed,-63497.63942390041,6663185.155266548,0.9393920191189873,2.8718781692465265e-4,0.060320793064088024
needs to be Xed,-206780.40692813744,7118625.730250776,0.8564895899441127,0,0.1435104100558872
needs to be Xed,-171633.72673895874,7168664.057554648,0.8386016705991476,0,0.16139832940085239
needs to be Xed,-135022.30468992217,7302268.484021072,0.8933422908226045,0.014319766201040415,0.09233794297635521
needs to be Xed,63836.495953875114,6595554.204347913,0.8922649636851021,0,0.10773503631489786
needs to be Xed,-553404.699650926,6764128.865791112,0.9494285905119271,0,0.05057140948807287
needs to be Xed,-561350.4733967175,6748632.247116624,0.9500324427128038,0,0.04996755728719618
needs to be Xed,-270752.0447438356,7479201.311204906,0.8982377193230534,0.011953981385358236,0.08980829929158837
needs to be Xed,-309569.93041988567,7445194.826567962,0.8761809799498376,0.015786436939413263,0.10803258311074918
needs to be Xed,-302340.8426877705,6810329.367001604,0.9697983464199353,0,0.030201653580064724
needs to be Xed,-235122.783430119,7356562.753238509,0.8812042942947894,0.012347912115795303,0.10644779358941527
needs to be Xed,-83292.47127676032,6733250.127288361,0.8596063893060111,0,0.14039361069398879
needs to be Xed,-89990.67635728238,6766853.0779722445,0.8797394365270544,0.0037028010942984414,0.11655776237864722
needs to be Xed,-198709.19838012022,7103356.908346299,0.8677558161980201,0,0.13224418380197983
needs to be Xed,-36448.205411635485,7126269.245641505,0.9229165730001795,0,0.07708342699982043
needs to be Xed,-20321.595683293683,6860280.99787033,0.8897735789907596,0.015191591291707432,0.09503482971753305
needs to be Xed,-470293.7904636496,7858404.849876296,0.9480858794855573,0.010168535723894971,0.04174558479054763
needs to be Xed,127819.2657186526,6810390.559092446,0.8843566594210562,0,0.11564334057894379
needs to be Xed,-145242.32450067103,6567316.593412411,0.9330291398554871,0,0.06697086014451292
needs to be Xed,-305715.6043706594,7232523.0785782365,0.8274995248120033,0.006069202796013131,0.1664312723919836
needs to be Xed,-81290.94683229725,6872105.2395477295,0.891042971582485,0.020436399851065698,0.08852062856644934
needs to be Xed,-77251.71910886333,6854992.488078196,0.8827578460279887,0.03170415350554835,0.08553800046646293
needs to be Xed,-500803.2346248529,7482096.331226675,0.8729506898018509,0.043382619920019516,0.08366669027812958
needs to be Xed,-519821.5462377352,7481475.042255444,0.8495224211367852,0.035390884031672246,0.11508669483154244
needs to be Xed,44783.41926401803,6937196.845840512,0.8853092030399241,0.0020091893779167224,0.11268160758215912
needs to be Xed,-420508.5972351555,6495596.626000306,0.9103244424385841,4.0685414829424755e-4,0.08926870341312167
needs to be Xed,-398390.9728874031,6507550.883798935,0.910651406387991,9.678262929641024e-4,0.0883807673190448
needs to be Xed,-318926.7788990235,7184214.978049844,0.8276388271971638,0.007158058404342677,0.16520311439849347
needs to be Xed,-311776.939512404,7178981.980654017,0.8260720323902391,0.006285471780648076,0.16764249582911278
needs to be Xed,-485403.2517407151,6557303.545004205,0.9268540386738866,0,0.0731459613261134
needs to be Xed,-169214.40911359945,6851856.7320276825,0.890610514066978,0.012174486695976696,0.09721499923704519
needs to be Xed,-172442.50736736818,7132511.69410009,0.8970327631399463,0,0.1029672368600537
needs to be Xed,-126877.41377094889,6916110.576139366,0.9105006011723397,0,0.08949939882766039
needs to be Xed,-60176.97901353705,7025783.4768399205,0.8945523779884225,0,0.10544762201157754
needs to be Xed,-497010.24561505363,6525540.8245142605,0.9176005376796923,0,0.08239946232030768
needs to be Xed,-333020.3385031096,7058895.725626909,0.8548273327127123,0.002718558659304275,0.14245410862798352
needs to be Xed,-391629.5383361104,7538674.766064084,0.9351643568318782,9.785322643337245e-4,0.06385711090378819
needs to be Xed,-378997.4477988529,6827297.124914644,0.9832567371300404,0,0.016743262869959728
needs to be Xed,-376008.51947105356,6843946.45436555,0.9825236808594073,0,0.017476319140592608
needs to be Xed,-463116.68893373496,6742629.946657462,0.9747336026105999,0,0.02526639738940016
needs to be Xed,-604725.8680814368,7566042.28975638,0.8221894212095914,0.07272626313239303,0.10508431565801557
needs to be Xed,-14221.988900614286,6711533.69399216,1,0,0
needs to be Xed,195193.04981197478,6887593.315555863,0.9051904485830611,0.004618754745322873,0.09019079667161606
needs to be Xed,-302111.4020852964,6866894.2867713105,0.9498200125840494,0,0.050179987415950686
needs to be Xed,-46757.02478019014,6778217.221140644,0.9057048015892857,0.0015130499293327098,0.09278214848138162
needs to be Xed,-88821.48774548061,7196114.10586726,0.9111676361608239,0,0.08883236383917613
needs to be Xed,-249648.4852974646,7072425.247492292,0.888,0,0.11200000000000002
needs to be Xed,-133435.77930713643,7010271.558978545,0.872434824289703,2.01148267357367e-4,0.12736402744293973
needs to be Xed,158061.9883799152,6680863.755444957,0.8860095334146143,0,0.11399046658538571
needs to be Xed,154381.64356284973,6690509.169250677,0.889005923713433,0,0.11099407628656698
needs to be Xed,60311.352770873615,6693202.81330082,0.8955433462513155,0,0.10445665374868458
needs to be Xed,-376443.11076311045,6754819.507118552,0.971611300584267,0,0.028388699415732924
needs to be Xed,-137474.673072098,7279666.914022026,0.9058189137662445,0.0060372062648577154,0.08814387996889786
needs to be Xed,-147941.6106453754,7278942.566279132,0.9206799371063512,0.005276202060442095,0.0740438608332066
needs to be Xed,-84537.92487170453,6807473.840659261,0.8776010738343599,0.024423059451757607,0.09797586671388242
needs to be Xed,-387520.06801398593,6657508.348796182,0.9628921913081613,0,0.03710780869183876
needs to be Xed,-443173.668574731,7515379.232708325,0.7533038567653165,0.05371970435206298,0.19297643888262045
needs to be Xed,-441110.829354739,7531839.130658074,0.8078867116348265,0.057003473947085756,0.13510981441808767
needs to be Xed,-687627.9530359341,7506089.353695541,0.9381992770302947,0.021038284791378883,0.0407624381783264
needs to be Xed,-668015.6851479752,7646349.110890043,0.8620325851429391,0.05413993945401192,0.08382747540304891
needs to be Xed,-147288.36560950233,6692607.848482865,0.9005794931746437,0.008419791023846452,0.09100071580150983
needs to be Xed,-180090.44581554213,7357646.413223492,0.9487883853692066,0.008532477079432223,0.04267913755136119
needs to be Xed,-333698.43004932767,6725281.072574724,0.9600375217247388,0,0.03996247827526117
needs to be Xed,-698026.6740252534,7236479.999061002,0.8954591255230612,0.04529714983431746,0.05924372464262138
needs to be Xed,-705791.175112237,7203388.587227029,0.8941727689015658,0.04691413815762367,0.058913092940810624
needs to be Xed,-499063.5336227356,7354164.767788068,0.8927675144219192,0.028731745109191038,0.07850074046888979
needs to be Xed,-350256.42506839155,6920416.96137229,0.9012711146703245,0.006269321034137614,0.09245956429553777
needs to be Xed,-368813.2728641395,6893256.856745224,0.9374597836609171,0.0029836461851256457,0.059556570153957246
needs to be Xed,-159182.3077352587,7234423.671394999,0.920366213309733,0.0013225077834504947,0.07831127890681648
needs to be Xed,-100483.20628149316,6843724.120888882,0.881030119805204,0.01682328232971466,0.10214659786508135
needs to be Xed,144420.89797810747,6915011.533938544,0.9049202540209373,0.004669315557211383,0.09041043042185128
needs to be Xed,-128920.05963531097,6974638.411951572,0.8546982227233495,0,0.14530177727665053
needs to be Xed,-609034.1661460672,7641509.51967337,0.8255768065812162,0.0890790892449756,0.0853441041738081
needs to be Xed,-813740.9915233509,7284178.990042922,0.9420999260879449,0.008743168282526305,0.04915690562952882
needs to be Xed,-830811.9022281939,7328437.165165312,0.9362929293906324,0.007630921975541816,0.056076148633825755
needs to be Xed,-329563.64567499683,8176268.450063354,0.9487416658949439,0.013218079100561187,0.03804025500449488
needs to be Xed,-340238.2274944509,6956617.756641207,0.8750289265082004,0.011839880183694796,0.11313119330810494
needs to be Xed,-140009.45127330805,6755411.249871042,0.8770400177614075,0.012171716409835349,0.1107882658287572
needs to be Xed,-523600.01918593503,6741167.220954023,0.953554226248211,0,0.046445773751789016
needs to be Xed,-546426.9713290221,6741401.476333774,0.9499735606833065,0,0.05002643931669348
needs to be Xed,-306430.05286257056,7296945.222087788,0.8624420028379431,0.012259419008852239,0.12529857815320455
needs to be Xed,-616441.9216609055,6466875.037480974,0.8742436460095525,0,0.12575635399044752
needs to be Xed,-381919.1502861622,7637453.017053499,0.9196105131754769,0.02676601141742446,0.05362347540709859
needs to be Xed,-26775.665988557015,6903760.435211431,0.8820051130750878,0.007357275339298322,0.1106376115856139
needs to be Xed,-198601.31866159244,7864691.648062552,0.9157422748442025,0.01209247192243297,0.07216525323336463
needs to be Xed,-415189.52932607126,7699931.156011099,0.9197527067690383,0.029013199968702476,0.051234093262259126
needs to be Xed,-430469.01999337436,7683197.82538826,0.9229136742080666,0.0343799990844864,0.04270632670744707
needs to be Xed,-461158.412111445,6511553.989021556,0.9173562891150858,0,0.08264371088491416
needs to be Xed,-221219.43543995134,6571043.309940638,0.8972409391516256,1.5567615142985083e-4,0.10260338469694452
needs to be Xed,-689738.1364353605,7844896.287747942,0.9015230799809512,0.014687638906277637,0.08378928111277109
needs to be Xed,-121113.03450284433,6589474.389867087,0.9438184789780848,1.6495556365107573e-4,0.056016565458264125
needs to be Xed,-300906.6023683899,7125436.34484105,0.8195477652589743,0.009059920814074598,0.171392313926951
needs to be Xed,-491768.75625910336,6962458.311885989,0.9195752093967291,1.4541762256139041e-4,0.08027937298070954
needs to be Xed,-460126.2021330644,6969661.780930695,0.9093820985415799,1.7483591099168874e-4,0.0904430655474284
needs to be Xed,-108884.96692547193,6702044.6565726185,0.8959044039783016,6.496315713778294e-4,0.10344596445032052
needs to be Xed,-581829.797666516,6486729.373966843,0.8821189353829738,0,0.11788106461702616
needs to be Xed,-562279.3120959473,6491981.962280233,0.8887894459083846,0,0.11121055409161532
needs to be Xed,-388686.918916481,7042249.932555723,0.9187097045461868,0.001365698566057522,0.07992459688775566
needs to be Xed,-199759.70928278725,6633470.02382575,0.9135635418055251,0,0.08643645819447486
needs to be Xed,-44500.189083592704,7223957.88837859,0.8336511982450895,4.100791263505707e-4,0.16593872262855994
needs to be Xed,-72848.92192849854,7092632.512060979,0.8850687883198634,0,0.11493121168013656
needs to be Xed,-163649.1136228296,7053809.999978275,0.8584996200909806,0.0033320346182561973,0.1381683452907633
needs to be Xed,-140923.8963623785,8518614.730884068,0.9476334994114648,0.012516684399388373,0.039849816189146854
needs to be Xed,-306721.57634506,6929039.33790663,0.9292953118091976,0.0024110072008227167,0.06829368098997965
needs to be Xed,-360403.5306126709,6564646.278135998,0.9321420976151821,0.0027933277356415897,0.06506457464917638
needs to be Xed,-858.3845935069326,7050979.970624981,0.9154597241355117,0,0.08454027586448824
needs to be Xed,37612.740868722074,7010124.560128249,0.9218368273143156,0,0.07816317268568436
needs to be Xed,-224451.11818132366,7163123.57120068,0.8632485766356021,1.490361650667482e-4,0.13660238719933113
needs to be Xed,-66239.616593324,6712103.801928436,0.8732150606614095,0,0.1267849393385906
needs to be Xed,-50571.94372967562,6704860.164374275,0.9023085808722977,4.899168126064809e-4,0.0972015023150959
needs to be Xed,-156331.6270830755,6605336.285785035,0.9151551958853024,0,0.08484480411469754
needs to be Xed,78782.17286413648,6718435.978232325,0.9019658266559062,0,0.09803417334409384
needs to be Xed,-17110.072901704054,6944266.381867556,0.8904845446107992,0.0018955821350424092,0.10761987325415838
needs to be Xed,-335086.9180579922,7622431.3141126605,0.9009862282592516,0.021433082288747386,0.07758068945200104
needs to be Xed,-311329.60213865124,7626354.803112112,0.8854784582756838,0.00815590849409893,0.10636563323021722
needs to be Xed,-532488.4575117129,6505433.307385206,0.9019172384998377,0,0.09808276150016221
needs to be Xed,-564803.8155081572,6518545.980535924,0.8893793549977851,0,0.11062064500221494
needs to be Xed,-236070.79134566357,6947321.097169111,0.8917865844453535,0.0019398650929917825,0.10627355046165465
needs to be Xed,-21886.747723847107,6782742.879459112,0.9251301990493838,0.0025183304607244317,0.07235147048989178
