placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dingle,0.7508150,0.04348401,0.2057009,-10.2640135,52.14094
Tralee,0.7502924,0.04466937,0.2050382, -9.6999325,52.27131
Killarney,0.7498900,0.04370214,0.2064079, -9.5044265,52.05994
Bantry,0.7495333,0.04119993,0.2092668, -9.4539805,51.68035
Mayo,0.7098604,0.08152539,0.2086142, -9.4289369,54.01526
Ballycastle,0.6898170,0.11103045,0.1991525, -9.3724643,54.27967
Abbeyfeale,0.7508322,0.04466937,0.2044984, -9.2970823,52.38618
Ennistymon,0.7392713,0.04308849,0.2176403, -9.2934951,52.94037
Galway,0.7438438,0.04961387,0.2065423, -9.0567905,53.27067
Claremorris,0.7268919,0.06272313,0.2103849, -9.0017356,53.72388
Clare,0.7424463,0.04815514,0.2093986, -8.9811351,52.90453
Adare,0.7500874,0.04522811,0.2046845, -8.7925892,52.56363
Charleville,0.7480058,0.04170910,0.2102851, -8.6810176,52.36206
Mallow,0.7482323,0.04163547,0.2101323, -8.6539164,52.13898
Limerick,0.7495092,0.04417414,0.2063167, -8.6267343,52.66384
Loughrea,0.7465686,0.04733267,0.2060988, -8.5660931,53.19891
Sligo,0.6052124,0.20196153,0.1928261, -8.4760888,54.27661
Cork,0.7494936,0.03620864,0.2142978, -8.4756035,51.89851
Nenagh,0.7414878,0.04751812,0.2109941, -8.1983400,52.86350
Roscommon,0.7357974,0.06135152,0.2028510, -8.1890955,53.62759
Tipperary,0.7497356,0.03727529,0.2129891, -8.1618514,52.47379
Donegal,0.4891675,0.33459361,0.1762389, -8.1096143,54.65383
Leitrim,0.6242354,0.16873766,0.2070269, -8.0020132,54.12469
Athlone,0.7304533,0.05332258,0.2162241, -7.9406898,53.42393
Longford,0.7076857,0.06445016,0.2278641, -7.7932573,53.72763
Offaly,0.7179633,0.04258944,0.2394473, -7.7122229,53.23569
Fermanagh,0.4950106,0.32661902,0.1783704, -7.6318728,54.34383
Enniskillen,0.4950106,0.32661902,0.1783704, -7.6315336,54.34382
Doon,0.5630571,0.24846784,0.1884750, -7.6096400,54.18593
Westmeath,0.7206292,0.05137395,0.2279968, -7.4653217,53.53453
Strabane,0.4297182,0.39557082,0.1747109, -7.4633103,54.82739
Balivanich,0.4101644,0.35285946,0.2369762, -7.3743509,57.47227
Cavan,0.6350066,0.14731096,0.2176824, -7.3633319,53.98972
Mullingar,0.7227301,0.04839218,0.2288777, -7.3401868,53.52582
Laois,0.7268570,0.04052988,0.2326132, -7.3323007,52.99430
Omagh,0.4260820,0.39844363,0.1754744, -7.3099597,54.59771
Derry,0.4177808,0.40080023,0.1814190, -7.3085748,54.99661
Derry,0.4177808,0.40080023,0.1814190, -7.3085748,54.99661
Kilkenny,0.7383596,0.03545795,0.2261824, -7.2447879,52.65415
Tyrone,0.4061227,0.42342468,0.1704526, -7.1312320,54.49121
Waterford,0.7499447,0.04024590,0.2098094, -7.1100702,52.25932
Western Isles,0.4107841,0.35180501,0.2374109, -7.0194034,57.75989
Monaghan,0.4537519,0.37149255,0.1747555, -6.9683132,54.24920
Carlow,0.7441158,0.03732931,0.2185549, -6.9341359,52.83651
Kildare,0.7459646,0.03926629,0.2147691, -6.8194708,53.21204
Dungannon,0.3836602,0.44732163,0.1690181, -6.7669352,54.50827
Cookstown,0.3787591,0.45983555,0.1614053, -6.7443895,54.64182
Coleraine,0.3744959,0.45401107,0.1714930, -6.6646103,55.13258
Meath,0.7469539,0.04069392,0.2123522, -6.6564169,53.60555
Armagh,0.3951890,0.43298969,0.1718213, -6.6527920,54.35028
Armagh,0.3951890,0.43298969,0.1718213, -6.6527920,54.35028
Magherafelt,0.3913718,0.43885785,0.1697703, -6.6079805,54.75537
Dunvegan,0.4083353,0.35465251,0.2370122, -6.5813982,57.43660
Louth,0.6256026,0.16603300,0.2083644, -6.4889423,53.92523
Wexford,0.7369732,0.03473825,0.2282886, -6.4633381,52.33692
Craigavon,0.3715631,0.47608286,0.1523540, -6.4175653,54.44293
Stornoway,0.4159635,0.35302166,0.2310148, -6.3848692,58.20943
Drogheda,0.7454603,0.04239884,0.2121409, -6.3560985,53.71786
Rosslare,0.7273667,0.03513849,0.2374948, -6.3414908,52.25131
Newry,0.4697222,0.35930556,0.1709722, -6.3402300,54.17510
Scilly Isles,0.4654185,0.03193833,0.5026432, -6.3274966,49.92773
Ballymena,0.3808912,0.46315338,0.1559554, -6.2802213,54.86529
Banbridge,0.3716035,0.49043245,0.1379640, -6.2704803,54.34873
Dublin,0.7465457,0.04007015,0.2133842, -6.2603097,53.34981
Antrim,0.3890855,0.46733042,0.1435841, -6.2072498,54.71953
Antrim,0.3890855,0.46733042,0.1435841, -6.2072498,54.71953
Portree,0.4090279,0.35395982,0.2370122, -6.1960231,57.41247
Islay,0.3852442,0.42411048,0.1906454, -6.1770670,55.73625
Wicklow,0.7511721,0.03898298,0.2098449, -6.0445890,52.98082
Kilkeel,0.4818255,0.36106624,0.1571082, -6.0070040,54.06312
Mull,0.3971069,0.41673842,0.1861546, -6.0008870,56.43920
Belfast,0.3940020,0.46455955,0.1414384, -5.9301200,54.59728
Broadford,0.4087752,0.35216485,0.2390600, -5.9096592,57.24139
Down,0.4029865,0.45645989,0.1405536, -5.7156922,54.32875
Kyle of Lochalsh,0.4124563,0.35273574,0.2348079, -5.7143293,57.28261
Campbeltown,0.3426702,0.47698312,0.1803467, -5.6053740,55.42412
Penzance,0.4637660,0.02895809,0.5072759, -5.5375920,50.11880
Oban,0.3740623,0.44307385,0.1828638, -5.4710470,56.41516
Lochgilphead,0.3790695,0.44917051,0.1717600, -5.4323449,56.03829
Helston,0.4636029,0.02926471,0.5071324, -5.2749960,50.10159
Redruth,0.4650490,0.03294746,0.5020036, -5.2266660,50.23302
Ullapool,0.4178642,0.34822021,0.2339155, -5.1613130,57.89542
Ballachulish,0.4000896,0.40232975,0.1975806, -5.1337200,56.67393
Fort William,0.4464166,0.28901541,0.2645680, -5.1052179,56.81982
Achnasheen,0.4166471,0.35193435,0.2314185, -5.0787658,57.57859
Newquay,0.4646915,0.03230118,0.5030074, -5.0737190,50.41550
Falmouth,0.4637115,0.03024045,0.5060481, -5.0662700,50.15257
Rothesay,0.3815362,0.45593629,0.1625275, -5.0557930,55.83596
Truro,0.4650490,0.03294746,0.5020036, -5.0510410,50.26320
Milford Haven,0.5469858,0.03262411,0.4203901, -5.0426971,51.71431
Stranraer,0.3868024,0.46566654,0.1475311, -5.0240550,54.90337
Fishguard,0.5297999,0.02979991,0.4404002, -4.9759890,51.99393
Inchnadamph,0.4136606,0.35538954,0.2309498, -4.9742950,58.15221
Haverfordwest,0.5375616,0.03325123,0.4291872, -4.9713190,51.80047
Dunoon,0.3886016,0.45384531,0.1575531, -4.9262140,55.95097
Pembroke,0.5758438,0.03375196,0.3904042, -4.9086370,51.67404
Girvan,0.3349100,0.50276880,0.1623212, -4.8542179,55.24016
Wadebridge,0.4731116,0.02966043,0.4972280, -4.8364560,50.51665
Invergarry,0.4393365,0.32440758,0.2362559, -4.8002610,57.07095
St Austell,0.4749860,0.02956839,0.4954456, -4.7834252,50.34038
Greenock,0.3906158,0.45595308,0.1534311, -4.7719830,55.95648
Helensburgh,0.3912481,0.45394659,0.1548053, -4.7340140,56.00232
Bodmin,0.4744015,0.02878096,0.4968175, -4.7188629,50.47150
Tenby,0.5753438,0.03261297,0.3920432, -4.7035790,51.67274
Camelford,0.4739319,0.02838523,0.4976828, -4.6823640,50.62206
Irvine,0.3613733,0.47492134,0.1637053, -4.6696364,55.61157
Cardigan,0.5234700,0.02614379,0.4503862, -4.6608640,52.08370
Holyhead,0.4357928,0.06775452,0.4964526, -4.6330380,53.30944
Ayr,0.3395143,0.49889625,0.1615894, -4.6291790,55.45856
Dumbarton,0.4000000,0.45312500,0.1468750, -4.5645540,55.94529
Bude,0.4744561,0.03556588,0.4899780, -4.5436780,50.82664
Isle of Man,0.3861683,0.31362334,0.3002084, -4.5126331,54.27697
Kilmarnock,0.3714712,0.47641592,0.1521129, -4.4987920,55.61472
Newton Stewart,0.3470588,0.47125237,0.1816888, -4.4831640,54.96030
Liskeard,0.4752699,0.02728334,0.4974467, -4.4647190,50.45552
Altnaharra,0.4255319,0.35481852,0.2196496, -4.4426550,58.28023
Pwllheli,0.4708139,0.05825243,0.4709337, -4.4176339,52.88882
Lairg,0.4210190,0.35834577,0.2206353, -4.4024140,58.02206
Launceston,0.4837832,0.02646997,0.4897468, -4.3604516,50.63683
Carmarthen,0.5735077,0.03480278,0.3916895, -4.3121310,51.85762
Llangefni,0.4369912,0.06548673,0.4975221, -4.3114020,53.25579
Caernarfon,0.4413780,0.07042254,0.4881995, -4.2739110,53.13955
Cumnock,0.3648208,0.47593196,0.1592472, -4.2658289,55.45355
Aberaeron,0.5086819,0.03321758,0.4581006, -4.2581619,52.24279
Alness,0.4201811,0.35592846,0.2238905, -4.2568250,57.69595
Glasgow,0.4348847,0.39751337,0.1676020, -4.2518060,55.86424
Dalwhinnie,0.4233890,0.34200477,0.2346062, -4.2427830,56.93660
Inverness,0.4187359,0.35711061,0.2241535, -4.2247210,57.47777
Saltash,0.4837431,0.02626883,0.4899881, -4.2164300,50.40921
Bideford,0.4740651,0.03302171,0.4929131, -4.2066660,51.01668
Invergordon,0.4221682,0.35592846,0.2219033, -4.1728820,57.68811
Llanelli,0.5791001,0.03265602,0.3882438, -4.1602480,51.68089
Plymouth,0.4917578,0.02514718,0.4830950, -4.1426565,50.37546
Tavistock,0.4839730,0.02467313,0.4913539, -4.1416540,50.55112
Porthmadog,0.4427748,0.08110333,0.4761219, -4.1333840,52.92784
Bangor,0.4369912,0.06761062,0.4953982, -4.1292630,53.22739
Tywyn,0.4981502,0.03506514,0.4667846, -4.0872490,52.58701
Aberystwyth,0.4974477,0.04083649,0.4617158, -4.0829200,52.41530
Lampeter,0.5269507,0.02809589,0.4449534, -4.0785090,52.11290
Barnstaple,0.4749389,0.03346577,0.4915954, -4.0583380,51.07816
Tain,0.4269172,0.35350666,0.2195761, -4.0552300,57.81150
Okehampton,0.4772142,0.03438221,0.4884036, -4.0042630,50.73831
Llandeilo,0.5522753,0.03347123,0.4142535, -3.9914300,51.88469
