variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs to be Xed,-233133.96053955547,7790781.293784884,0.608,0.172,0.22
needs to be Xed,-454508.57534967264,6875568.732849514,0.5591909806130783,0.038033855125896944,0.40277516426102483
needs Xed,-464523.0993804171,7902081.764336984,0.30858942133510736,0.3814225470022775,0.3099880316626152
needs to be Xed,-473867.5913960769,7903716.555487392,0.698311787143614,0.22599292317562222,0.07569528968076375
needs Xing,-166080.14205862035,6658737.485859629,0.35848639271575855,0.008210734634211354,0.63330287265003
needs to be Xed,-274526.66603765386,7700450.50046821,0.4581657211454671,0.3744337875828033,0.16740049127172948
needs Xed,-288489.2471288726,7670532.812981689,0.4050106295827454,0.43915725905759845,0.1558321113596561
needs Xing,97406.66951443948,6647242.852390651,0.48662854033794006,0.01793553175740048,0.4954359279046595
needs to be Xed,-425664.8047292091,7799975.074029687,0.5119048568590634,0.2543709636822886,0.23372417945864798
needs to be Xed,-401821.95091314253,7827953.620533239,0.4953272401942052,0.275326215170294,0.2293465446355008
needs Xed,-515317.8490709154,7451377.536497721,0.26104121208646536,0.5963871936985857,0.14257159421494886
needs Xed,-699111.0371850707,7335766.097361238,0.3943779583588957,0.4374327622434134,0.1681892793976909
needs Xing,-149143.0707775581,6811506.744243429,0.45577078006090055,0.02927264159822034,0.5149565783408792
needs Xing,-515747.43098588666,7040442.511032255,0.4641148724105668,0.03129337549664759,0.5045917520927856
needs Xing,-459667.45451150526,7025170.177756032,0.3818863826800034,0.12012282964960877,0.49799078767038785
needs Xing,-164722.34483356756,7085880.959602008,0.26544739296110326,0.0062022286612008265,0.7283503783776959
needs to be Xed,-451772.1196269923,6635130.966655371,0.49018087980267605,0.039879944362478284,0.4699391758348457
needs Xing,-358325.6409975236,7190820.409402401,0.36154627740541295,0.03790115281898603,0.6005525697756009
needs Xing,-121605.01099240522,6668577.680976788,0.48803534248846137,0.022102880851609785,0.48986177665992886
needs to be Xed,-262604.53781682864,6688978.381916168,0.5062725722879245,0.031086814646712636,0.46264061306536286
needs Xing,-51961.51153740082,6825232.159527007,0.3906276504539617,0.02733322744099418,0.5820391221050443
needs to be Xed,-660137.9387430075,7284096.381953328,0.996,0,0.004
needs Xing,-223239.55023937687,7512812.638519028,0.27060728727405764,0.3632220781360468,0.36617063458989546
needs to be Xed,-468283.9170573771,6624245.459951866,0.4696270455108541,0.06974369657472156,0.4606292579144243
needs Xing,-336519.82254348317,7055464.038147936,0.40857865041539443,0.009786444164880143,0.5816349054197254
needs to be Xed,-210438.47671509522,6888526.481257551,1,0,0
needs Xing,-276910.4616135011,7122682.479533938,0.40561370557315773,0.03280367847532531,0.5615826159515169
