variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs to be Xed,-233133.96053955547,7790781.293784884,0.6960374097866369,0.19573004583410164,0.10823254437926147
needs to be Xed,-454508.57534967264,6875568.732849514,0.757311926445697,0.0974769583110443,0.1452111152432587
needs to be Xed,-464523.0993804171,7902081.764336984,0.651789473378635,0.25849468470998377,0.08971584191138128
needs to be Xed,-473867.5913960769,7903716.555487392,0.6456627197886597,0.26223701213876704,0.09210026807257309
needs to be Xed,-166080.14205862035,6658737.485859629,0.7353308013460008,0.08466915338083482,0.18000004527316446
needs to be Xed,-274526.66603765386,7700450.50046821,0.6711528967152343,0.23794324379422688,0.09090385949053888
needs to be Xed,-288489.2471288726,7670532.812981689,0.6320847128433014,0.27818052793008763,0.08973475922661099
needs to be Xed,97406.66951443948,6647242.852390651,0.6823520306441073,0.12815223299466033,0.1894957363612324
needs to be Xed,-425664.8047292091,7799975.074029687,0.6960208991461302,0.22537739726334663,0.0786017035905232
needs to be Xed,-401821.95091314253,7827953.620533239,0.7242360462840731,0.2104281455770133,0.0653358081389135
needs Xed,-515317.8490709154,7451377.536497721,0.4203107315805467,0.5120802620682444,0.06760900635120877
needs to be Xed,-699111.0371850707,7335766.097361238,0.7215611034618558,0.23983880784389067,0.038600088694253486
needs to be Xed,-149143.0707775581,6811506.744243429,0.7093488081700352,0.06955293569869367,0.2210982561312711
needs to be Xed,-515747.43098588666,7040442.511032255,0.6839782037138505,0.06342717630828427,0.25259461997786514
needs to be Xed,-459667.45451150526,7025170.177756032,0.6683636811063729,0.055794685405544144,0.27584163348808294
needs Xing,-164722.34483356756,7085880.959602008,0.28559806996466863,0.03613552390666345,0.6782664061286681
needs to be Xed,-451772.1196269923,6635130.966655371,0.7049951072228805,0.14107351985947378,0.15393137291764575
needs to be Xed,-358325.6409975236,7190820.409402401,0.5795423677398079,0.07081588266780424,0.34964174959238775
needs to be Xed,-121605.01099240522,6668577.680976788,0.7288857671986687,0.1308487341216591,0.1402654986796722
needs to be Xed,-262604.53781682864,6688978.381916168,0.6344409283068299,0.12306101812537269,0.2424980535677975
