placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Dingle,0.5750000,0.4250000,-10.2640135,52.14094
Tralee,0.5750000,0.4250000, -9.6999325,52.27131
Killarney,0.5746269,0.4253731, -9.5044265,52.05994
Bantry,0.5647922,0.4352078, -9.4539805,51.68035
Mayo,0.5732218,0.4267782, -9.4289369,54.01526
Ballycastle,0.5813953,0.4186047, -9.3724643,54.27967
Abbeyfeale,0.5746269,0.4253731, -9.2970823,52.38618
Ennistymon,0.5629820,0.4370180, -9.2934951,52.94037
Galway,0.5765306,0.4234694, -9.0567905,53.27067
Claremorris,0.5706941,0.4293059, -9.0017356,53.72388
Clare,0.5681234,0.4318766, -8.9811351,52.90453
Adare,0.5681234,0.4318766, -8.7925892,52.56363
Charleville,0.5626598,0.4373402, -8.6810176,52.36206
Mallow,0.5696517,0.4303483, -8.6539164,52.13898
Limerick,0.5681234,0.4318766, -8.6267343,52.66384
Loughrea,0.5801527,0.4198473, -8.5660931,53.19891
Sligo,0.5780591,0.4219409, -8.4760888,54.27661
Cork,0.5689655,0.4310345, -8.4756035,51.89851
Nenagh,0.5755208,0.4244792, -8.1983400,52.86350
Roscommon,0.5443350,0.4556650, -8.1890955,53.62759
Tipperary,0.5681234,0.4318766, -8.1618514,52.47379
Donegal,0.5914894,0.4085106, -8.1096143,54.65383
Leitrim,0.5771670,0.4228330, -8.0020132,54.12469
Athlone,0.5138200,0.4861800, -7.9406898,53.42393
Longford,0.5470297,0.4529703, -7.7932573,53.72763
Offaly,0.5283019,0.4716981, -7.7122229,53.23569
Fermanagh,0.5780591,0.4219409, -7.6318728,54.34383
Enniskillen,0.5780591,0.4219409, -7.6315336,54.34382
Doon,0.5771670,0.4228330, -7.6096400,54.18593
Westmeath,0.5138200,0.4861800, -7.4653217,53.53453
Strabane,0.5977778,0.4022222, -7.4633103,54.82739
Balivanich,0.5845070,0.4154930, -7.3743509,57.47227
Cavan,0.5375000,0.4625000, -7.3633319,53.98972
Mullingar,0.5138200,0.4861800, -7.3401868,53.52582
Laois,0.5659898,0.4340102, -7.3323007,52.99430
Omagh,0.5959821,0.4040179, -7.3099597,54.59771
Derry,0.6057269,0.3942731, -7.3085748,54.99661
Derry,0.6057269,0.3942731, -7.3085748,54.99661
Kilkenny,0.5755208,0.4244792, -7.2447879,52.65415
Tyrone,0.5844444,0.4155556, -7.1312320,54.49121
Waterford,0.5560641,0.4439359, -7.1100702,52.25932
Western Isles,0.5845070,0.4154930, -7.0194034,57.75989
Monaghan,0.5764967,0.4235033, -6.9683132,54.24920
Carlow,0.5658915,0.4341085, -6.9341359,52.83651
Kildare,0.5249819,0.4750181, -6.8194708,53.21204
Dungannon,0.5924276,0.4075724, -6.7669352,54.50827
Cookstown,0.5968820,0.4031180, -6.7443895,54.64182
Coleraine,0.5881188,0.4118812, -6.6646103,55.13258
Meath,0.5138200,0.4861800, -6.6564169,53.60555
Armagh,0.5764967,0.4235033, -6.6527920,54.35028
Armagh,0.5764967,0.4235033, -6.6527920,54.35028
