placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Dingle,0.25471698,0.4433962,0.3018868,-10.2640135,52.14094
Tralee,0.24299065,0.4392523,0.3177570, -9.6999325,52.27131
Killarney,0.23364486,0.4392523,0.3271028, -9.5044265,52.05994
Bantry,0.23364486,0.4392523,0.3271028, -9.4539805,51.68035
Mayo,0.23300971,0.4563107,0.3106796, -9.4289369,54.01526
Ballycastle,0.23300971,0.4757282,0.2912621, -9.3724643,54.27967
Abbeyfeale,0.24299065,0.4392523,0.3177570, -9.2970823,52.38618
Ennistymon,0.25714286,0.4285714,0.3142857, -9.2934951,52.94037
Galway,0.26066351,0.4265403,0.3127962, -9.0567905,53.27067
Claremorris,0.21818182,0.4363636,0.3454545, -9.0017356,53.72388
Clare,0.25714286,0.4285714,0.3142857, -8.9811351,52.90453
Adare,0.24299065,0.4392523,0.3177570, -8.7925892,52.56363
Charleville,0.23364486,0.4392523,0.3271028, -8.6810176,52.36206
Mallow,0.24299065,0.4392523,0.3177570, -8.6539164,52.13898
Limerick,0.24786325,0.4273504,0.3247863, -8.6267343,52.66384
Loughrea,0.25321888,0.4120172,0.3347639, -8.5660931,53.19891
Sligo,0.19801980,0.5247525,0.2772277, -8.4760888,54.27661
Cork,0.24576271,0.4152542,0.3389831, -8.4756035,51.89851
Nenagh,0.24786325,0.4102564,0.3418803, -8.1983400,52.86350
Roscommon,0.27339450,0.4348624,0.2917431, -8.1890955,53.62759
Tipperary,0.24299065,0.4299065,0.3271028, -8.1618514,52.47379
Donegal,0.19491525,0.5677966,0.2372881, -8.1096143,54.65383
Leitrim,0.20000000,0.5000000,0.3000000, -8.0020132,54.12469
Athlone,0.26094003,0.4035656,0.3354943, -7.9406898,53.42393
Longford,0.26878130,0.4156928,0.3155259, -7.7932573,53.72763
Offaly,0.24879615,0.4093098,0.3418941, -7.7122229,53.23569
Fermanagh,0.19491525,0.5677966,0.2372881, -7.6318728,54.34383
Enniskillen,0.19491525,0.5677966,0.2372881, -7.6315336,54.34382
Doon,0.19327731,0.5546218,0.2521008, -7.6096400,54.18593
