placename,preposition_dropped,preposition_retained,longitude,latitude
Dingle,0.024304430,0.9756956,-10.2640135,52.14094
Tralee,0.024468680,0.9755313, -9.6999325,52.27131
Killarney,0.025975849,0.9740242, -9.5044265,52.05994
Bantry,0.024571750,0.9754283, -9.4539805,51.68035
Mayo,0.033513514,0.9664865, -9.4289369,54.01526
Ballycastle,0.032296651,0.9677033, -9.3724643,54.27967
Abbeyfeale,0.025866890,0.9741331, -9.2970823,52.38618
Ennistymon,0.027290539,0.9727095, -9.2934951,52.94037
Galway,0.028293674,0.9717063, -9.0567905,53.27067
Claremorris,0.036685067,0.9633149, -9.0017356,53.72388
Clare,0.025269542,0.9747305, -8.9811351,52.90453
Adare,0.025975849,0.9740242, -8.7925892,52.56363
Charleville,0.024571750,0.9754283, -8.6810176,52.36206
Mallow,0.024640946,0.9753591, -8.6539164,52.13898
Limerick,0.025866890,0.9741331, -8.6267343,52.66384
Loughrea,0.042114032,0.9578860, -8.5660931,53.19891
Sligo,0.036906854,0.9630931, -8.4760888,54.27661
Cork,0.040919209,0.9590808, -8.4756035,51.89851
Nenagh,0.031993945,0.9680061, -8.1983400,52.86350
Roscommon,0.066947328,0.9330527, -8.1890955,53.62759
Tipperary,0.024710534,0.9752895, -8.1618514,52.47379
Donegal,0.016338880,0.9836611, -8.1096143,54.65383
Leitrim,0.039118705,0.9608813, -8.0020132,54.12469
Athlone,0.069065159,0.9309348, -7.9406898,53.42393
Longford,0.098194341,0.9018057, -7.7932573,53.72763
Offaly,0.071698961,0.9283010, -7.7122229,53.23569
Fermanagh,0.037688442,0.9623116, -7.6318728,54.34383
Enniskillen,0.037688442,0.9623116, -7.6315336,54.34382
Doon,0.055045872,0.9449541, -7.6096400,54.18593
Westmeath,0.172227805,0.8277722, -7.4653217,53.53453
Strabane,0.013422819,0.9865772, -7.4633103,54.82739
Balivanich,0.011979852,0.9880201, -7.3743509,57.47227
Cavan,0.088235294,0.9117647, -7.3633319,53.98972
Mullingar,0.173018455,0.8269815, -7.3401868,53.52582
Laois,0.160057582,0.8399424, -7.3323007,52.99430
Omagh,0.013162018,0.9868380, -7.3099597,54.59771
Derry,0.013261762,0.9867382, -7.3085748,54.99661
Derry,0.013261762,0.9867382, -7.3085748,54.99661
Kilkenny,0.067572361,0.9324276, -7.2447879,52.65415
Tyrone,0.022556391,0.9774436, -7.1312320,54.49121
Waterford,0.054692828,0.9453072, -7.1100702,52.25932
Western Isles,0.012174314,0.9878257, -7.0194034,57.75989
Monaghan,0.042522261,0.9574777, -6.9683132,54.24920
Carlow,0.153101686,0.8468983, -6.9341359,52.83651
Kildare,0.164793859,0.8352061, -6.8194708,53.21204
Dungannon,0.017035775,0.9829642, -6.7669352,54.50827
Cookstown,0.015220149,0.9847799, -6.7443895,54.64182
Coleraine,0.015311703,0.9846883, -6.6646103,55.13258
Meath,0.170757528,0.8292425, -6.6564169,53.60555
Armagh,0.022996897,0.9770031, -6.6527920,54.35028
Armagh,0.022996897,0.9770031, -6.6527920,54.35028
Magherafelt,0.016706444,0.9832936, -6.6079805,54.75537
Dunvegan,0.010902333,0.9890977, -6.5813982,57.43660
Louth,0.173102142,0.8268979, -6.4889423,53.92523
Wexford,0.152876042,0.8471240, -6.4633381,52.33692
Craigavon,0.019558965,0.9804410, -6.4175653,54.44293
Stornoway,0.008748674,0.9912513, -6.3848692,58.20943
Drogheda,0.172388653,0.8276113, -6.3560985,53.71786
Rosslare,0.146844271,0.8531557, -6.3414908,52.25131
Newry,0.041372517,0.9586275, -6.3402300,54.17510
Scilly Isles,0.021403283,0.9785967, -6.3274966,49.92773
Ballymena,0.017361111,0.9826389, -6.2802213,54.86529
Banbridge,0.024463748,0.9755363, -6.2704803,54.34873
Dublin,0.167739684,0.8322603, -6.2603097,53.34981
Antrim,0.017657446,0.9823426, -6.2072498,54.71953
Antrim,0.017657446,0.9823426, -6.2072498,54.71953
Portree,0.011867302,0.9881327, -6.1960231,57.41247
Islay,0.010218752,0.9897812, -6.1770670,55.73625
Wicklow,0.164245230,0.8357548, -6.0445890,52.98082
Kilkeel,0.058644448,0.9413556, -6.0070040,54.06312
Mull,0.020837870,0.9791621, -6.0008870,56.43920
Belfast,0.017996401,0.9820036, -5.9301200,54.59728
Broadford,0.011334850,0.9886651, -5.9096592,57.24139
Down,0.025297892,0.9747021, -5.7156922,54.32875
Kyle of Lochalsh,0.012400770,0.9875992, -5.7143293,57.28261
Campbeltown,0.007797271,0.9922027, -5.6053740,55.42412
Penzance,0.021403283,0.9785967, -5.5375920,50.11880
Oban,0.020838032,0.9791620, -5.4710470,56.41516
Lochgilphead,0.011592220,0.9884078, -5.4323449,56.03829
Helston,0.021888200,0.9781118, -5.2749960,50.10159
Redruth,0.022481847,0.9775182, -5.2266660,50.23302
Ullapool,0.011875843,0.9881242, -5.1613130,57.89542
Ballachulish,0.012312777,0.9876872, -5.1337200,56.67393
Fort William,0.009621926,0.9903781, -5.1052179,56.81982
Achnasheen,0.011985835,0.9880142, -5.0787658,57.57859
Newquay,0.021574671,0.9784253, -5.0737190,50.41550
Falmouth,0.021888200,0.9781118, -5.0662700,50.15257
Rothesay,0.010948905,0.9890511, -5.0557930,55.83596
Truro,0.021863014,0.9781370, -5.0510410,50.26320
Milford Haven,0.030042918,0.9699571, -5.0426971,51.71431
Stranraer,0.015647922,0.9843521, -5.0240550,54.90337
Fishguard,0.028957254,0.9710427, -4.9759890,51.99393
Inchnadamph,0.011911207,0.9880888, -4.9742950,58.15221
Haverfordwest,0.030630436,0.9693696, -4.9713190,51.80047
Dunoon,0.019308943,0.9806911, -4.9262140,55.95097
Pembroke,0.030727672,0.9692723, -4.9086370,51.67404
Girvan,0.008185539,0.9918145, -4.8542179,55.24016
Wadebridge,0.022006288,0.9779937, -4.8364560,50.51665
Invergarry,0.011835911,0.9881641, -4.8002610,57.07095
St Austell,0.021888200,0.9781118, -4.7834252,50.34038
Greenock,0.019345783,0.9806542, -4.7719830,55.95648
Helensburgh,0.020833333,0.9791667, -4.7340140,56.00232
Bodmin,0.021574671,0.9784253, -4.7188629,50.47150
Tenby,0.030800474,0.9691995, -4.7035790,51.67274
Camelford,0.021991622,0.9780084, -4.6823640,50.62206
Irvine,0.011079845,0.9889202, -4.6696364,55.61157
Cardigan,0.029790148,0.9702099, -4.6608640,52.08370
Holyhead,0.155051684,0.8449483, -4.6330380,53.30944
Ayr,0.010869565,0.9891304, -4.6291790,55.45856
Dumbarton,0.020730232,0.9792698, -4.5645540,55.94529
Bude,0.016499551,0.9835004, -4.5436780,50.82664
Isle of Man,0.060989835,0.9390102, -4.5126331,54.27697
Kilmarnock,0.009677419,0.9903226, -4.4987920,55.61472
Newton Stewart,0.051085568,0.9489144, -4.4831640,54.96030
Liskeard,0.020407301,0.9795927, -4.4647190,50.45552
Altnaharra,0.009027493,0.9909725, -4.4426550,58.28023
Pwllheli,0.096007315,0.9039927, -4.4176339,52.88882
Lairg,0.011879050,0.9881210, -4.4024140,58.02206
Launceston,0.016610937,0.9833891, -4.3604516,50.63683
Carmarthen,0.030042918,0.9699571, -4.3121310,51.85762
Llangefni,0.293896714,0.7061033, -4.3114020,53.25579
Caernarfon,0.171086088,0.8289139, -4.2739110,53.13955
Cumnock,0.008141113,0.9918589, -4.2658289,55.45355
Aberaeron,0.021758189,0.9782418, -4.2581619,52.24279
Alness,0.011663353,0.9883366, -4.2568250,57.69595
Glasgow,0.021812446,0.9781876, -4.2518060,55.86424
Dalwhinnie,0.013994911,0.9860051, -4.2427830,56.93660
Inverness,0.015320334,0.9846797, -4.2247210,57.47777
Saltash,0.017154060,0.9828459, -4.2164300,50.40921
Bideford,0.023334259,0.9766657, -4.2066660,51.01668
Invergordon,0.011300886,0.9886991, -4.1728820,57.68811
Llanelli,0.038771400,0.9612286, -4.1602480,51.68089
Plymouth,0.018309961,0.9816900, -4.1426565,50.37546
Tavistock,0.013993003,0.9860070, -4.1416540,50.55112
Porthmadog,0.102200784,0.8977992, -4.1333840,52.92784
Bangor,0.209847597,0.7901524, -4.1292630,53.22739
Tywyn,0.042295082,0.9577049, -4.0872490,52.58701
Aberystwyth,0.030150754,0.9698492, -4.0829200,52.41530
Lampeter,0.032380757,0.9676192, -4.0785090,52.11290
Barnstaple,0.023350332,0.9766497, -4.0583380,51.07816
Tain,0.008798827,0.9912012, -4.0552300,57.81150
Okehampton,0.012541592,0.9874584, -4.0042630,50.73831
Llandeilo,0.036668413,0.9633316, -3.9914300,51.88469
Motherwell,0.022224530,0.9777755, -3.9810968,55.78321
Golspie,0.008745197,0.9912548, -3.9760860,57.97341
Airdrie,0.025732032,0.9742680, -3.9625660,55.86627
Swansea,0.038455136,0.9615449, -3.9436460,51.62144
Stirling,0.014354067,0.9856459, -3.9369029,56.11652
