placename,preposition_dropped,preposition_retained,longitude,latitude
Dingle,0.051646707,0.9483533,-10.2640135,52.14094
Tralee,0.053323029,0.9466770, -9.6999325,52.27131
Killarney,0.051646707,0.9483533, -9.5044265,52.05994
Bantry,0.050735294,0.9492647, -9.4539805,51.68035
Mayo,0.056051990,0.9439480, -9.4289369,54.01526
Ballycastle,0.055510861,0.9444891, -9.3724643,54.27967
Abbeyfeale,0.053323029,0.9466770, -9.2970823,52.38618
Ennistymon,0.054330709,0.9456693, -9.2934951,52.94037
Galway,0.064541833,0.9354582, -9.0567905,53.27067
Claremorris,0.055780113,0.9442199, -9.0017356,53.72388
Clare,0.054330709,0.9456693, -8.9811351,52.90453
Adare,0.053323029,0.9466770, -8.7925892,52.56363
Charleville,0.053323029,0.9466770, -8.6810176,52.36206
Mallow,0.053076923,0.9469231, -8.6539164,52.13898
Limerick,0.054330709,0.9456693, -8.6267343,52.66384
Loughrea,0.068829114,0.9311709, -8.5660931,53.19891
Sligo,0.055377207,0.9446228, -8.4760888,54.27661
Cork,0.050735294,0.9492647, -8.4756035,51.89851
Nenagh,0.058639562,0.9413604, -8.1983400,52.86350
Roscommon,0.055244195,0.9447558, -8.1890955,53.62759
Tipperary,0.053323029,0.9466770, -8.1618514,52.47379
Donegal,0.052852349,0.9471477, -8.1096143,54.65383
Leitrim,0.056326531,0.9436735, -8.0020132,54.12469
Athlone,0.075000000,0.9250000, -7.9406898,53.42393
Longford,0.055244195,0.9447558, -7.7932573,53.72763
Offaly,0.074281150,0.9257188, -7.7122229,53.23569
Fermanagh,0.051809211,0.9481908, -7.6318728,54.34383
Enniskillen,0.051809211,0.9481908, -7.6315336,54.34382
Doon,0.056051990,0.9439480, -7.6096400,54.18593
Westmeath,0.072373541,0.9276265, -7.4653217,53.53453
Strabane,0.041069100,0.9589309, -7.4633103,54.82739
Balivanich,0.004702194,0.9952978, -7.3743509,57.47227
Cavan,0.054202671,0.9457973, -7.3633319,53.98972
Mullingar,0.072037180,0.9279628, -7.3401868,53.52582
Laois,0.077952756,0.9220472, -7.3323007,52.99430
Omagh,0.042567568,0.9574324, -7.3099597,54.59771
Derry,0.041149575,0.9588504, -7.3085748,54.99661
Derry,0.041149575,0.9588504, -7.3085748,54.99661
Kilkenny,0.058365759,0.9416342, -7.2447879,52.65415
Tyrone,0.052195526,0.9478045, -7.1312320,54.49121
Waterford,0.053571429,0.9464286, -7.1100702,52.25932
