placename,sel,self,sen,longitude,latitude
Dingle,0.00000000000,0.9984720,0.00152801358,-10.2640135,52.14094
Tralee,0.00000000000,0.9984602,0.00153977759, -9.6999325,52.27131
Killarney,0.00000000000,0.9995653,0.00043469861, -9.5044265,52.05994
Bantry,0.00000000000,0.9994779,0.00052205690, -9.4539805,51.68035
Mayo,0.00000000000,1.0000000,0.00000000000, -9.4289369,54.01526
Ballycastle,0.00000000000,1.0000000,0.00000000000, -9.3724643,54.27967
Abbeyfeale,0.00040635723,0.9987809,0.00081271447, -9.2970823,52.38618
Ennistymon,0.00160014223,0.9979998,0.00040003556, -9.2934951,52.94037
Galway,0.00181730070,0.9981827,0.00000000000, -9.0567905,53.27067
Claremorris,0.00060435133,0.9993956,0.00000000000, -9.0017356,53.72388
Clare,0.00000000000,0.9986716,0.00132841328, -8.9811351,52.90453
Adare,0.00023813304,0.9997619,0.00000000000, -8.7925892,52.56363
Charleville,0.00024100257,0.9997590,0.00000000000, -8.6810176,52.36206
Mallow,0.00000000000,1.0000000,0.00000000000, -8.6539164,52.13898
Limerick,0.00023790642,0.9997621,0.00000000000, -8.6267343,52.66384
Loughrea,0.00205093146,0.9979491,0.00000000000, -8.5660931,53.19891
Sligo,0.00260787361,0.9973921,0.00000000000, -8.4760888,54.27661
Cork,0.00061740675,0.9993826,0.00000000000, -8.4756035,51.89851
Nenagh,0.00000000000,1.0000000,0.00000000000, -8.1983400,52.86350
Roscommon,0.00000000000,1.0000000,0.00000000000, -8.1890955,53.62759
Tipperary,0.00000000000,1.0000000,0.00000000000, -8.1618514,52.47379
Donegal,0.00247699345,0.9975230,0.00000000000, -8.1096143,54.65383
Leitrim,0.00000000000,1.0000000,0.00000000000, -8.0020132,54.12469
Athlone,0.00108030248,0.9989197,0.00000000000, -7.9406898,53.42393
Longford,0.00000000000,1.0000000,0.00000000000, -7.7932573,53.72763
Offaly,0.00077780659,0.9992222,0.00000000000, -7.7122229,53.23569
Fermanagh,0.00000000000,1.0000000,0.00000000000, -7.6318728,54.34383
Enniskillen,0.00000000000,1.0000000,0.00000000000, -7.6315336,54.34382
Doon,0.00000000000,1.0000000,0.00000000000, -7.6096400,54.18593
Westmeath,0.00085058123,0.9991494,0.00000000000, -7.4653217,53.53453
Strabane,0.00365003871,0.9963500,0.00000000000, -7.4633103,54.82739
Balivanich,0.00540629096,0.9945937,0.00000000000, -7.3743509,57.47227
