placename,should_have,should_of,longitude,latitude
Abbeyfeale,0.9449903,0.05500967, -9.2970823,52.38618
Aberaeron,0.8961250,0.10387503, -4.2581619,52.24279
Aberdeen,0.8993795,0.10062052, -2.0942780,57.14972
Aberfeldy,0.9164374,0.08356259, -3.8669690,56.62175
Aberystwyth,0.8980326,0.10196739, -4.0829200,52.41530
Abingdon,0.9254021,0.07459787, -1.2879529,51.67078
Achnasheen,0.9246654,0.07533465, -5.0787658,57.57859
Adare,0.9449880,0.05501201, -8.7925892,52.56363
Airdrie,0.9627454,0.03725462, -3.9625660,55.86627
Alderney,0.8647560,0.13524395, -2.1973557,49.71500
Aldershot,0.9008331,0.09916692, -0.7557509,51.24837
Alness,0.9119993,0.08800073, -4.2568250,57.69595
Alnwick,0.8614364,0.13856364, -1.7062990,55.41274
Alston,0.8365761,0.16342394, -2.4386850,54.81217
Altnaharra,0.9063572,0.09364284, -4.4426550,58.28023
Ambleside,0.8535929,0.14640710, -2.9613330,54.42874
Andover,0.9205282,0.07947180, -1.4919233,51.21120
Antrim,0.9344279,0.06557210, -6.2072498,54.71953
Antrim,0.9344279,0.06557210, -6.2072498,54.71953
Arbroath,0.9068879,0.09311213, -2.5915430,56.55911
Armagh,0.9317575,0.06824255, -6.6527920,54.35028
Armagh,0.9317575,0.06824255, -6.6527920,54.35028
Ashbourne,0.8574734,0.14252656, -1.7321790,53.01663
Ashford,0.8947494,0.10525056,  0.8750190,51.14647
Ashington,0.8724359,0.12756411, -1.5659829,55.18298
Athlone,0.9315581,0.06844186, -7.9406898,53.42393
Aviemore,0.9076397,0.09236032, -3.8238120,57.19449
Axminster,0.8352759,0.16472409, -2.9949370,50.78273
Aylesbury,0.9149752,0.08502481, -0.8084000,51.81561
Ayr,0.9160580,0.08394196, -4.6291790,55.45856
Aysgarth,0.8856689,0.11433108, -1.9967434,54.29159
Balivanich,0.9033019,0.09669811, -7.3743509,57.47227
Ballachulish,0.9094340,0.09056604, -5.1337200,56.67393
Ballycastle,0.9332473,0.06675268, -9.3724643,54.27967
Ballymena,0.9091456,0.09085439, -6.2802213,54.86529
Banbridge,0.9268358,0.07316422, -6.2704803,54.34873
Banbury,0.8909676,0.10903241, -1.3397750,52.06290
Banchory,0.9041442,0.09585583, -2.4909599,57.05386
Banff,0.8825960,0.11740399, -2.5240380,57.66651
Bangor,0.8818066,0.11819345, -4.1292630,53.22739
Banham,0.8888242,0.11117583,  1.0402849,52.45125
Bantry,0.9384954,0.06150463, -9.4539805,51.68035
Barnsley,0.9465578,0.05344223, -1.4797260,53.55263
