placename,past participle,present participle,longitude,latitude
Dingle,0.1727586,0.82724138,-10.2640135,52.14094
Tralee,0.1727586,0.82724138, -9.6999325,52.27131
Killarney,0.1727586,0.82724138, -9.5044265,52.05994
Bantry,0.1675018,0.83249821, -9.4539805,51.68035
Mayo,0.1635796,0.83642040, -9.4289369,54.01526
Ballycastle,0.1619358,0.83806422, -9.3724643,54.27967
Abbeyfeale,0.1712838,0.82871622, -9.2970823,52.38618
Ennistymon,0.1699863,0.83001374, -9.2934951,52.94037
Galway,0.1716080,0.82839205, -9.0567905,53.27067
Claremorris,0.1801615,0.81983848, -9.0017356,53.72388
Clare,0.1689144,0.83108564, -8.9811351,52.90453
Adare,0.1685967,0.83140327, -8.7925892,52.56363
Charleville,0.1729581,0.82704187, -8.6810176,52.36206
Mallow,0.1678623,0.83213773, -8.6539164,52.13898
Limerick,0.1688136,0.83118644, -8.6267343,52.66384
Loughrea,0.1720280,0.82797203, -8.5660931,53.19891
Sligo,0.1614130,0.83858696, -8.4760888,54.27661
Cork,0.1682044,0.83179560, -8.4756035,51.89851
Nenagh,0.1691884,0.83081155, -8.1983400,52.86350
Roscommon,0.1689418,0.83105823, -8.1890955,53.62759
Tipperary,0.1701903,0.82980973, -8.1618514,52.47379
Donegal,0.1549398,0.84506021, -8.1096143,54.65383
Leitrim,0.1657977,0.83420229, -8.0020132,54.12469
Athlone,0.1428479,0.85715206, -7.9406898,53.42393
Longford,0.1429728,0.85702716, -7.7932573,53.72763
Offaly,0.1448476,0.85515235, -7.7122229,53.23569
Fermanagh,0.1642820,0.83571800, -7.6318728,54.34383
Enniskillen,0.1642820,0.83571800, -7.6315336,54.34382
Doon,0.1600520,0.83994795, -7.6096400,54.18593
Westmeath,0.1361698,0.86383019, -7.4653217,53.53453
Strabane,0.1411043,0.85889571, -7.4633103,54.82739
Balivanich,0.2474597,0.75254035, -7.3743509,57.47227
Cavan,0.1587972,0.84120278, -7.3633319,53.98972
Mullingar,0.1356929,0.86430706, -7.3401868,53.52582
Laois,0.1403618,0.85963816, -7.3323007,52.99430
Omagh,0.1413753,0.85862466, -7.3099597,54.59771
Derry,0.1474417,0.85255832, -7.3085748,54.99661
Derry,0.1474417,0.85255832, -7.3085748,54.99661
Kilkenny,0.1421253,0.85787465, -7.2447879,52.65415
Tyrone,0.1435563,0.85644372, -7.1312320,54.49121
Waterford,0.1454880,0.85451201, -7.1100702,52.25932
Western Isles,0.2484549,0.75154512, -7.0194034,57.75989
Monaghan,0.1505073,0.84949274, -6.9683132,54.24920
Carlow,0.1410061,0.85899392, -6.9341359,52.83651
Kildare,0.1414007,0.85859935, -6.8194708,53.21204
Dungannon,0.1414280,0.85857202, -6.7669352,54.50827
Cookstown,0.1450777,0.85492228, -6.7443895,54.64182
Coleraine,0.1501509,0.84984906, -6.6646103,55.13258
Meath,0.1384461,0.86155390, -6.6564169,53.60555
Armagh,0.1473135,0.85268655, -6.6527920,54.35028
Armagh,0.1473135,0.85268655, -6.6527920,54.35028
Magherafelt,0.1527381,0.84726186, -6.6079805,54.75537
Dunvegan,0.2516717,0.74832827, -6.5813982,57.43660
Louth,0.1390418,0.86095823, -6.4889423,53.92523
Wexford,0.1445446,0.85545537, -6.4633381,52.33692
Craigavon,0.1503404,0.84965958, -6.4175653,54.44293
Stornoway,0.2756654,0.72433460, -6.3848692,58.20943
Drogheda,0.1393175,0.86068254, -6.3560985,53.71786
Rosslare,0.1536198,0.84638021, -6.3414908,52.25131
Newry,0.1442680,0.85573197, -6.3402300,54.17510
Scilly Isles,0.7168279,0.28317215, -6.3274966,49.92773
Ballymena,0.1548423,0.84515774, -6.2802213,54.86529
Banbridge,0.1502683,0.84973166, -6.2704803,54.34873
Dublin,0.1382239,0.86177611, -6.2603097,53.34981
Antrim,0.1576957,0.84230434, -6.2072498,54.71953
Antrim,0.1576957,0.84230434, -6.2072498,54.71953
Portree,0.2475811,0.75241890, -6.1960231,57.41247
Islay,0.1698707,0.83012933, -6.1770670,55.73625
Wicklow,0.1434595,0.85654046, -6.0445890,52.98082
Kilkeel,0.1484411,0.85155895, -6.0070040,54.06312
Mull,0.1755431,0.82445690, -6.0008870,56.43920
Belfast,0.1610546,0.83894541, -5.9301200,54.59728
Broadford,0.2476137,0.75238630, -5.9096592,57.24139
Down,0.2020523,0.79794771, -5.7156922,54.32875
Kyle of Lochalsh,0.2569484,0.74305162, -5.7143293,57.28261
Campbeltown,0.1647695,0.83523051, -5.6053740,55.42412
Penzance,0.7206054,0.27939464, -5.5375920,50.11880
Oban,0.1765359,0.82346410, -5.4710470,56.41516
Lochgilphead,0.1732686,0.82673141, -5.4323449,56.03829
Helston,0.7206054,0.27939464, -5.2749960,50.10159
Redruth,0.7206054,0.27939464, -5.2266660,50.23302
