placename,past participle,present participle,longitude,latitude
Dingle,0.09236948,0.9076305,-10.2640135,52.14094
Tralee,0.09236948,0.9076305, -9.6999325,52.27131
Killarney,0.09236948,0.9076305, -9.5044265,52.05994
Bantry,0.09519437,0.9048056, -9.4539805,51.68035
Mayo,0.10814419,0.8918558, -9.4289369,54.01526
Ballycastle,0.10375276,0.8962472, -9.3724643,54.27967
Abbeyfeale,0.09236948,0.9076305, -9.2970823,52.38618
Ennistymon,0.09458637,0.9054136, -9.2934951,52.94037
Galway,0.09664512,0.9033549, -9.0567905,53.27067
Claremorris,0.09124455,0.9087555, -9.0017356,53.72388
Clare,0.09519437,0.9048056, -8.9811351,52.90453
Adare,0.09236948,0.9076305, -8.7925892,52.56363
Charleville,0.09519437,0.9048056, -8.6810176,52.36206
Mallow,0.09519437,0.9048056, -8.6539164,52.13898
Limerick,0.09236948,0.9076305, -8.6267343,52.66384
Loughrea,0.09536952,0.9046305, -8.5660931,53.19891
Sligo,0.11622276,0.8837772, -8.4760888,54.27661
Cork,0.09941520,0.9005848, -8.4756035,51.89851
Nenagh,0.09519437,0.9048056, -8.1983400,52.86350
Roscommon,0.08891929,0.9110807, -8.1890955,53.62759
Tipperary,0.09519437,0.9048056, -8.1618514,52.47379
Donegal,0.09150718,0.9084928, -8.1096143,54.65383
Leitrim,0.12490537,0.8750946, -8.0020132,54.12469
Athlone,0.08843085,0.9115691, -7.9406898,53.42393
Longford,0.09441909,0.9055809, -7.7932573,53.72763
Offaly,0.09235474,0.9076453, -7.7122229,53.23569
Fermanagh,0.09578313,0.9042169, -7.6318728,54.34383
Enniskillen,0.09578313,0.9042169, -7.6315336,54.34382
Doon,0.10696379,0.8930362, -7.6096400,54.18593
Westmeath,0.09314404,0.9068560, -7.4653217,53.53453
Strabane,0.08560794,0.9143921, -7.4633103,54.82739
Balivanich,0.14177363,0.8582264, -7.3743509,57.47227
Cavan,0.09639910,0.9036009, -7.3633319,53.98972
Mullingar,0.09314404,0.9068560, -7.3401868,53.52582
Laois,0.09320988,0.9067901, -7.3323007,52.99430
Omagh,0.08560794,0.9143921, -7.3099597,54.59771
Derry,0.08834356,0.9116564, -7.3085748,54.99661
Derry,0.08834356,0.9116564, -7.3085748,54.99661
Kilkenny,0.09432818,0.9056718, -7.2447879,52.65415
Tyrone,0.08737864,0.9126214, -7.1312320,54.49121
Waterford,0.10239651,0.8976035, -7.1100702,52.25932
Western Isles,0.15671642,0.8432836, -7.0194034,57.75989
Monaghan,0.09994051,0.9000595, -6.9683132,54.24920
Carlow,0.09559280,0.9044072, -6.9341359,52.83651
Kildare,0.09202239,0.9079776, -6.8194708,53.21204
Dungannon,0.08866995,0.9113300, -6.7669352,54.50827
