,userid,construction_type,verb,pronoun1,preposition,pronoun2,post,tag,latitude,longitude
0,5084049,it+pronominal_object,gave,us,,them,,,55.864237,-4.251806
1,691637,it+pronominal_object,sell,him,,you,usually,,51.3426285,-0.8262729
2,2633684,it+pronominal_object,feed,me,,you,git😂😍🐶,,51.42714368174664,-0.548096090820966
3,3589913,it+pronominal_object,gave,you,,them,caddy,,53.381724,-2.480044
4,2323383,it+pronominal_object,dm,you,,her,profile,,54.999424,-1.427406
5,3059599,it+pronominal_object,send,you,,her,info,,52.2545225,-2.2668382
6,4268533,it+pronominal_object,show,us,,ya,gnashers,,51.56058668517,0.210589904164524
7,3794928,it+pronominal_object,lend,you,,them,mate,,53.8416168,-0.4344106
8,4192048,it+pronominal_object,bring,him,to,you,@everton,prepositional_dative,52.193636,-2.221575
9,4521484,it+pronominal_object,send,me,,you,apple,,51.50360188051037,-0.138125701568217
10,4262425,it+pronominal_object,show,us,,ya,💪🏼,,51.5073509,-0.12775830000000002
11,4045321,it+pronominal_object,expose,me,,u,,,55.65916212906063,-4.442325039629543
12,5305495,it+pronominal_object,give,me,,them,a,,51.5073509,-0.12775830000000002
13,4516051,it+pronominal_object,expose,u,,me,u,,52.63687779999999,-1.1397592
14,4516051,it+pronominal_object,expose,u,,me,u,,52.63687779999999,-1.1397592
15,205690,it+pronominal_object,show,them,,you,love,,50.9280143,-0.4617075
16,205690,it+pronominal_object,show,them,,you,love,,50.9280143,-0.4617075
17,3333056,it+pronominal_object,got,me,,you,bastards,,51.993927,-4.975989
18,3998374,it+pronominal_object,show,me,,them,,,52.97320816672327,-1.3110915763016642
19,6315948,it+pronominal_object,give,me,,her,cold,,52.633584,-1.691032
20,6315948,it+pronominal_object,give,me,,her,cold,,52.576614,-1.543763
21,1108361,it+pronominal_object,pay,them,,you,shysters,,53.5450645,-2.6325074
22,2951347,it+pronominal_object,show,them,,you,how,,52.325628,1.680181
23,2951347,it+pronominal_object,show,them,,you,how,,52.325628,1.680181
24,582781,it+pronominal_object,send,you,,them,😁�,,55.42840464106842,-2.7720145520549884
25,1676104,it+pronominal_object,send,you,,them,,,55.755363,-4.6859769999999985
26,1233651,it+pronominal_object,give,them,to,me,me,prepositional_dative,51.5073509,-0.12775830000000002
27,2322045,it+pronominal_object,email,them,to,you,you,prepositional_dative,52.8792745,-2.0571868
28,3833827,it+pronominal_object,give,us,,them,or,,53.194262,-2.51967
29,5257378,it+pronominal_object,dm,you,,them,,,55.953252,-3.188267
30,280685,it+pronominal_object,getting,me,,them,1st,,52.486243,-1.890401
31,5048172,it+pronominal_object,send,them,to,us,what,prepositional_dative,51.454513,-2.58791
32,5949468,it+pronominal_object,give,us,,them,in,,55.819812132037534,-3.793685543015399
33,5613771,it+pronominal_object,giving,me,,them,cheesy,,53.456952157913115,-2.233479566883483
34,1879626,it+pronominal_object,show,you,,them,in,,52.22045018239496,0.5115784057048179
35,6200203,it+pronominal_object,lend,me,,ya,"block""",,51.5071733,-0.1486232
36,2411777,it+pronominal_object,message,you,,them,i,,50.9280143,-0.4617075
37,5367633,it+pronominal_object,get,me,to,them,french,prepositional_dative,53.4807593,-2.2426305
