,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
0,3858484,it+pronominal_object,give,it,,us,pronominal,pronominal,goal_theme_ditransitive,55.864237,-4.251806
3457,2245924,it+pronominal_object,get,it,,you,pronominal,pronominal,goal_theme_ditransitive,53.26657515359456,-3.164511561333513
3448,6474388,it+pronominal_object,give,it,,them,pronominal,pronominal,goal_theme_ditransitive,53.230688,-0.540579
3447,1729402,it+pronominal_object,get,it,,him,pronominal,pronominal,goal_theme_ditransitive,51.2787075,0.5217254
3446,4365800,it+pronominal_object,give,it,,me,pronominal,pronominal,goal_theme_ditransitive,52.26713529999999,-1.4675216
3442,1585081,it+pronominal_object,give,it,,me,pronominal,pronominal,goal_theme_ditransitive,53.41987815404958,-2.915426562244173
6,1851816,it+pronominal_object,show,it,,us,pronominal,pronominal,goal_theme_ditransitive,55.864237,-4.251806
7,4355393,it+pronominal_object,give,it,,me,pronominal,pronominal,goal_theme_ditransitive,53.8007554,-1.5490774
3441,3300115,it+pronominal_object,give,it,,u,pronominal,pronominal,goal_theme_ditransitive,57.160555633167256,-2.1270400466003827
9,1072213,it+pronominal_object,gives,it,,me,pronominal,pronominal,goal_theme_ditransitive,56.46201800000001,-2.970721
3440,90058,it+pronominal_object,dm,it,,you,pronominal,pronominal,goal_theme_ditransitive,53.40837140000001,-2.9915726
3438,2737615,it+pronominal_object,give,it,,him,pronominal,pronominal,goal_theme_ditransitive,54.59746360000001,-1.0779515
3424,871725,it+pronominal_object,give,it,,you,pronominal,pronominal,goal_theme_ditransitive,54.95984714988889,-1.849940561099945
3414,1195495,it+pronominal_object,got,it,,them,pronominal,pronominal,goal_theme_ditransitive,54.48937615953093,-0.770906071514395
3410,5910095,it+pronominal_object,lend,it,,u,pronominal,pronominal,goal_theme_ditransitive,54.829526643891754,-2.9840025539467208
3409,5910095,it+pronominal_object,lend,it,,u,pronominal,pronominal,goal_theme_ditransitive,54.829526643891754,-2.9840025539467208
16,6587552,it+pronominal_object,lend,it,,you,pronominal,pronominal,goal_theme_ditransitive,52.63687779999999,-1.1397592
3408,1865908,it+pronominal_object,give,it,,you,pronominal,pronominal,goal_theme_ditransitive,53.4807593,-2.2426305
3406,4765141,it+pronominal_object,dm,it,,you,pronominal,pronominal,goal_theme_ditransitive,51.50811466324068,-3.5868900679026066
3399,4780672,it+pronominal_object,bring,it,,me,pronominal,pronominal,goal_theme_ditransitive,50.82253,-0.137163
3368,3570298,it+pronominal_object,send,it,,you,pronominal,pronominal,goal_theme_ditransitive,51.565195182438536,-0.26314009219365603
3363,5295201,it+pronominal_object,send,it,,you,pronominal,pronominal,goal_theme_ditransitive,55.453552,-4.265828900000002
3357,3787326,it+pronominal_object,show,it,,me,pronominal,pronominal,goal_theme_ditransitive,51.8097823,-0.2376744
23,5276455,it+pronominal_object,messaged,it,,me,pronominal,pronominal,goal_theme_ditransitive,52.486243,-1.890401
24,3532269,it+pronominal_object,send,it,,you,pronominal,pronominal,goal_theme_ditransitive,54.7195338,-6.2072498
25,1065591,it+pronominal_object,send,it,,u,pronominal,pronominal,goal_theme_ditransitive,53.40837140000001,-2.9915726
3345,6244763,it+pronominal_object,say,it,,use,pronominal,pronominal,goal_theme_ditransitive,52.307374,-0.5928409
3340,3137007,it+pronominal_object,give,it,,me,pronominal,pronominal,goal_theme_ditransitive,55.012152639776,-3.4468680497761937
3336,3098974,it+pronominal_object,dm,it,,you,pronominal,pronominal,goal_theme_ditransitive,53.381129,-1.470085
3335,3098974,it+pronominal_object,dm,it,,you,pronominal,pronominal,goal_theme_ditransitive,52.95478320000001,-1.1581086
3328,2791700,it+pronominal_object,sent,it,,u,pronominal,pronominal,goal_theme_ditransitive,51.4402241859659,0.20662940349791
3292,380221,it+pronominal_object,show,it,,you,pronominal,pronominal,goal_theme_ditransitive,51.464772989430884,-0.10940683347567402
3290,6110049,it+pronominal_object,getting,it,,her,pronominal,pronominal,goal_theme_ditransitive,51.5073509,-0.12775830000000002
3285,1520477,it+pronominal_object,gave,it,,me,pronominal,pronominal,goal_theme_ditransitive,53.770551384337644,-0.194187151688976
3279,6250724,it+pronominal_object,given,it,,you,pronominal,pronominal,goal_theme_ditransitive,53.801955659532176,-1.565489569728704
3278,3750725,it+pronominal_object,join,it,,us,pronominal,pronominal,goal_theme_ditransitive,51.5073509,-0.12775830000000002
3276,4863752,it+pronominal_object,give,it,,me,pronominal,pronominal,goal_theme_ditransitive,53.8108176,-1.7626099999999998
3273,1389949,it+pronominal_object,give,it,,you,pronominal,pronominal,goal_theme_ditransitive,55.794268629080754,-4.291421039884454
3268,2075087,it+pronominal_object,show,it,,you,pronominal,pronominal,goal_theme_ditransitive,51.5742447,0.4856781
3257,3637303,it+pronominal_object,gives,it,,them,pronominal,pronominal,goal_theme_ditransitive,56.47695163274154,-2.955044544937377
