index,userid,Unnamed: 0,variant,main_verb,determiner,noun,gerund,participle,latitude,longitude
0,3380797,1481,Y needs X to be Ved,want,the,poor,,humiliated,57.45957489999999,-4.2263955
1,4317472,25465,Y needs X Ving,need,the,badge,changing,,53.7676236,-0.3274198
2,3046450,41860,Y needs X Ved,wanted,the,fortifications,,destroyed,55.864237,-4.251806
3,4720551,31453,Y needs X to be Ved,want,the,nhs,,used,50.840331688135606,-0.130355597369922
4,504528,12726,Y needs X Ving,need,the,pitch,rolling,,52.6775873,-2.4672611
5,541528,52859,Y needs X Ving,want,the,colour,changing,,53.4807593,-2.2426305
6,308449,51819,Y needs X Ving,needs,the,additional,training,,53.0003079,-0.40965
7,2423154,25000,Y needs X Ved,want,the,arsenal,,signed,50.718412,-3.533899
8,2377616,72058,Y needs X Ving,need,the,full,supporting,,55.864237,-4.251806
9,1379299,70354,Y needs X Ved,needs,the,same,,done,54.9779201522196,-1.4407020638873893
10,5984019,75297,Y needs X Ving,needs,the,shit,knocking,,52.3417839,-2.277593
11,6465322,62068,Y needs X Ving,need,the,depression/anxiety,fixing,,50.82253,-0.137163
12,123335,73433,Y needs X Ved,want,the,thing,,called,53.697931,-2.695478
13,1184789,78283,Y needs X Ved,want,the,blue,,verified,53.966206161251534,-1.085324072260675
14,1911813,28311,Y needs X Ving,deserve,the,owners,backing,,52.756665164482314,-1.9414210729240289
15,4899318,79266,Y needs X Ved,want,the,motto,,changed,51.5597736799155,-0.708722088847646
16,4899318,80528,Y needs X Ved,want,the,settlements,,pulled,51.5597736799155,-0.708722088847646
17,848731,6969,Y needs X Ved,want,the,system,,changed,52.480419672383405,-0.921309581993866
18,3949536,82530,Y needs X Ving,want,the,sign,calling,,54.9966124,-7.308574799999999
19,3488217,71301,Y needs X Ving,want,the,person,receiving,,51.5073509,-0.12775830000000002
20,4452508,43430,Y needs X to be Ved,want,the,offender,,fined,53.41987815404958,-2.915426562244173
21,1135763,30290,Y needs X to be Ved,want,the,management,,given,53.39330860000001,-2.1266343
22,385800,41175,Y needs X Ving,wants,the,final,signing,,51.57300817355336,-1.78568908070863
23,4789102,59385,Y needs X Ved,want,the,rules,,changed,51.5073509,-0.12775830000000002
24,2546785,19229,Y needs X Ving,needs,the,same,doing,,53.7632254,-2.7044052000000014
25,2015324,91148,Y needs X to be Ved,want,the,club,,relegated,54.99518370000001,-1.5666991
26,6087105,38767,Y needs X to be Ved,want,the,world,,informed,55.012152639776,-3.4468680497761937
27,3278933,39546,Y needs X Ving,need,the,wiggles,replacing,,53.8007554,-1.5490774
28,2186359,5403,Y needs X to be Ved,wants,the,litecoin,,used,50.3754565,-4.1426565
29,2186359,5403,Y needs X to be Ved,wants,the,litecoin,,used,50.3754565,-4.1426565
30,6060127,41905,Y needs X Ved,want,the,job,,finished,52.19173,-1.708298
31,1751129,51249,Y needs X Ving,wants,the,mep,representing,,53.258663,-2.119287
32,3600221,62989,Y needs X Ving,wants,the,fence,doing,,54.90686899999999,-1.383801
33,1710853,72902,Y needs X Ving,need,the,insides,doing,,53.763201,-2.70309
34,6457413,74202,Y needs X Ving,want,the,bad,ending,,52.49396616659272,-1.890640074770749
35,4589680,5132,Y needs X Ving,need,the,music,playing,,53.35490213361106,-6.247621039910087
36,2199093,89813,Y needs X Ved,need,the,truth,,provided,54.77525,-1.584852
37,5200102,1490,Y needs X Ved,want,the,job,,done,56.1168249,-3.158137
38,5748917,85732,Y needs X Ving,want,the,world,seeing,,50.6144279,-2.457621
39,3634990,64085,Y needs X Ved,want,the,pass,,checked,52.95795563545916,-6.395315040955591
