index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
0,5550279,affirmative,sat,sit,past participle,51.34040200000001,0.731596
1,6498024,affirmative,standing,stand,present participle,51.54764418371767,-0.060167093840727014
2,4798794,affirmative,sat,sit,past participle,51.23073267278552,-2.315851078686381
3,4798794,affirmative,stood,stand,past participle,51.23073267278552,-2.315851078686381
4,4798794,affirmative,stood,stand,past participle,51.23073267278552,-2.315851078686381
5,300175,affirmative,stood,stand,past participle,53.477054,-2.2319675
6,5486753,affirmative,sitting,sit,present participle,52.486243,-1.890401
7,2454765,affirmative,sitting,sit,present participle,52.205337,0.121817
8,5395204,affirmative,standing,stand,present participle,52.41191266935471,-1.5186510779627418
9,4893605,affirmative,sat,sit,past participle,52.335589,-2.061906
10,5741214,affirmative,sitting,sit,present participle,52.4922983,-0.6842333
11,2554542,affirmative,sitting,sit,present participle,56.47695163274154,-2.955044544937377
12,3189262,affirmative,sitting,sit,present participle,51.4933675,0.0098214
13,2662768,affirmative,sat,sit,past participle,53.381129,-1.470085
14,1536775,affirmative,sat,sit,past participle,53.52222916238967,-1.407287072468673
15,63507,affirmative,sitting,sit,present participle,51.3888898,-0.1403317
16,4966154,affirmative,sitting,sit,present participle,51.20504418188738,-0.7875275902717159
17,2062622,affirmative,sitting,sit,present participle,56.2082078,-3.1495175
18,5589753,affirmative,sat,sit,past participle,51.0576948,-1.3080629
19,3136793,affirmative,sat,sit,past participle,53.4807593,-2.2426305
20,2555915,affirmative,sat,sit,past participle,53.683298,-1.505924
21,60489,affirmative,sat,sit,past participle,51.361897184290534,-0.181587093983755
22,4622391,affirmative,sitting,sit,present participle,55.94319513486961,-3.203008046263737
23,6342395,affirmative,stood,stand,past participle,51.550501,-0.3048409
24,4380558,affirmative,sitting,sit,present participle,51.53518320000001,-0.4481378
25,2097222,affirmative,standing,stand,present participle,55.864237,-4.251806
26,3454768,affirmative,sat,sit,past participle,55.131418149377225,-1.7396190608954751
27,4494879,affirmative,sat,sit,past participle,51.6148081653546,-3.1147655707313966
28,1133085,affirmative,sitting,sit,present participle,55.864237,-4.251806
29,1999098,affirmative,sat,sit,past participle,51.3810641,-2.3590167
30,5429903,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
31,1002837,affirmative,standing,stand,present participle,56.0018775,-3.7839131
32,2071997,affirmative,stood,stand,past participle,53.2586803,-2.5181321
33,2094702,affirmative,sat,sit,past participle,53.381129,-1.470085
34,4844995,affirmative,standing,stand,present participle,55.94566800000001,-3.992534
35,4844995,affirmative,standing,stand,present participle,55.94566800000001,-3.992534
36,4351255,negative,sat,sit,past participle,55.864237,-4.251806
37,4402951,affirmative,standing,stand,present participle,53.235048,-1.421629
38,874983,affirmative,stood,stand,past participle,55.75946312998455,-4.186459540759577
39,6117264,affirmative,sat,sit,past participle,50.81886418291968,-1.066985090339948
40,4245882,affirmative,stood,stand,past participle,52.9225301,-1.4746186
41,386,affirmative,stood,stand,past participle,54.75624712720672,-5.714608036166596
42,987287,affirmative,standing,stand,present participle,51.554018684744904,0.127886404759497
43,987287,affirmative,sitting,sit,present participle,51.554018684744904,0.127886404759497
44,4633705,affirmative,sat,sit,past participle,51.8993855,-2.0782533
45,4013926,affirmative,standing,stand,present participle,51.655942,0.068161
46,1788724,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
47,1788724,affirmative,sitting,sit,present participle,52.79010160000001,-0.1537024
48,3022540,affirmative,sat,sit,past participle,51.846602685572215,0.624702902653269
49,4577461,affirmative,sat,sit,past participle,53.795984,-1.759398
50,5361175,affirmative,sat,sit,past participle,52.45973313779458,-6.579387542254006
51,565842,affirmative,sat,sit,past participle,53.731463621358344,-7.705823528713598
52,5654419,affirmative,sat,sit,past participle,53.4807593,-2.2426305
53,1043590,affirmative,sat,sit,past participle,53.5450645,-2.6325074
54,361146,affirmative,sitting,sit,present participle,51.4095958,-3.4848167
55,3906461,affirmative,sat,sit,past participle,53.383164163093134,-1.449611572954178
56,3906461,affirmative,stood,stand,past participle,53.383164163093134,-1.449611572954178
57,5632142,affirmative,stood,stand,past participle,53.381129,-1.470085
58,3881758,affirmative,sat,sit,past participle,52.28519050000001,-1.5200789
59,3110636,affirmative,sat,sit,past participle,54.64356899999999,-3.542752
60,3526618,affirmative,sat,sit,past participle,53.40837140000001,-2.9915726
61,3514135,affirmative,stood,stand,past participle,53.40837140000001,-2.9915726
62,3514135,affirmative,stood,stand,past participle,53.40837140000001,-2.9915726
63,4355393,affirmative,sat,sit,past participle,53.8007554,-1.5490774
64,4355393,affirmative,sat,sit,past participle,53.8007554,-1.5490774
65,4355393,affirmative,sitting,sit,present participle,53.8007554,-1.5490774
66,4202592,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
67,6539443,affirmative,sat,sit,past participle,51.546926183442935,-0.109181093471064
