,userid,construction_type,tag,verb,pronoun,preposition,goal,goal_det,goal_noun,theme_type,goal_type,latitude,longitude
8366,3125104,it+nominal,goal_theme_ditransitive,show,it,,my girlfriend,my,girlfriend,pronominal,nominal,55.953252,-3.188267
8311,3969610,it+nominal,goal_theme_ditransitive,giving,it,,the boy,the,boy,pronominal,nominal,55.50389663085124,-4.329341541206408
8255,6179197,it+nominal,goal_theme_ditransitive,give,it,,the players,the,players,pronominal,nominal,55.864237,-4.251806
8254,6179197,it+nominal,goal_theme_ditransitive,give,it,,the players,the,players,pronominal,nominal,55.864237,-4.251806
7995,3412607,it+nominal,goal_theme_ditransitive,got,it,,the wife,the,wife,pronominal,nominal,54.61759765385377,-1.579937564966059
7849,4494204,it+nominal,goal_theme_ditransitive,get,it,,my son,my,son,pronominal,nominal,55.94566800000001,-3.992534
7816,3245311,it+nominal,goal_theme_ditransitive,show,it,,the world,the,world,pronominal,nominal,55.858302128951905,-4.241751039861819
7602,2994672,it+nominal,goal_theme_ditransitive,gift,it,,the world,the,world,pronominal,nominal,54.97825200000001,-1.61778
7512,1377246,it+nominal,goal_theme_ditransitive,showed,it,,my dad,my,dad,pronominal,nominal,51.866310682801725,0.15974940632547102
7286,6584244,it+nominal,goal_theme_ditransitive,show,it,,the boys,the,boys,pronominal,nominal,51.481581,-3.17909
7285,6584244,it+nominal,goal_theme_ditransitive,show,it,,the boys,the,boys,pronominal,nominal,51.481581,-3.17909
6931,3150992,it+nominal,goal_theme_ditransitive,give,it,,my dog,my,dog,pronominal,nominal,54.574227,-1.234956
6897,3168225,it+nominal,goal_theme_ditransitive,sent,it,,my boyfriend,my,boyfriend,pronominal,nominal,53.52282,-1.128462
6864,4130520,it+nominal,goal_theme_ditransitive,showed,it,,my daughter,my,daughter,pronominal,nominal,54.58156,-0.975134
6784,4545848,it+nominal,goal_theme_ditransitive,get,it,,my dad,my,dad,pronominal,nominal,51.5383335,0.050482
6285,2882460,it+nominal,goal_theme_ditransitive,teach,it,,the kids,the,kids,pronominal,nominal,51.5073509,-0.12775830000000002
5738,1694472,it+nominal,goal_theme_ditransitive,email,it,,my dad,my,dad,pronominal,nominal,53.235048,-1.421629
4960,564089,it+nominal,goal_theme_ditransitive,give,it,,your kids,your,kids,pronominal,nominal,54.77525,-1.584852
4860,2806878,it+nominal,goal_theme_ditransitive,give,it,,your baby,your,baby,pronominal,nominal,54.4635261,-6.334550599999999
4783,1660802,it+nominal,goal_theme_ditransitive,got,it,,the kids,the,kids,pronominal,nominal,55.87456529999999,-3.105353
4190,2448008,it+nominal,goal_theme_ditransitive,given,it,,our team,our,team,pronominal,nominal,53.4807593,-2.2426305
4157,1307033,it+nominal,goal_theme_ditransitive,showing,it,,our friend,our,friend,pronominal,nominal,53.95996510000001,-1.0872979
3739,4892791,it+nominal,goal_theme_ditransitive,show,it,,my friends,my,friends,pronominal,nominal,53.90604162876235,-6.395642536148323
3420,4056951,it+nominal,goal_theme_ditransitive,getting,it,,my dad,my,dad,pronominal,nominal,54.57707565686802,-1.120204568486189
3132,5113625,it+nominal,goal_theme_ditransitive,show,it,,my daughter,my,daughter,pronominal,nominal,51.3810641,-2.3590167
3131,5113625,it+nominal,goal_theme_ditransitive,show,it,,my daughter,my,daughter,pronominal,nominal,51.3810641,-2.3590167
2886,4443359,it+nominal,goal_theme_ditransitive,show,it,,a friend,a,friend,pronominal,nominal,51.5557739,-1.7797176
2866,5950281,it+nominal,goal_theme_ditransitive,show,it,,your kids,your,kids,pronominal,nominal,54.691745,-1.212926
2792,3049503,it+nominal,goal_theme_ditransitive,give,it,,the kids,the,kids,pronominal,nominal,53.8108176,-1.7626099999999998
2772,844697,it+nominal,goal_theme_ditransitive,shown,it,,my daughter,my,daughter,pronominal,nominal,55.2082542,-2.0784138
2765,5892095,it+nominal,goal_theme_ditransitive,showed,it,,my son,my,son,pronominal,nominal,55.864237,-4.251806
2634,895845,it+nominal,goal_theme_ditransitive,get,it,,my daughter,my,daughter,pronominal,nominal,51.230751,-2.320096
2370,1921068,it+nominal,goal_theme_ditransitive,show,it,,a friend,a,friend,pronominal,nominal,54.06800465042361,-2.775131059633978
2307,2065231,it+nominal,goal_theme_ditransitive,show,it,,your children,your,children,pronominal,nominal,55.98162162361896,-4.945407534655282
2252,5476379,it+nominal,goal_theme_ditransitive,get,it,,my wife,my,wife,pronominal,nominal,55.773543,-3.919354
2150,6594994,it+nominal,goal_theme_ditransitive,showed,it,,my mum,my,mum,pronominal,nominal,56.00799876527796,-3.803210645635293
2126,3770059,it+nominal,goal_theme_ditransitive,got,it,,my mum,my,mum,pronominal,nominal,51.584151,-2.997664
1927,4306427,it+nominal,goal_theme_ditransitive,teach,it,,my dad,my,dad,pronominal,nominal,51.5073509,-0.12775830000000002
1818,1867842,it+nominal,goal_theme_ditransitive,show,it,,my girlfriend,my,girlfriend,pronominal,nominal,52.7073029,-2.7553268
1633,714634,it+nominal,goal_theme_ditransitive,get,it,,my mum,my,mum,pronominal,nominal,56.18022963434772,-3.024360546137047
1632,714634,it+nominal,goal_theme_ditransitive,get,it,,my mum,my,mum,pronominal,nominal,56.18022963434772,-3.024360546137047
