,variant,latitude,longitude,weight
1642,where_is_x,51.08259916337292,-4.0524690668382854,0.05555555555555555
24670,where_is_x_at,52.63687779999999,-1.1397591999999999,0.06666666666666667
2077,where_is_x,51.20428,-3.481152,0.07142857142857142
6521,where_is_x,51.51195429999999,-0.12265039999999999,0.07142857142857142
21966,where_is_x,55.03539037505378,-1.755539472588127,0.07692307692307693
18661,where_is_x,53.5945697,-2.5457229999999997,0.07692307692307693
14796,where_is_x,52.770100899999996,-1.292427,0.08333333333333333
3705,where_is_x,51.431443,-2.189674,0.08333333333333333
24913,where_is_x_at,53.7676236,-0.3274198,0.08333333333333333
21132,where_is_x,54.60320229999999,-7.0949652999999975,0.09090909090909091
24798,where_is_x_at,53.383164163093134,-1.449611572954178,0.09090909090909091
22230,where_is_x,55.515888000000004,-4.3777549,0.09090909090909091
6462,where_is_x,51.5112016,-0.14030739999999994,0.09090909090909091
36,where_is_x,50.169173,-5.107088,0.09090909090909091
24865,where_is_x_at,53.5768647,-2.4282192000000005,0.09090909090909091
5089,where_is_x,51.494666566256676,-0.11855201721938399,0.1
24909,where_is_x_at,53.763201,-2.70309,0.1
2896,where_is_x,51.3602516,1.3484663000000001,0.1
18105,where_is_x,53.480784,-2.148716,0.1
4503,where_is_x,51.47036368196154,-0.4592745912476429,0.1
24375,where_is_x_at,51.3888898,-0.1403317,0.1
20364,where_is_x,54.127363,-2.768112,0.1
23290,where_is_x,56.0270704,-3.8142224000000002,0.1
8935,where_is_x,51.588857175557784,-1.425089083303442,0.1
19874,where_is_x,53.8724559,-0.1983957,0.1111111111111111
13978,where_is_x,52.5863331,-1.8395793000000005,0.1111111111111111
5885,where_is_x,51.5042981,-0.08693150000000001,0.1111111111111111
25250,where_x_to,51.481581,-3.17909,0.1111111111111111
22681,where_is_x,55.85814985732615,-4.250375126621694,0.1111111111111111
10631,where_is_x,51.825709168900325,-2.278143075667317,0.1111111111111111
24923,where_is_x_at,53.801955659532176,-1.5654895697287041,0.1111111111111111
629,where_is_x,50.8020939,-1.202352,0.1111111111111111
24949,where_is_x_at,53.95996510000001,-1.0872979,0.1111111111111111
12348,where_is_x,52.2417,-3.377742,0.1111111111111111
7310,where_is_x,51.523258,-0.0619741,0.1111111111111111
15193,where_is_x,52.898165167142714,-1.327287576610299,0.1111111111111111
735,where_is_x,50.82953300000001,-0.337416,0.1111111111111111
7246,where_is_x,51.521578999999996,-3.3932949999999997,0.1111111111111111
24995,where_is_x_at,54.574227,-1.234956,0.1111111111111111
15443,where_is_x,52.95382160000001,-1.1387225,0.1111111111111111
18453,where_is_x,53.55185,-0.49188699999999996,0.1111111111111111
11692,where_is_x,52.09147700000001,-1.0280609,0.1111111111111111
25033,where_is_x_at,54.77525,-1.5848520000000001,0.1111111111111111
2885,where_is_x,51.359570181370536,-0.693777590102458,0.125
23475,where_is_x,56.164118,-3.328356,0.125
18342,where_is_x,53.52893366680395,-0.6487445779766121,0.125
11138,where_is_x,51.94644417829393,-0.531647587970822,0.125
305,where_is_x,50.595484,-1.2061,0.125
11474,where_is_x,52.035467,-1.8544919999999998,0.125
6427,where_is_x,51.5106715,-0.1312887,0.125
11045,where_is_x,51.9201159,0.9275496999999999,0.125
16743,where_is_x,53.308050699999995,-3.7499412000000003,0.125
1447,where_is_x,51.02245720000001,0.2658259,0.125
17955,where_is_x,53.468126836004885,-2.2398915210798367,0.125
20651,where_is_x,54.361877,-1.711609,0.125
2530,where_is_x,51.297233,1.0632172,0.125
20544,where_is_x,54.27578372026186,-0.41444929106712797,0.125
606,where_is_x,50.7947565,-0.9760187,0.125
20312,where_is_x,54.0852394,-4.754467099999999,0.125
20201,where_is_x,54.01039420000001,-2.7877294,0.125
20144,where_is_x,53.9765424,-7.2996623,0.125
13638,where_is_x,52.512112,-3.313106,0.125
7121,where_is_x,51.5194605,-0.1084616,0.125
19821,where_is_x,53.852041,-2.218286,0.125
19176,where_is_x,53.730927799999996,-1.9837091,0.125
23746,where_is_x,56.64117863201602,-2.890499044444604,0.125
24879,where_is_x_at,53.64579200000001,-1.7850351000000002,0.125
22800,where_is_x,55.87908013558725,-3.1583640469199437,0.125
835,where_is_x,50.84161570481607,-0.130827611667745,0.125
3422,where_is_x,51.402939681711295,-0.583024090694381,0.125
18083,where_is_x,53.478764,-2.094523,0.14285714285714285
24600,where_is_x_at,52.205337,0.12181700000000001,0.14285714285714285
5112,where_is_x,51.4953291,-0.17899089999999998,0.14285714285714285
11530,where_is_x,52.049655,-1.7832211,0.14285714285714285
302,where_is_x,50.593546999999994,-3.672587,0.14285714285714285
5489,where_is_x,51.500545543564776,-0.145467555081662,0.14285714285714285
23774,where_is_x,56.704361,-3.729711,0.14285714285714285
7998,where_is_x,51.542228871175354,-0.092844747552878,0.14285714285714285
5611,where_is_x,51.50185583928067,-0.14892906521040195,0.14285714285714285
6572,where_is_x,51.5127953010727,-0.265359999913131,0.14285714285714285
11937,where_is_x,52.16385800000001,0.9966229999999999,0.14285714285714285
1257,where_is_x,50.957304,-0.510671,0.14285714285714285
15232,where_is_x,52.90671800000001,-2.900338,0.14285714285714285
24026,where_is_x,57.364596999999996,-2.072972,0.14285714285714285
7037,where_is_x,51.517505,-0.13685799999999998,0.14285714285714285
1886,where_is_x,51.1522436857009,-0.184818595163315,0.14285714285714285
16279,where_is_x,53.196231999999995,-1.066758,0.14285714285714285
13160,where_is_x,52.4478804,-1.9249319999999999,0.14285714285714285
22647,where_is_x,55.85215400000001,-3.5661669999999996,0.14285714285714285
6593,where_is_x,51.5130542,-0.12376580000000001,0.14285714285714285
19730,where_is_x,53.82741815311353,-2.6056430621661546,0.14285714285714285
24814,where_is_x_at,53.41987815404958,-2.915426562244173,0.14285714285714285
9497,where_is_x,51.644372164445976,-3.231377569726904,0.14285714285714285
9002,where_is_x,51.593889399999995,-0.052963699999999996,0.14285714285714285
24965,where_is_x_at,54.10896700000001,-3.2188939999999997,0.14285714285714285
24032,where_is_x,57.37022755460529,-4.595918270711844,0.14285714285714285
2570,where_is_x,51.306015,-2.503056,0.14285714285714285
5783,where_is_x,51.50358173368664,-0.15609317760448999,0.14285714285714285
22389,where_is_x,55.69475163170346,-3.984536542439018,0.16666666666666666
895,where_is_x,50.85357118558135,-0.5625710939824871,0.16666666666666666
23606,where_is_x,56.379711133860255,-2.881917045971955,0.16666666666666666
18810,where_is_x,53.6443838,-1.7768247,0.16666666666666666
25113,where_is_x_at,55.858302128951905,-4.241751039861819,0.16666666666666666
13231,where_is_x,52.45670300000001,0.3073659,0.16666666666666666
14129,where_is_x,52.620606,-1.6155138999999998,0.16666666666666666
18680,where_is_x,53.60095116160366,-1.4488355717180592,0.16666666666666666
20150,where_is_x,53.979856700000006,-1.5215149,0.16666666666666666
18036,where_is_x,53.47395600000001,-2.582859,0.16666666666666666
22634,where_is_x,55.849695999999994,-4.2055427000000005,0.16666666666666666
25150,where_is_x_at,57.73945361627269,-4.20044052988233,0.16666666666666666
15056,where_is_x,52.8474255,-8.988738400000003,0.16666666666666666
6615,where_is_x,51.513381700000004,-0.1329109,0.16666666666666666
9739,where_is_x,51.674493655194865,-4.7079040590544565,0.16666666666666666
25161,where_to_is_x,51.481581,-3.17909,0.16666666666666666
18141,where_is_x,53.4842985,-2.2443385,0.16666666666666666
24985,where_is_x_at,54.52361,-1.559458,0.16666666666666666
14266,where_is_x,52.6401145,-1.1323803,0.16666666666666666
4379,where_is_x,51.46489908491834,-0.149065790826901,0.16666666666666666
19317,where_is_x,53.75647779999999,-2.6903813999999997,0.16666666666666666
17646,where_is_x,53.43256289999999,-2.9507453,0.16666666666666666
12459,where_is_x,52.267133174824465,-0.7525005844737809,0.16666666666666666
12415,where_is_x,52.254748,-0.667788,0.16666666666666666
24747,where_is_x_at,53.193392,-2.893075,0.16666666666666666
15372,where_is_x,52.93733317739806,0.48867841008215,0.16666666666666666
16592,where_is_x,53.2755255,-7.4933852,0.16666666666666666
20670,where_is_x,54.3739306,-2.9376444999999998,0.16666666666666666
22887,where_is_x,55.90560212720428,-4.465973538147451,0.16666666666666666
16839,where_is_x,53.3276361734811,0.26745641404111603,0.16666666666666666
24694,where_is_x_at,52.79679067070354,-0.83805508079878,0.16666666666666666
24997,where_is_x_at,54.5772323,-2.7974835,0.16666666666666666
12291,where_is_x,52.230792166583605,-2.197554074002614,0.16666666666666666
12037,where_is_x,52.1951975,-1.6074643,0.16666666666666666
15949,where_is_x,53.09688116544877,-1.3833885750677801,0.16666666666666666
5632,where_is_x,51.501934162843334,-0.16906346689178,0.16666666666666666
22191,where_is_x,55.43509399999999,-4.454212999999998,0.16666666666666666
20941,where_is_x,54.55288365841889,-0.885993570313327,0.16666666666666666
23492,where_is_x,56.18484300000001,-3.0164019,0.16666666666666666
20983,where_is_x,54.570191157992106,-0.9382455698359,0.16666666666666666
17263,where_is_x,53.384478,-6.6011155,0.16666666666666666
6099,where_is_x,51.506692353631536,-0.19674511861001506,0.16666666666666666
1654,where_is_x,51.08562360000001,-1.1655575,0.16666666666666666
21797,where_is_x,54.9745233,-1.6231521999999998,0.16666666666666666
17049,where_is_x,53.35571939377417,-6.2527368547266375,0.16666666666666666
10299,where_is_x,51.761877,-0.739779,0.16666666666666666
21755,where_is_x,54.962199,-1.84723,0.16666666666666666
471,where_is_x,50.7293321,-3.5435894,0.16666666666666666
10333,where_is_x,51.76931667830901,-0.738759587424836,0.16666666666666666
21663,where_is_x,54.92586110000001,-6.9211757,0.16666666666666666
23919,where_is_x,57.155623,-2.277129,0.16666666666666666
25004,where_is_x_at,54.597285,-5.93012,0.16666666666666666
23031,where_is_x,55.94393163385846,-3.3649960451773264,0.16666666666666666
23092,where_is_x,55.94889767193828,-3.2058543027638917,0.16666666666666666
18376,where_is_x,53.53520989999999,-1.0522281999999998,0.16666666666666666
5127,where_is_x,51.49562120000001,-0.1276004,0.16666666666666666
329,where_is_x,50.63189368352954,-1.1832705905107481,0.16666666666666666
1012,where_is_x,50.8832546723609,-2.7920795770819904,0.16666666666666666
7445,where_is_x,51.5257846,-0.0780153,0.16666666666666666
9788,where_is_x,51.683465999999996,-4.2561,0.16666666666666666
24595,where_is_x_at,52.193636,-2.221575,0.2
11355,where_is_x,52.0073563,-0.7322218,0.2
5085,where_is_x,51.49462968320546,-0.213166592979758,0.2
1350,where_is_x,50.9868979,-0.737274,0.2
11583,where_is_x,52.0606549,-1.622814,0.2
10849,where_is_x,51.879404679640366,-0.3772685895213621,0.2
10760,where_is_x,51.8593811849509,0.5301249034534891,0.2
21520,where_is_x,54.845058620318746,-6.67478102962476,0.2
1401,where_is_x,51.009506099999996,-4.4833687000000015,0.2
21571,where_is_x,54.873162641159574,-3.3785250510063682,0.2
24565,where_is_x_at,51.864244899999996,-2.238156,0.2
10704,where_is_x,51.84932050000001,-8.299435899999999,0.2
4886,where_is_x,51.4866271,-3.1788640999999997,0.2
10464,where_is_x,51.79453965819562,-4.085957562802239,0.2
5223,where_is_x,51.498274166133264,-0.19349671859347692,0.2
147,where_is_x,50.3712555,-4.1576501000000015,0.2
478,where_is_x,50.73317568509901,-0.790273592928518,0.2
10359,where_is_x,51.77334000000001,-0.9259649999999999,0.2
21213,where_is_x,54.64255550000001,-5.5375995000000025,0.2
10317,where_is_x,51.767046,-1.2614698999999998,0.2
21193,where_is_x,54.63408100000001,-1.3444639999999999,0.2
21180,where_is_x,54.6298789,-5.8921818,0.2
532,where_is_x,50.757619181943284,-1.308422088856179,0.2
24659,where_is_x_at,52.5694985,-0.2405299,0.2
11916,where_is_x,52.15605667788868,-0.353586088107118,0.2
24434,where_is_x_at,51.50009168353514,-0.14893559343778198,0.2
11917,where_is_x,52.15610718587098,1.049944401200778,0.2
452,where_is_x,50.725731,-1.5897618999999998,0.2
24662,where_is_x_at,52.586973,-2.12882,0.2
9954,where_is_x,51.711850163279145,-3.3468035685278066,0.2
9910,where_is_x,51.704417,-2.1870540000000003,0.2
9897,where_is_x,51.702655,-0.70319,0.2
