,variant,latitude,longitude,weight
0,a load of,50.118798,-5.537592,2.0
1,a load of,50.15192466361971,-5.0740475644063165,1.0
2,a load of,50.263195,-5.0510410000000014,1.0
3,a load of,50.2660471,-5.0527125,0.5
4,a load of,50.3754565,-4.1426565,0.2
5,a load of,50.415572161753424,-5.075985563027292,1.0
6,a load of,50.44755867087375,-3.545694573906754,1.0
7,a load of,50.61341767910445,-1.96596658470878,1.0
8,a load of,50.614427899999995,-2.457621,1.0
9,a load of,50.6938479,-1.304734,1.0
10,a load of,50.71505,-1.987248,1.0
11,a load of,50.7155591,-3.530875,0.5
12,a load of,50.718412,-3.533899,1.0
13,a load of,50.719164,-1.880769,2.0
14,a load of,50.742267678880474,-1.8526065848436408,0.5
15,a load of,50.7487635,-2.3444786,1.0
16,a load of,50.768035,0.29047199999999995,0.5
17,a load of,50.782025190888355,0.286119399083241,1.0
18,a load of,50.8197675,-1.0879769,3.0
19,a load of,50.82253,-0.137163,0.125
20,a load of,50.83133918671886,-0.390040595428803,1.0
21,a load of,50.840331688135606,-0.130355597369922,0.5
22,a load of,50.840333182030115,-0.13083169754892698,1.0
23,a load of,50.84069725767559,-0.7753474476021279,1.0
24,a load of,50.8548464,-1.1865868,1.0
25,a load of,50.87179219185224,0.56582339743532,1.0
26,a load of,50.9097004,-1.4043508999999998,0.1111111111111111
27,a load of,50.9136428,-1.3038762,1.0
28,a load of,50.92132718030879,-1.3964665872724658,0.3333333333333333
29,a load of,50.942060999999995,-2.633308,1.0
30,a load of,50.96553017772092,-1.788107584083955,1.0
31,a load of,50.967182,-1.374688,1.0
32,a load of,50.96757267858629,-1.637659585199895,1.0
33,a load of,50.99750666473128,-3.927118568193401,1.0
34,a load of,50.999041,-0.106333,1.0
35,a load of,51.015344,-3.106849,1.0
36,a load of,51.01668400000001,-4.206666,1.0
37,a load of,51.05313518626989,-0.203498095588851,1.0
38,a load of,51.0576948,-1.3080629,0.5
39,a load of,51.05977100000001,-1.310142,1.0
40,a load of,51.060853,0.165894,1.0
41,a load of,51.062883,-0.325858,1.0
42,a load of,51.069358,0.689122,3.0
43,a load of,51.10470968210572,-0.8687765902256741,1.0
44,a load of,51.105097,-2.9262307,2.5
45,a load of,51.10914010000001,-0.18722750000000002,0.5
46,a load of,51.1278758,1.3134027,1.0
47,a load of,51.127889,-3.003632,1.0
48,a load of,51.12918616938164,-3.0053995741741835,0.5
49,a load of,51.13237700000001,0.26369499999999996,0.25
50,a load of,51.141925191744,0.873121896620755,1.0
51,a load of,51.14215268824625,0.251505901429205,1.0
52,a load of,51.146465899999995,0.8750190000000001,1.0
53,a load of,51.17808518648668,-0.015789096309559998,1.0
54,a load of,51.209346999999994,-2.6445979,1.0
55,a load of,51.212856177733116,-1.4949320848959968,1.0
56,a load of,51.23622,-0.570409,2.0
57,a load of,51.25974618315957,-0.501127092134465,1.0
58,a load of,51.26282567971772,-1.094588087623305,1.0
59,a load of,51.26357868898064,0.527730900003093,1.0
60,a load of,51.26654,-1.0923964,1.0
61,a load of,51.27241,0.190898,1.0
62,a load of,51.2787075,0.5217254,2.2
63,a load of,51.280233,1.0789089,1.0
64,a load of,51.285199,-2.485936,1.0
65,a load of,51.285938671424006,-2.4810840771626816,1.0
66,a load of,51.28737467437886,-1.9797875808620047,0.5
67,a load of,51.292017,-2.4460919999999997,1.0
68,a load of,51.3147593,-0.5599501,0.3333333333333333
69,a load of,51.31652168249806,-0.548835091447482,1.0
70,a load of,51.316774,-0.5600349,1.0
71,a load of,51.31893834721198,1.08904424680692,1.0
72,a load of,51.335389899999996,-0.7428560000000001,7.0
73,a load of,51.343356689590046,0.7322578988871109,1.0
74,a load of,51.348906899999996,-1.9948279999999998,1.0
75,a load of,51.34919960000001,-1.9927105,0.5
76,a load of,51.35742800000001,-0.098251,1.0
77,a load of,51.35893068481797,-0.092632594680242,1.0
78,a load of,51.362149691684074,1.1290528959204609,1.0
79,a load of,51.373267333991926,-2.250182113437292,1.0
80,a load of,51.376165,-0.098234,0.5
81,a load of,51.3810641,-2.3590167,2.2
82,a load of,51.38544518372361,-0.252753593305613,0.25
83,a load of,51.386322,0.551438,1.0
84,a load of,51.38811366890254,-2.7855240743669643,1.0
85,a load of,51.3888898,-0.1403317,3.0
86,a load of,51.39431968525401,0.026299404614118997,1.0
87,a load of,51.39601467749957,-1.31918658518276,1.0
88,a load of,51.398098376905786,-0.39955181993099,1.0
89,a load of,51.399752899999996,-3.2825858999999995,3.0
90,a load of,51.401409,-1.3231138999999998,1.0
91,a load of,51.405805,-1.266468,1.0
92,a load of,51.4095958,-3.4848167,1.0
93,a load of,51.415059,-2.502526,1.0
94,a load of,51.41604,-0.75398,1.0
95,a load of,51.421235688067334,0.555477900705605,1.0
96,a load of,51.43148,-0.515525,1.0
97,a load of,51.43537516597537,-3.218509570956295,1.0
98,a load of,51.438798,-3.173507,1.0
99,a load of,51.44051418303791,-0.30699559257628,0.5
100,a load of,51.441457899999996,-0.0117006,3.0
101,a load of,51.45165618360951,-0.19371909337509602,2.25
102,a load of,51.45252367906998,-0.9820300873965708,2.0
103,a load of,51.4542645,-0.9781303,0.14285714285714285
